Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,30.80,12.88,19.03,31.51,74.31,48.05,18.18,9.46,62.33,116.04,42.36,17.55
1902,14.68,34.19,35.88,49.09,52.46,24.91,10.89,37.29,90.80,60.08,62.20,18.37
1903,32.31,33.54,37.76,41.89,38.05,49.85,36.72,31.31,35.97,23.92,38.82,36.32
1904,29.67,8.78,52.63,65.09,98.40,39.98,13.62,24.91,66.48,44.85,40.17,53.65
1905,25.19,22.26,44.29,37.80,65.31,46.86,63.11,49.54,18.30,47.81,31.75,42.58
1906,23.13,27.81,22.26,24.47,56.31,56.02,59.62,42.89,41.09,25.91,46.20,57.96
1907,26.73,23.11,40.53,33.54,38.57,17.00,23.52,45.19,51.09,49.30,66.13,21.26
1908,35.85,21.76,49.91,59.43,74.71,25.20,12.91,7.06,51.85,53.82,58.62,34.12
1909,19.52,18.30,26.86,38.37,40.78,55.46,11.41,41.20,38.61,63.51,23.84,25.02
1910,32.09,34.52,24.27,53.40,58.22,37.11,23.49,13.27,47.46,31.76,27.42,7.38
1911,19.66,16.19,60.83,63.49,79.72,48.47,13.98,20.45,37.45,38.15,41.57,43.99
1912,13.85,32.59,24.24,46.08,71.35,34.67,19.50,24.66,14.36,64.25,23.42,25.36
1913,45.41,27.68,28.89,27.51,46.46,20.77,14.88,2.36,54.54,53.24,50.13,15.51
1914,34.46,10.75,37.71,62.45,54.08,67.76,21.22,42.00,34.46,77.77,73.78,34.65
1915,12.43,20.68,48.54,68.10,50.71,88.73,41.71,42.05,23.61,36.15,8.98,14.81
1916,18.85,23.81,19.28,36.52,61.94,26.65,62.81,9.98,74.65,23.47,24.00,20.49
1917,12.19,22.43,23.10,16.04,40.62,22.75,7.45,46.96,26.22,54.68,17.86,24.82
1918,17.75,35.89,22.52,46.06,65.08,54.76,37.15,55.23,25.61,46.58,50.23,41.75
1919,27.36,31.02,45.29,65.32,51.17,54.31,34.58,17.85,28.89,51.35,52.80,32.45
1920,28.86,31.80,43.77,51.03,65.57,63.81,32.99,46.02,72.04,81.52,59.70,23.43
1921,13.83,32.42,45.32,68.96,15.29,42.61,41.78,43.33,45.57,28.93,71.32,32.29
1922,42.39,26.82,14.51,82.16,22.21,46.95,48.92,39.88,56.95,49.80,37.99,28.38
1923,27.12,19.94,39.04,78.82,21.86,65.14,47.47,77.56,15.33,37.41,9.81,19.68
1924,23.48,48.72,48.41,56.97,27.28,34.18,25.15,24.09,34.76,105.48,45.11,34.40
1925,15.88,2.08,22.82,29.21,29.25,29.11,31.66,11.51,35.50,47.90,21.76,33.51
1926,22.48,40.35,27.16,47.20,44.94,63.52,57.43,12.28,47.08,16.96,14.27,23.46
1927,22.19,31.41,33.35,60.37,57.98,27.94,25.68,13.86,56.27,28.71,88.70,29.88
1928,12.56,51.59,46.22,23.85,43.96,41.02,27.52,50.89,33.72,49.70,37.60,53.88
1929,31.95,48.63,44.10,42.35,44.25,51.87,11.58,8.90,49.45,23.63,31.78,38.63
1930,20.84,59.11,19.93,41.32,33.48,49.72,10.47,22.48,34.59,84.96,35.59,42.06
1931,33.32,22.24,37.77,60.94,59.45,50.65,47.00,43.40,17.26,49.21,77.25,37.41
1932,28.71,35.18,45.52,40.74,48.76,24.14,30.96,32.46,48.19,27.49,72.02,25.03
1933,38.79,24.83,49.23,32.32,32.74,74.95,27.97,6.55,22.93,52.74,45.56,32.06
1934,21.94,11.93,18.25,63.79,33.52,42.60,25.15,30.21,43.62,35.66,28.26,20.18
1935,36.39,20.12,41.58,27.92,44.03,68.12,26.00,17.09,20.32,56.96,81.47,11.94
1936,7.30,19.86,35.23,40.78,58.68,72.18,55.51,17.53,41.86,63.08,40.16,23.03
1937,52.13,14.78,16.53,42.70,109.77,51.72,13.91,29.21,18.79,51.31,55.54,17.96
1938,25.49,43.57,27.00,29.33,58.33,17.14,23.29,19.95,67.82,25.37,24.63,54.45
1939,10.65,20.79,39.73,53.01,34.00,45.20,44.55,29.83,18.08,50.95,105.60,23.43
1940,48.12,36.20,34.08,29.82,67.70,52.66,36.72,4.35,34.72,88.02,10.21,43.09
1941,41.09,21.41,38.37,46.79,34.36,15.71,16.59,35.70,56.00,30.90,64.85,14.86
1942,54.66,38.53,53.68,58.35,80.28,20.74,9.75,5.31,35.98,58.81,68.68,22.60
1943,31.07,43.57,61.08,18.64,60.50,50.65,24.57,47.15,71.44,53.71,31.82,44.01
1944,41.05,12.86,17.38,52.88,67.10,46.06,22.17,27.54,27.64,64.16,51.49,12.36
1945,46.32,55.14,27.67,27.12,54.61,52.62,13.92,30.56,26.44,27.70,64.42,25.53
1946,23.48,26.74,70.08,42.07,68.33,45.38,35.08,10.17,52.56,127.11,26.98,33.62
1947,34.02,19.48,28.36,50.08,52.40,33.88,29.62,19.81,57.35,42.62,44.31,24.57
1948,14.48,38.31,48.17,43.97,29.17,51.69,19.13,15.53,41.43,40.46,47.60,24.07
1949,31.03,35.75,61.25,40.85,54.75,22.36,5.62,41.20,27.91,49.64,20.40,41.54
1950,47.65,28.67,37.96,14.70,54.35,56.38,13.75,39.51,12.86,65.57,33.60,13.23
1951,37.61,35.72,12.63,32.35,42.43,47.65,8.79,11.27,100.37,169.11,30.45,52.19
1952,14.78,30.43,51.57,64.28,53.90,58.36,6.64,14.22,12.20,21.73,29.82,21.28
1953,22.17,22.13,48.80,28.20,39.34,38.26,42.56,8.60,31.15,51.66,98.28,46.66
1954,20.34,45.71,57.69,51.64,46.34,19.19,38.72,8.69,32.89,8.49,56.20,26.30
1955,20.70,17.00,62.60,40.82,67.24,48.36,44.43,40.06,65.06,17.43,90.20,28.28
1956,24.85,52.02,78.78,60.77,79.48,16.63,11.91,23.13,76.87,32.42,31.00,41.10
1957,46.84,19.90,51.24,18.39,39.11,52.32,49.42,40.02,23.23,62.78,40.36,32.29
1958,24.51,7.23,34.14,43.71,35.97,42.59,63.19,29.08,53.41,57.39,43.87,38.81
1959,15.03,47.53,56.10,21.30,60.99,49.25,23.27,35.89,29.60,53.59,67.37,24.09
1960,19.92,33.53,48.92,54.54,31.96,48.03,40.98,14.63,27.66,33.54,34.41,17.10
1961,28.26,29.39,14.18,38.69,37.20,35.92,13.34,10.88,36.69,69.73,30.44,12.88
1962,19.69,44.98,29.30,58.49,31.95,50.40,18.62,45.25,43.10,76.97,48.99,32.32
1963,27.33,37.25,50.48,60.92,108.99,78.21,54.09,65.71,55.09,49.65,46.48,51.92
1964,32.39,30.97,48.43,52.87,32.65,47.33,26.68,35.77,11.83,27.99,29.90,12.17
1965,36.30,19.23,39.83,48.11,49.53,51.95,49.42,19.68,45.42,106.23,21.68,16.61
1966,25.27,26.01,52.63,74.41,74.78,29.93,15.11,28.92,92.76,56.57,26.09,42.71
1967,22.00,42.96,53.52,74.10,55.54,41.74,19.83,15.02,76.81,44.64,59.31,22.44
1968,23.22,27.81,30.37,56.89,24.09,89.48,20.89,24.93,17.82,41.50,36.85,40.50
1969,52.54,46.24,63.85,75.62,53.15,46.26,31.91,5.40,77.68,67.17,29.86,39.88
1970,27.19,20.23,29.66,42.50,33.18,36.17,19.56,39.94,15.37,30.02,28.26,50.04
1971,17.00,18.56,34.70,32.34,45.84,27.25,9.10,14.93,23.37,60.17,27.56,48.48
1972,47.20,31.08,42.32,25.18,109.20,56.99,23.79,24.28,68.74,44.59,42.08,37.09
1973,37.21,32.55,58.44,72.82,59.77,42.09,24.51,11.45,27.33,18.71,61.84,26.20
1974,41.30,20.79,59.82,53.75,31.33,47.66,67.27,50.92,46.38,2.00,59.82,28.85
1975,18.45,50.72,30.26,30.88,63.01,43.63,12.04,12.55,53.35,76.49,41.41,24.08
1976,14.69,46.97,25.99,54.69,89.16,33.73,44.01,1.73,48.56,71.56,12.87,26.46
1977,44.10,16.22,50.17,48.77,47.56,68.48,35.77,43.13,28.92,69.29,35.89,36.16
1978,40.78,35.31,38.13,43.14,92.89,71.61,4.28,6.57,8.10,27.20,69.08,41.50
1979,16.12,49.89,42.46,51.18,46.96,61.98,14.92,7.18,5.44,91.38,45.54,22.98
1980,34.83,37.08,44.91,62.12,52.64,35.13,14.58,26.15,46.86,47.68,38.48,22.98
1981,13.48,34.46,57.36,56.95,88.90,63.46,34.20,68.49,21.16,36.77,70.94,19.98
1982,30.22,34.23,66.69,41.25,67.90,54.88,44.49,44.31,61.72,112.02,72.23,12.46
1983,23.54,11.93,18.97,34.94,59.05,68.74,29.11,49.66,45.01,29.36,26.64,13.15
1984,20.49,51.97,49.72,44.91,63.17,22.97,23.93,28.98,19.57,75.49,61.03,30.71
1985,33.44,62.72,43.89,57.59,41.00,23.67,36.86,8.41,12.31,42.47,23.00,37.62
1986,20.49,35.87,26.48,23.72,64.89,60.05,16.63,12.50,33.54,43.75,70.34,15.39
1987,15.86,40.64,64.38,29.30,29.56,18.35,26.80,31.67,27.38,122.48,27.09,52.91
1988,22.34,27.70,65.12,44.69,86.52,58.95,44.56,60.95,24.64,50.56,45.72,31.47
1989,19.35,22.71,26.41,14.39,31.24,22.88,11.56,23.64,58.89,79.89,28.96,28.95
1990,40.89,28.02,27.75,80.09,46.77,28.34,10.32,18.14,9.82,72.48,28.29,43.96
1991,26.50,30.69,57.90,36.88,62.29,23.08,27.50,28.74,7.85,21.83,66.26,43.61
1992,22.81,44.51,20.57,42.46,45.15,56.83,40.31,22.21,60.86,33.57,60.68,45.04
1993,33.77,47.04,22.80,45.87,56.34,59.85,21.35,31.81,24.69,31.43,91.05,12.87
1994,22.17,36.68,54.04,54.08,60.11,61.84,9.37,20.35,21.10,50.28,81.35,54.02
1995,23.30,16.59,41.55,35.22,31.27,51.91,20.49,12.05,86.23,36.42,25.86,19.32
1996,30.22,30.40,39.19,51.22,38.47,38.73,25.94,13.30,46.21,77.81,16.99,16.85
1997,27.89,51.40,43.74,25.24,36.73,55.76,54.94,20.22,68.60,27.87,15.15,37.26
1998,32.37,34.07,30.29,34.32,53.06,30.63,31.54,15.76,39.08,27.79,48.66,18.17
1999,12.71,10.90,39.08,35.23,58.67,37.39,30.51,31.21,70.51,61.85,48.88,4.17
2000,33.64,29.39,43.61,23.03,57.21,11.20,6.49,11.99,58.72,91.08,34.52,24.55
2001,21.18,15.43,32.80,50.56,53.80,19.84,23.33,37.21,9.92,70.72,41.61,34.15
2002,30.58,27.04,35.93,82.62,70.39,63.13,32.03,42.04,17.27,48.32,18.23,44.83
2003,20.72,53.36,77.47,63.24,52.65,49.77,29.25,22.94,47.10,54.78,55.61,26.54
2004,15.10,39.40,52.08,78.07,67.95,51.99,39.57,19.56,26.31,47.28,68.43,24.18
2005,37.23,31.01,60.61,38.91,65.43,41.74,15.76,28.58,58.98,54.29,38.51,21.43
2006,39.75,38.17,31.50,59.06,28.97,12.60,45.65,5.91,55.71,76.83,48.39,35.78
2007,17.95,21.06,51.14,68.30,31.92,43.61,47.18,36.59,2.91,52.32,76.42,42.88
2008,34.51,24.40,28.91,32.49,59.26,47.58,35.15,15.85,49.53,44.19,18.59,34.15
2009,24.33,24.20,42.09,56.54,32.18,47.68,32.58,45.73,92.26,14.87,59.32,19.86
2010,31.57,46.16,56.02,79.70,80.45,27.80,33.93,23.64,36.59,71.33,2.67,3.21
2011,27.65,63.36,31.78,56.19,64.46,34.03,27.54,52.54,32.47,81.07,61.28,8.86
2012,32.82,38.78,34.40,19.66,50.27,50.86,52.63,8.25,28.60,32.79,34.14,42.06
2013,31.45,36.05,33.37,44.68,66.24,47.22,22.22,25.40,40.04,49.94,29.43,31.19
2014,28.89,12.38,25.23,35.05,44.43,38.47,15.69,10.97,58.80,82.61,55.66,20.18
2015,16.07,37.74,60.63,54.85,50.88,13.72,9.83,38.01,49.03,122.21,20.09,27.06
2016,32.89,28.30,64.57,38.66,45.71,69.26,33.85,6.07,52.17,81.23,51.39,31.11
2017,26.19,28.50,27.34,38.10,59.26,58.73,6.98,12.91,16.05,43.12,55.98,26.74
2018,40.18,52.50,71.25,25.73,42.75,33.78,17.07,28.26,16.86,33.85,43.26,47.47
2019,27.04,36.58,47.11,37.78,37.48,22.48,15.27,16.30,45.83,13.26,33.06,15.93
2020,19.16,33.29,30.58,58.63,63.98,14.64,43.59,43.16,11.03,21.00,66.15,39.77
2021,25.64,33.77,60.70,17.85,51.87,18.51,41.84,30.99,49.24,78.09,22.83,41.72
