Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,59.51,77.56,38.97,52.01,37.65,100.70,73.46,84.69,27.22,106.35,32.22,55.11
1902,24.76,50.39,33.76,49.03,77.92,54.28,48.25,71.82,26.60,48.69,26.18,92.74
1903,34.48,15.19,25.06,81.43,70.59,77.26,52.67,27.56,27.73,67.96,37.10,35.43
1904,20.93,54.20,24.47,33.67,41.77,47.14,35.56,34.49,83.06,46.40,70.97,32.03
1905,43.97,35.16,29.37,59.54,78.43,74.66,68.78,15.17,28.73,113.34,32.56,34.49
1906,50.51,46.14,39.24,33.83,88.77,91.21,59.98,43.66,43.79,62.27,41.26,68.96
1907,36.55,37.03,46.20,45.26,31.20,99.23,43.53,22.43,18.78,10.69,55.62,36.28
1908,35.54,44.07,34.20,42.58,30.23,72.60,50.79,29.84,40.16,43.50,87.83,49.63
1909,34.46,40.68,77.66,29.67,68.74,59.01,43.33,37.93,85.81,48.52,83.25,49.00
1910,67.86,50.15,25.03,58.58,51.55,79.22,53.42,35.02,36.55,84.27,53.13,30.35
1911,40.82,24.94,39.71,44.60,60.19,66.77,51.11,44.99,83.13,21.21,27.25,69.89
1912,52.19,33.07,58.79,53.05,73.92,56.61,68.27,42.78,100.95,52.85,121.68,29.89
1913,43.82,18.63,23.71,34.01,94.00,72.41,63.64,51.99,80.49,14.26,41.12,47.68
1914,79.89,12.87,58.16,36.32,94.31,108.12,93.30,41.55,44.88,79.58,43.14,35.32
1915,65.42,24.95,74.31,58.65,125.50,75.20,98.09,51.38,26.83,107.77,56.80,24.87
1916,19.28,45.42,39.46,56.86,96.29,36.11,62.02,47.05,53.17,56.18,45.56,40.77
1917,83.54,39.56,81.59,64.52,53.83,81.33,35.80,27.28,10.84,49.81,61.48,30.38
1918,28.79,32.36,42.87,22.51,47.35,56.28,75.83,43.46,16.56,115.65,101.05,64.00
1919,76.82,61.05,68.19,52.37,110.13,74.12,71.90,43.41,17.95,123.67,63.04,55.09
1920,50.31,25.69,51.81,59.65,93.82,92.52,61.85,26.55,28.59,75.62,61.71,35.66
1921,36.79,33.76,15.37,43.02,76.35,77.90,40.63,22.21,29.45,18.28,84.82,91.45
1922,59.01,16.46,24.82,54.96,99.96,76.90,25.67,31.13,26.94,106.31,91.74,31.04
1923,69.21,63.01,61.55,58.00,66.76,90.00,73.60,15.85,22.36,23.33,23.92,77.15
1924,27.66,37.35,35.02,46.46,47.46,100.20,34.50,94.13,33.03,75.16,90.31,22.05
1925,12.95,39.59,64.60,46.13,95.56,103.69,60.78,28.80,68.01,31.80,67.05,83.57
1926,69.84,18.33,50.30,29.72,71.91,63.54,66.24,34.91,13.15,29.12,13.01,68.93
1927,58.70,30.61,28.54,75.68,65.89,59.08,46.90,47.49,37.78,68.52,50.07,75.17
1928,48.39,36.49,33.41,70.23,81.34,67.66,16.05,27.66,24.70,32.22,96.37,64.86
1929,80.22,31.93,31.53,77.47,53.57,63.08,22.52,53.08,28.08,82.11,43.87,106.73
1930,13.12,29.03,24.27,52.22,106.00,62.78,60.65,25.95,66.36,47.92,15.97,108.04
1931,58.75,56.73,56.29,68.75,62.27,100.03,49.38,16.81,66.13,67.93,55.28,59.16
1932,27.01,36.47,45.60,44.28,65.58,82.64,40.95,23.69,28.06,28.88,31.08,18.62
1933,60.03,62.00,36.67,51.44,107.33,76.65,82.16,56.25,26.87,47.20,48.31,70.59
1934,45.38,21.77,9.91,11.05,48.87,59.39,77.40,49.65,53.21,59.05,50.36,26.34
1935,73.61,48.82,35.56,63.01,42.64,85.68,35.21,26.69,21.10,31.07,66.82,92.63
1936,23.09,65.89,48.85,46.43,88.54,113.12,61.35,64.90,29.00,72.50,50.21,23.45
1937,52.96,50.87,30.64,96.71,61.79,43.02,55.92,66.39,44.07,88.19,114.78,85.62
1938,28.04,39.27,29.76,59.78,72.23,24.62,54.49,32.09,48.65,59.96,28.36,112.90
1939,40.90,25.75,85.30,32.58,64.44,102.55,44.12,70.41,40.75,78.68,57.36,81.59
1940,41.54,44.69,57.67,90.82,89.70,104.85,72.78,43.96,46.89,52.07,78.65,119.63
1941,43.67,66.61,16.12,60.21,75.05,102.85,101.54,21.68,56.98,72.29,65.03,43.12
1942,80.41,57.08,43.51,55.29,41.29,84.71,39.28,33.42,11.88,36.70,103.05,12.19
1943,63.36,22.32,7.94,41.23,118.60,79.39,30.62,14.39,45.89,44.26,64.21,75.58
