Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,52.03,71.62,109.76,57.25,63.26,114.97,96.71,79.14,166.42,143.07,62.57,158.48
1902,42.80,113.38,135.22,106.95,149.53,120.03,54.80,32.86,118.22,192.86,60.34,71.31
1903,42.57,38.34,59.10,126.17,85.16,94.95,101.19,30.52,41.00,130.43,144.50,153.20
1904,69.75,98.29,91.63,52.30,60.63,76.86,39.71,68.53,95.32,160.86,74.97,79.25
1905,55.96,94.98,72.77,110.20,84.53,120.29,59.67,37.54,77.25,218.52,189.80,27.76
1906,91.20,85.45,71.95,49.63,92.22,138.65,88.50,69.05,124.77,57.26,98.14,199.63
1907,79.59,76.45,32.68,154.32,75.61,78.67,69.42,27.49,46.69,94.51,86.25,177.56
1908,93.35,93.65,87.97,138.04,24.83,46.20,81.69,77.83,37.82,55.82,150.67,114.50
1909,61.69,45.62,111.71,66.39,133.89,77.98,64.74,132.25,152.31,104.67,156.99,127.21
1910,114.30,94.89,48.92,136.29,115.08,116.33,141.54,67.28,167.72,136.49,175.81,110.90
1911,65.48,41.35,19.93,91.02,160.19,95.96,52.11,57.96,114.99,103.49,73.10,104.00
1912,100.50,68.11,117.46,142.17,99.00,71.48,67.73,81.50,126.37,101.14,120.55,73.42
1913,67.01,41.35,20.26,72.82,123.91,123.36,188.52,121.62,124.46,41.03,71.65,136.05
1914,63.13,30.13,137.54,51.29,95.76,111.32,132.36,34.71,106.64,117.85,116.80,133.56
1915,173.49,127.32,102.04,91.90,94.87,170.84,206.14,110.46,109.16,243.75,126.42,118.98
1916,35.41,56.89,111.05,75.44,82.48,30.97,72.44,105.41,149.82,173.31,129.11,187.96
1917,127.63,48.81,99.28,74.34,35.81,25.96,71.90,54.29,40.35,153.45,171.55,125.28
1918,49.16,14.54,50.19,75.89,93.18,106.77,73.06,97.81,37.90,160.19,56.06,119.59
1919,91.98,71.70,87.33,140.63,133.43,72.18,133.10,45.45,79.94,146.00,197.45,87.92
1920,98.48,28.10,70.02,79.96,56.79,149.29,101.44,78.48,58.70,71.98,39.76,134.62
1921,48.02,57.75,22.06,114.39,108.07,179.88,40.22,75.59,19.53,36.01,132.24,67.01
1922,109.93,103.87,105.43,135.90,44.75,90.25,34.13,16.10,178.95,211.71,90.98,54.15
1923,90.69,108.21,56.92,90.41,66.13,144.55,53.38,70.17,56.74,106.18,234.23,147.03
1924,80.15,126.78,60.52,149.84,77.99,126.33,99.04,96.19,97.54,116.88,30.85,53.01
1925,16.79,91.36,62.31,96.47,110.80,135.78,75.47,75.45,163.96,78.83,272.36,149.78
1926,89.62,34.67,53.18,83.99,124.57,190.55,167.74,71.00,51.72,87.24,123.82,177.96
1927,115.02,21.80,112.43,32.24,96.20,60.05,51.28,91.63,118.25,107.77,119.36,170.46
1928,19.84,34.83,88.53,98.00,138.71,54.65,19.54,42.46,138.99,125.86,135.42,85.68
1929,104.51,55.91,11.26,111.88,100.92,122.69,24.97,112.08,59.62,129.02,177.09,66.66
1930,64.80,111.37,66.63,104.74,99.61,85.05,124.93,75.98,63.08,143.63,57.32,113.20
1931,76.83,89.08,92.41,116.28,66.94,41.17,61.77,35.78,155.01,132.37,126.97,61.27
1932,32.67,48.93,129.60,131.95,86.16,78.73,121.39,36.80,27.08,200.26,100.39,76.48
1933,82.77,93.25,57.88,76.89,146.89,86.39,57.41,39.38,57.33,132.47,166.54,172.24
1934,68.22,17.27,84.09,41.51,90.49,141.42,98.30,102.10,117.35,92.39,148.95,94.26
1935,74.92,98.96,51.23,70.03,51.57,35.84,38.78,81.10,51.11,114.24,106.82,166.97
1936,69.48,163.13,66.30,79.25,97.12,106.91,65.39,42.02,135.04,185.96,62.14,61.82
1937,90.98,86.58,122.29,157.43,76.48,114.20,77.13,146.91,135.72,132.20,194.03,185.98
1938,71.68,63.29,28.03,69.12,120.56,36.48,70.41,126.00,85.12,98.20,56.82,80.70
1939,73.87,26.89,110.71,35.20,193.16,111.36,37.03,68.39,104.89,192.85,95.21,116.06
1940,100.57,94.01,44.50,76.08,129.63,117.66,110.43,107.24,84.63,233.62,163.13,85.86
1941,85.58,136.20,54.22,81.15,125.02,117.56,79.97,78.19,89.85,177.94,134.67,94.69
1942,118.27,174.07,66.40,103.30,84.84,87.87,83.29,24.16,36.17,61.73,122.97,55.66
1943,107.51,56.62,33.41,37.00,116.68,138.71,81.39,16.86,93.09,49.97,200.27,137.03
1944,44.78,84.22,77.89,63.30,36.52,116.48,91.87,57.19,141.40,206.42,163.14,96.76
1945,147.51,10.92,21.22,65.83,45.10,35.38,35.33,46.37,121.19,56.49,119.15,131.37
1946,56.31,64.61,26.33,33.25,73.73,41.42,35.80,46.68,17.78,145.29,217.51,101.84
1947,60.37,121.20,63.67,31.96,76.67,97.50,60.73,56.51,17.66,91.54,74.10,141.23
1948,117.44,71.43,9.55,103.92,75.08,165.83,99.36,46.39,81.05,115.95,94.65,13.11
1949,61.65,12.18,84.99,19.27,132.22,155.71,47.42,47.78,52.62,49.14,191.18,102.52
1950,67.94,76.96,39.16,91.79,26.46,23.63,40.64,19.94,88.06,127.47,148.28,204.53
1951,77.52,133.13,104.19,78.99,93.60,108.15,111.35,47.37,83.00,66.08,125.08,81.60
1952,113.99,66.54,33.90,33.02,70.79,45.97,38.96,28.00,134.59,151.24,173.43,236.02
1953,61.14,88.79,12.39,65.41,143.51,135.47,100.52,98.89,47.17,46.69,24.03,62.43
1954,76.82,62.78,89.96,89.45,164.01,111.43,60.95,56.20,73.94,92.45,108.17,111.02
1955,66.20,162.88,88.39,54.90,68.99,83.76,147.46,111.94,117.97,193.45,105.17,104.08
1956,78.56,91.15,41.75,69.92,124.85,146.87,74.43,46.04,13.90,71.67,136.91,90.34
1957,60.60,72.91,12.79,88.13,163.38,40.11,125.58,97.60,87.66,86.97,81.87,68.74
1958,71.76,77.65,110.41,135.73,39.92,90.19,61.11,33.97,46.10,96.64,119.98,154.60
1959,107.56,24.17,53.74,88.26,119.06,163.53,68.66,142.36,61.99,56.47,103.67,239.98
1960,85.52,94.70,75.07,89.79,50.12,72.96,130.45,34.64,115.95,144.21,174.91,131.77
1961,56.33,43.85,27.41,100.30,142.85,86.41,105.38,25.97,16.69,129.47,159.01,81.94
1962,75.63,87.84,152.14,105.85,46.68,62.80,78.82,10.51,57.79,39.33,245.87,93.71
1963,137.08,105.13,51.37,67.04,81.23,81.59,94.47,123.43,89.96,56.58,80.70,174.08
1964,5.35,55.86,111.80,92.68,88.34,140.64,86.49,85.45,72.47,182.13,111.08,217.83
1965,81.61,58.66,75.38,115.74,112.70,99.71,59.47,78.35,122.99,1.76,184.38,126.68
1966,105.69,61.89,79.91,83.72,110.23,81.38,134.48,67.40,52.81,164.06,179.12,133.75
1967,88.03,45.55,75.48,119.62,86.78,125.66,73.72,26.27,120.07,51.57,96.40,144.47
1968,111.73,62.22,37.18,30.29,77.03,130.01,66.00,162.91,143.62,30.86,142.50,120.99
1969,68.15,191.57,71.60,81.85,67.88,156.09,75.24,132.24,84.45,7.87,115.94,205.71
1970,158.69,129.62,120.21,115.65,81.12,78.13,97.63,101.19,22.48,99.54,92.35,111.23
1971,107.59,44.81,98.64,66.81,62.81,73.16,39.46,47.03,111.12,37.76,139.22,38.47
1972,93.11,83.84,22.26,123.80,100.86,41.01,172.33,148.42,84.08,87.13,113.95,18.59
1973,61.85,106.15,35.32,122.78,20.96,101.81,87.68,59.47,94.50,66.04,73.39,105.05
1974,81.91,73.06,38.82,64.26,127.06,127.63,64.25,87.06,125.13,296.45,81.14,57.44
1975,32.55,18.63,60.48,78.42,111.18,96.51,91.61,114.92,44.89,141.08,100.10,51.64
1976,68.62,40.29,61.96,103.04,90.47,104.35,144.62,106.08,100.93,103.36,129.16,179.79
1977,86.86,104.02,64.16,80.42,65.35,50.55,112.12,97.07,101.71,67.59,149.80,113.88
