Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,26.44,33.32,46.64,56.76,34.28,103.13,59.38,65.64,40.59,30.69,57.45,60.82
1902,57.20,30.57,45.44,48.78,78.91,85.53,104.47,95.45,40.99,46.86,10.24,26.33
1903,39.49,45.07,25.17,59.20,74.30,123.95,137.63,78.51,21.22,66.76,48.83,20.44
1904,20.37,48.09,14.91,29.12,49.93,60.15,52.45,89.92,41.66,49.16,58.41,69.87
1905,42.60,19.86,25.84,59.88,74.69,47.00,93.18,57.22,74.71,81.36,73.15,36.64
1906,44.77,30.00,57.32,47.16,69.16,92.21,115.43,74.21,64.77,45.74,66.63,72.12
1907,39.34,25.86,24.54,48.00,41.07,77.52,119.18,70.70,21.09,15.70,32.31,74.49
1908,54.94,62.79,37.16,50.49,67.90,77.62,59.43,121.56,64.75,28.92,26.64,24.10
1909,29.08,31.00,39.85,45.35,52.15,82.02,109.49,30.16,49.80,37.27,67.51,41.05
1910,66.51,32.03,26.20,46.21,43.30,53.44,100.31,127.60,48.65,17.61,84.03,46.66
1911,44.42,47.24,21.01,37.67,36.70,78.24,61.27,62.10,40.84,44.39,32.15,23.10
1912,47.05,44.08,71.37,57.09,69.49,70.90,64.64,80.40,106.32,57.82,35.92,66.25
1913,21.72,28.29,27.57,65.60,46.52,73.97,137.20,67.74,40.69,26.47,56.88,76.31
1914,50.20,22.86,67.37,34.89,43.58,47.80,85.42,39.38,72.25,59.14,25.75,25.44
1915,83.14,35.05,58.87,36.24,45.43,34.46,78.63,76.71,63.60,14.16,63.14,86.62
1916,65.38,43.66,36.57,44.01,42.64,104.96,107.81,90.13,59.21,77.67,49.98,60.22
1917,38.07,36.30,40.55,65.14,23.50,51.29,125.01,84.45,62.47,58.19,64.10,36.23
1918,60.04,31.61,17.44,18.24,22.99,77.21,121.06,74.88,58.72,32.95,37.62,45.33
