Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,117.40,66.23,52.75,56.45,130.55,259.48,285.14,240.52,288.02,241.28,169.65,132.96
1902,113.99,63.24,50.66,54.88,130.14,257.47,282.65,233.34,276.12,240.54,170.17,139.83
1903,113.45,65.14,57.93,55.56,127.20,248.40,274.08,238.77,275.53,240.43,169.97,132.72
1904,111.05,63.56,50.42,54.88,133.18,249.58,287.44,233.65,279.66,241.66,185.25,140.93
1905,116.56,71.82,58.68,54.08,131.70,255.35,284.28,243.79,281.14,246.93,168.64,140.34
1906,118.55,65.32,53.94,55.34,126.88,254.79,282.83,237.40,281.86,244.76,173.48,134.96
1907,113.00,66.95,50.49,53.58,140.51,259.42,283.59,240.04,283.45,238.14,185.88,145.51
1908,111.36,63.26,50.37,53.90,123.83,251.28,281.78,244.22,291.02,246.63,175.26,135.71
1909,111.38,63.78,62.07,54.11,122.59,273.65,279.31,249.01,279.34,248.51,168.27,140.92
1910,121.05,70.93,51.31,53.66,132.70,261.90,281.48,239.13,283.39,260.33,169.09,132.64
1911,112.29,63.33,50.37,56.45,131.18,261.41,262.80,215.64,273.86,242.61,254.17,124.00
1912,179.11,61.90,64.66,41.02,161.57,232.16,271.44,246.00,287.25,269.54,157.27,117.48
1913,148.82,67.92,93.05,105.95,205.99,277.33,277.19,204.79,282.26,214.86,166.52,112.92
1914,101.81,54.95,49.99,70.59,210.20,309.66,265.31,219.97,290.86,268.33,134.13,140.12
1915,133.43,47.86,59.12,55.41,133.59,258.63,275.61,240.70,281.66,251.89,172.36,140.12
1916,117.28,65.89,52.95,58.48,135.51,271.44,275.31,252.17,311.50,265.06,198.89,135.17
1917,112.15,62.96,52.54,55.27,125.32,257.97,285.64,235.18,279.18,259.06,176.19,133.58
1918,121.62,62.87,60.89,55.15,128.18,263.35,280.64,234.67,284.44,245.98,168.84,138.34
1919,122.12,63.28,58.37,58.99,133.05,276.05,301.88,243.46,270.34,308.94,154.01,132.56
1920,115.04,49.32,38.55,42.13,131.59,332.21,313.92,214.05,295.21,190.53,164.53,116.67
1921,83.95,52.27,40.02,101.89,158.04,266.73,259.03,222.90,275.46,300.40,171.27,155.40
1922,103.46,76.49,44.04,41.30,104.10,237.71,271.47,219.39,268.29,337.39,183.74,127.86
1923,100.90,78.08,53.79,40.47,97.15,232.36,252.12,210.43,237.68,211.30,126.44,137.69
