Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,237.07,224.35,240.35,178.87,126.46,79.83,71.33,57.68,77.84,118.77,151.44,213.33
1902,219.04,216.86,240.34,176.98,125.53,80.23,63.39,65.19,77.58,127.27,159.88,210.22
1903,227.40,215.51,226.53,173.98,128.19,79.40,62.99,55.67,76.66,127.79,152.74,205.71
1904,232.15,214.67,224.00,176.19,127.01,80.55,64.97,57.93,77.73,134.18,150.69,200.42
1905,229.36,216.61,243.54,175.78,134.39,80.26,66.31,59.68,80.77,125.47,154.40,207.05
1906,234.57,216.37,231.12,181.89,129.27,80.85,61.58,54.86,75.15,118.28,146.19,202.36
1907,222.76,211.15,223.87,185.74,128.10,81.02,65.98,59.76,78.27,119.10,159.13,204.91
1908,231.61,214.18,222.94,185.39,130.67,79.71,64.60,53.18,74.44,129.81,165.00,196.54
1909,228.96,218.16,233.78,183.26,129.95,83.80,64.59,56.39,77.33,123.42,150.16,204.00
1910,221.33,216.68,236.28,183.50,128.42,82.63,69.17,53.66,76.72,130.03,154.73,204.41
1911,218.58,204.57,250.27,166.95,121.37,82.78,63.55,57.68,84.42,124.46,149.02,200.09
1912,234.98,232.98,249.33,182.06,131.38,85.18,61.56,55.20,85.59,127.49,153.48,195.58
1913,230.27,229.20,232.14,187.37,136.29,81.27,64.45,59.03,84.76,118.91,162.28,194.88
1914,268.07,200.29,209.07,170.45,115.60,87.91,67.49,62.58,70.91,124.96,139.82,200.27
1915,200.79,170.31,210.64,161.32,118.80,81.81,61.42,56.08,68.52,117.51,141.17,218.93
1916,215.95,230.01,253.64,193.33,130.74,83.17,57.05,49.60,64.92,125.77,176.82,230.60
1917,254.95,244.21,241.48,180.06,139.51,84.82,62.60,53.33,71.52,121.29,164.76,214.41
1918,227.35,194.49,232.29,189.22,140.62,78.53,72.10,56.51,75.96,142.20,164.41,208.13
1919,238.92,236.81,222.79,156.12,119.21,87.27,61.90,64.21,80.30,124.32,147.05,186.93
1920,217.65,204.90,252.19,194.96,135.79,86.07,74.07,62.53,89.79,124.10,149.45,207.46
1921,222.50,225.67,228.57,184.72,136.56,91.09,72.30,52.36,80.70,145.69,185.58,205.15
1922,227.65,228.87,235.91,186.42,135.17,87.71,64.62,63.52,73.68,128.31,175.66,197.48
1923,228.24,245.09,228.33,182.19,136.09,87.44,60.25,54.90,87.49,125.88,144.40,172.56
1924,258.59,242.66,288.49,198.09,152.68,96.77,59.94,44.48,69.55,135.93,160.22,246.78
1925,224.86,192.97,225.24,172.66,125.30,79.42,69.54,49.74,86.94,128.26,146.40,210.42
1926,239.62,250.95,268.67,196.64,131.56,74.41,58.89,52.31,70.30,111.79,151.95,206.97
1927,209.74,238.67,227.90,179.73,134.38,88.62,61.11,60.14,77.28,123.73,144.89,197.34
1928,254.36,212.94,240.79,182.60,113.56,72.19,65.60,49.24,83.18,109.10,167.25,210.29
1929,243.27,234.02,251.76,184.84,150.00,84.42,62.26,57.26,77.05,111.14,148.74,236.87
1930,212.63,208.31,239.64,166.16,114.41,82.20,54.22,47.85,71.43,125.76,163.91,210.68
1931,196.34,233.35,261.77,178.00,126.34,73.68,54.98,52.66,77.78,133.94,161.76,170.45
1932,245.30,203.25,213.06,141.16,113.13,79.82,61.07,54.76,77.24,114.79,152.27,176.85
1933,223.37,198.40,237.80,206.76,105.71,76.07,63.54,48.04,76.03,134.14,175.36,213.09
1934,217.69,237.84,229.83,199.47,142.24,84.92,59.08,59.51,79.12,131.44,157.35,227.30
1935,238.82,221.44,256.05,206.21,148.58,85.72,60.73,58.73,74.34,119.04,158.75,196.54
1936,219.44,256.91,200.97,173.37,112.32,71.63,53.32,50.43,72.83,120.48,154.82,187.87
1937,228.83,213.20,232.94,196.75,149.78,83.82,60.74,54.07,74.65,132.09,150.86,209.71
1938,222.15,211.82,226.94,177.74,126.95,80.32,62.38,53.41,68.17,128.69,152.99,211.58
1939,230.61,219.37,231.63,184.72,133.25,77.56,81.25,61.03,84.04,117.11,165.00,189.82
1940,256.65,232.13,248.92,174.40,142.33,86.50,59.47,62.56,85.41,119.02,159.03,197.31
1941,213.41,218.18,256.43,167.11,100.30,78.48,60.92,58.32,82.34,131.51,159.21,193.53
1942,213.08,226.61,219.84,168.94,120.98,82.97,53.49,51.84,93.28,130.63,160.72,209.38
1943,255.60,195.78,250.53,178.72,114.45,79.81,60.25,52.03,70.07,123.85,178.58,219.09
1944,217.43,224.44,220.06,194.21,118.63,79.56,60.52,50.10,80.67,123.12,161.51,237.88
1945,242.22,238.03,255.19,207.21,142.95,81.41,70.70,41.34,75.13,137.52,173.26,217.35
1946,234.25,210.99,222.17,165.80,140.89,76.95,66.56,51.53,71.93,107.71,177.73,179.15
1947,241.90,226.12,277.31,182.09,131.04,83.54,73.87,58.18,81.87,141.23,203.50,223.80
1948,227.61,220.36,268.48,165.82,120.68,79.92,64.97,46.51,80.25,125.13,152.66,260.61
1949,245.60,217.98,214.04,201.70,132.50,90.34,68.56,61.97,73.06,131.02,173.00,186.75
1950,235.93,221.82,270.23,203.11,125.13,78.76,72.64,46.48,60.59,121.90,158.45,217.98
1951,223.16,182.56,253.41,175.25,134.80,82.58,55.64,45.03,67.14,121.09,139.06,193.61
1952,206.19,229.61,252.23,175.21,124.67,76.23,56.87,54.04,77.01,113.18,145.87,228.77
1953,200.93,222.96,235.26,188.71,120.39,71.60,69.87,46.60,96.28,127.03,162.23,232.48
1954,199.42,222.17,248.55,172.92,129.55,91.16,62.54,46.71,70.67,105.96,172.59,195.09
1955,251.05,205.97,245.54,193.13,128.96,79.63,70.39,45.22,66.90,119.24,166.69,216.47
1956,206.41,232.54,237.00,203.25,149.72,96.83,70.35,69.33,70.70,138.92,189.42,221.29
1957,254.73,216.40,250.22,212.92,128.34,81.77,62.29,55.70,86.26,108.07,155.34,186.46
1958,249.39,213.83,231.75,185.27,114.25,66.39,62.05,44.54,71.45,128.23,145.98,215.01
1959,233.46,211.80,248.58,165.40,119.39,98.09,65.70,60.89,66.91,117.76,164.23,171.59
1960,237.97,221.72,279.75,167.72,113.61,82.15,63.93,59.20,64.10,124.49,149.17,214.43
1961,244.44,229.55,214.83,174.68,125.37,84.93,56.14,44.53,65.13,114.47,131.08,202.22
1962,232.68,215.34,225.38,180.66,136.54,80.83,60.27,48.68,78.61,119.17,154.19,226.71
1963,214.28,238.39,213.79,171.57,110.43,69.80,51.65,39.68,60.34,98.66,165.38,213.32
1964,275.94,249.89,223.66,186.37,154.32,84.47,70.25,59.95,77.50,146.49,159.31,208.24
1965,231.48,202.26,266.33,209.43,127.93,84.47,71.56,53.35,76.82,151.49,158.27,185.21
1966,219.01,235.57,215.96,182.20,136.21,85.01,75.93,50.97,81.08,121.34,152.74,209.81
1967,229.24,227.40,243.93,195.21,123.85,81.62,59.27,41.93,65.01,101.10,158.53,200.72
1968,199.41,223.00,242.73,173.11,128.78,76.04,59.31,61.11,79.77,116.57,186.49,206.10
1969,234.48,195.90,225.10,174.48,136.85,81.80,64.04,53.15,68.78,122.94,146.52,199.90
1970,235.08,208.92,234.38,188.00,121.47,90.12,63.53,62.25,84.26,125.93,181.08,155.10
1971,197.49,210.95,239.47,203.66,140.54,110.06,76.43,61.31,73.29,141.95,176.57,169.44
1972,217.31,240.49,214.39,180.12,118.50,85.10,74.44,81.11,86.11,132.17,171.92,230.91
