Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,78.76,53.83,48.57,57.96,76.55,120.63,151.03,169.25,173.56,186.85,191.63,113.37
1902,60.88,32.33,49.98,42.85,153.39,199.28,187.72,150.23,151.41,127.50,259.11,118.57
1903,44.90,46.43,26.08,129.64,53.51,200.58,144.32,246.31,178.18,134.86,127.06,130.43
1904,110.01,50.71,67.77,38.08,76.55,62.77,152.75,141.73,247.75,171.06,85.60,94.20
1905,65.86,38.12,62.94,50.00,52.54,117.89,107.27,139.15,209.05,231.51,210.40,65.15
1906,59.74,39.75,42.09,58.29,68.27,152.97,152.95,168.53,251.95,166.93,188.21,75.70
1907,58.28,38.01,47.53,50.82,77.74,89.17,137.90,129.10,136.86,198.92,133.21,121.48
1908,54.65,18.81,26.56,54.69,35.61,128.65,165.11,112.98,169.54,130.22,94.78,189.16
1909,78.76,53.83,48.57,57.96,76.55,120.63,151.03,169.25,173.56,186.85,191.63,113.37
1910,87.24,75.10,62.00,19.11,176.11,140.10,156.37,178.14,142.69,89.58,111.92,74.90
1911,78.76,53.83,48.57,57.96,76.55,120.63,151.03,169.25,173.56,186.85,191.63,113.37
1912,78.76,53.83,48.57,57.96,76.55,120.63,151.03,169.25,173.56,186.85,191.63,113.37
1913,78.76,53.83,48.57,57.96,76.55,120.63,151.03,169.25,173.56,186.85,191.63,113.37
1914,78.76,53.83,48.57,57.96,76.55,120.63,151.03,169.25,173.56,186.85,191.63,113.37
1915,78.76,53.83,48.57,57.96,76.55,120.63,151.03,169.25,173.56,186.85,191.63,113.37
1916,78.76,53.83,48.57,57.96,76.55,120.63,151.03,169.25,173.56,186.85,191.63,113.37
1917,78.76,53.83,48.57,57.96,76.55,120.63,151.03,169.25,173.56,186.85,191.63,113.37
1918,78.76,53.83,48.57,57.96,76.55,120.63,151.03,169.25,173.56,186.85,191.63,113.37
1919,78.76,53.83,48.57,57.96,76.55,120.63,151.03,169.25,173.56,186.85,191.63,113.37
1920,78.76,53.83,48.57,57.96,76.55,120.63,151.03,169.25,173.56,186.85,191.63,113.37
1921,78.76,53.83,48.57,57.96,76.55,120.63,151.03,169.25,173.56,186.85,191.63,113.37
1922,78.76,53.83,48.57,57.96,76.55,120.63,151.03,169.25,173.56,186.85,191.63,113.37
1923,78.76,53.83,48.57,57.96,76.55,120.63,151.03,169.25,173.56,186.85,191.63,113.37
1924,78.76,53.83,48.57,57.96,76.55,120.63,151.03,169.25,173.56,186.85,191.63,113.37
1925,78.76,53.83,48.57,57.96,76.55,120.63,151.03,169.25,173.56,186.85,191.63,113.37
1926,78.76,53.83,48.57,57.96,76.55,120.63,151.03,169.25,173.56,186.85,191.63,113.37
1927,78.76,53.83,48.57,57.96,76.55,120.63,151.03,169.25,173.56,186.85,191.63,113.37
1928,78.76,53.83,48.57,57.96,76.55,120.63,151.03,169.25,173.56,186.85,191.63,113.37
1929,78.76,53.83,48.57,57.96,76.55,120.63,151.03,169.25,173.56,186.85,191.63,113.37
1930,78.76,53.83,48.57,57.96,76.55,120.63,151.03,169.25,173.56,186.85,191.63,113.37
1931,78.76,53.83,48.57,57.96,76.55,120.63,151.03,169.25,173.56,186.85,191.63,113.37
1932,68.12,37.40,45.37,43.45,82.94,142.39,150.18,123.93,182.09,187.95,327.73,87.44
1933,105.38,38.58,38.20,32.45,98.27,138.23,170.45,165.72,314.82,180.61,222.70,89.23
1934,43.90,24.11,41.39,39.25,75.09,59.68,117.96,147.72,113.31,108.40,156.23,147.97
