Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,335.89,184.48,188.86,216.28,257.33,214.37,215.30,215.53,258.02,287.53,343.47,345.00
1902,346.81,185.51,184.64,236.31,276.44,208.27,212.51,215.01,257.77,293.16,352.81,343.45
1903,316.95,174.23,179.28,204.49,246.96,205.71,227.59,230.40,259.97,294.19,334.62,342.35
1904,347.33,195.67,189.71,222.77,250.69,206.25,209.53,209.08,249.84,300.08,335.72,347.43
1905,318.09,175.08,177.96,205.34,269.06,205.67,219.37,205.80,248.16,286.90,353.28,332.63
1906,319.71,178.98,182.62,208.43,263.05,210.69,212.51,213.19,255.05,282.06,329.21,356.87
1907,333.73,184.48,188.86,208.35,264.19,206.74,210.90,214.72,264.08,286.18,341.52,343.97
1908,255.64,356.58,267.64,167.43,271.90,179.50,160.47,187.95,335.18,281.55,489.08,505.91
1909,491.43,196.88,158.35,140.19,304.12,191.44,197.41,217.53,188.20,290.05,361.79,368.75
1910,501.52,437.28,269.42,265.82,235.80,279.53,122.55,206.79,350.15,298.24,490.04,380.26
1911,343.98,187.24,183.92,231.84,197.24,146.19,212.12,206.68,243.92,248.31,251.13,253.19
1912,157.30,66.08,204.60,109.63,300.66,204.68,214.34,190.34,318.04,288.10,181.48,216.47
1913,330.14,138.14,172.94,313.71,304.25,229.84,229.35,218.63,229.74,256.69,317.37,348.39
1914,224.19,100.22,172.34,127.05,220.51,234.13,168.49,188.30,201.28,190.84,276.98,242.07
1915,269.99,83.07,171.38,217.60,230.45,208.97,213.35,181.74,302.26,338.73,438.10,303.71
1916,218.06,196.73,357.53,202.16,311.80,190.62,365.10,267.48,218.78,306.32,322.76,411.23
1917,341.50,392.78,342.74,149.72,248.73,224.73,122.29,448.48,361.37,248.56,301.34,327.41
1918,714.76,359.81,131.93,254.73,224.14,301.96,114.89,200.16,200.51,237.16,365.84,298.04
1919,176.12,70.76,144.92,100.94,283.86,211.78,264.40,47.84,163.93,414.31,407.84,646.49
1920,458.34,116.65,132.01,297.54,151.60,217.40,104.56,193.56,331.75,270.53,366.28,339.54
1921,234.62,339.44,428.89,187.72,303.19,221.28,237.79,128.19,339.25,211.53,340.49,237.47
1922,325.88,187.06,155.30,278.95,317.11,142.23,196.91,306.03,188.37,394.28,294.46,275.98
1923,340.06,259.23,152.13,229.06,246.11,208.91,207.59,156.32,225.21,269.57,399.89,385.40
1924,281.12,185.64,241.47,264.25,361.00,234.59,197.17,256.22,356.98,246.52,364.17,515.91
1925,488.05,506.28,233.03,240.88,225.46,238.43,141.48,145.77,308.19,435.00,365.43,414.01
1926,356.16,56.58,80.48,222.26,350.85,157.68,231.81,127.36,340.47,440.42,319.52,402.98
1927,373.03,176.89,289.00,317.88,385.67,321.54,196.23,177.86,364.58,290.84,352.99,410.35
1928,440.60,281.93,246.70,329.64,241.26,161.74,217.72,243.33,262.27,400.74,422.82,265.10
1929,185.45,242.80,232.82,338.68,400.87,257.24,168.19,164.55,387.87,257.99,499.09,169.21
1930,250.62,45.76,136.72,254.16,249.83,341.53,127.07,180.50,187.94,370.56,444.03,329.77
1931,225.42,81.53,186.73,214.77,290.39,301.46,292.47,111.98,371.17,336.91,397.62,286.70
1932,340.56,169.50,301.68,313.57,341.79,259.41,361.21,219.76,342.60,384.17,580.01,581.19
1933,280.97,147.78,246.93,273.23,326.63,288.99,210.15,192.88,429.89,459.41,546.64,509.01
1934,660.54,396.66,419.51,203.72,172.76,315.01,237.19,245.67,228.37,369.23,379.61,472.82
1935,164.16,200.78,312.95,278.62,296.61,252.86,187.83,262.50,294.10,426.07,443.07,331.94
1936,415.16,148.39,253.14,307.43,433.88,153.81,241.43,169.26,274.10,391.30,300.94,386.83
1937,534.67,175.85,257.00,403.42,333.44,295.25,233.73,144.06,277.32,412.54,385.38,393.77
1938,259.28,70.25,486.63,372.83,353.42,186.00,253.52,303.62,283.36,272.90,431.11,403.28
1939,396.74,201.47,147.54,315.25,288.97,228.28,149.64,236.43,285.27,315.33,428.21,649.17
1940,263.67,365.23,137.97,173.52,366.00,212.69,127.71,224.61,233.59,180.59,296.59,220.52
1941,76.02,84.79,280.40,271.00,258.43,202.51,195.67,91.95,325.61,258.92,294.69,310.38
1942,353.81,55.95,198.52,337.76,150.37,526.29,176.96,216.57,159.58,247.59,438.56,335.41
1943,272.13,329.92,464.07,217.47,53.70,62.56,79.13,328.72,128.87,399.20,226.01,430.49
1944,389.39,190.16,188.51,218.87,410.35,251.77,119.88,131.87,236.82,264.66,274.64,237.32
1945,433.33,509.82,221.06,123.76,107.77,184.02,152.51,375.29,306.72,589.28,363.95,381.43
1946,347.49,262.13,115.83,134.96,192.87,188.73,66.87,128.72,211.43,341.54,289.58,394.27
1947,79.68,185.35,284.27,333.35,222.69,319.66,193.36,360.72,334.94,326.58,271.26,349.05
1948,204.82,305.99,181.86,157.54,223.92,97.22,269.57,222.42,250.81,308.73,448.18,231.95
1949,247.13,187.32,160.36,334.23,312.40,337.88,279.94,273.77,370.34,416.27,321.76,277.32
1950,205.23,285.89,198.10,352.46,279.62,145.61,141.00,259.41,276.85,262.97,311.88,202.46
1951,257.87,354.05,162.02,278.75,253.41,231.65,247.96,141.63,312.46,253.60,247.61,314.22
1952,119.59,173.77,291.13,223.64,287.58,195.24,186.92,207.22,396.57,348.88,385.03,557.18
1953,343.33,189.60,150.18,231.18,320.49,209.15,320.01,114.84,304.93,273.28,366.53,227.64
1954,227.94,183.97,309.07,385.29,189.84,338.65,248.83,297.70,332.28,437.01,302.53,330.30
1955,304.92,248.17,149.50,263.25,213.79,274.75,207.74,326.89,415.46,323.18,418.07,369.98
1956,427.63,279.59,275.00,187.22,244.64,286.14,236.05,165.98,325.74,336.28,454.39,406.22
1957,394.96,173.87,180.78,154.37,300.33,310.53,306.54,147.78,283.90,242.48,199.65,262.17
1958,244.11,68.87,161.34,64.98,261.89,273.86,56.26,404.82,202.66,410.25,455.55,223.07
1959,73.28,88.01,281.03,173.24,395.99,342.37,171.59,188.12,373.88,334.95,422.86,330.32
1960,257.22,321.07,128.28,219.22,247.66,225.77,284.96,97.28,352.89,195.59,412.70,350.87
1961,163.79,256.17,178.01,246.16,144.46,248.98,187.66,157.80,211.94,238.12,187.15,403.39
1962,507.28,122.57,342.90,214.48,249.59,286.61,103.12,359.86,247.66,232.06,379.35,412.43
1963,809.41,235.90,212.22,64.77,303.83,150.51,179.78,196.46,153.29,234.46,304.41,284.61
1964,190.63,81.20,97.12,277.72,263.70,197.30,393.17,166.90,224.94,213.73,389.44,311.88
1965,620.13,262.11,391.92,283.01,331.81,104.54,105.67,200.73,210.31,344.94,269.96,316.21
1966,201.72,107.36,348.03,307.15,159.02,264.56,243.11,362.66,238.55,362.96,274.31,420.37
1967,433.87,233.18,299.88,183.36,275.19,297.59,184.36,145.34,200.76,206.39,323.32,311.76
1968,251.32,92.61,141.75,183.45,299.83,270.27,263.35,183.73,212.97,358.97,184.64,345.29
1969,118.23,83.91,115.32,168.42,317.89,175.14,222.33,263.99,157.14,372.62,497.40,387.61
1970,339.24,52.04,158.85,180.20,313.99,172.75,222.40,231.34,294.28,372.43,298.40,359.64
1971,281.74,319.87,162.46,121.61,209.31,104.25,138.31,347.17,241.56,344.14,326.03,458.00
1972,511.20,200.79,174.36,215.88,134.28,226.98,74.90,120.51,267.00,200.85,326.36,158.86
1973,21.77,31.36,136.84,381.51,320.87,269.48,261.35,294.92,351.24,285.78,475.16,429.98
1974,413.70,395.95,182.87,192.15,223.04,219.22,182.50,219.51,443.37,215.15,294.24,306.61
