Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,16.13,2.79,58.39,61.66,173.88,366.96,445.72,419.09,205.33,113.79,47.51,3.66
1902,3.60,2.12,65.11,123.22,211.82,464.63,329.64,394.77,213.19,45.53,2.68,1.20
1903,4.50,13.48,42.17,46.80,188.49,597.76,402.71,410.89,216.50,79.56,24.17,0.96
1904,2.34,24.59,16.65,119.77,201.39,443.23,515.78,357.22,155.49,61.09,15.28,1.96
1905,6.11,10.22,42.12,105.82,201.77,290.58,367.83,621.30,437.56,67.61,5.47,5.85
1906,7.39,28.59,40.42,48.90,202.63,311.28,461.71,372.25,225.57,94.84,24.00,0.93
1907,19.91,18.72,73.38,103.29,175.58,428.19,382.92,200.47,227.51,28.15,7.38,6.32
1908,7.30,8.35,15.98,61.27,275.28,449.00,310.03,531.70,217.92,38.35,4.32,0.97
1909,4.34,4.44,6.35,144.75,195.60,558.23,338.54,306.74,146.19,95.18,7.09,2.99
1910,5.79,13.49,43.77,86.03,204.07,551.37,686.85,247.83,153.04,83.35,12.86,1.53
1911,28.58,4.85,29.11,85.21,283.63,483.16,500.86,626.28,325.13,85.61,9.00,1.03
1912,3.06,21.74,47.00,120.91,181.32,406.20,462.36,341.13,180.30,101.60,34.41,4.09
1913,3.08,30.98,46.85,87.11,228.62,475.25,519.00,461.97,163.08,138.26,4.22,19.53
1914,2.01,20.28,15.14,156.54,185.09,444.56,497.37,349.21,185.22,28.09,7.95,3.15
1915,6.50,25.28,51.71,100.74,348.58,575.33,571.07,368.70,175.81,63.15,6.10,1.11
1916,2.93,6.90,21.14,191.58,169.86,426.30,279.34,370.38,196.88,138.29,32.80,1.27
1917,1.92,22.53,20.21,94.75,147.87,487.67,512.33,301.29,262.05,119.63,32.83,0.93
1918,2.44,6.90,20.88,84.40,177.07,456.04,593.69,435.70,205.72,51.35,2.58,1.00
1919,11.67,4.56,10.20,78.41,224.13,324.19,288.14,530.60,459.64,46.84,14.96,1.29
1920,6.54,12.95,41.14,86.10,215.51,471.09,336.30,384.54,217.20,53.34,3.73,1.82
1921,24.82,6.82,45.31,195.70,160.54,493.62,595.81,378.56,170.97,57.74,8.35,3.14
1922,9.42,3.66,31.00,32.98,202.15,399.72,545.82,364.16,426.86,50.59,3.54,2.91
1923,1.55,24.94,30.31,147.38,181.50,450.01,221.00,550.45,159.04,35.54,4.90,3.67
1924,5.16,7.80,7.18,84.89,218.41,523.10,538.31,525.05,276.23,45.42,46.59,1.30
1925,6.38,6.32,16.50,163.27,220.59,332.53,527.24,392.08,185.24,54.08,3.91,0.93
1926,15.40,5.16,59.46,62.53,187.29,296.81,592.83,223.21,181.74,98.31,3.63,11.94
1927,25.93,22.26,32.48,59.67,205.93,512.54,600.02,466.56,287.36,78.30,13.42,0.93
1928,9.30,9.99,11.18,84.79,255.79,298.82,379.91,423.86,179.46,142.62,9.43,1.15
1929,8.34,2.11,43.14,114.21,239.67,537.43,469.39,355.47,192.28,85.35,6.19,3.10
1930,9.30,16.94,46.33,79.94,167.67,388.00,508.24,372.95,210.27,74.55,49.48,1.61
1931,2.19,8.73,42.17,139.09,224.45,305.43,477.06,317.43,230.30,66.80,6.31,6.37
1932,4.13,12.40,24.20,142.39,286.78,480.95,473.83,231.67,208.99,51.05,35.23,8.69
1933,7.74,8.09,8.18,87.11,232.35,309.69,520.54,330.46,145.98,95.85,3.55,3.30
1934,11.63,32.56,21.53,85.73,357.23,438.01,550.78,271.85,508.92,128.76,13.84,2.25
