Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,35.33,28.57,33.45,30.85,38.86,58.75,64.68,54.84,56.97,45.68,46.72,40.15
1902,32.46,32.79,35.37,28.71,45.61,60.28,64.44,64.17,53.29,43.85,44.22,40.39
1903,35.28,27.28,34.06,30.14,39.39,51.78,68.07,66.73,58.05,46.18,43.25,36.22
1904,35.76,32.80,36.37,27.37,37.02,55.42,63.68,57.89,57.89,46.06,40.56,37.42
1905,33.60,26.64,29.38,26.32,42.85,57.74,61.87,62.90,58.14,47.45,43.97,37.10
1906,35.17,26.16,28.71,27.14,40.80,62.10,56.82,56.75,55.31,52.99,48.95,42.85
1907,34.92,28.23,32.80,29.61,34.09,53.62,63.05,68.39,57.80,42.28,40.79,36.52
1908,32.09,35.79,35.47,29.45,41.89,57.83,59.92,60.33,48.54,46.28,41.03,35.31
1909,36.33,32.75,33.03,29.15,39.97,49.88,69.82,59.86,54.06,46.86,47.18,38.57
1910,33.31,32.31,29.97,28.35,39.08,53.03,61.98,61.72,51.78,50.54,45.73,37.78
1911,36.48,27.22,28.98,27.91,39.95,59.22,62.81,64.44,53.96,42.43,48.39,36.36
1912,30.53,25.36,25.33,29.37,40.61,49.26,67.43,67.86,53.88,46.49,42.79,38.36
1913,39.44,25.63,35.32,28.26,36.31,51.37,65.53,64.02,54.17,52.43,41.63,31.83
1914,37.82,27.33,29.67,29.71,35.60,53.60,58.54,54.62,54.03,47.08,47.15,29.08
1915,29.60,27.36,23.03,27.25,40.72,55.90,61.82,52.94,56.16,48.37,42.02,39.00
1916,34.38,29.00,33.82,26.69,40.85,53.48,66.80,56.04,54.49,48.08,37.14,37.13
1917,35.49,27.21,30.62,29.87,32.56,54.56,60.66,59.28,44.49,55.36,37.21,42.05
1918,39.51,31.11,28.67,24.29,37.40,52.22,61.99,64.25,49.78,52.27,40.74,37.82
1919,34.11,26.46,32.22,30.72,37.11,50.22,60.79,59.77,52.28,49.14,47.27,33.56
1920,37.41,24.86,32.55,31.99,31.30,50.40,59.68,59.29,56.67,48.76,37.24,39.71
1921,32.89,29.34,32.36,30.84,34.50,49.76,61.39,61.50,61.62,46.05,42.37,33.62
1922,29.60,27.43,28.14,30.28,38.24,49.65,58.01,58.10,50.46,45.10,39.19,36.20
1923,34.71,26.29,32.74,28.09,35.95,55.40,65.33,59.88,47.06,41.13,38.55,39.68
1924,37.10,29.34,24.42,31.77,32.61,46.47,59.44,66.29,54.74,44.23,40.45,36.87
1925,33.59,31.09,34.06,27.64,30.66,55.75,60.51,58.22,54.94,46.62,39.68,38.35
1926,30.63,29.18,26.61,26.62,35.13,53.04,57.31,59.34,53.97,53.15,46.29,38.24
1927,29.68,26.06,27.58,28.10,43.93,51.07,65.38,58.37,57.36,50.96,49.27,39.41
1928,35.57,22.03,31.96,30.11,34.22,56.40,60.71,57.86,46.38,46.60,33.98,32.14
1929,35.06,21.71,33.33,31.04,35.98,49.76,57.29,53.11,48.54,46.28,42.07,39.72
1930,27.92,33.00,30.87,28.61,37.69,59.19,63.30,52.24,57.04,44.93,39.51,33.23
