Variable:,pr
Country:,Switzerland
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,48.63,38.72,112.04,179.42,48.68,167.44,150.38,146.01,166.56,105.64,40.70,101.65
1902,62.39,85.16,119.09,70.25,134.29,92.00,120.23,170.63,104.14,107.93,42.67,97.29
1903,55.85,41.00,57.96,93.71,94.28,122.51,163.12,153.17,59.80,153.96,102.48,68.24
1904,38.48,143.68,70.79,100.07,143.57,126.97,52.10,110.65,127.58,57.84,52.12,61.61
1905,57.56,35.96,100.77,120.54,128.08,105.95,109.03,258.08,160.42,100.14,128.99,38.76
1906,62.60,78.01,79.89,67.76,120.94,95.35,143.70,67.99,51.80,53.03,120.94,84.77
1907,79.44,47.12,81.11,99.88,79.98,128.71,117.93,100.62,84.76,124.89,36.75,123.72
1908,34.15,96.20,55.06,85.39,138.69,105.01,181.38,128.84,147.11,21.97,65.34,45.64
1909,36.15,42.34,76.09,64.11,57.85,198.70,145.80,136.95,102.21,122.32,59.84,135.68
1910,163.67,87.42,40.97,106.25,108.52,220.46,169.58,165.60,113.50,64.67,184.33,98.99
1911,23.29,56.57,71.31,57.09,81.98,166.11,32.35,108.53,114.17,108.69,96.28,108.92
1912,88.62,62.78,109.83,53.95,124.91,147.17,134.27,226.09,70.73,153.28,68.16,50.06
1913,76.06,26.07,93.11,91.46,93.56,115.78,148.62,133.91,122.95,65.01,145.45,65.12
1914,85.64,58.35,159.81,71.67,170.23,115.64,196.67,180.69,103.51,84.89,68.12,86.91
1915,106.22,85.75,87.40,97.72,101.48,118.32,175.57,125.82,126.53,29.98,85.97,116.56
1916,61.61,125.45,110.76,103.72,92.78,185.49,148.48,139.41,125.45,127.84,123.17,154.18
1917,58.73,16.52,87.05,94.20,105.14,110.93,153.81,199.02,64.13,197.68,80.40,36.49
1918,59.86,25.91,65.55,107.62,58.44,176.58,84.57,107.61,205.66,79.50,59.95,165.19
1919,75.07,84.96,117.86,129.55,48.01,102.50,149.56,57.09,74.43,73.77,153.82,152.82
1920,122.31,20.73,79.90,114.58,108.29,108.89,148.36,102.95,176.22,25.70,21.53,50.21
1921,67.45,13.86,27.44,72.07,102.78,102.74,55.00,159.09,81.11,35.26,73.09,38.22
1922,136.20,77.78,97.62,178.78,63.82,148.48,164.44,152.65,153.36,115.47,101.72,133.18
1923,58.39,88.31,42.54,89.80,133.57,101.29,72.30,93.36,101.57,158.77,143.55,143.31
1924,45.10,33.44,49.50,119.43,149.78,155.22,152.15,174.08,122.65,95.07,23.33,43.77
1925,33.26,83.78,54.02,106.70,95.49,63.54,141.36,162.39,141.85,52.66,75.70,117.04
1926,79.71,71.11,79.53,76.41,186.70,188.20,138.51,72.47,64.83,151.41,108.24,50.07
1927,88.03,57.74,115.85,118.22,77.45,149.10,150.07,225.49,186.02,27.40,94.75,53.74
1928,62.32,78.59,69.49,107.07,134.42,108.10,54.31,170.97,103.73,164.09,152.48,67.58
1929,33.47,16.78,13.69,109.99,89.38,135.21,112.81,135.41,43.53,119.14,62.40,120.19
1930,56.95,29.06,72.48,138.85,166.15,92.57,204.10,141.84,138.97,166.95,129.07,54.61
1931,97.47,95.38,100.08,70.36,109.88,112.18,180.14,213.37,106.84,76.15,58.31,44.67
1932,68.37,7.66,82.63,88.70,191.31,120.16,195.69,96.86,88.86,133.10,46.77,37.78
1933,43.28,58.33,62.92,63.27,150.68,188.11,114.42,72.80,120.95,122.76,88.71,26.45
1934,71.54,15.81,87.49,62.28,49.04,166.88,120.03,198.24,84.24,89.98,84.99,82.58
1935,59.32,142.97,56.66,132.85,110.77,96.60,86.15,159.14,103.14,193.36,97.85,151.14
1936,119.61,88.49,51.46,123.77,90.44,137.80,210.33,89.08,188.06,64.91,64.52,74.54
1937,74.57,136.82,136.10,103.02,98.65,142.16,103.74,130.21,163.42,71.50,66.21,65.97
1938,98.67,41.43,27.99,29.55,102.68,154.06,183.57,188.32,103.74,67.59,56.12,73.07
1939,91.56,30.74,104.04,93.07,186.24,137.33,154.60,135.98,119.76,197.49,150.57,71.75
1940,55.55,70.34,87.99,94.99,130.01,140.17,189.05,102.95,216.17,83.67,145.87,77.40
1941,79.27,69.25,74.12,92.49,140.46,128.94,102.73,183.72,52.67,109.15,69.97,38.23
1942,81.81,32.84,60.19,69.07,106.77,120.98,128.60,121.25,144.12,98.94,55.23,48.03
1943,83.74,46.89,47.60,75.23,97.27,131.33,119.44,62.68,154.69,13.99,86.58,44.27
1944,57.39,90.67,60.86,52.18,55.58,126.20,149.78,102.23,147.49,129.45,201.25,89.02
1945,70.34,72.74,89.12,69.55,110.61,76.18,71.47,186.37,130.83,71.19,46.73,113.15
1946,62.50,106.41,50.51,32.68,130.31,221.05,128.75,175.30,107.23,53.55,54.60,47.35
1947,62.57,60.66,145.83,36.72,73.75,102.20,114.31,70.90,73.27,46.40,148.42,110.02
1948,149.78,65.70,27.04,82.77,91.29,180.68,179.73,168.98,104.61,54.46,45.90,32.26
1949,78.76,16.53,59.13,102.34,111.79,59.23,62.93,98.41,84.84,48.61,98.31,80.14
1950,65.67,99.08,19.04,127.40,95.94,94.29,104.97,168.30,140.22,32.79,231.24,69.79
1951,118.38,115.09,106.10,77.12,98.54,150.63,134.42,166.04,85.49,56.98,171.80,50.56
