Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,55.77,54.93,54.77,63.97,118.28,184.49,121.29,125.96,71.81,45.11,71.21,49.98
1902,55.62,56.87,91.03,75.03,164.69,143.15,125.10,76.13,59.88,45.12,63.24,35.83
1903,46.08,48.93,65.47,66.96,76.88,126.82,75.06,68.90,62.59,50.52,55.51,54.84
1904,58.56,41.51,73.90,78.62,116.25,151.55,203.26,96.29,101.17,54.71,52.38,59.60
1905,38.70,40.49,66.16,66.50,97.26,180.86,122.80,118.18,80.32,70.58,40.28,42.95
1906,52.54,58.18,84.05,81.95,117.21,113.07,109.89,97.85,60.97,47.09,41.13,36.96
1907,46.75,49.87,53.64,63.79,103.02,151.38,85.62,76.84,91.84,47.70,38.68,69.96
1908,37.45,45.23,68.12,87.51,90.90,110.82,55.80,76.46,60.75,48.87,48.69,47.56
1909,32.27,47.37,52.66,72.84,71.67,114.72,67.23,100.25,56.95,49.47,47.39,43.15
1910,52.34,42.92,54.19,65.11,72.22,165.61,101.57,120.19,49.11,37.72,44.05,34.51
1911,56.70,43.57,57.68,103.57,130.40,81.78,87.33,89.17,62.79,32.20,59.89,60.92
1912,51.17,66.52,59.88,98.64,118.36,110.55,88.35,84.90,48.14,53.04,66.65,50.08
1913,34.76,65.12,67.13,113.81,135.85,88.16,162.76,90.74,79.14,50.02,39.09,47.71
1914,71.51,53.36,69.68,59.90,124.51,202.11,162.65,96.25,106.62,57.59,74.30,56.57
1915,37.63,60.14,62.23,100.37,186.20,112.91,136.45,91.66,62.90,51.71,56.92,48.11
1916,57.34,40.86,104.91,75.61,107.80,56.20,80.19,86.97,84.27,34.61,79.14,59.46
1917,53.34,58.74,57.43,49.86,67.15,141.01,65.93,74.02,105.13,46.50,44.83,56.28
1918,47.92,44.49,95.78,112.44,121.53,119.53,102.95,94.56,78.12,50.47,104.55,49.46
1919,42.24,56.88,67.70,102.08,179.66,110.85,145.34,72.91,75.96,32.37,73.59,43.87
1920,48.02,40.48,98.34,63.04,172.99,116.94,70.08,100.15,88.82,48.40,67.34,58.02
1921,61.56,69.35,52.89,94.50,146.41,117.48,60.76,117.75,43.31,37.95,33.26,95.29
1922,55.65,33.54,67.74,44.91,76.67,171.74,180.98,128.95,65.20,49.70,41.16,27.99
1923,48.49,59.71,104.00,47.74,53.54,111.16,81.73,106.93,60.49,47.92,66.67,47.52
1924,36.86,72.20,96.72,77.11,67.02,136.27,94.46,64.89,40.86,40.15,41.84,58.18
1925,50.37,65.45,63.61,101.20,81.13,114.26,84.55,86.03,103.34,47.64,49.13,53.12
1926,61.38,50.85,106.67,62.20,80.28,172.09,112.75,84.24,54.09,59.08,86.81,66.22
1927,54.75,64.55,70.65,69.56,131.12,123.01,102.79,96.88,124.28,33.97,45.91,41.81
1928,47.74,48.08,73.64,93.98,92.83,124.55,112.06,64.55,39.32,37.40,69.65,74.44
1929,70.25,57.09,61.08,63.47,72.52,129.64,87.18,127.46,78.31,49.39,42.76,88.47
1930,50.37,38.77,65.60,91.77,74.77,170.37,144.00,107.90,56.65,57.63,70.01,70.62
1931,56.86,54.44,51.36,70.05,64.32,133.30,104.87,97.17,49.63,66.43,49.02,38.52
1932,47.47,44.95,85.73,126.86,66.46,180.61,146.60,105.27,68.75,67.51,48.57,61.71
1933,70.95,69.45,76.32,77.69,94.49,139.48,102.01,112.95,51.01,58.61,46.77,47.88
1934,57.51,53.67,73.08,48.67,138.65,176.44,119.07,79.88,48.54,49.62,38.13,34.07
1935,61.41,73.48,83.54,53.97,124.83,150.90,89.94,90.03,60.04,67.85,87.36,78.93
1936,56.81,37.23,72.51,79.03,123.61,104.01,111.12,82.63,58.69,36.48,28.42,78.62
1937,32.66,81.41,81.04,69.63,91.18,163.39,118.83,139.80,54.84,42.73,54.65,39.72
1938,46.55,56.99,95.79,54.29,108.96,139.16,132.74,77.85,67.50,74.52,82.26,48.32
1939,68.71,94.76,69.52,43.98,123.10,150.65,85.56,123.62,58.74,100.59,28.72,46.04
1940,53.25,91.20,57.51,116.44,132.27,159.80,159.78,58.69,72.96,41.53,61.97,83.88
1941,31.63,49.85,78.75,90.36,98.90,122.85,145.78,151.11,50.88,46.57,95.58,89.28
1942,52.16,80.96,72.25,82.38,81.85,88.73,86.82,120.98,74.55,57.81,64.19,35.41
1943,35.43,48.78,104.58,40.49,121.71,73.59,93.91,63.14,92.78,54.80,33.52,37.47
1944,31.24,58.70,43.54,70.41,102.19,163.09,81.08,153.50,69.92,110.04,53.43,38.95
1945,42.52,85.34,123.64,92.08,154.56,82.37,123.04,126.93,66.08,60.57,81.81,45.12
1946,50.20,99.10,43.01,55.99,109.26,77.27,107.60,63.38,88.86,82.13,103.37,57.08
1947,65.69,63.16,65.31,54.93,113.01,165.27,88.07,84.48,80.74,57.78,34.14,44.90
1948,68.10,45.09,58.72,95.17,103.91,123.95,124.50,54.84,99.88,39.26,31.90,77.43
1949,66.87,73.01,132.19,78.30,201.93,170.48,60.84,61.41,37.33,19.64,47.07,64.32
1950,48.51,45.40,66.14,102.88,154.49,147.21,92.19,126.51,67.17,55.00,82.37,57.92
1951,67.75,37.99,62.71,32.61,161.39,145.46,111.68,85.40,65.80,51.19,71.72,41.40
1952,41.29,43.07,90.52,38.52,116.72,90.51,90.89,58.35,52.36,43.13,46.44,16.70
1953,87.84,55.78,88.39,63.20,153.69,100.94,122.83,157.88,118.61,48.60,36.97,43.36
1954,33.76,40.46,54.18,64.79,94.50,98.09,138.18,104.21,62.09,42.81,38.70,61.47
1955,70.45,68.43,55.47,105.23,68.37,116.67,80.73,88.90,43.10,34.77,66.18,111.30
1956,95.33,55.14,93.13,71.58,70.50,66.21,116.80,86.43,53.81,32.90,23.80,22.07
1957,65.24,28.78,51.74,27.98,129.56,75.84,119.32,121.71,48.67,38.36,64.50,61.76
1958,53.62,49.00,31.97,67.35,132.20,100.84,132.89,107.65,54.90,28.48,79.83,40.56
1959,55.63,57.72,98.30,103.79,88.95,97.25,102.28,99.97,77.64,71.91,24.28,25.15
1960,43.24,45.38,54.29,57.79,74.03,132.21,105.28,59.99,48.96,55.88,40.37,46.90
1961,86.73,72.65,67.91,44.20,87.13,118.28,108.69,115.13,88.52,36.45,38.51,35.12
1962,27.25,26.10,51.77,57.21,63.35,142.15,45.99,109.19,46.73,47.85,52.49,51.75
1963,40.87,31.22,78.11,122.34,76.23,131.55,122.27,132.68,103.80,58.99,60.73,62.52
1964,45.14,56.00,69.45,43.97,89.71,71.08,71.49,108.20,60.20,34.77,36.45,76.18
1965,60.27,82.82,40.63,119.67,92.75,139.79,132.18,167.81,50.50,61.47,101.67,42.62
1966,38.31,36.01,70.36,89.26,129.72,170.20,128.53,72.45,47.23,45.90,38.16,84.57
1967,67.09,43.17,59.14,48.86,136.86,76.54,108.87,101.30,64.33,71.71,57.13,42.04
1968,37.19,73.09,55.59,43.95,56.38,60.75,79.56,79.53,101.29,39.76,52.83,85.11
1969,39.22,42.58,30.32,122.40,93.21,125.68,130.79,116.84,86.08,50.34,39.90,36.51
1970,70.72,51.52,55.13,69.01,104.41,110.00,137.20,70.48,65.56,39.19,27.25,69.27
1971,63.83,55.58,62.19,46.50,88.31,98.12,133.71,115.52,77.32,56.70,64.39,69.26
1972,91.05,77.22,53.98,68.67,166.84,125.42,110.49,128.94,86.73,78.42,47.12,61.68
1973,60.71,54.48,61.07,63.86,101.36,158.26,99.27,81.45,51.70,72.50,26.17,34.25
1974,69.16,52.03,52.23,46.20,115.84,151.96,72.87,70.50,51.97,40.72,55.58,41.27
1975,27.78,79.33,60.96,88.59,91.71,125.86,121.15,82.50,55.54,43.87,80.25,63.38
1976,75.15,59.33,70.25,45.99,86.43,117.63,84.10,61.78,79.18,72.57,76.03,114.50
1977,97.52,48.71,66.41,102.42,104.68,169.42,152.28,77.21,79.97,85.40,82.98,35.33
1978,48.77,35.00,32.68,44.60,107.72,98.16,203.60,60.26,94.38,72.56,85.38,33.64
1979,36.20,27.48,54.49,50.60,118.34,82.65,143.53,139.39,88.95,58.76,81.79,63.28
1980,39.25,92.49,102.27,119.62,163.57,122.68,116.17,111.60,59.62,26.97,61.12,78.46
1981,55.39,55.71,81.88,60.73,199.23,108.46,94.66,78.99,67.73,35.78,38.99,37.47
1982,55.21,41.04,69.02,35.87,132.69,154.40,125.40,125.18,108.84,96.06,53.21,37.37
1983,54.10,44.65,58.82,77.25,81.23,110.77,109.51,79.91,61.05,45.00,32.17,42.58
1984,60.69,70.03,46.20,64.85,138.93,95.58,138.63,52.77,70.45,99.45,45.60,42.08
1985,47.51,54.75,77.28,89.17,143.77,95.25,73.00,58.38,78.47,59.41,55.12,36.90
1986,47.97,55.67,87.86,96.05,149.37,137.01,69.31,84.66,45.93,45.59,89.14,37.23
1987,56.85,54.25,65.75,66.03,66.61,95.77,208.94,112.95,56.70,55.25,43.80,36.72
1988,35.41,36.17,64.96,51.29,40.15,125.35,60.29,101.07,34.93,66.41,37.96,62.79
1989,39.59,47.95,47.72,61.58,51.50,115.17,92.96,111.51,36.09,30.85,28.10,96.96
1990,34.46,40.02,95.70,65.79,105.31,96.36,81.34,92.03,97.02,57.47,53.03,46.14
1991,40.50,51.44,66.96,77.45,117.12,107.88,107.39,55.78,87.06,45.23,55.79,102.32
