Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,11.53,8.88,21.59,47.87,60.21,87.51,123.26,90.93,52.13,33.41,13.57,7.57
1902,8.69,9.63,22.46,37.63,75.50,80.94,102.72,86.20,52.30,32.29,16.90,18.18
1903,10.81,16.26,33.23,41.06,71.69,95.44,109.03,115.74,70.03,33.05,14.21,5.61
1904,7.18,11.30,31.25,54.72,62.60,83.20,105.47,102.36,66.42,39.25,13.78,9.84
1905,12.93,14.82,39.61,43.47,63.32,89.98,103.55,99.53,71.42,35.46,14.92,18.02
1906,13.54,23.28,27.93,45.00,69.61,87.41,109.55,99.79,64.83,30.59,13.34,7.94
1907,15.75,13.52,23.27,42.84,69.01,83.99,105.58,99.50,70.19,56.20,22.20,9.96
1908,16.78,16.88,19.75,47.36,54.81,97.29,114.49,90.92,74.27,38.02,23.11,11.64
1909,13.45,13.89,26.71,37.48,61.59,112.20,108.56,94.44,65.77,48.89,17.66,6.97
1910,14.78,13.58,23.71,41.62,54.46,99.07,111.68,105.15,60.31,34.73,21.37,8.53
1911,11.13,13.30,35.38,40.87,78.16,102.35,115.99,118.46,66.62,39.95,25.96,12.20
1912,13.79,19.35,33.60,38.37,64.57,101.53,102.70,95.49,57.55,28.99,19.34,14.59
1913,9.41,15.47,30.07,48.37,61.11,95.81,99.57,89.42,61.22,28.21,21.80,14.29
1914,7.38,20.86,26.29,39.91,65.59,95.33,112.02,94.15,63.28,39.76,29.24,13.13
1915,8.08,14.23,24.47,46.04,69.48,99.70,122.63,101.12,72.54,48.30,25.92,7.24
1916,11.53,18.29,20.47,46.82,63.44,102.97,99.77,88.26,71.36,33.92,15.37,7.82
1917,7.52,13.95,23.94,39.02,49.22,98.49,139.90,100.59,62.37,32.22,11.28,8.37
1918,3.44,10.26,29.67,40.83,89.90,93.79,104.46,127.89,68.42,22.00,29.05,15.60
1919,10.28,15.61,28.63,41.10,64.23,101.10,104.75,93.75,60.17,28.93,19.28,7.28
1920,8.18,24.49,31.26,40.32,60.27,97.23,103.68,92.45,78.06,31.96,23.44,16.75
1921,8.32,11.77,25.63,39.72,83.54,91.27,105.74,105.20,72.31,32.29,11.04,6.57
1922,13.15,18.77,26.63,33.06,64.20,89.26,113.26,109.83,65.10,29.38,11.00,8.82
1923,5.41,16.03,24.14,47.66,60.05,93.36,113.51,108.59,59.30,32.25,15.03,9.74
1924,10.33,20.00,19.92,38.38,65.30,104.33,132.47,93.34,53.55,34.69,9.54,5.72
1925,14.48,13.06,31.80,39.17,69.52,83.55,97.85,105.52,55.38,28.32,19.34,7.83
1926,9.62,19.92,27.97,35.58,67.80,88.08,115.32,102.85,64.42,38.96,19.48,13.65
1927,8.89,19.65,32.98,44.31,69.59,83.61,111.41,86.92,64.69,36.43,16.06,8.79
1928,15.37,13.87,23.86,37.20,66.38,85.93,100.96,113.23,61.59,26.77,19.18,8.00
1929,11.74,14.06,14.42,31.24,70.38,89.68,122.38,101.50,60.29,23.85,12.50,15.00
1930,12.09,15.42,35.48,46.39,62.65,88.34,91.61,109.41,63.00,34.46,16.48,9.85
1931,9.24,15.69,25.57,50.77,69.68,97.53,118.80,110.67,71.49,20.17,16.22,14.60
1932,6.47,19.64,22.23,35.76,71.19,100.63,112.99,105.30,67.33,28.66,12.42,13.27
1933,9.76,14.01,20.56,37.59,70.30,104.15,103.91,90.13,58.32,38.30,17.31,11.72
1934,8.34,14.78,23.70,40.73,69.50,106.13,108.78,99.88,66.67,34.64,20.89,13.05
1935,12.07,21.62,23.54,40.86,61.06,98.41,111.33,88.42,54.82,44.32,28.11,11.22
1936,8.34,19.69,22.29,47.00,71.65,76.19,102.81,99.50,60.29,16.99,10.91,15.45
1937,15.68,17.62,24.24,43.52,69.42,92.85,101.60,141.39,67.35,29.52,17.24,8.83
1938,11.67,15.23,31.62,28.33,74.45,93.70,118.65,110.65,59.57,42.07,12.17,8.99
1939,7.83,16.88,21.58,41.76,62.75,92.59,124.40,89.42,61.69,29.29,22.63,3.58
1940,7.27,16.94,38.43,29.73,58.16,86.99,107.21,107.95,57.60,35.32,20.97,8.77
1941,12.07,21.00,30.73,37.49,62.31,83.34,112.46,99.44,60.75,31.87,25.29,15.40
1942,4.99,12.25,33.76,48.65,74.04,89.20,120.03,83.63,50.08,37.37,12.16,8.77
1943,7.88,12.24,29.89,33.45,61.53,91.75,99.74,117.77,69.76,26.63,14.04,6.49
1944,10.67,17.13,22.97,43.71,65.80,98.02,101.02,92.62,67.25,41.45,22.72,7.00
1945,10.08,20.39,23.16,35.68,49.98,84.66,109.55,113.23,68.86,24.26,21.87,11.11
1946,6.07,10.26,35.23,34.86,76.84,100.55,129.30,96.76,61.45,30.19,18.68,10.76
1947,17.13,12.11,26.13,38.08,67.03,97.50,123.45,107.26,75.01,29.31,10.77,10.89
1948,10.57,20.41,36.07,43.84,77.15,96.48,126.84,92.02,61.93,32.00,11.50,17.15
1949,4.99,22.18,26.71,42.30,72.53,102.01,114.30,107.48,73.90,36.87,23.28,15.10
1950,14.63,17.16,22.60,45.78,71.66,91.59,109.62,102.28,65.13,33.92,18.85,6.51
1951,9.65,15.21,27.39,49.48,58.18,91.81,111.51,103.90,67.29,40.31,27.38,11.95
1952,8.72,18.46,32.52,47.49,79.14,81.77,115.42,113.74,73.39,37.18,14.51,6.54
1953,16.61,18.40,34.08,34.11,76.47,91.48,104.57,96.10,62.48,41.61,19.14,18.30
1954,15.53,17.62,18.63,51.25,87.30,118.25,127.24,124.79,59.56,30.06,13.90,14.69
1955,6.45,13.78,32.15,29.25,67.00,95.63,116.64,104.15,67.12,25.10,17.90,7.64
1956,11.77,14.41,35.34,39.63,86.12,111.14,96.79,105.06,59.45,32.18,12.24,7.01
1957,16.39,20.08,27.02,47.25,71.82,86.57,114.02,97.45,54.83,31.56,16.41,11.68
1958,14.36,15.42,23.04,43.97,64.49,80.32,119.50,111.25,62.89,34.54,9.68,8.48
1959,11.08,35.70,30.67,39.44,74.59,106.78,98.09,114.49,69.25,30.20,18.64,15.88
1960,9.55,9.59,36.50,30.86,71.14,90.55,112.18,101.44,72.61,26.66,22.05,5.91
1961,7.99,18.17,34.29,48.78,61.22,80.63,107.89,118.66,80.13,38.67,29.35,14.79
1962,6.76,12.01,16.98,38.10,69.74,103.99,114.96,105.69,66.52,31.73,21.58,7.09
1963,1.98,9.23,21.71,36.23,65.28,75.81,122.31,99.35,63.12,32.09,27.94,10.37
1964,18.89,16.19,23.46,61.32,65.92,102.60,104.12,115.19,70.21,45.98,6.56,7.00
1965,6.62,15.25,21.20,52.80,53.20,85.60,106.61,98.77,49.51,48.05,24.72,14.48
1966,9.59,13.79,23.92,43.73,51.86,98.47,116.24,98.59,40.72,40.07,11.57,11.68
1967,7.94,18.81,30.27,44.74,79.17,88.46,100.30,103.19,62.68,22.29,29.46,6.38
1968,9.88,13.49,30.33,38.38,61.79,93.77,107.64,104.20,61.43,32.37,16.23,13.61
1969,20.47,12.12,24.20,43.56,63.34,85.85,124.70,113.59,62.67,33.79,14.00,3.62
1970,11.36,14.08,30.54,45.05,80.50,83.11,131.00,91.64,77.30,31.84,15.05,16.62
1971,10.49,13.89,16.50,33.18,71.25,108.97,94.35,101.48,66.32,32.69,12.67,14.33
1972,8.29,19.57,22.40,40.04,70.42,81.81,93.90,87.56,61.93,41.34,33.25,13.69
1973,14.87,16.38,23.59,63.87,88.08,101.14,117.73,105.72,76.62,36.90,14.20,2.49
1974,11.60,13.66,20.65,43.46,69.31,92.90,114.32,104.99,61.50,37.37,14.29,16.19
1975,12.10,17.23,26.18,54.00,78.16,92.80,106.18,93.20,70.50,46.84,19.26,13.52
1976,5.83,19.99,23.17,45.87,63.01,101.05,104.03,100.02,56.50,41.69,14.33,6.51
1977,12.77,9.53,20.05,52.29,70.98,95.08,123.99,82.93,54.76,44.72,15.70,16.92
1978,10.88,11.61,29.26,36.95,78.60,91.81,91.09,87.15,58.79,34.32,18.95,6.30
1979,12.03,14.71,28.62,46.30,51.42,102.47,118.03,98.11,71.77,18.10,9.21,12.20
1980,11.25,15.80,32.15,45.57,67.44,93.06,104.81,120.53,54.59,42.67,10.01,6.11
1981,11.19,14.17,35.39,49.90,63.24,87.43,119.42,97.51,59.41,35.37,27.43,4.27
1982,6.15,22.35,24.96,42.73,59.76,87.44,106.58,107.35,67.05,30.31,34.43,8.24
1983,19.35,27.17,35.89,51.93,71.23,94.88,110.10,93.00,80.16,48.95,13.57,9.57
1984,9.05,7.82,18.95,46.54,74.66,106.71,106.78,102.88,66.36,28.45,13.37,13.22
1985,8.49,28.01,28.35,37.49,70.72,80.90,105.51,111.06,78.04,30.98,17.27,8.83
1986,4.29,12.59,26.10,40.58,53.08,100.31,115.42,77.16,55.50,34.27,17.44,9.82
1987,10.86,12.67,33.18,42.10,67.40,90.73,113.81,104.85,64.99,41.19,25.71,3.93
1988,7.99,20.08,29.23,30.36,81.33,76.42,106.36,114.45,67.25,28.61,8.51,7.68
1989,21.95,17.04,24.18,46.80,66.99,96.21,109.12,82.61,64.55,33.45,16.85,11.10
1990,16.53,31.77,34.62,48.95,73.97,99.06,116.17,86.67,69.30,29.44,25.45,8.18
1991,17.21,12.99,37.58,36.49,57.49,106.39,122.21,87.96,53.92,26.84,14.26,13.75
1992,13.48,22.56,49.16,35.22,69.70,96.98,103.63,80.77,56.86,27.23,11.29,13.62
1993,16.01,22.61,26.09,35.88,70.57,108.89,119.09,112.14,61.81,29.13,26.22,7.17
1994,7.36,18.99,26.11,41.50,60.64,109.00,119.13,104.60,60.32,34.71,17.01,22.38
1995,13.33,17.09,22.74,37.70,57.10,103.90,115.39,111.01,56.94,42.84,12.49,5.71
1996,11.59,10.18,40.31,34.76,59.51,99.82,138.14,105.70,50.14,30.79,21.80,4.92
1997,13.54,19.14,33.25,42.69,61.04,85.34,115.94,96.50,57.84,28.74,21.58,17.96
1998,19.89,22.69,38.93,48.26,78.20,116.13,132.89,116.24,44.49,32.52,11.26,8.37
1999,10.37,4.49,25.99,46.32,73.11,90.82,114.29,111.35,54.77,40.46,17.71,5.71
