Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,576.30,157.50,123.70,297.80,201.20,141.40,33.10,182.80,87.90,35.30,112.40,344.50
1902,403.00,368.10,312.60,142.10,92.70,92.20,49.00,46.50,20.80,83.20,221.70,64.90
1903,87.30,212.60,140.60,297.10,155.90,29.40,83.00,8.20,138.60,232.10,283.10,62.60
1904,253.10,238.90,245.30,275.70,134.90,107.10,157.40,88.50,135.40,141.30,37.20,140.60
1905,137.30,290.30,137.70,396.20,98.90,47.40,155.00,89.00,35.70,124.10,173.00,23.90
1906,272.80,221.10,215.50,268.70,162.90,44.60,45.90,130.00,43.00,114.10,61.90,233.60
1907,211.10,348.10,372.30,231.20,283.00,93.30,87.30,91.40,98.50,27.50,117.30,262.00
1908,136.70,405.00,509.10,152.00,235.60,174.00,125.60,180.10,172.20,212.50,405.60,309.40
1909,261.40,318.40,269.40,212.80,283.30,260.50,113.10,248.70,144.80,68.30,105.10,145.60
1910,378.70,248.10,419.20,164.00,125.60,150.10,31.50,222.90,240.40,86.70,210.10,243.30
1911,209.30,234.20,295.70,176.50,146.80,61.70,169.60,77.80,218.50,102.50,82.60,138.20
1912,388.40,283.00,245.60,164.00,67.60,78.90,159.20,147.60,102.50,20.70,402.70,164.30
1913,284.50,147.00,176.70,179.20,232.00,175.00,28.00,53.90,93.50,33.00,143.70,181.40
1914,211.90,374.70,142.40,118.10,52.80,174.70,30.10,93.50,35.50,120.00,106.60,47.60
1915,229.10,77.40,223.50,44.80,44.60,26.10,56.80,46.50,18.20,58.40,80.30,295.40
1916,550.80,140.50,219.00,244.00,107.20,68.70,101.00,37.00,146.10,112.10,335.00,152.70
1917,221.90,456.50,283.60,279.50,354.90,86.00,59.20,18.40,100.70,312.40,290.90,277.00
1918,198.70,495.70,116.40,371.40,49.20,93.30,89.90,354.00,196.50,337.20,86.20,360.60
1919,21.20,194.50,76.80,93.30,45.40,183.70,29.10,32.90,26.70,23.30,59.90,605.80
1920,659.30,358.70,129.60,81.10,79.50,172.40,83.20,249.50,219.20,235.30,133.80,182.40
1921,237.70,141.50,130.50,291.20,286.80,168.30,101.00,65.40,248.70,266.00,195.00,449.30
1922,209.70,437.10,165.60,167.70,26.70,284.40,280.60,16.50,61.70,399.10,175.40,117.70
1923,157.60,129.20,305.80,234.40,86.20,149.40,117.60,296.50,183.00,27.70,124.40,158.70
1924,259.70,98.70,374.80,161.00,177.90,74.30,204.10,155.70,199.00,196.20,119.20,233.10
1925,389.80,120.00,357.70,126.70,62.70,147.60,57.10,123.70,133.00,105.10,301.90,110.60
1926,156.40,237.30,371.90,53.00,72.80,23.60,99.80,161.50,46.20,126.70,58.20,274.90
1927,397.80,181.20,141.80,151.50,233.80,49.40,142.40,49.90,11.50,133.50,228.10,483.80
1928,339.50,101.10,74.10,280.00,100.50,37.60,155.00,69.90,167.20,205.90,93.30,68.30
1929,487.30,238.60,279.90,169.30,86.40,46.10,144.60,170.20,98.30,35.90,192.60,212.60
1930,226.40,376.40,426.60,138.00,123.00,102.60,138.70,175.60,61.50,262.70,80.90,192.80
1931,210.00,290.80,165.20,72.20,34.70,149.80,23.70,52.60,34.80,73.30,136.90,275.50
1932,237.80,156.60,270.00,208.50,19.70,48.60,106.30,34.10,69.50,29.90,82.10,386.50
1933,388.20,188.20,354.20,69.30,65.00,86.00,100.50,152.60,60.00,193.90,139.00,274.30
1934,127.00,351.70,269.80,106.70,271.70,107.30,130.90,86.70,61.00,206.90,71.80,420.00
1935,278.80,228.50,247.80,172.20,128.60,26.50,73.60,129.20,152.90,131.50,78.40,176.30
1936,513.80,142.80,129.00,266.30,210.40,93.20,115.90,221.50,67.60,31.90,115.60,284.50
1937,222.40,228.80,485.50,76.60,37.90,73.10,73.00,95.70,151.90,181.80,109.50,236.20
1938,271.50,421.50,180.00,274.50,359.50,100.80,65.00,90.30,110.20,188.30,305.30,88.30
1939,111.40,352.10,485.40,236.20,247.50,216.80,41.70,159.00,139.30,223.40,190.10,232.00
1940,167.10,151.60,155.90,350.60,77.40,70.90,54.70,339.60,18.90,93.70,66.20,93.50
1941,143.60,224.30,134.10,80.60,383.40,67.00,20.20,58.80,119.80,83.20,53.20,147.30
1942,318.80,151.20,293.60,158.60,80.10,118.20,175.40,88.40,158.90,188.20,202.50,290.10
1943,392.50,215.20,343.90,169.20,277.10,90.30,179.10,42.70,214.30,164.50,181.90,296.60
1944,232.60,307.60,146.10,58.90,105.20,123.80,115.20,79.50,88.50,59.80,210.80,203.60
1945,360.40,215.90,95.80,235.30,213.50,264.90,95.00,318.70,160.40,259.50,170.10,313.70
1946,581.20,235.20,210.30,150.50,284.00,125.80,85.70,29.70,132.50,85.80,109.00,217.30
1947,283.80,372.60,338.90,153.20,152.70,177.90,69.20,179.50,108.10,56.40,211.60,471.30
1948,137.10,350.60,119.30,81.60,136.60,78.20,66.80,85.90,95.40,64.10,196.70,210.10
1949,116.10,294.60,309.60,39.20,82.20,28.50,256.80,164.20,172.90,299.30,136.60,143.00
1950,141.90,168.70,154.00,72.80,159.40,34.00,222.60,127.50,212.70,110.20,81.70,273.50
1951,333.80,35.90,408.80,345.40,130.10,75.70,141.50,78.20,127.70,61.10,37.60,155.90
1952,121.20,216.40,206.80,358.10,101.10,73.70,120.20,136.90,163.80,212.20,148.70,75.30
1953,70.10,360.60,344.60,113.70,64.00,122.40,57.60,95.70,251.20,164.30,231.50,211.90
1954,242.60,179.00,421.40,39.40,172.80,120.20,74.40,156.60,120.90,93.40,219.60,284.00
1955,357.00,243.90,377.90,225.70,226.90,65.80,39.40,38.20,63.40,196.20,187.80,532.90
1956,442.70,162.50,167.20,284.90,221.30,123.30,147.30,87.30,42.40,73.90,211.10,500.70
1957,335.00,244.80,194.80,304.50,111.60,207.20,120.80,88.70,159.60,115.10,287.30,125.50
1958,183.50,135.00,232.30,241.10,187.60,115.50,81.90,206.30,151.70,92.50,58.80,363.00
1959,438.00,289.10,278.80,134.50,164.70,155.30,160.40,52.30,142.80,33.00,329.60,305.70
1960,340.10,173.10,196.90,132.10,271.80,36.30,109.80,101.70,131.40,79.00,130.60,302.00
1961,131.30,153.80,338.40,113.50,115.70,84.20,88.40,79.30,76.90,204.50,231.70,480.90
1962,328.00,328.30,181.60,321.90,227.00,121.60,138.20,220.50,289.90,74.90,147.70,283.50
1963,217.20,235.10,396.40,99.80,125.40,22.40,43.90,199.70,111.40,154.40,97.50,178.50
1964,400.00,241.10,318.50,170.60,187.50,111.20,54.10,36.00,95.60,105.70,185.00,166.50
1965,225.00,146.90,191.80,337.40,208.10,135.00,26.90,69.70,103.90,126.10,56.90,177.50
1966,275.00,105.60,100.50,178.10,266.90,52.40,73.50,106.10,93.00,78.70,368.10,76.30
1967,393.20,270.60,270.60,319.20,517.60,144.50,236.20,97.80,45.60,114.10,322.10,256.40
1968,49.90,359.00,294.90,193.10,135.00,36.50,80.60,317.40,146.30,56.40,135.00,96.50
