Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,94.36,106.78,159.57,214.36,280.91,256.39,317.20,332.64,231.59,290.70,238.19,131.75
1902,146.04,100.95,197.30,237.24,262.40,251.71,224.68,224.40,223.50,232.37,199.83,123.44
1903,105.54,102.54,143.35,235.21,280.15,338.08,222.64,317.54,223.18,224.79,217.82,153.33
1904,118.31,118.53,197.68,279.72,307.99,247.95,262.82,226.23,219.23,261.31,169.95,117.26
1905,117.44,91.09,148.67,245.76,287.32,270.57,247.16,208.85,276.04,258.46,233.45,168.96
1906,94.07,112.56,154.38,280.35,300.65,309.59,287.83,238.06,193.29,250.60,193.18,135.73
1907,106.06,129.31,225.39,282.47,287.15,295.53,317.62,236.49,248.33,247.04,192.90,135.69
1908,130.08,107.67,184.84,234.91,255.77,255.00,280.29,264.52,256.91,318.93,207.67,162.34
1909,108.50,143.52,132.35,248.36,327.02,304.34,349.78,265.47,222.41,246.12,190.85,128.09
1910,142.22,110.55,224.01,229.14,380.39,314.62,267.97,229.55,250.31,296.43,185.36,159.72
1911,105.86,133.29,166.46,277.96,292.83,297.21,271.32,211.01,188.51,236.91,199.06,132.33
1912,107.54,105.36,149.01,235.33,264.13,260.19,291.41,339.47,234.70,263.00,230.27,158.95
1913,101.09,102.74,162.60,298.63,302.64,274.83,237.31,215.97,351.81,268.47,224.10,147.43
1914,101.90,100.97,134.65,276.29,240.68,252.20,235.26,234.24,196.75,265.50,237.73,155.84
1915,116.62,135.11,134.49,255.02,308.64,324.48,302.06,338.94,218.99,272.61,197.76,127.54
1916,112.65,107.62,186.94,256.04,246.81,353.28,285.75,263.21,217.70,276.26,200.04,134.04
1917,134.37,114.60,176.70,294.77,366.67,296.24,309.13,312.78,229.79,232.38,226.53,146.59
1918,112.21,111.90,177.92,298.08,308.47,258.11,255.59,201.91,212.21,266.17,244.38,113.96
1919,117.55,97.47,146.96,245.80,279.17,274.26,303.12,260.01,280.31,214.41,204.03,151.42
1920,95.55,113.13,152.38,211.68,354.14,273.55,356.29,236.23,255.88,299.21,162.40,134.59
1921,128.18,126.07,243.64,261.38,366.40,306.61,326.56,228.83,264.22,290.31,179.47,164.00
1922,94.61,125.64,229.12,212.87,296.91,376.51,252.27,207.45,214.48,238.82,204.94,154.59
1923,87.71,92.10,158.92,218.04,283.05,270.57,274.67,253.51,188.68,230.95,167.59,143.30
1924,88.02,84.44,148.29,202.51,267.66,311.92,311.28,215.48,241.28,271.44,268.85,159.55
1925,107.08,128.43,215.26,309.65,252.04,271.00,297.00,261.18,258.97,203.88,202.82,116.73
1926,78.60,90.43,136.36,179.21,265.32,342.01,275.63,265.15,210.66,286.36,207.70,158.47
1927,130.42,118.34,174.80,244.40,322.99,298.81,319.21,262.22,273.58,244.40,216.38,127.59
1928,108.66,124.28,183.97,242.73,310.64,303.52,312.33,243.41,241.39,222.99,258.96,167.53
1929,89.55,80.50,180.03,265.89,332.18,290.96,281.62,208.65,226.67,237.64,175.54,110.48
1930,118.34,113.44,160.63,243.84,235.03,331.84,276.96,218.60,191.86,267.28,166.22,114.93
1931,97.24,101.36,148.84,220.64,303.33,330.10,342.91,207.96,240.95,252.88,224.73,153.66
1932,136.73,119.81,130.60,210.36,281.70,278.61,276.72,250.86,244.82,268.51,215.65,157.40
1933,122.59,74.88,184.87,257.60,322.89,297.56,238.43,261.43,226.13,233.13,250.73,194.72
1934,108.92,129.05,151.74,185.94,314.57,300.23,321.09,222.57,215.21,290.84,241.61,134.79
1935,126.15,124.97,188.68,232.86,298.07,301.88,318.47,286.97,234.45,244.84,287.97,102.68
