Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,55.90,43.80,31.70,48.00,132.20,183.60,176.20,170.80,208.10,233.90,117.50,57.10
1902,55.90,43.80,31.70,48.00,132.20,183.60,176.20,170.80,208.10,233.90,117.50,57.10
1903,55.90,43.80,31.70,48.00,132.20,183.60,176.20,170.80,208.10,233.90,117.50,57.10
1904,55.90,43.80,31.70,48.00,132.20,183.60,176.20,170.80,208.10,233.90,117.50,57.10
1905,55.90,43.80,31.70,48.00,132.20,183.60,176.20,170.80,208.10,233.90,117.50,57.10
1906,55.90,43.80,31.70,48.00,132.20,183.60,176.20,170.80,208.10,233.90,117.50,57.10
1907,55.90,43.80,31.70,48.00,132.20,183.60,176.20,170.80,208.10,233.90,117.50,57.10
1908,55.90,43.80,31.70,48.00,132.20,183.60,176.20,170.80,208.10,233.90,117.50,57.10
1909,55.90,43.80,31.70,48.00,132.20,183.60,176.20,170.80,208.10,233.90,117.50,57.10
1910,55.90,43.80,31.70,48.00,132.20,183.60,176.20,170.80,208.10,233.90,117.50,57.10
1911,55.90,43.80,31.70,48.00,132.20,183.60,176.20,170.80,208.10,233.90,117.50,57.10
1912,55.90,43.80,31.70,48.00,132.20,183.60,176.20,170.80,208.10,233.90,117.50,57.10
1913,55.90,43.80,31.70,48.00,132.20,183.60,176.20,170.80,208.10,233.90,117.50,57.10
1914,55.90,43.80,31.70,48.00,132.20,183.60,176.20,170.80,208.10,233.90,117.50,57.10
1915,55.90,43.80,31.70,48.00,132.20,183.60,176.20,170.80,208.10,233.90,117.50,57.10
1916,55.90,43.80,31.70,48.00,132.20,183.60,176.20,170.80,208.10,233.90,117.50,57.10
1917,55.90,43.80,31.70,48.00,132.20,183.60,176.20,170.80,208.10,233.90,117.50,57.10
1918,55.90,43.80,31.70,48.00,132.20,183.60,176.20,170.80,208.10,233.90,117.50,57.10
1919,55.90,43.80,31.70,48.00,132.20,183.60,176.20,170.80,208.10,233.90,117.50,57.10
1920,55.90,43.80,31.70,48.00,132.20,183.60,176.20,170.80,208.10,233.90,117.50,57.10
1921,55.90,43.80,31.70,48.00,132.20,183.60,176.20,170.80,208.10,233.90,117.50,57.10
1922,55.90,43.80,31.70,48.00,132.20,183.60,176.20,170.80,208.10,233.90,117.50,57.10
1923,55.90,43.80,31.70,48.00,132.20,183.60,176.20,170.80,208.10,233.90,117.50,57.10
1924,55.90,43.80,31.70,48.00,132.20,183.60,176.20,170.80,208.10,233.90,117.50,57.10
1925,55.90,43.80,31.70,48.00,132.20,183.60,176.20,170.80,208.10,233.90,117.50,57.10
1926,55.90,43.80,31.70,48.00,132.20,183.60,176.20,170.80,208.10,233.90,117.50,57.10
1927,55.90,43.80,31.70,48.00,132.20,183.60,176.20,170.80,208.10,233.90,117.50,57.10
1928,55.90,43.80,31.70,48.00,132.20,183.60,176.20,170.80,208.10,233.90,117.50,57.10
1929,55.90,43.80,31.70,48.00,132.20,183.60,176.20,170.80,208.10,233.90,117.50,57.10
1930,55.90,43.80,31.70,48.00,132.20,183.60,176.20,170.80,208.10,233.90,117.50,57.10
1931,55.90,43.80,31.70,48.00,132.20,183.60,176.20,170.80,208.10,233.90,117.50,57.10
1932,55.90,43.80,31.70,48.00,132.20,183.60,176.20,170.80,208.10,233.90,117.50,57.10
1933,55.90,43.80,31.70,48.00,132.20,183.60,176.20,170.80,208.10,233.90,117.50,57.10
1934,55.90,43.80,31.70,48.00,132.20,183.60,176.20,170.80,208.10,233.90,117.50,57.10
1935,55.90,43.80,31.70,48.00,132.20,183.60,176.20,170.80,208.10,233.90,117.50,57.10
1936,55.90,43.80,31.70,48.00,132.20,183.60,176.20,170.80,208.10,233.90,117.50,57.10
1937,55.90,43.80,31.70,48.00,132.20,183.60,176.20,170.80,208.10,233.90,117.50,57.10
1938,50.00,37.50,25.90,39.70,126.10,165.50,252.70,180.20,244.80,261.50,114.80,51.10
1939,56.90,37.50,34.30,69.80,139.20,181.10,214.60,166.60,191.80,202.70,156.20,54.10
1940,78.10,44.30,35.60,43.60,132.20,172.00,155.00,171.10,263.00,234.80,128.60,57.50
1941,79.50,46.70,37.40,47.30,122.30,160.70,170.40,153.90,200.80,203.40,145.90,48.70
1942,61.10,42.00,31.70,59.20,146.80,182.80,219.20,177.30,203.80,232.10,109.30,72.40
1943,51.30,44.40,42.30,48.00,130.50,163.60,168.20,181.70,215.00,269.60,115.30,47.50
1944,49.50,35.80,28.50,45.50,131.10,212.80,195.10,168.30,214.40,217.90,108.10,48.70
1945,50.00,37.80,28.70,49.20,143.60,156.80,159.10,170.80,191.80,228.70,129.50,56.30
1946,50.10,39.30,32.40,45.30,161.30,181.90,176.80,155.20,199.30,234.30,104.60,51.40
1947,48.20,51.30,32.30,40.80,132.20,183.60,198.70,168.80,240.00,243.00,105.10,57.50
1948,55.40,37.10,27.40,52.80,154.80,217.60,183.90,178.90,251.50,225.70,107.20,51.10
1949,50.00,37.30,30.50,45.20,152.00,176.70,191.40,171.90,205.00,214.90,130.90,52.20
1950,49.90,42.30,27.00,45.10,117.20,172.60,165.10,188.80,254.40,283.00,119.10,62.70
1951,54.00,33.80,22.30,67.10,119.00,155.40,234.30,173.10,200.00,320.50,146.70,48.50
1952,53.80,42.30,31.50,44.00,138.10,187.40,167.40,167.40,219.10,310.60,108.90,51.50
1953,71.40,35.80,24.30,58.10,141.20,196.40,178.10,158.80,212.90,250.90,97.80,50.20
1954,49.40,57.80,39.60,51.70,135.10,183.30,203.50,175.20,211.00,240.50,101.50,53.50
1955,52.60,39.30,26.00,37.70,119.30,208.20,208.50,179.50,215.30,212.50,88.20,61.80
1956,47.10,33.00,42.70,56.90,124.20,176.10,201.90,157.40,199.00,205.00,93.10,62.90
1957,50.10,49.00,24.30,67.70,154.60,159.20,158.10,160.80,206.40,211.50,79.50,60.30
1958,85.30,40.10,34.50,46.00,164.70,216.40,179.00,168.20,231.90,278.30,130.80,66.00
1959,55.30,28.90,33.80,46.30,128.50,149.80,229.20,165.80,197.50,250.30,180.20,55.20
1960,60.10,38.50,41.80,75.60,133.10,242.50,169.80,171.10,201.40,213.00,107.30,51.40
1961,55.00,35.30,43.40,36.90,129.70,182.60,154.40,167.80,205.40,235.20,93.70,64.00
1962,57.60,28.40,31.30,58.50,112.70,198.10,170.40,183.20,202.00,206.00,100.50,52.80
1963,47.90,43.30,29.00,39.80,129.20,194.90,156.80,170.20,208.70,234.10,130.90,95.50
1964,56.70,42.00,31.40,52.60,133.80,184.90,189.90,174.10,205.80,263.00,93.60,52.50
1965,47.30,30.20,21.70,42.30,122.70,176.50,170.70,169.20,195.90,232.20,119.10,57.10
1966,64.60,51.10,29.60,46.60,161.30,231.80,176.80,161.60,192.30,209.50,122.70,54.00
1967,49.20,37.60,37.90,38.10,118.00,207.40,144.50,159.00,198.40,205.30,94.60,48.40
1968,50.40,36.00,29.30,35.00,137.10,208.70,173.70,171.80,216.50,326.30,120.80,49.10
1969,56.90,30.20,25.60,63.20,168.40,242.20,200.50,176.60,206.50,231.60,101.60,54.40
1970,71.50,53.10,39.90,33.20,130.50,162.60,225.70,170.50,218.90,185.70,158.60,48.60
1971,51.60,65.30,22.90,44.00,121.70,160.80,178.10,183.70,199.70,279.90,175.80,55.00
1972,51.50,62.20,47.00,48.90,142.40,173.00,197.80,169.40,209.90,198.20,115.30,64.50
1973,61.80,36.60,27.90,35.10,116.00,174.00,189.80,196.80,206.80,287.60,81.10,67.10
