Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,95.52,4.16,19.40,6.20,72.96,0.36,9.05,0.00,5.38,6.96,19.73,42.90
1902,92.77,33.22,66.71,30.14,0.13,0.00,16.08,0.00,0.84,23.20,126.71,127.29
1903,44.64,78.67,37.58,3.73,13.79,11.24,0.00,0.17,0.00,22.93,76.81,118.85
1904,75.21,43.89,43.14,47.82,43.79,22.06,0.00,0.00,2.86,53.13,123.27,130.91
1905,103.24,116.36,49.32,43.52,16.50,3.01,0.00,0.00,2.33,24.80,60.37,93.86
1906,75.27,119.04,51.67,43.55,64.21,22.31,0.00,0.00,0.00,3.85,129.12,135.41
1907,135.53,87.97,74.74,20.51,5.28,0.24,0.00,0.00,16.00,39.81,106.65,75.64
1908,117.36,91.42,115.53,21.00,9.52,26.28,0.00,0.00,1.52,5.62,121.11,97.66
1909,83.70,98.78,40.51,28.34,2.35,5.56,0.00,0.19,15.65,105.86,63.62,88.99
1910,127.81,50.11,115.60,20.69,17.83,15.23,0.00,0.00,5.10,59.16,31.71,101.14
1911,142.63,104.37,82.89,42.80,51.46,0.00,0.00,0.00,4.04,23.70,41.88,265.78
1912,125.55,62.76,48.96,11.70,17.39,0.00,0.00,0.00,0.42,44.61,54.86,141.08
1913,120.80,121.55,35.64,14.98,10.14,1.33,1.13,1.58,4.58,58.54,46.86,174.89
1914,92.70,20.18,52.78,50.65,21.06,8.26,2.53,0.00,3.18,28.16,118.51,138.86
1915,40.82,61.10,49.63,28.92,3.06,0.78,0.00,0.00,3.99,14.07,72.60,26.07
1916,132.70,89.99,44.54,78.23,1.02,0.00,0.00,0.00,7.86,1.67,10.76,153.51
1917,130.04,101.91,48.36,2.28,20.05,0.00,0.00,0.00,7.17,22.60,38.51,122.30
1918,82.08,95.09,64.07,8.74,32.83,1.01,0.00,0.00,36.70,83.55,51.56,190.34
1919,96.94,121.94,16.03,9.51,44.42,0.83,0.00,0.00,0.00,18.60,35.54,164.08
1920,93.98,106.30,102.63,22.08,47.18,8.83,0.00,17.97,5.36,38.70,35.25,95.55
1921,76.75,99.83,65.40,41.56,32.72,47.36,14.67,6.82,1.48,2.23,82.20,136.83
1922,122.50,111.93,16.56,7.97,4.88,0.46,13.68,0.10,0.00,5.03,101.42,106.43
1923,111.32,88.84,49.41,38.81,49.49,3.18,0.00,4.48,13.56,9.49,28.94,124.62
1924,188.12,90.63,26.10,1.04,26.39,11.78,0.72,0.00,4.95,68.86,98.62,101.01
1925,108.76,20.17,14.13,27.24,2.01,17.22,0.00,0.00,3.78,35.40,36.77,77.56
1926,204.40,98.56,104.07,47.74,38.48,1.04,0.00,0.00,0.35,2.92,16.60,165.68
1927,71.16,114.99,25.40,54.48,3.86,0.45,4.65,1.41,0.00,43.44,17.06,61.00
1928,91.66,165.26,23.81,9.81,5.21,0.00,6.08,0.00,1.23,22.01,86.78,111.02
1929,114.97,129.31,26.76,16.64,29.70,22.10,0.09,0.93,8.71,24.95,37.35,150.66
1930,111.96,79.08,33.71,35.08,12.74,4.11,2.79,6.13,14.91,20.03,43.92,141.07
1931,111.45,121.92,73.73,28.37,24.97,18.10,0.22,2.85,3.76,9.62,10.67,56.50
1932,87.19,37.87,36.24,14.89,16.53,0.35,0.00,0.37,0.58,7.40,66.38,23.85
1933,62.51,38.07,38.31,26.28,16.40,2.52,0.04,0.00,10.68,8.71,15.40,65.70
1934,97.04,113.41,45.69,17.77,26.18,7.65,0.76,1.71,0.70,22.32,21.98,165.72
1935,125.84,114.51,65.23,37.59,14.07,0.00,0.01,3.38,7.12,42.57,97.46,76.95
1936,69.27,95.39,46.40,28.63,48.97,4.14,0.68,0.01,2.80,11.49,40.80,169.27
1937,128.21,37.22,12.85,17.10,30.33,5.73,0.10,0.01,0.11,38.28,99.89,40.72
1938,139.53,91.15,54.11,37.78,35.19,0.17,1.94,4.34,10.34,38.49,52.83,133.46
1939,104.25,93.47,78.88,18.41,11.64,12.67,0.24,3.84,0.19,2.29,52.54,91.08
1940,112.03,100.39,51.32,25.28,26.56,7.46,0.77,0.67,2.89,39.06,81.64,117.40
1941,108.03,45.67,45.45,25.48,3.83,1.35,0.80,2.46,1.95,11.62,12.81,143.40
1942,147.76,92.83,76.68,12.33,8.24,4.37,0.41,6.48,5.57,49.44,74.40,43.85
1943,151.33,42.71,92.99,51.32,15.41,1.38,0.18,0.25,1.50,37.45,17.88,65.36
1944,118.54,85.95,41.50,19.67,20.34,6.89,1.67,2.18,2.67,33.46,105.67,151.41
1945,113.87,75.24,34.29,13.67,13.19,5.97,1.71,1.23,1.77,8.45,70.77,104.73
1946,43.69,125.21,59.74,7.24,33.36,3.95,1.25,1.14,6.48,30.08,6.35,135.91
1947,177.72,69.16,18.55,6.94,22.09,10.83,0.61,0.21,3.41,13.13,98.05,89.84
1948,66.61,129.90,55.97,34.18,31.70,0.99,0.06,3.32,11.74,4.94,37.89,120.10
1949,163.14,79.72,66.77,43.82,3.88,0.07,0.57,0.14,16.65,6.53,14.12,168.59
1950,94.89,44.04,67.15,23.66,46.20,2.13,0.87,0.31,6.89,35.03,21.99,61.21
1951,120.77,47.02,30.03,14.15,6.49,1.24,1.66,0.88,17.66,40.08,61.01,121.69
