Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,132.40,87.96,94.19,95.69,147.54,173.93,121.54,239.04,248.71,254.27,271.74,181.70
1902,93.28,42.02,97.70,63.01,341.93,321.23,159.56,204.58,208.14,151.07,394.09,192.50
1903,58.10,72.09,36.97,250.47,89.34,323.65,114.61,378.94,257.28,163.95,154.65,217.08
1904,200.86,81.26,143.06,52.75,147.64,65.62,123.36,189.12,384.56,226.84,79.52,141.84
1905,104.20,54.42,130.77,78.46,86.80,168.83,76.14,184.40,313.69,331.96,305.77,81.28
1906,90.68,57.92,77.66,96.31,126.58,234.49,123.56,237.77,392.14,219.57,265.63,103.34
1907,87.61,54.22,91.60,80.24,150.48,114.92,107.91,166.21,181.53,275.27,165.82,198.68
1908,79.56,13.07,38.19,88.65,43.96,188.86,136.08,136.95,241.33,155.78,96.27,339.44
1909,132.40,87.96,94.19,95.69,147.54,173.93,121.54,239.04,248.71,254.27,271.74,181.70
1910,150.97,133.48,128.39,11.69,399.58,210.43,127.10,255.11,192.20,85.13,127.24,101.61
1911,132.40,87.96,94.19,95.69,147.54,173.93,121.54,239.04,248.71,254.27,271.74,181.70
1912,132.40,87.96,94.19,95.69,147.54,173.93,121.54,239.04,248.71,254.27,271.74,181.70
1913,132.40,87.96,94.19,95.69,147.54,173.93,121.54,239.04,248.71,254.27,271.74,181.70
1914,132.40,87.96,94.19,95.69,147.54,173.93,121.54,239.04,248.71,254.27,271.74,181.70
1915,132.40,87.96,94.19,95.69,147.54,173.93,121.54,239.04,248.71,254.27,271.74,181.70
1916,132.40,87.96,94.19,95.69,147.54,173.93,121.54,239.04,248.71,254.27,271.74,181.70
1917,132.40,87.96,94.19,95.69,147.54,173.93,121.54,239.04,248.71,254.27,271.74,181.70
1918,132.40,87.96,94.19,95.69,147.54,173.93,121.54,239.04,248.71,254.27,271.74,181.70
1919,132.40,87.96,94.19,95.69,147.54,173.93,121.54,239.04,248.71,254.27,271.74,181.70
1920,132.40,87.96,94.19,95.69,147.54,173.93,121.54,239.04,248.71,254.27,271.74,181.70
1921,132.40,87.96,94.19,95.69,147.54,173.93,121.54,239.04,248.71,254.27,271.74,181.70
1922,132.40,87.96,94.19,95.69,147.54,173.93,121.54,239.04,248.71,254.27,271.74,181.70
1923,132.40,87.96,94.19,95.69,147.54,173.93,121.54,239.04,248.71,254.27,271.74,181.70
1924,132.40,87.96,94.19,95.69,147.54,173.93,121.54,239.04,248.71,254.27,271.74,181.70
1925,132.40,87.96,94.19,95.69,147.54,173.93,121.54,239.04,248.71,254.27,271.74,181.70
1926,132.40,87.96,94.19,95.69,147.54,173.93,121.54,239.04,248.71,254.27,271.74,181.70
1927,132.40,87.96,94.19,95.69,147.54,173.93,121.54,239.04,248.71,254.27,271.74,181.70
1928,132.40,87.96,94.19,95.69,147.54,173.93,121.54,239.04,248.71,254.27,271.74,181.70
1929,132.40,87.96,94.19,95.69,147.54,173.93,121.54,239.04,248.71,254.27,271.74,181.70
1930,132.40,87.96,94.19,95.69,147.54,173.93,121.54,239.04,248.71,254.27,271.74,181.70
1931,132.40,87.96,94.19,95.69,147.54,173.93,121.54,239.04,248.71,254.27,271.74,181.70
1932,109.07,52.82,86.01,64.30,163.82,214.66,120.66,156.73,264.35,256.12,518.52,127.72
1933,190.82,55.32,67.83,40.57,202.47,206.97,141.64,232.58,507.38,243.42,328.10,131.50
1934,56.03,24.37,75.91,55.28,143.82,59.75,87.26,199.99,138.46,117.90,207.65,253.79
1935,99.02,48.22,135.81,85.29,179.73,73.52,164.34,339.29,214.24,199.40,137.68,104.14
1936,68.92,69.19,26.34,32.88,375.78,265.78,114.59,288.47,254.91,382.65,257.82,136.89
1937,186.64,49.62,25.18,99.38,33.35,89.22,80.66,114.01,252.28,175.95,288.69,83.20
1938,105.67,44.72,65.15,59.98,181.18,186.07,100.76,328.14,274.52,159.36,502.27,201.43
1939,110.44,72.49,138.29,45.19,58.03,191.55,56.82,131.36,158.38,230.32,346.80,42.57
1940,42.68,58.12,91.50,41.69,47.10,195.41,93.83,124.89,114.65,141.98,364.68,115.33
1941,110.54,10.57,62.39,128.13,129.67,209.06,116.18,127.91,337.33,115.34,435.04,114.40
1942,77.86,99.23,48.53,145.16,134.39,136.17,106.68,134.17,459.02,242.99,583.31,127.27
1943,99.36,58.24,106.45,99.17,119.50,123.07,85.08,262.46,199.36,215.52,222.73,125.98
1944,95.32,93.13,51.91,66.20,287.68,139.13,162.82,121.94,199.67,293.38,239.54,161.92
1945,69.39,104.85,63.17,202.72,160.60,109.37,101.00,227.92,225.62,250.07,206.23,136.11
1946,142.21,60.39,37.49,68.82,229.43,98.26,79.85,174.82,193.60,159.89,198.94,137.99
1947,179.70,29.04,54.75,52.85,157.26,90.06,120.19,122.15,166.08,149.44,132.78,105.84
1948,66.67,68.02,117.12,66.83,82.22,241.01,154.40,340.66,218.08,380.20,540.87,156.21
1949,72.63,115.95,91.50,64.67,69.98,173.27,115.11,142.05,402.40,283.22,152.45,119.91
1950,201.39,74.39,135.10,128.36,117.45,288.06,54.76,211.33,213.99,253.89,200.24,255.80
1951,122.21,90.41,83.72,163.10,223.35,196.06,106.94,342.59,381.93,141.62,278.19,278.07
1952,81.59,54.52,112.44,124.69,130.29,164.97,166.88,325.17,456.53,212.07,383.16,135.35
1953,155.15,68.28,113.82,87.69,177.42,164.58,149.61,216.16,274.51,127.67,323.37,223.60
1954,130.33,93.62,91.15,173.34,151.70,148.08,109.89,264.98,376.20,388.34,217.12,165.27
1955,124.77,96.94,56.15,78.34,164.01,166.09,122.00,290.98,394.68,336.49,497.47,147.06
1956,206.22,164.91,126.46,180.95,106.70,218.64,101.56,292.66,170.81,284.64,320.38,328.63
1957,186.42,61.43,36.65,89.24,79.18,214.93,140.11,274.59,171.22,287.99,323.45,224.55
1958,63.74,45.98,15.83,146.05,204.62,321.38,191.80,213.07,406.49,340.59,264.39,216.87
1959,133.10,114.22,141.76,123.17,219.35,128.96,126.80,91.60,256.03,217.98,198.60,114.80
1960,109.26,100.87,132.04,74.95,138.41,126.00,178.67,195.95,252.20,282.19,238.29,232.57
1961,149.86,91.13,79.89,35.50,101.03,160.25,153.14,235.36,146.61,291.04,223.36,203.73
