Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,68.11,48.78,73.98,115.17,226.28,155.30,144.95,142.94,172.16,194.93,174.22,103.96
1902,86.58,57.80,57.77,123.47,241.78,162.59,113.83,141.82,152.50,162.36,139.45,111.34
1903,58.52,49.05,64.17,112.31,235.85,149.18,126.45,145.28,162.83,181.04,130.23,116.63
1904,65.01,77.63,85.58,119.64,200.76,127.00,128.91,149.04,166.57,178.21,152.17,93.26
1905,70.04,59.63,77.63,110.76,218.28,130.47,114.77,150.87,165.12,184.07,150.25,76.75
1906,53.68,52.91,66.62,112.79,202.77,160.48,132.58,155.06,168.04,162.25,113.26,95.22
1907,57.39,69.58,54.23,88.54,216.03,131.36,129.88,157.70,162.88,189.98,129.30,112.15
1908,65.18,81.13,78.29,112.49,205.14,141.32,116.56,149.82,172.30,159.95,140.00,90.53
1909,60.00,63.46,56.59,113.52,189.68,155.50,119.30,160.23,165.26,175.09,155.04,77.84
1910,77.84,50.20,69.85,104.57,198.18,153.17,126.68,147.49,161.88,163.94,118.55,132.78
1911,71.15,64.16,53.62,120.60,210.17,135.87,130.65,146.76,169.71,181.61,150.51,120.33
1912,48.78,55.89,70.45,115.37,205.82,136.21,121.38,147.73,167.33,217.51,137.06,77.73
1913,58.54,51.46,74.03,110.62,208.05,150.62,127.32,151.03,160.92,169.30,125.93,92.06
1914,57.25,71.76,81.28,112.18,231.53,143.46,133.35,146.10,171.35,188.33,124.42,102.02
1915,60.40,57.21,56.42,119.49,197.06,137.53,135.54,151.69,164.89,159.98,143.79,93.94
1916,67.21,66.66,54.60,107.23,214.97,144.75,133.00,162.30,162.11,190.07,146.55,70.16
1917,61.81,65.32,60.25,108.38,216.06,140.57,120.50,148.16,161.58,177.76,144.05,88.40
1918,61.02,70.38,69.11,118.67,210.63,140.37,124.15,142.52,167.88,170.50,136.07,86.77
1919,64.14,48.05,58.87,124.84,190.24,142.84,129.34,140.32,166.49,169.47,125.50,97.26
1920,67.15,77.82,69.11,97.02,195.54,137.29,124.66,144.08,180.81,169.40,140.15,91.17
1921,83.34,61.51,70.36,99.46,216.87,134.22,130.64,156.42,181.50,167.42,113.82,84.50
1922,63.70,73.39,66.88,107.72,207.77,144.11,114.65,152.58,175.64,179.64,112.11,118.16
1923,64.12,62.10,56.78,141.57,191.33,132.38,127.96,143.26,151.68,182.05,134.56,91.88
1924,61.76,70.84,55.10,120.51,209.11,134.91,121.74,148.89,164.83,170.42,152.21,84.98
1925,58.18,65.50,63.45,123.13,182.40,158.52,136.73,139.34,181.64,173.43,152.43,67.73
1926,67.71,56.95,58.28,120.85,215.02,149.11,154.81,147.54,165.86,176.67,116.63,74.02
1927,66.05,50.21,73.16,114.56,201.05,147.77,138.08,158.64,163.15,179.82,131.60,74.45
1928,59.77,54.24,64.36,101.84,258.92,127.76,117.60,167.23,222.64,187.92,160.04,117.59
1929,65.79,61.96,72.42,103.31,223.69,129.93,109.79,173.41,163.58,162.69,110.74,89.51
1930,77.75,51.91,65.89,105.64,197.43,137.38,119.03,134.57,164.53,192.43,119.02,93.74
1931,51.88,77.48,61.29,119.40,256.45,148.42,130.00,142.99,187.50,182.25,146.62,80.86
1932,74.04,45.94,58.80,117.62,261.16,149.72,150.44,167.83,207.12,182.18,134.90,88.22
1933,59.44,49.23,82.96,111.72,243.63,156.06,126.53,157.39,176.11,168.15,123.41,89.67
1934,69.01,84.44,80.36,111.18,208.20,152.91,141.30,151.74,173.10,189.00,121.06,119.56
1935,73.09,88.31,58.66,101.19,219.89,157.52,129.69,143.15,174.21,182.00,130.29,93.77
1936,54.87,50.66,53.18,101.22,246.50,164.01,129.95,171.14,178.12,179.33,119.72,93.77
1937,72.59,46.87,57.12,107.94,213.79,140.04,128.80,176.15,154.96,173.51,131.38,83.43
1938,57.06,59.53,74.77,101.05,214.28,164.42,132.11,139.91,167.26,167.72,144.86,97.96
1939,58.13,55.42,81.36,120.95,221.26,131.59,136.97,165.62,169.16,179.44,147.86,90.64
1940,81.52,62.86,60.86,120.08,269.83,149.00,125.09,151.74,156.03,183.44,125.24,82.36
1941,72.03,45.40,68.72,126.35,209.11,147.12,130.70,165.44,168.79,177.14,142.22,119.09
1942,79.08,54.83,62.71,123.07,217.17,161.04,133.11,153.42,176.18,192.27,146.66,82.12
1943,67.61,68.78,69.21,134.69,218.86,147.84,126.58,157.40,165.92,194.29,117.50,84.85
1944,60.75,54.95,58.13,113.36,199.68,162.84,139.21,164.78,184.98,162.10,118.25,82.25
