Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,145.24,173.82,326.84,211.38,243.12,267.97,295.26,183.03,215.72,182.41,93.38,122.84
1902,340.06,145.34,237.04,277.77,187.47,130.52,81.91,109.51,56.56,111.45,122.42,159.53
1903,237.88,157.21,234.61,152.71,213.52,168.25,52.63,68.66,137.74,124.89,135.76,154.57
1904,325.07,260.42,226.11,322.01,254.95,103.57,73.55,57.77,145.22,75.59,113.78,97.06
1905,211.99,109.76,203.06,239.29,162.62,63.14,94.46,74.11,194.36,168.21,100.44,156.56
1906,134.33,144.17,229.75,306.62,233.64,133.21,136.30,134.01,87.54,56.17,91.03,196.21
1907,251.50,175.01,372.95,240.25,206.42,203.28,86.10,68.66,104.63,155.51,119.28,121.85
1908,323.71,161.96,305.00,230.63,230.10,63.14,194.86,136.74,145.22,128.62,197.77,190.27
1909,224.26,407.52,209.12,267.18,325.98,195.20,115.38,106.78,71.51,122.65,109.08,100.04
1910,164.31,223.64,257.67,211.38,225.36,152.08,153.03,82.28,77.93,169.71,91.81,151.60
1911,160.22,172.63,232.18,223.90,160.25,208.67,65.17,90.44,89.67,177.17,75.33,202.17
1912,156.13,120.43,206.70,236.40,135.39,160.16,132.11,93.17,152.70,138.33,120.07,255.70
1913,254.23,223.64,257.67,240.25,269.16,100.88,52.63,65.94,206.11,186.89,237.01,201.18
1914,209.27,215.35,178.78,267.18,122.37,149.38,52.63,41.43,95.01,82.31,125.56,219.02
1915,352.32,469.21,132.67,227.74,208.79,281.44,199.05,68.66,100.36,170.45,164.02,86.15
1916,235.15,291.26,279.51,219.09,208.79,297.61,127.93,117.67,60.83,194.36,165.59,106.97
1917,236.51,249.75,182.43,366.26,297.57,146.69,370.56,106.78,185.82,202.58,178.93,132.57
1918,160.22,221.28,409.36,273.91,280.99,160.16,140.47,41.43,139.88,136.84,117.70,130.78
1919,277.39,154.84,222.47,208.51,267.97,114.35,52.63,90.44,205.04,106.21,183.64,138.70
1920,122.08,164.34,207.91,200.81,175.63,146.69,115.38,52.32,203.97,115.17,93.38,80.21
1921,173.84,216.53,347.47,287.38,270.34,157.47,157.21,142.18,88.60,77.08,144.39,176.38
1922,237.88,176.20,396.02,119.05,206.42,146.69,52.63,82.28,69.37,107.71,91.81,139.70
1923,127.53,166.70,351.11,161.37,162.62,227.54,56.81,52.32,96.08,96.51,122.42,61.37
1924,191.56,158.40,307.42,204.66,189.85,311.09,228.33,85.00,135.60,124.89,175.79,160.52
1925,145.24,290.08,369.31,249.87,116.45,227.54,178.13,93.17,200.77,74.09,146.75,123.83
