Variable:,pr
Country:,Spain
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,63.57,66.23,99.00,60.01,53.93,35.65,31.57,18.72,67.14,79.79,62.26,62.03
1902,8.98,108.79,42.13,77.22,51.95,53.78,22.79,36.98,40.17,79.29,113.78,59.28
1903,57.33,11.87,49.12,46.09,84.57,58.17,20.35,12.54,49.76,45.00,36.15,116.67
1904,84.81,83.08,79.93,41.95,28.64,58.87,6.24,11.59,57.84,36.34,62.65,62.77
1905,47.12,17.05,34.26,46.78,49.55,44.38,32.50,17.62,56.87,46.36,119.80,47.24
1906,41.00,45.65,61.58,75.99,57.97,42.94,19.51,2.78,74.32,72.88,74.64,57.23
1907,20.41,33.94,10.98,60.32,69.78,11.45,13.69,15.86,86.28,146.65,76.51,69.91
1908,61.77,22.71,64.66,46.77,43.85,75.93,9.25,21.52,44.79,59.30,79.27,73.26
1909,26.37,27.14,84.91,31.61,70.33,45.04,3.93,16.50,45.38,52.74,108.05,101.58
1910,28.19,42.00,45.88,52.75,83.98,43.41,10.89,10.45,55.79,84.67,58.98,138.99
1911,40.12,18.49,88.66,41.66,79.52,67.19,19.02,20.24,26.41,109.73,80.24,64.68
1912,70.98,92.53,45.62,59.95,21.28,34.84,26.18,15.06,50.69,55.29,34.08,17.72
1913,72.13,57.15,65.39,47.53,49.34,36.38,6.46,18.33,78.65,112.71,46.37,27.77
1914,33.34,61.79,50.34,60.05,65.67,51.78,37.43,19.69,15.84,71.22,70.68,95.70
1915,82.85,74.34,90.73,46.06,101.40,40.22,22.85,9.99,35.13,49.38,90.81,86.01
1916,12.69,90.88,109.39,44.25,51.26,16.51,20.97,5.19,46.82,24.38,95.99,127.49
1917,72.91,87.27,79.39,46.85,70.99,52.22,9.21,16.14,25.54,37.73,23.26,74.06
1918,79.52,10.83,79.70,81.08,46.92,26.76,16.83,15.07,54.03,70.44,79.03,37.23
1919,72.08,120.01,70.54,53.33,44.78,38.82,18.77,5.93,91.71,90.23,119.38,36.97
1920,30.43,60.01,64.74,38.29,59.05,40.68,16.66,13.02,32.04,95.62,76.61,64.77
