Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,32.35,29.90,17.16,34.27,18.08,50.46,39.54,46.97,21.03,47.87,41.65,35.19
1902,45.77,21.56,37.73,5.40,38.06,60.70,100.60,94.02,84.69,39.40,31.22,21.64
1903,36.58,35.37,28.46,42.75,33.55,54.87,84.17,111.77,48.24,53.25,44.20,23.10
1904,22.57,29.41,15.67,42.14,50.20,61.66,54.95,94.64,30.48,44.05,40.96,48.23
1905,36.81,24.46,29.39,37.35,28.80,47.05,85.55,83.50,59.14,54.38,40.47,23.19
1906,42.70,35.25,36.55,33.58,47.00,44.52,53.99,70.58,30.18,30.01,50.00,43.98
1907,31.29,33.28,19.76,25.16,43.61,74.15,71.56,91.82,43.51,34.42,24.03,17.88
1908,36.22,36.92,12.83,22.76,20.60,62.21,51.56,41.52,63.95,20.79,24.05,33.75
1909,30.33,18.45,37.46,23.39,29.70,37.17,70.93,72.78,45.02,77.29,40.91,46.04
1910,52.16,39.02,23.13,39.23,24.39,55.85,84.18,25.62,52.07,30.62,59.89,43.82
1911,28.92,35.10,17.97,30.87,18.21,48.67,69.69,79.80,63.18,61.34,65.52,37.36
1912,23.59,20.52,40.17,15.93,45.14,78.39,18.18,87.50,92.91,45.45,54.28,48.22
1913,16.47,29.46,35.00,27.13,26.14,53.60,44.12,64.04,26.17,35.35,52.30,38.45
1914,29.79,28.75,27.71,19.78,52.79,44.45,58.91,48.54,56.83,16.35,32.23,53.42
1915,35.34,29.09,17.25,28.80,37.57,57.45,64.49,46.34,69.39,18.51,51.27,28.08
1916,40.46,24.01,26.30,18.10,44.42,67.26,57.91,61.04,46.46,44.27,56.14,43.74
1917,24.22,20.30,13.71,36.57,35.63,47.91,34.58,39.69,100.07,77.37,66.73,44.99
1918,34.80,25.37,10.58,13.54,19.47,67.11,39.90,53.20,98.17,52.77,30.93,50.35
1919,29.53,20.34,23.73,44.28,9.23,73.11,47.93,85.76,70.98,47.35,28.99,33.63
1920,38.92,39.10,23.14,61.01,46.91,48.29,76.99,58.15,47.15,18.37,29.49,22.59
1921,48.90,17.55,36.90,35.86,37.74,75.06,84.50,62.76,58.80,70.64,23.31,48.07
1922,25.69,19.42,30.51,34.77,61.56,76.92,55.25,88.59,43.86,31.41,45.44,37.79
1923,44.64,11.04,5.63,20.32,44.92,71.35,58.64,67.43,95.74,85.21,65.92,46.64
1924,29.49,35.78,41.94,24.66,51.48,80.32,25.51,57.72,90.68,58.80,34.73,36.74
1925,29.59,35.69,27.15,36.35,35.05,59.99,56.74,78.69,72.34,48.38,30.14,47.16
1926,23.23,27.66,35.11,29.34,48.65,57.06,34.38,65.49,42.29,55.44,47.78,31.53
1927,46.22,28.84,35.18,44.37,53.80,63.67,53.99,83.71,55.81,62.46,34.75,22.56
1928,28.05,28.64,16.94,21.97,47.96,71.39,101.36,77.85,41.31,65.95,58.84,34.42
1929,24.32,12.84,23.24,27.63,43.22,39.04,70.25,84.96,60.07,80.68,56.52,56.45
1930,42.49,18.96,32.93,22.72,36.29,33.88,40.35,96.68,45.29,58.23,72.53,20.80
1931,41.17,28.84,25.22,30.92,48.65,88.08,64.47,90.74,63.32,57.32,24.28,43.64
1932,49.24,18.35,15.87,47.73,54.30,68.29,62.60,86.46,94.82,68.25,39.73,30.76
1933,24.01,34.01,30.23,25.42,19.94,33.73,85.71,59.85,28.33,53.53,23.98,26.25
1934,31.81,30.76,34.22,40.26,48.75,43.38,101.40,64.71,45.78,93.56,58.83,29.01
1935,35.93,49.10,23.26,42.96,26.40,57.90,73.43,71.71,87.71,94.99,34.65,54.38
1936,52.24,26.68,23.76,34.10,39.60,42.71,97.73,71.63,30.52,54.51,35.73,38.74
1937,25.45,39.76,40.96,15.76,52.07,32.18,46.27,45.16,104.67,20.47,57.40,24.70
1938,52.08,17.76,43.18,30.49,44.57,77.48,53.55,43.65,53.57,68.80,53.76,22.65
1939,37.92,32.79,14.77,35.74,23.31,47.40,87.09,33.36,44.67,14.90,56.76,25.70
1940,27.92,21.76,22.69,18.52,18.12,42.91,75.08,85.29,75.27,27.49,65.60,21.60
1941,12.17,28.46,22.88,13.68,13.74,31.26,33.93,98.32,44.40,25.73,16.87,27.80
1942,24.50,16.62,20.07,17.67,35.12,47.91,60.58,58.33,64.31,76.66,34.91,39.45
1943,30.48,47.71,23.13,44.13,28.70,49.48,77.58,102.43,46.95,54.54,64.20,29.88
1944,43.91,19.92,32.88,26.76,46.98,63.53,46.57,60.95,65.65,52.27,67.41,53.97
1945,36.26,33.30,29.16,28.18,30.37,67.23,51.55,80.30,51.30,39.28,22.24,30.66
1946,26.69,30.01,14.60,30.11,26.23,71.60,48.78,55.22,76.53,18.60,42.31,20.80
1947,21.90,13.49,21.18,43.10,13.46,43.25,80.93,26.57,44.16,36.31,38.56,55.54
1948,44.51,12.69,17.04,28.30,50.01,76.48,33.28,99.43,59.29,54.33,45.05,32.65
1949,45.21,20.54,21.02,40.22,44.45,71.00,51.89,81.24,32.08,74.39,27.28,57.19
1950,12.22,30.05,26.59,62.64,33.74,44.76,63.06,27.02,71.28,53.92,58.35,42.04
1951,31.94,27.21,31.68,43.29,18.30,51.40,72.60,42.86,50.15,17.62,61.80,53.03
1952,42.59,39.75,20.26,26.34,32.55,63.48,80.69,78.23,66.54,43.06,37.48,51.85
1953,29.37,35.75,26.87,27.39,39.83,48.75,94.77,114.68,44.03,33.93,34.36,19.49
1954,35.25,6.79,27.81,20.17,19.57,74.11,98.66,93.41,89.39,65.29,46.12,60.88
1955,49.66,27.62,29.99,29.41,53.07,38.16,40.05,24.03,82.98,66.52,49.80,42.72
1956,40.05,21.88,10.16,21.62,24.78,58.54,52.81,83.17,34.48,54.14,27.24,34.95
1957,34.22,50.33,19.13,18.75,56.70,70.45,71.18,85.69,72.88,65.57,31.96,53.81
1958,29.44,28.12,22.25,23.22,57.62,50.58,81.76,43.02,27.27,47.77,39.89,40.40
1959,58.86,22.26,21.01,31.76,35.07,29.61,51.66,82.44,33.75,36.66,35.39,32.75
1960,44.45,26.62,11.09,22.57,25.48,72.77,88.60,73.72,30.52,25.00,56.76,48.17
1961,44.26,31.70,36.54,15.58,41.62,82.93,99.42,102.41,31.34,52.01,54.22,39.95
1962,51.88,38.79,16.04,46.14,50.60,59.33,69.89,82.30,68.02,49.06,48.92,29.77
1963,29.83,18.71,13.31,21.36,30.50,43.83,50.58,81.08,69.29,61.23,53.26,27.78
1964,26.15,23.67,6.76,36.88,39.08,47.83,46.10,76.19,70.88,36.56,37.13,54.80
1965,43.21,28.76,35.31,14.10,22.63,59.80,74.36,80.60,62.13,49.58,34.15,53.95
1966,23.93,27.39,40.29,31.02,30.73,47.76,85.84,66.26,71.70,65.40,47.62,44.63
1967,28.07,31.31,48.70,25.83,48.51,51.59,50.95,98.16,46.30,104.29,44.91,33.75
1968,28.05,24.72,42.84,38.95,54.56,61.74,35.64,63.01,51.86,71.50,45.91,32.31
1969,28.50,22.31,15.42,35.72,27.85,21.63,53.51,46.37,77.43,34.17,74.45,21.89
1970,23.62,23.25,31.60,52.10,27.19,14.55,111.52,41.69,82.15,52.75,38.28,46.58
1971,46.89,37.66,33.92,22.06,18.73,31.34,55.78,83.99,52.80,50.74,45.71,38.49
1972,12.24,24.18,19.77,47.69,34.89,38.85,65.43,101.04,48.35,39.17,54.77,37.37
1973,30.98,26.15,25.82,52.29,41.97,55.05,36.08,62.07,63.18,41.71,44.94,40.71
1974,40.01,53.11,15.45,9.68,27.12,64.72,114.01,92.47,86.52,59.39,62.76,69.72
1975,46.31,17.10,26.05,36.79,47.84,47.35,41.27,60.18,78.95,38.44,31.75,49.17
1976,32.93,17.04,25.55,18.93,16.58,56.42,76.51,35.53,53.17,22.57,48.87,35.49
1977,43.32,26.68,34.78,60.89,43.64,49.14,102.89,39.59,63.15,57.87,64.27,19.17
1978,29.38,14.33,38.25,25.51,6.71,45.75,54.76,83.16,65.14,38.63,42.94,15.57
1979,35.19,27.56,27.24,25.56,44.40,46.08,78.43,75.51,75.82,40.41,66.79,43.52
1980,23.24,16.71,16.11,20.56,31.74,58.63,36.77,74.19,41.77,88.02,58.24,56.36
1981,43.47,21.23,39.18,18.40,22.10,121.09,100.26,96.63,37.36,89.35,65.19,67.00
1982,23.68,12.01,22.23,46.96,59.60,44.44,39.94,94.31,56.35,33.98,72.74,43.97
1983,62.25,10.98,37.47,31.88,56.69,67.30,62.08,42.47,77.55,85.46,46.56,58.34
1984,58.25,26.26,28.67,19.69,28.32,64.58,100.23,51.37,60.41,84.04,33.32,33.52
1985,23.22,15.51,37.71,32.70,40.61,46.57,56.41,84.97,70.01,62.68,47.94,47.18
1986,35.55,9.76,27.98,33.35,50.93,23.29,69.05,111.26,66.70,49.08,74.04,34.89
1987,15.98,44.46,25.42,12.28,40.05,88.73,79.72,104.57,72.42,25.59,35.05,33.60
1988,44.02,35.84,33.57,33.79,42.37,44.03,88.52,95.24,68.27,47.11,29.14,47.31
