Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,61.83,45.06,45.89,46.25,48.37,42.93,39.75,36.83,32.20,32.69,37.18,55.00
1902,61.83,45.06,45.89,46.25,48.37,42.93,39.75,36.83,32.20,32.69,37.18,55.00
1903,61.83,45.06,45.89,46.25,48.37,42.93,39.75,36.83,32.20,32.69,37.18,55.00
1904,61.83,45.06,45.89,46.25,48.37,42.93,39.75,36.83,32.20,32.69,37.18,55.00
1905,61.83,45.06,45.89,46.25,48.37,42.93,39.75,36.83,32.20,32.69,37.18,55.00
1906,61.83,45.06,45.89,46.25,48.37,42.93,39.75,36.83,32.20,32.69,37.18,55.00
1907,61.83,45.06,45.89,46.25,48.37,42.93,39.75,36.83,32.20,32.69,37.18,55.00
1908,61.83,45.06,45.89,46.25,48.37,42.93,39.75,36.83,32.20,32.69,37.18,55.00
1909,61.83,45.06,45.89,46.25,48.37,42.93,39.75,36.83,32.20,32.69,37.18,55.00
1910,61.83,45.06,45.89,46.25,48.37,42.93,39.75,36.83,32.20,32.69,37.18,55.00
1911,61.83,45.06,45.89,46.25,48.37,42.93,39.75,36.83,32.20,32.69,37.18,55.00
1912,61.83,45.06,45.89,46.25,48.37,42.93,39.75,36.83,32.20,32.69,37.18,55.00
1913,61.83,45.06,45.89,46.25,48.37,42.93,39.75,36.83,32.20,32.69,37.18,55.00
1914,61.83,45.06,45.89,46.25,48.37,42.93,39.75,36.83,32.20,32.69,37.18,55.00
1915,61.83,45.06,45.89,46.25,48.37,42.93,39.75,36.83,32.20,32.69,37.18,55.00
1916,61.83,45.06,45.89,46.25,48.37,42.93,39.75,36.83,32.20,32.69,37.18,55.00
1917,61.83,45.06,45.89,46.25,48.37,42.93,39.75,36.83,32.20,32.69,37.18,55.00
1918,61.83,45.06,45.89,46.25,48.37,42.93,39.75,36.83,32.20,32.69,37.18,55.00
1919,61.83,45.06,45.89,46.25,48.37,42.93,39.75,36.83,32.20,32.69,37.18,55.00
1920,61.83,45.06,45.89,46.25,48.37,42.93,39.75,36.83,32.20,32.69,37.18,55.00
1921,61.83,45.06,45.89,46.25,48.37,42.93,39.75,36.83,32.20,32.69,37.18,55.00
1922,61.83,45.06,45.89,46.25,48.37,42.93,39.75,36.83,32.20,32.69,37.18,55.00
1923,61.83,45.06,45.89,46.25,48.37,42.93,39.75,36.83,32.20,32.69,37.18,55.00
