Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,76.03,57.44,67.72,52.47,163.18,128.62,128.87,72.54,112.23,87.23,116.17,67.81
1902,62.13,58.63,73.32,83.51,114.80,100.93,96.47,150.59,104.86,92.99,81.85,88.38
1903,94.83,96.76,32.07,60.93,106.82,142.95,176.40,100.14,88.77,62.54,46.73,42.52
1904,50.58,42.92,92.76,72.50,158.53,96.91,91.05,61.81,111.64,92.48,124.00,102.22
1905,86.70,22.97,35.10,105.72,113.77,147.20,90.47,103.53,48.37,79.59,76.91,104.67
1906,63.04,34.71,77.46,37.86,162.04,86.53,170.32,77.80,93.57,88.84,67.07,122.36
1907,102.65,61.98,51.05,81.41,40.23,101.20,153.23,77.37,120.13,24.78,92.85,88.74
1908,91.55,59.17,83.12,73.10,71.73,94.90,91.25,44.44,49.46,76.53,130.78,98.07
1909,47.74,70.08,66.78,65.85,54.28,125.12,66.99,98.23,105.22,79.47,87.82,56.37
1910,68.43,51.45,54.13,72.31,113.91,125.14,85.31,91.52,102.24,49.85,62.82,18.35
1911,68.95,82.17,55.71,94.54,96.06,103.15,67.02,91.97,96.46,55.48,42.17,30.82
1912,52.72,82.36,42.39,116.36,129.64,96.61,147.31,42.36,44.15,159.57,81.48,95.87
1913,63.21,85.72,53.48,67.65,154.22,63.88,83.71,31.07,94.76,84.68,52.70,75.23
1914,71.50,13.26,79.79,96.09,108.74,173.90,119.32,106.41,98.28,120.29,90.81,47.83
1915,33.27,41.70,139.65,129.52,143.95,183.50,111.99,121.02,96.13,112.07,73.92,78.62
1916,62.45,47.07,31.82,69.88,175.17,50.26,76.24,50.13,152.20,47.29,36.74,68.90
1917,65.87,78.58,63.13,74.02,129.78,125.43,56.28,86.80,98.41,37.31,61.62,59.04
1918,50.32,47.30,24.60,63.80,100.71,129.08,99.32,107.50,46.90,63.99,77.29,73.77
1919,28.46,99.37,98.68,113.03,133.78,184.83,110.53,58.77,89.39,75.92,115.84,62.37
1920,96.19,58.06,70.83,59.33,135.32,141.41,93.51,92.40,146.31,163.58,99.19,19.06
1921,64.33,44.99,60.47,132.10,33.07,129.10,72.09,78.57,125.35,101.86,83.84,104.83
1922,91.46,72.22,64.67,100.50,80.16,142.25,145.82,156.58,117.07,130.97,87.86,41.27
1923,65.10,55.49,54.78,99.10,99.21,117.08,116.95,117.07,41.72,111.25,53.76,53.97
1924,28.48,81.64,60.33,107.50,52.52,116.07,76.60,89.92,67.37,129.05,71.80,54.81
1925,64.28,8.94,70.04,85.22,92.52,129.07,80.42,73.21,43.79,72.89,96.52,87.90
1926,66.82,46.11,88.51,87.69,145.14,119.09,138.52,91.51,90.87,68.37,20.21,112.50
1927,89.97,62.97,54.92,86.90,116.04,81.87,147.83,99.08,93.77,63.72,108.15,101.17
1928,18.26,157.24,65.76,71.72,98.79,120.50,66.07,75.48,108.30,110.82,50.28,61.56
1929,52.65,59.40,64.64,94.80,97.09,95.83,72.60,41.25,142.84,40.33,39.41,59.54
1930,27.66,77.91,67.88,85.04,88.59,185.27,81.78,53.78,81.25,74.23,92.54,87.68
1931,70.24,25.11,88.70,96.49,139.50,140.63,162.69,123.29,88.09,54.38,97.98,110.72
1932,77.53,128.50,64.78,106.14,108.59,76.63,104.57,78.49,114.69,32.64,106.33,21.91
1933,65.63,53.71,71.22,111.33,106.27,133.80,89.90,54.59,99.54,64.27,167.53,98.77
1934,45.03,45.00,30.37,57.19,99.70,117.81,141.96,110.37,116.94,54.20,61.57,43.72
1935,73.57,75.22,83.50,62.86,75.17,102.37,79.70,73.76,53.39,70.61,84.03,31.74
1936,50.54,77.34,52.05,119.21,154.19,163.21,157.88,72.78,152.58,172.51,107.31,59.70
1937,112.39,49.75,37.71,105.48,154.23,121.43,40.14,156.07,63.45,72.68,54.97,53.92
1938,65.55,119.64,100.95,119.87,112.01,87.83,62.39,63.87,118.49,31.84,59.69,57.01
1939,60.84,77.86,108.91,58.18,130.26,121.07,151.50,136.63,116.49,154.27,119.07,73.49
1940,155.82,57.99,70.27,58.27,122.09,155.36,105.29,43.98,65.27,180.76,36.36,128.97
1941,100.18,53.26,115.38,87.25,98.99,82.24,60.73,105.10,81.98,110.25,158.11,84.30
