Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,181.50,134.40,219.50,80.00,31.70,8.80,0.90,4.40,54.50,81.70,137.30,137.60
1902,0.60,181.60,80.80,119.70,46.60,11.50,11.00,21.70,18.80,144.40,160.50,84.60
1903,73.60,4.40,51.90,54.30,57.50,32.80,0.10,0.20,19.80,45.80,46.70,202.00
1904,99.90,140.40,158.50,50.80,18.00,31.80,0.80,2.10,53.20,42.30,101.70,111.90
1905,60.90,16.90,27.80,42.30,66.90,13.40,6.30,0.00,17.90,88.60,240.40,86.00
1906,16.00,28.40,98.70,56.30,63.40,24.90,0.10,1.70,47.30,54.30,101.10,51.50
1907,24.80,37.10,1.70,43.40,30.70,0.60,3.60,2.30,77.80,138.70,143.20,98.50
1908,114.20,40.70,55.60,40.30,13.60,52.80,1.30,2.80,11.50,32.10,172.90,83.20
1909,72.10,61.50,199.20,67.50,77.00,7.80,0.00,2.70,22.40,62.10,259.10,122.00
1910,23.60,23.30,62.80,49.80,115.30,8.40,0.00,0.00,25.70,111.70,42.40,256.70
1911,76.90,45.70,162.30,99.60,47.40,15.00,1.00,12.50,8.70,105.70,90.20,105.50
1912,212.00,208.70,37.40,51.10,4.60,15.50,4.40,0.00,50.10,61.90,32.60,50.50
1913,88.60,83.20,154.90,39.90,26.80,2.20,1.20,1.10,49.60,135.90,26.70,63.80
1914,67.20,86.10,52.10,70.50,17.30,1.00,8.70,0.00,0.20,82.20,160.30,141.70
1915,153.80,61.90,176.20,50.50,33.00,1.30,0.20,0.00,6.30,28.40,167.30,80.10
1916,9.10,116.10,249.90,24.30,34.60,1.00,0.50,0.10,41.40,25.00,153.50,166.30
1917,149.90,136.90,168.30,17.20,43.10,13.20,0.00,0.50,7.50,23.40,3.90,132.70
1918,202.50,25.10,106.00,111.40,37.70,2.50,2.20,3.30,5.40,57.30,114.30,20.60
1919,65.10,131.80,77.80,55.10,8.30,9.20,0.10,1.70,51.60,101.50,249.80,46.40
1920,35.60,111.30,67.50,28.80,46.50,2.20,0.70,0.00,6.90,59.40,188.60,127.20
1921,32.50,144.50,76.10,82.30,44.10,11.50,0.00,6.80,39.90,38.30,92.50,70.70
1922,70.80,51.20,124.60,10.80,21.30,27.60,0.00,1.30,18.50,139.00,78.10,85.80
1923,18.30,84.90,37.10,171.00,12.30,37.80,1.80,1.00,26.10,43.40,218.00,21.10
1924,87.10,157.30,202.20,62.00,14.00,2.20,0.00,5.70,3.80,78.90,160.80,96.50
1925,3.00,89.60,94.50,15.20,28.00,37.80,3.30,3.50,0.70,57.00,252.90,185.70
