Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,96.13,67.09,83.02,114.00,146.89,135.03,175.11,198.98,210.81,231.93,202.10,147.71
1902,71.33,36.52,85.76,79.84,316.26,234.83,223.03,173.88,180.76,149.44,281.79,155.39
1903,49.00,56.53,38.90,275.58,96.11,236.39,166.41,300.82,217.12,159.71,125.79,172.92
1904,139.54,62.64,120.71,69.16,146.91,61.65,177.40,162.64,311.53,209.95,76.97,119.32
1905,78.22,44.74,111.23,96.03,93.95,131.60,117.82,159.23,259.00,294.10,224.29,76.26
1906,69.67,47.08,70.29,114.67,128.57,176.08,177.63,197.99,317.18,204.22,198.08,91.93
1907,67.70,44.62,81.06,97.92,149.42,95.03,157.95,145.91,160.96,248.74,133.09,159.77
1908,62.66,17.22,39.82,106.72,56.58,145.17,193.52,124.66,205.36,153.25,87.85,259.92
1909,96.13,67.09,83.02,114.00,146.89,135.03,175.11,198.98,210.81,231.93,202.10,147.71
1910,107.84,97.41,109.37,26.37,366.48,159.69,182.18,210.66,168.93,96.69,107.97,90.71
1911,96.13,67.09,83.02,114.00,146.89,135.03,175.11,198.98,210.81,231.93,202.10,147.71
1912,96.13,67.09,83.02,114.00,146.89,135.03,175.11,198.98,210.81,231.93,202.10,147.71
1913,96.13,67.09,83.02,114.00,146.89,135.03,175.11,198.98,210.81,231.93,202.10,147.71
1914,96.13,67.09,83.02,114.00,146.89,135.03,175.11,198.98,210.81,231.93,202.10,147.71
1915,96.13,67.09,83.02,114.00,146.89,135.03,175.11,198.98,210.81,231.93,202.10,147.71
1916,96.13,67.09,83.02,114.00,146.89,135.03,175.11,198.98,210.81,231.93,202.10,147.71
1917,96.13,67.09,83.02,114.00,146.89,135.03,175.11,198.98,210.81,231.93,202.10,147.71
1918,96.13,67.09,83.02,114.00,146.89,135.03,175.11,198.98,210.81,231.93,202.10,147.71
1919,96.13,67.09,83.02,114.00,146.89,135.03,175.11,198.98,210.81,231.93,202.10,147.71
1920,96.13,67.09,83.02,114.00,146.89,135.03,175.11,198.98,210.81,231.93,202.10,147.71
1921,96.13,67.09,83.02,114.00,146.89,135.03,175.11,198.98,210.81,231.93,202.10,147.71
1922,96.13,67.09,83.02,114.00,146.89,135.03,175.11,198.98,210.81,231.93,202.10,147.71
1923,96.13,67.09,83.02,114.00,146.89,135.03,175.11,198.98,210.81,231.93,202.10,147.71
1924,96.13,67.09,83.02,114.00,146.89,135.03,175.11,198.98,210.81,231.93,202.10,147.71
1925,96.13,67.09,83.02,114.00,146.89,135.03,175.11,198.98,210.81,231.93,202.10,147.71
1926,96.13,67.09,83.02,114.00,146.89,135.03,175.11,198.98,210.81,231.93,202.10,147.71
1927,96.13,67.09,83.02,114.00,146.89,135.03,175.11,198.98,210.81,231.93,202.10,147.71
1928,96.13,67.09,83.02,114.00,146.89,135.03,175.11,198.98,210.81,231.93,202.10,147.71
1929,96.13,67.09,83.02,114.00,146.89,135.03,175.11,198.98,210.81,231.93,202.10,147.71
1930,96.13,67.09,83.02,114.00,146.89,135.03,175.11,198.98,210.81,231.93,202.10,147.71
1931,96.13,67.09,83.02,114.00,146.89,135.03,175.11,198.98,210.81,231.93,202.10,147.71
1932,81.37,43.69,76.71,81.27,161.02,162.62,174.07,139.08,222.44,233.42,362.80,109.25
1933,133.20,45.32,62.71,56.48,194.75,157.44,200.51,194.25,402.62,223.27,238.83,111.99
1934,47.69,24.71,68.92,71.88,143.60,57.63,131.78,170.57,129.03,122.91,160.37,198.99
1935,74.96,40.62,115.11,103.09,174.92,66.95,229.19,271.87,185.23,188.05,114.80,92.48
1936,55.89,54.56,30.74,48.53,345.75,197.23,166.31,234.96,215.45,334.51,193.07,115.82
1937,130.51,41.56,29.82,117.86,47.37,77.66,123.53,107.92,213.46,169.32,213.18,77.60
1938,79.16,38.30,60.56,76.73,176.17,143.28,148.82,263.83,229.97,156.10,352.24,161.74
1939,82.21,56.79,117.06,61.33,68.89,146.96,93.35,120.59,143.78,212.79,251.01,48.74
1940,39.26,47.20,80.94,57.67,59.33,149.55,140.11,115.86,111.42,142.17,262.65,100.48
1941,82.31,15.56,58.50,147.84,131.31,158.76,168.35,118.06,276.51,120.89,294.49,98.63
1942,61.51,74.59,47.83,165.68,135.40,109.42,156.34,122.66,366.73,222.85,404.97,107.11
1943,80.57,48.18,91.96,113.73,127.85,103.11,129.00,213.23,169.70,203.06,165.39,110.88
1944,71.91,69.08,48.93,79.68,257.63,121.41,226.06,121.81,187.20,263.06,176.89,131.80
1945,54.70,74.72,57.29,216.76,155.29,92.52,156.53,192.14,187.55,232.99,153.02,117.02
1946,97.80,48.70,39.34,86.00,218.21,83.80,122.40,152.20,169.94,156.52,154.70,116.58
1947,126.17,27.77,52.63,69.36,155.34,78.17,167.74,114.22,149.53,156.27,113.84,91.87
1948,55.16,55.23,97.24,86.31,98.41,175.05,212.72,273.33,183.76,324.73,357.90,126.14
1949,62.98,83.12,80.94,80.43,83.92,139.84,163.73,133.40,333.26,261.86,124.69,104.33
1950,141.86,58.07,109.97,148.76,128.42,204.90,94.80,182.43,184.50,240.14,154.85,192.83
1951,89.46,61.13,61.38,139.67,201.34,143.26,172.23,254.17,276.44,162.19,166.77,196.49
1952,88.03,49.52,90.30,150.37,123.99,123.80,261.05,306.98,345.58,191.73,253.54,112.22
1953,111.64,48.53,94.45,121.42,151.81,136.33,184.98,156.97,227.26,131.26,250.11,186.78
1954,117.95,83.62,89.63,186.30,124.29,111.04,161.23,253.61,324.51,358.06,147.79,150.37
1955,92.36,72.46,65.86,130.98,166.91,112.51,168.03,288.67,288.11,311.75,310.22,110.85
1956,110.23,111.95,96.84,200.89,92.45,162.75,143.09,243.38,135.32,253.34,237.80,270.95
1957,118.14,48.89,39.28,83.64,78.42,187.76,200.14,224.22,142.64,236.85,227.38,190.83
1958,48.08,35.78,24.71,178.84,290.33,218.32,258.13,182.18,306.15,344.59,211.58,166.65
1959,109.47,75.59,114.38,134.60,211.31,103.36,219.56,113.17,210.30,165.04,152.28,119.30
1960,72.63,76.90,114.94,113.28,138.78,101.52,246.80,175.68,243.04,248.01,210.10,212.23
1961,107.32,66.93,69.89,54.64,102.67,116.68,203.41,211.37,135.75,255.87,200.33,162.38
1962,140.72,63.70,59.54,159.91,103.79,185.01,174.14,233.09,209.82,196.61,128.66,103.04
1963,138.04,64.25,66.65,104.55,159.31,121.28,249.29,138.90,241.81,183.40,153.96,63.91
1964,67.36,62.35,87.51,158.68,137.55,147.26,215.46,215.17,171.54,191.13,97.24,95.32
1965,120.61,36.45,47.65,123.04,145.57,128.21,197.28,138.27,214.53,174.58,161.24,179.51
1966,45.32,115.48,124.48,126.20,257.34,148.79,282.45,169.95,214.36,197.14,230.84,141.13
1967,150.94,74.48,137.54,93.13,134.93,80.34,146.09,162.77,375.08,211.42,183.05,95.20
1968,66.08,30.25,70.51,137.94,166.15,184.30,121.70,190.43,173.84,162.24,124.05,194.96
1969,93.52,43.52,38.21,119.68,231.54,197.92,281.30,188.13,244.85,211.43,214.36,124.50
1970,41.76,41.35,58.05,80.23,155.79,220.84,268.89,309.74,162.23,274.34,202.43,279.58
1971,117.53,104.90,67.47,124.80,182.58,47.78,126.56,205.87,151.09,193.36,91.21,243.21
1972,132.88,109.97,96.53,119.96,106.56,124.14,153.96,145.01,209.92,289.10,167.89,152.61
1973,59.76,48.49,57.44,106.25,71.10,152.15,109.60,146.01,217.03,146.03,93.17,101.47
1974,141.12,84.76,154.89,98.73,126.60,90.85,94.32,122.46,242.91,202.73,185.09,75.52
1975,133.27,77.41,59.31,84.80,84.90,64.05,79.58,159.04,235.36,382.15,224.93,238.87
1976,91.31,100.93,89.07,65.14,88.45,105.16,101.05,167.08,148.86,249.68,239.75,197.91
1977,43.92,34.05,46.04,164.30,86.47,79.10,111.40,233.33,196.59,350.28,269.47,103.14
1978,81.53,37.21,109.63,95.43,167.78,136.80,179.51,196.30,153.33,199.15,214.43,105.04
1979,54.18,47.95,127.03,61.20,187.38,246.96,231.61,298.97,270.20,214.25,263.78,146.88
1980,70.21,59.19,57.47,165.28,95.24,92.95,175.53,270.16,231.93,238.88,173.61,194.08
1981,87.79,100.41,63.14,339.14,259.46,153.32,217.85,206.61,130.00,177.79,152.79,185.06
1982,119.64,105.03,90.43,146.80,133.58,86.45,157.72,226.26,241.94,259.01,286.16,165.02
1983,95.68,38.03,65.48,57.84,202.30,105.19,197.09,215.49,284.71,177.51,137.90,116.05
1984,99.77,46.88,109.39,105.68,109.36,125.31,213.94,146.27,187.87,268.46,470.89,100.42
1985,74.28,56.83,115.28,110.10,86.05,114.53,111.08,177.12,208.11,383.77,214.32,131.00
1986,123.03,25.29,102.73,114.67,256.59,123.00,147.31,200.03,141.88,203.72,411.40,147.48
1987,63.33,26.91,86.10,84.63,342.52,193.49,150.07,170.35,215.14,200.52,414.71,126.61
1988,98.57,94.00,65.77,134.12,89.57,180.28,187.44,318.39,247.15,280.59,236.43,155.64
