Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,78.30,57.30,58.90,58.20,76.10,154.60,202.70,195.30,185.70,206.90,182.40,137.70
1902,64.90,40.00,60.20,46.70,134.30,230.40,239.50,179.00,168.20,158.20,230.00,142.50
1903,52.80,51.30,38.20,112.80,58.70,231.60,196.00,261.50,189.40,164.30,136.80,153.20
1904,101.80,54.80,76.60,43.10,76.10,98.90,204.40,171.70,244.50,193.90,107.70,120.20
1905,68.60,44.70,72.20,52.10,57.90,152.00,158.70,169.50,213.80,243.50,195.60,93.60
1906,64.00,46.00,52.90,58.40,69.80,185.70,204.60,194.70,247.70,190.60,180.00,103.30
1907,63.00,44.60,58.00,52.80,77.00,124.30,189.50,160.80,156.60,216.80,141.20,145.10
1908,60.20,29.00,38.60,55.70,45.10,162.30,216.80,147.00,182.50,160.50,114.10,206.90
1909,78.30,57.30,58.90,58.20,76.10,154.60,202.70,195.30,185.70,206.90,182.40,137.70
1910,84.60,74.50,71.30,28.60,151.50,173.40,208.10,202.90,161.30,127.10,126.20,102.50
1911,78.30,57.30,58.90,58.20,76.10,154.60,202.70,195.30,185.70,206.90,182.40,137.70
1912,78.30,57.30,58.90,58.20,76.10,154.60,202.70,195.30,185.70,206.90,182.40,137.70
1913,78.30,57.30,58.90,58.20,76.10,154.60,202.70,195.30,185.70,206.90,182.40,137.70
1914,78.30,57.30,58.90,58.20,76.10,154.60,202.70,195.30,185.70,206.90,182.40,137.70
1915,78.30,57.30,58.90,58.20,76.10,154.60,202.70,195.30,185.70,206.90,182.40,137.70
1916,78.30,57.30,58.90,58.20,76.10,154.60,202.70,195.30,185.70,206.90,182.40,137.70
1917,78.30,57.30,58.90,58.20,76.10,154.60,202.70,195.30,185.70,206.90,182.40,137.70
1918,78.30,57.30,58.90,58.20,76.10,154.60,202.70,195.30,185.70,206.90,182.40,137.70
1919,78.30,57.30,58.90,58.20,76.10,154.60,202.70,195.30,185.70,206.90,182.40,137.70
1920,78.30,57.30,58.90,58.20,76.10,154.60,202.70,195.30,185.70,206.90,182.40,137.70
1921,64.40,54.00,82.00,81.20,76.90,140.50,193.90,177.00,241.50,291.10,196.00,159.20
1922,60.00,56.60,66.00,49.80,75.40,160.70,204.00,161.50,151.20,167.20,164.10,164.70
1923,67.80,46.30,61.30,45.70,57.40,173.20,190.80,184.80,173.70,277.80,171.90,172.80
1924,50.70,51.80,40.10,44.30,53.80,162.10,149.60,167.50,185.70,171.30,186.00,112.70
1925,63.20,42.40,42.50,67.70,55.60,114.20,171.20,182.90,177.50,225.90,152.10,115.70
1926,55.60,50.20,42.50,77.90,51.20,110.80,158.60,205.60,188.40,223.10,149.70,118.00
1927,64.00,68.70,69.20,67.70,83.40,136.30,184.80,228.90,154.30,210.90,161.30,168.00
1928,68.40,70.10,38.20,49.70,75.40,165.50,177.60,197.80,185.30,155.40,164.20,136.80
1929,95.70,46.00,47.60,60.90,121.30,139.10,193.60,160.30,190.10,156.00,173.60,136.30
