Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,38.50,47.18,48.28,28.95,33.27,30.57,48.19,44.83,48.79,30.73,39.78,42.70
1902,37.61,31.87,27.69,31.85,30.74,26.07,38.06,36.29,65.29,35.40,31.86,42.74
1903,36.76,35.68,26.61,29.51,34.90,38.01,23.71,29.44,37.00,28.43,33.41,38.20
1904,37.65,29.07,31.49,23.70,21.09,22.21,40.57,33.74,41.33,40.75,45.31,33.30
1905,32.14,34.55,34.26,33.58,21.74,30.59,24.08,43.25,45.39,47.53,52.45,34.80
1906,32.38,37.35,37.73,38.50,27.47,30.82,39.60,24.84,33.91,43.78,31.00,50.15
1907,39.02,40.08,29.18,25.27,23.19,26.29,31.09,35.88,32.07,37.71,40.57,38.13
1908,42.96,43.11,57.40,35.30,25.91,20.17,32.26,48.88,44.96,41.59,37.65,34.50
1909,37.18,32.20,35.03,31.62,19.94,33.33,25.35,41.92,41.60,31.26,42.56,32.66
1910,33.90,26.23,37.18,33.43,23.48,25.81,33.62,29.06,47.33,38.10,28.04,38.31
1911,42.20,38.34,47.11,35.71,21.23,30.82,26.94,35.58,42.09,51.63,39.37,29.66
1912,39.01,33.43,24.11,31.15,31.49,27.80,39.79,34.65,50.41,31.02,45.50,29.53
1913,36.59,30.20,28.93,32.64,28.15,21.40,40.85,42.76,50.69,48.74,28.17,32.33
1914,40.90,22.48,23.06,27.15,33.45,35.52,33.02,43.44,33.52,38.20,44.26,32.08
1915,36.89,28.62,28.78,36.07,25.72,25.99,36.65,55.62,41.18,33.04,48.61,38.48
1916,32.59,40.50,40.84,27.35,22.03,34.51,46.19,34.01,38.73,44.74,35.53,47.44
1917,46.50,42.71,36.23,38.06,24.66,27.39,36.70,33.74,38.42,40.16,45.66,47.52
1918,43.35,31.85,30.79,36.25,32.86,34.89,32.86,37.43,39.35,36.49,34.01,34.56
1919,32.18,28.86,38.78,28.56,22.59,30.32,36.44,47.25,43.79,42.12,58.20,30.95
1920,31.46,33.75,40.26,25.63,21.59,24.92,36.54,51.46,36.32,40.26,38.40,42.79
1921,28.27,45.99,39.57,26.89,27.68,25.63,31.00,45.10,36.22,46.53,40.43,38.90
1922,36.33,28.80,45.35,38.25,31.69,32.45,29.45,40.66,31.54,41.62,41.90,44.84
1923,43.52,22.39,36.85,35.85,49.83,37.64,27.43,22.50,46.68,38.57,44.29,46.59
1924,34.81,48.53,35.24,25.27,19.67,20.36,28.34,33.94,37.52,30.40,46.07,32.34
1925,31.30,27.79,41.34,31.59,17.26,36.04,38.71,38.82,48.61,35.45,53.08,44.14
1926,30.72,26.43,39.94,32.34,33.06,22.43,26.07,31.25,39.84,41.56,36.44,47.16
1927,45.75,31.35,29.08,21.91,28.05,25.75,40.38,27.28,27.98,35.42,35.45,34.10
1928,29.18,29.88,33.41,28.34,32.68,23.03,31.26,33.69,37.52,34.30,30.36,43.01
1929,50.58,29.34,44.84,29.63,23.32,21.94,30.76,31.61,34.96,47.86,30.89,29.43
1930,27.11,42.59,35.99,26.83,25.13,29.38,31.07,30.43,29.77,42.12,37.20,29.85
1931,42.25,35.59,26.83,32.71,22.01,25.17,22.76,46.21,41.92,50.27,29.58,36.47
1932,29.31,43.54,47.07,43.72,29.55,35.15,26.28,43.42,37.56,41.66,36.44,40.66
1933,34.68,24.68,28.40,29.08,23.88,29.86,33.86,34.05,42.46,31.68,43.07,45.96
1934,30.91,31.32,27.56,35.23,19.87,24.58,25.39,26.90,39.62,41.44,42.50,37.88
1935,36.61,27.03,27.22,24.14,26.05,25.06,22.91,59.12,26.13,34.51,33.10,27.87
1936,28.90,32.93,44.28,38.80,43.90,36.27,27.70,32.96,49.21,46.85,35.14,33.36
1937,30.13,25.45,30.07,22.12,21.00,28.86,30.14,36.91,46.80,38.95,35.03,39.17
1938,30.18,35.68,34.62,33.38,27.79,27.21,40.25,40.03,53.15,36.95,29.69,29.35
1939,45.29,29.24,33.54,26.54,22.05,26.90,31.52,42.53,35.61,46.39,33.68,38.02
1940,29.13,34.84,39.37,29.39,27.62,28.42,25.83,42.70,61.45,33.42,40.65,46.71
1941,37.65,32.85,28.86,30.69,33.49,26.38,32.83,24.71,45.78,39.45,40.14,38.33
1942,43.71,46.20,28.03,26.75,24.23,47.64,36.82,36.77,45.41,35.20,56.11,31.84
1943,27.63,32.88,42.24,40.26,22.53,21.46,28.73,20.76,54.68,27.72,48.97,44.07
