Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,74.37,52.79,52.24,69.10,178.62,319.49,309.09,278.54,337.61,267.92,131.80,86.38
1902,73.89,52.31,51.86,68.84,178.55,319.16,308.68,277.21,335.53,267.80,131.87,87.25
1903,73.82,52.62,52.83,68.95,178.05,317.69,307.26,278.22,335.43,264.83,131.84,86.35
1904,73.49,52.36,51.81,68.84,179.08,317.89,309.47,277.27,336.15,269.57,134.10,87.39
1905,74.25,53.70,52.73,68.71,178.82,318.82,308.95,279.14,336.41,265.26,131.65,87.31
1906,74.49,52.64,51.84,68.89,178.06,318.80,308.67,277.88,336.59,270.59,132.40,86.63
1907,73.78,52.86,51.23,68.62,179.93,319.60,308.73,278.49,336.87,271.19,134.15,87.99
1908,73.52,52.29,51.80,68.68,177.46,318.18,308.60,279.18,338.10,267.47,132.56,86.67
1909,73.53,52.39,53.94,68.70,177.26,321.94,307.99,280.05,336.14,269.15,131.59,87.39
1910,74.88,53.61,51.97,68.64,178.83,319.98,308.48,278.20,336.77,276.77,131.66,86.33
1911,73.64,52.32,51.21,69.10,178.79,320.44,294.45,263.90,328.93,267.53,175.30,80.39
1912,105.47,50.69,59.13,60.23,199.01,303.03,302.17,282.53,337.44,287.43,123.67,77.54
1913,89.79,53.92,75.99,98.98,228.48,327.15,306.40,255.84,334.49,244.73,129.57,74.79
1914,65.59,46.31,49.51,76.29,230.40,346.56,299.14,266.83,338.19,272.45,111.95,85.52
1915,80.02,42.50,53.24,68.95,179.18,319.54,307.50,278.49,336.48,269.81,132.14,87.18
1916,74.35,52.74,52.27,69.44,179.47,321.43,307.46,280.70,341.70,270.34,136.11,86.66
1917,73.64,52.26,52.20,68.91,177.72,319.25,309.18,277.55,336.07,267.64,132.76,86.46
1918,74.95,52.25,53.13,68.89,178.21,320.12,308.34,277.45,336.99,283.73,131.67,87.06
1919,75.02,52.31,53.29,69.49,179.21,322.27,319.91,281.67,326.42,321.84,121.27,85.69
1920,74.00,43.35,43.75,60.83,179.03,360.98,328.20,261.59,344.91,230.11,124.87,77.38
1921,58.66,44.52,43.15,97.96,195.70,324.94,294.49,267.84,331.05,307.65,129.67,95.28
1922,68.37,59.59,44.46,60.08,158.58,306.68,302.14,265.93,325.53,324.03,136.76,82.11
1923,68.14,58.91,52.42,59.69,156.25,302.81,241.80,206.01,176.93,216.70,52.55,86.91
1924,75.28,52.78,51.39,68.67,180.70,320.91,329.12,289.46,367.11,392.14,72.23,110.76
1925,196.62,55.18,73.51,55.70,166.38,249.92,276.05,163.13,279.52,161.85,223.99,118.68
1926,66.32,22.73,24.84,55.93,185.75,261.81,387.76,303.15,244.84,412.72,47.37,45.83
1927,46.17,137.56,25.47,115.53,208.09,422.03,264.15,207.18,400.75,326.29,176.80,72.43
1928,146.78,106.62,84.59,39.17,171.23,402.09,299.90,208.47,343.66,194.43,189.84,208.72
1929,58.93,19.63,37.75,29.17,303.19,341.65,262.21,265.87,494.72,181.54,195.78,110.29
1930,60.72,147.77,28.88,37.57,228.11,406.53,204.09,241.39,368.39,297.97,89.47,132.68
1931,33.51,65.20,16.98,37.23,196.45,457.02,482.61,203.60,320.89,286.64,50.24,358.64
1932,161.32,45.17,39.58,64.55,172.99,378.82,311.92,403.61,225.24,359.67,24.37,202.63
1933,52.75,18.24,23.17,49.61,378.29,322.30,423.23,374.57,440.69,229.04,16.07,96.92
1934,61.79,105.94,77.80,52.23,286.84,231.00,217.28,172.62,345.74,217.09,65.35,61.66
1935,154.24,28.04,53.63,38.89,228.65,303.78,236.15,297.47,224.36,386.89,44.78,37.39
1936,42.50,41.08,39.58,77.09,211.09,501.48,554.03,225.86,345.21,318.68,134.42,111.84
1937,249.09,106.98,59.61,127.60,352.82,389.73,311.46,249.76,340.80,385.89,26.03,65.05
1938,63.66,154.50,41.56,67.84,181.46,279.13,230.15,222.21,457.01,223.64,142.72,19.97
1939,45.39,27.41,27.34,36.55,157.37,268.62,236.47,228.31,455.77,287.98,43.27,60.23
1940,56.55,8.78,41.15,32.31,175.26,381.41,219.27,153.50,406.61,276.39,252.43,181.88
1941,33.78,13.62,21.62,136.28,303.49,253.25,234.47,255.21,400.64,247.90,170.67,107.10
1942,43.12,111.88,39.23,109.23,200.76,249.02,353.91,364.51,396.94,108.06,169.39,242.33
1943,61.98,143.02,117.88,74.99,241.19,222.94,266.92,294.59,320.19,483.64,123.90,34.56
1944,56.03,12.76,137.44,49.31,155.37,342.38,302.22,372.02,386.22,194.66,57.43,48.88
1945,46.06,48.13,17.71,33.62,177.16,289.96,362.03,342.53,365.36,223.88,116.37,68.84
1946,39.50,66.82,24.94,57.87,73.77,205.49,191.54,202.28,280.52,333.83,114.19,72.12
1947,112.63,91.55,40.80,87.88,254.29,237.58,313.05,257.80,388.18,320.29,292.39,212.84
1948,89.19,44.25,33.38,90.98,230.79,394.76,418.36,238.05,282.42,223.68,315.17,82.72
1949,47.40,81.97,44.32,33.85,106.02,210.30,154.12,201.30,424.19,311.30,54.27,63.03
1950,113.28,41.73,114.35,28.85,135.70,313.92,244.50,193.75,253.01,318.10,44.84,29.76
1951,26.73,50.42,56.25,31.18,212.83,299.28,363.18,201.30,449.37,225.60,125.88,59.87
1952,42.57,31.25,36.60,138.80,248.07,346.83,308.46,313.93,345.38,375.08,99.43,60.66
