Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,222.13,230.05,395.59,373.11,420.08,297.07,193.62,150.28,81.22,79.29,159.88,263.46
1902,283.65,244.81,368.32,533.11,392.84,363.80,239.89,135.06,66.36,60.55,157.83,236.76
1903,209.77,260.99,276.08,471.30,442.04,357.35,192.50,145.69,67.04,55.43,86.88,235.69
1904,265.90,271.02,296.61,386.32,447.40,304.38,241.60,94.97,65.79,75.46,143.22,290.51
1905,246.22,256.58,240.60,432.43,439.02,370.96,242.47,106.37,59.62,64.92,129.52,306.82
1906,268.19,174.98,324.55,429.79,428.64,267.10,189.45,125.65,70.86,74.38,138.62,204.70
1907,273.56,318.74,456.42,577.84,505.75,312.84,218.04,111.40,82.52,64.14,124.62,274.30
1908,259.82,375.81,295.48,292.35,446.19,299.59,238.02,159.44,68.24,51.67,127.82,234.03
1909,227.22,270.45,345.96,310.68,431.35,286.77,198.95,165.23,50.47,69.13,122.58,196.87
1910,392.52,240.65,240.81,279.53,366.52,350.39,160.24,143.05,71.04,68.09,156.20,210.54
1911,299.92,386.60,464.71,333.06,413.48,351.52,194.43,115.71,62.96,67.50,153.95,171.88
1912,192.02,161.43,231.86,277.91,476.13,325.46,209.11,166.90,55.58,70.86,148.70,269.14
1913,352.23,183.03,291.88,217.59,310.49,365.24,232.80,131.63,72.32,63.40,124.52,359.61
1914,225.35,249.42,286.99,379.60,542.57,296.43,226.06,113.35,76.49,63.29,114.98,214.13
1915,288.87,408.27,277.44,411.15,463.14,311.81,196.14,117.29,58.30,52.02,132.18,292.13
1916,386.77,247.21,375.63,237.20,419.44,279.46,240.18,152.65,70.27,77.75,122.54,314.96
1917,343.79,232.22,435.19,275.91,356.48,253.42,236.20,165.25,83.26,58.73,141.19,212.88
1918,247.45,274.04,408.63,481.16,401.43,328.81,256.58,135.24,61.33,84.78,89.66,261.26
1919,246.24,176.01,451.77,326.37,581.92,308.02,234.12,121.28,102.46,69.60,102.51,269.89
1920,322.17,227.54,216.48,249.70,377.72,329.75,229.30,118.09,92.08,89.92,133.52,218.90
1921,267.15,184.07,273.94,351.92,298.14,313.84,244.38,145.12,86.76,75.05,134.49,308.11
1922,291.97,230.94,272.69,346.20,428.91,350.63,177.83,159.18,88.31,64.99,163.76,302.90
1923,347.06,244.24,266.51,335.14,400.56,388.89,181.22,120.39,60.41,73.09,127.89,278.25
1924,247.27,188.85,210.67,239.93,366.42,324.12,250.63,165.83,80.03,87.92,114.99,285.71
1925,235.00,258.82,324.58,215.53,365.52,307.31,205.00,163.14,76.76,47.83,86.03,218.00
1926,185.45,169.34,188.00,262.70,466.73,315.25,229.61,145.77,80.16,75.99,115.92,266.57
1927,417.23,246.02,249.22,298.49,527.08,333.15,215.43,144.48,82.03,80.38,120.07,333.34
1928,380.58,271.04,355.74,357.50,435.47,305.85,202.83,116.37,74.42,61.63,124.71,279.49
1929,225.60,192.06,251.23,329.98,469.11,286.32,247.49,119.45,82.50,75.97,168.54,236.90
1930,307.59,201.40,263.45,345.74,400.18,320.45,221.77,104.72,76.98,63.57,108.76,230.03
1931,261.27,281.85,203.75,333.94,421.68,293.62,281.58,142.59,76.33,60.81,93.67,240.36
1932,300.25,216.53,397.82,494.06,462.68,289.44,193.23,133.77,70.70,49.06,80.27,211.58
1933,279.63,201.91,322.70,246.45,422.68,323.32,199.44,153.67,70.18,93.23,206.46,319.49
1934,275.55,209.75,308.59,279.41,314.77,274.26,173.52,131.39,81.64,89.84,114.62,228.26
1935,236.23,320.37,220.40,231.29,357.33,278.63,199.67,170.38,65.59,73.24,99.02,213.04
1936,283.08,181.30,437.22,501.91,416.78,270.65,210.98,131.18,59.49,61.84,130.68,247.34
