Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,129.80,111.40,89.68,102.17,142.28,162.08,273.59,364.01,343.38,317.55,227.71,149.49
1902,129.80,111.40,89.68,102.17,142.28,162.08,273.59,364.01,343.38,317.55,227.71,149.49
1903,129.80,111.40,89.68,102.17,142.28,162.08,273.59,364.01,343.38,317.55,227.71,149.49
1904,129.80,111.40,89.68,102.17,142.28,162.08,273.59,364.01,343.38,317.55,227.71,149.49
1905,129.80,111.40,89.68,102.17,142.28,162.08,197.68,475.40,268.52,330.65,227.71,324.61
1906,34.68,2.40,19.38,58.19,11.18,103.89,304.20,166.55,206.33,337.98,240.58,98.72
1907,39.95,39.35,78.48,70.94,90.03,127.55,521.35,388.14,270.22,226.58,131.19,105.25
1908,84.58,35.28,89.68,102.17,142.28,121.91,374.72,317.15,177.34,346.18,124.92,100.38
1909,60.83,72.55,84.12,35.00,53.52,131.82,413.32,267.25,504.88,350.78,219.61,282.44
1910,69.77,71.65,89.68,78.38,216.43,120.54,262.42,160.15,324.45,326.15,192.20,136.82
1911,87.05,340.17,200.92,23.12,63.30,215.92,366.75,528.83,451.69,460.77,108.55,56.35
1912,55.76,38.85,19.18,30.13,14.72,60.75,160.47,546.16,434.16,387.81,174.73,270.96
1913,16.51,43.45,30.32,18.28,34.47,67.16,182.14,410.94,421.43,351.58,421.38,208.51
1914,46.92,120.97,46.16,32.90,68.84,114.67,273.59,394.04,515.82,391.08,127.72,150.86
1915,145.41,18.14,28.78,24.89,44.02,63.32,372.45,460.67,311.52,425.14,211.54,183.45
1916,64.10,198.49,33.28,81.62,425.45,261.40,200.68,335.61,596.87,299.55,524.36,62.28
1917,84.08,55.62,50.36,34.20,63.80,152.87,353.48,496.93,696.85,335.05,143.09,134.05
1918,150.88,233.24,91.78,90.29,90.16,173.55,273.59,228.88,343.38,317.55,130.52,65.82
1919,44.05,16.57,30.32,3.07,22.49,180.06,201.98,706.08,499.88,167.55,225.21,129.51
1920,46.02,58.58,170.13,88.32,92.93,136.45,273.59,662.85,288.65,447.27,102.68,157.40
1921,86.28,29.11,72.21,228.63,58.83,197.98,211.48,357.11,434.36,285.15,176.40,79.60
1922,32.62,84.89,141.15,19.68,119.96,160.98,372.05,419.64,539.15,89.46,216.94,77.50
1923,57.53,133.91,357.34,68.47,59.83,135.15,404.85,368.01,336.18,326.95,169.13,46.61
1924,67.97,40.38,17.78,66.90,48.48,104.39,314.17,433.57,199.10,793.78,251.65,67.92
1925,22.58,21.64,23.85,33.10,117.12,170.28,519.95,468.70,220.66,474.97,160.66,108.59
1926,74.67,30.58,44.19,16.68,9.98,122.61,152.10,214.58,304.82,235.98,239.21,167.71
1927,90.15,144.78,50.83,108.81,164.01,98.35,381.32,591.39,140.88,280.12,170.13,149.09
1928,104.08,71.42,146.78,14.02,167.78,193.27,434.16,309.55,559.68,439.74,183.00,242.44
1929,66.30,75.65,141.62,24.32,78.62,142.19,402.95,236.48,453.79,243.08,354.63,185.92
1930,144.21,19.21,32.48,23.72,77.68,123.41,342.51,424.84,338.55,194.22,299.95,127.04
1931,84.08,26.91,31.38,41.41,146.12,63.42,288.36,640.22,222.13,334.65,343.83,90.98
1932,86.38,74.72,72.61,15.62,95.00,130.22,228.02,250.42,260.32,274.92,148.49,64.45
1933,33.28,66.05,86.62,27.46,136.35,281.01,449.33,273.55,373.14,467.77,217.94,116.93
1934,166.35,29.71,60.40,68.67,240.72,144.46,516.78,397.04,339.85,277.12,240.58,177.51
1935,448.83,298.12,81.75,63.93,49.95,156.04,390.38,269.25,396.77,271.68,286.88,307.09
1936,11.14,45.85,67.44,56.32,30.40,65.09,234.68,238.52,226.06,326.05,196.07,91.78
1937,46.12,62.05,40.22,28.86,88.76,125.85,220.15,399.84,238.76,252.78,206.97,69.29
1938,89.35,33.38,79.18,113.52,64.07,332.36,193.68,635.45,506.12,293.42,190.70,170.68
1939,77.44,37.55,37.15,11.28,77.78,57.52,375.02,653.85,177.57,215.65,188.10,305.42
1940,109.72,63.58,56.20,21.85,19.65,69.56,245.08,332.78,647.69,84.86,158.16,75.26
1941,129.80,111.40,89.68,102.17,142.28,162.08,273.59,364.01,343.38,317.55,227.71,149.49
1942,129.80,111.40,89.68,102.17,142.28,162.08,273.59,364.01,343.38,317.55,227.71,149.49
1943,129.80,111.40,89.68,102.17,142.28,162.08,273.59,364.01,343.38,317.55,227.71,149.49
1944,129.80,111.40,89.68,102.17,142.28,162.08,273.59,364.01,343.38,317.55,227.71,149.49
1945,125.93,26.51,181.64,168.07,96.87,162.08,273.59,364.01,379.04,297.05,72.95,122.87
1946,111.02,27.31,89.68,102.17,142.28,162.08,273.59,364.01,343.38,317.55,227.71,149.49
1947,129.80,111.40,89.68,102.17,209.92,82.14,218.12,262.92,272.45,379.51,310.22,149.39
