Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,79.66,77.23,151.30,162.56,338.18,351.26,252.14,243.42,166.82,91.73,118.66,228.02
1902,242.79,173.00,344.31,237.61,274.11,335.77,290.28,185.96,110.27,72.96,117.56,123.41
1903,137.42,106.07,199.33,286.50,418.22,490.94,259.92,180.78,170.99,40.88,86.08,223.95
1904,177.63,104.90,314.39,274.49,322.70,283.50,260.15,125.63,86.27,58.01,65.06,249.28
1905,124.25,145.76,131.52,222.22,316.93,326.37,267.26,165.62,101.72,83.14,109.25,230.10
1906,103.46,124.01,132.78,343.85,375.15,321.74,343.40,249.27,88.84,69.65,119.46,144.99
1907,204.69,210.70,363.75,371.01,428.37,324.01,256.54,153.40,78.38,42.98,114.11,116.71
1908,124.00,166.24,206.78,183.19,351.15,295.61,381.08,290.54,139.01,85.22,104.53,155.37
1909,153.61,253.57,225.28,215.58,386.65,377.59,327.44,225.28,79.85,103.38,68.26,218.01
1910,237.80,176.63,203.24,194.07,329.54,388.96,325.02,285.68,133.65,76.26,88.95,359.85
1911,167.32,225.43,302.31,219.49,320.97,347.03,269.27,155.09,53.09,97.64,93.99,255.16
1912,79.40,55.55,79.84,186.72,319.51,326.74,314.98,194.37,87.95,60.53,106.85,244.35
1913,288.20,90.27,155.52,126.73,214.80,326.22,304.49,164.44,104.49,82.76,70.85,278.03
1914,99.75,131.93,125.78,182.90,492.32,308.09,230.19,173.89,132.41,97.04,109.71,128.71
1915,160.06,328.27,87.14,198.89,436.53,338.11,241.40,162.41,56.96,53.25,90.74,147.11
1916,182.90,145.08,119.36,125.09,360.60,360.73,327.72,271.11,73.19,75.76,178.46,227.53
1917,225.31,114.36,154.90,142.01,291.52,341.96,266.87,208.43,125.17,97.15,139.68,207.67
1918,182.77,104.05,250.17,242.01,405.71,357.97,321.67,145.25,49.64,47.02,96.37,157.71
1919,121.16,61.79,214.16,272.25,449.45,286.39,279.28,198.41,91.94,47.52,92.96,141.77
1920,273.48,146.24,104.40,124.31,242.16,303.05,259.36,174.24,93.43,61.24,81.58,169.85
1921,134.88,58.45,116.29,244.35,171.98,485.49,332.88,165.68,129.32,165.44,227.26,213.55
1922,164.03,122.02,94.92,130.06,368.56,381.19,248.86,276.76,120.68,73.44,204.04,291.98
1923,181.94,124.68,108.04,121.79,257.83,368.99,198.77,183.00,96.03,82.77,123.53,301.10
1924,109.03,88.80,72.42,121.81,303.88,415.97,346.99,238.86,138.46,131.34,98.27,203.77
1925,106.56,91.69,272.22,142.74,264.77,290.88,270.21,204.76,91.64,52.05,52.57,115.61
1926,81.76,58.36,67.69,112.73,348.63,428.29,304.73,237.55,103.08,67.72,85.63,229.31
1927,334.82,196.42,107.57,166.88,469.89,361.69,404.02,209.12,106.34,140.64,74.93,311.18
1928,303.40,159.07,199.17,179.42,377.77,372.40,262.67,184.10,91.42,44.25,76.97,205.65
1929,101.03,127.49,121.91,232.90,341.29,384.15,274.56,166.92,116.30,82.64,154.32,145.64
1930,213.37,99.04,108.53,271.53,353.91,356.84,394.43,154.29,78.13,60.20,51.04,141.95
1931,120.15,156.82,96.11,132.01,392.98,357.50,371.81,198.57,127.29,103.84,84.64,164.62
1932,188.44,82.68,183.18,367.66,364.28,381.85,244.78,202.43,72.34,80.54,46.88,191.27
1933,174.95,116.69,174.80,175.74,397.52,382.57,311.02,282.00,76.62,121.57,168.02,346.12
1934,149.88,81.72,138.31,137.03,212.95,297.16,272.90,147.02,89.83,138.62,105.05,134.07
1935,142.91,247.34,116.57,107.64,317.61,419.35,282.04,279.20,114.44,140.81,73.40,98.04
1936,134.82,88.27,282.58,302.48,384.83,342.95,271.47,150.21,68.28,96.50,98.70,271.27
1937,208.41,62.86,100.97,224.96,407.45,468.31,371.50,214.79,92.46,80.61,100.76,174.48
1938,234.82,264.45,264.16,257.89,313.06,351.59,331.76,319.11,137.33,84.93,117.07,121.08
1939,205.05,132.81,205.72,271.79,260.14,289.71,261.00,192.54,77.31,83.64,47.18,213.73
1940,67.12,36.30,57.76,67.30,233.37,365.92,281.38,236.99,99.45,96.52,80.86,199.70
1941,179.48,55.74,98.02,99.05,285.37,516.41,278.56,224.10,127.08,158.04,104.60,160.57
1942,79.45,78.49,82.94,211.49,394.93,420.79,358.58,268.45,134.41,107.52,100.55,249.68
1943,340.49,225.51,310.79,250.10,418.96,317.83,325.26,207.58,83.22,65.20,166.45,276.52
1944,149.40,114.67,215.16,205.81,386.28,420.42,377.78,187.26,137.57,36.91,120.19,235.81
1945,182.32,299.03,198.28,265.20,412.21,517.66,355.99,227.45,79.61,82.07,116.51,140.31
1946,120.30,155.22,112.36,330.84,373.38,286.42,293.39,207.73,61.65,85.09,109.56,223.68
1947,155.92,49.60,44.01,98.59,383.76,425.36,423.57,154.14,150.65,153.76,130.11,146.13
1948,143.62,226.03,260.91,355.72,364.24,385.55,233.10,173.11,130.76,74.94,122.24,151.83
1949,222.55,172.68,232.09,252.61,360.57,339.06,349.77,312.04,159.56,91.07,154.20,389.38
1950,266.57,133.61,104.09,115.79,397.00,429.04,370.36,292.49,43.68,79.79,120.08,141.21
1951,336.26,234.92,194.42,226.27,394.04,454.49,362.63,252.76,137.53,127.97,35.60,131.53
1952,180.10,103.48,44.21,146.70,362.62,431.92,346.55,235.73,129.02,56.60,111.08,216.04
1953,278.84,240.79,343.74,233.36,409.44,378.95,311.88,111.21,113.47,42.51,72.75,270.29
1954,253.84,159.69,74.59,479.74,353.24,403.50,384.81,346.04,144.62,122.90,203.95,261.30
1955,180.06,217.97,299.42,166.50,324.00,273.29,334.93,182.95,180.21,105.61,175.50,285.95
1956,192.29,123.25,251.09,154.98,476.07,381.49,304.34,280.72,211.61,144.69,112.86,338.68
1957,162.44,84.85,82.73,159.47,324.53,359.26,294.86,122.52,57.13,81.19,102.99,161.80
1958,124.72,124.42,113.00,343.32,293.85,332.02,160.90,185.85,40.29,89.99,49.06,97.16
1959,101.78,74.04,89.13,126.41,227.77,441.60,406.16,269.17,119.00,110.37,110.68,141.00
1960,166.07,149.60,58.93,219.36,406.31,301.21,303.56,219.53,75.15,77.40,110.09,179.06
1961,119.72,73.34,45.15,33.98,150.04,406.76,329.12,224.60,122.43,68.43,104.99,138.64
1962,113.10,110.82,91.37,116.46,343.63,406.97,300.35,220.78,61.05,77.81,157.49,127.99
1963,260.79,237.47,125.15,198.48,402.36,362.13,356.92,127.94,68.14,38.68,133.36,118.38
1964,48.06,54.45,65.41,166.02,217.91,414.77,342.97,187.70,52.65,104.49,78.33,337.83
1965,199.16,115.57,94.65,104.53,368.92,318.42,219.94,173.82,69.00,71.29,86.32,85.51
1966,88.51,58.97,156.99,102.74,276.53,437.39,398.15,252.11,142.07,81.06,111.88,225.30
1967,237.58,102.88,169.31,239.01,452.26,436.76,314.12,211.35,109.24,36.74,143.72,162.29
1968,204.64,230.94,151.93,282.89,303.54,504.46,304.25,140.77,129.34,92.29,184.89,153.97
1969,267.99,148.46,80.04,205.69,394.55,286.83,215.51,263.23,65.25,86.61,51.49,125.99
1970,245.03,142.43,167.64,232.92,397.04,319.45,333.93,319.12,142.94,72.79,192.24,158.80
1971,216.99,160.22,132.98,191.42,394.69,380.69,306.37,275.82,104.31,144.96,133.81,164.43
1972,233.88,137.54,237.50,333.43,375.54,271.15,247.72,159.35,79.41,88.10,150.28,100.65
1973,68.60,48.09,76.94,111.99,263.25,288.62,267.45,229.07,274.99,220.33,138.81,332.82
1974,234.21,115.75,202.60,172.66,145.63,321.40,361.93,232.30,181.89,131.16,135.54,139.81
1975,197.10,119.51,84.40,105.93,373.10,365.16,362.22,269.99,204.38,88.59,103.62,324.31
1976,301.08,256.06,305.15,403.21,387.51,412.94,265.03,141.57,38.71,57.63,87.76,182.81
1977,86.51,124.24,101.73,201.64,341.69,330.58,297.15,191.61,125.43,87.66,52.90,171.73
1978,128.11,88.64,91.60,192.87,353.66,370.63,220.47,292.83,87.86,96.82,79.42,161.12
1979,125.88,38.44,308.42,269.10,347.26,417.00,298.36,194.56,130.81,138.60,123.29,223.39
1980,70.01,32.24,126.38,290.57,365.30,358.73,323.29,129.82,104.67,113.11,183.09,194.23
1981,140.58,176.25,69.31,351.43,380.19,346.57,336.02,284.12,140.22,156.99,56.54,126.14
1982,150.09,198.49,256.87,280.36,372.57,252.02,227.03,121.18,45.42,61.68,51.83,146.18
1983,89.81,102.80,133.00,351.23,277.74,262.08,134.95,178.79,74.93,54.89,39.45,193.74
1984,303.01,80.46,74.27,98.43,408.77,346.46,358.85,284.02,175.09,204.10,174.26,218.41
1985,98.89,47.04,147.98,87.70,321.42,392.01,316.18,286.52,150.53,104.58,176.99,141.72
1986,110.63,185.42,87.45,61.33,288.93,482.36,297.12,129.06,72.70,160.77,156.17,148.79
1987,139.14,113.63,216.90,217.29,358.08,352.37,283.17,131.34,144.01,95.32,109.58,109.68
1988,163.77,81.59,57.94,87.27,301.72,350.91,389.94,301.09,137.93,93.73,153.07,304.88
1989,240.47,189.51,246.25,96.74,385.08,361.22,262.80,169.97,105.93,144.38,179.87,172.26
1990,298.98,183.68,227.50,366.61,490.79,331.27,337.89,221.78,97.32,92.14,120.13,273.09
