Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,85.33,54.24,35.46,49.97,156.08,261.17,243.68,210.61,254.36,244.33,163.19,116.24
1902,85.33,54.24,35.46,49.97,156.08,261.17,243.68,210.61,254.36,244.33,163.19,116.24
1903,85.33,54.24,35.46,49.97,156.08,261.17,243.68,210.61,254.36,244.33,163.19,116.24
1904,85.33,54.24,35.46,49.97,156.08,261.17,243.68,210.61,254.36,244.33,163.19,116.24
1905,85.33,54.24,35.46,49.97,156.08,261.17,243.68,210.61,254.36,244.33,163.19,116.24
1906,85.33,54.24,35.46,49.97,156.08,261.17,243.68,210.61,254.36,244.33,163.19,116.24
1907,85.33,54.24,35.46,49.97,156.08,261.17,243.68,210.61,254.36,244.33,163.19,116.24
1908,85.33,54.24,35.46,49.97,156.08,261.17,243.68,210.61,254.36,244.33,163.19,116.24
1909,85.33,54.24,35.46,49.97,156.08,261.17,243.68,210.61,254.36,244.33,163.19,116.24
1910,85.33,54.24,35.46,49.97,156.08,261.17,243.68,210.61,254.36,244.33,163.19,116.24
1911,85.33,54.24,35.46,49.97,156.08,261.17,243.68,210.61,254.36,244.33,163.19,116.24
1912,85.33,54.24,35.46,49.97,156.08,261.17,243.68,210.61,254.36,244.33,163.19,116.24
1913,85.33,54.24,35.46,49.97,156.08,261.17,243.68,210.61,254.36,244.33,163.19,116.24
1914,85.33,54.24,35.46,49.97,156.08,261.17,243.68,210.61,254.36,244.33,163.19,116.24
1915,85.33,54.24,35.46,49.97,156.08,261.17,243.68,210.61,254.36,244.33,163.19,116.24
1916,85.33,54.24,35.46,49.97,156.08,261.17,243.68,210.61,254.36,244.33,163.19,116.24
1917,85.33,54.24,35.46,49.97,156.08,261.17,243.68,210.61,254.36,244.33,163.19,116.24
1918,85.33,54.24,35.46,49.97,156.08,261.17,243.68,210.61,254.36,244.33,163.19,116.24
1919,85.33,54.24,35.46,49.97,156.08,261.17,243.68,210.61,254.36,244.33,163.19,116.24
1920,85.33,54.24,35.46,49.97,156.08,261.17,243.68,210.61,254.36,244.33,163.19,116.24
1921,85.33,54.24,35.46,49.97,156.08,261.17,243.68,210.61,254.36,244.33,163.19,116.24
1922,85.33,54.24,35.46,49.97,156.08,261.17,243.68,210.61,254.36,244.33,163.19,116.24
1923,85.33,54.24,35.46,49.97,156.08,261.17,243.03,209.91,252.67,243.97,162.57,116.24
1924,85.33,54.24,35.46,49.97,156.08,261.17,243.90,210.72,255.06,245.61,162.72,116.30
1925,86.44,54.26,35.67,49.85,155.99,260.21,243.12,209.35,253.85,243.39,163.99,116.46
1926,85.06,53.98,35.21,49.90,156.26,260.53,245.01,211.61,253.81,245.44,162.53,115.96
1927,85.09,54.35,35.38,50.29,155.87,262.14,243.00,210.46,254.37,244.72,163.90,116.02
1928,85.78,54.47,35.41,49.71,156.08,261.98,243.93,210.01,254.00,243.53,164.04,117.20
1929,85.11,54.05,35.48,49.71,157.22,261.13,242.98,210.61,255.91,243.98,163.82,116.90
1930,85.35,54.28,35.27,49.76,156.02,261.49,242.12,210.57,255.59,244.62,162.70,117.47
1931,75.98,54.29,35.21,43.42,166.17,312.06,278.27,207.55,245.75,244.45,144.29,165.01
1932,97.83,45.75,31.69,68.04,172.25,250.11,267.43,266.59,221.01,264.55,117.55,115.07
1933,71.80,43.73,29.27,37.21,234.45,266.08,272.78,211.29,290.45,226.93,113.59,133.38
1934,87.22,45.52,34.25,53.16,151.90,237.70,231.03,185.01,240.60,256.83,153.47,117.71
1935,75.80,41.27,24.85,33.56,153.27,217.54,223.73,214.20,224.21,306.05,126.12,99.05
1936,69.84,55.50,29.15,69.41,231.93,280.20,350.48,200.31,237.81,237.12,223.01,93.65
1937,95.81,58.77,42.22,65.55,199.24,287.64,294.43,219.28,241.87,253.55,128.73,109.28
1938,80.29,58.96,21.67,57.01,156.37,232.08,206.98,212.10,290.43,230.43,146.90,83.21
1939,97.74,53.99,28.95,38.56,142.62,242.56,218.42,194.48,288.44,243.66,114.04,91.06
1940,90.98,35.68,36.47,36.83,153.14,310.85,248.90,176.20,292.94,278.54,176.65,97.62
1941,74.56,41.26,28.34,61.65,258.77,216.65,222.75,206.31,281.54,247.64,171.01,114.44
1942,66.43,51.41,29.83,78.71,175.63,248.17,263.56,239.09,278.75,206.68,168.50,169.79
1943,92.25,57.13,56.51,66.69,169.31,227.81,216.13,206.95,227.68,283.34,162.09,97.29
1944,77.60,39.87,29.22,39.21,110.21,269.31,277.58,264.06,247.79,262.32,119.78,106.31
1945,70.28,39.32,23.65,33.09,193.30,209.46,250.89,272.48,335.72,195.70,219.26,86.15
1946,47.42,60.76,22.67,46.69,67.54,148.58,196.95,144.27,171.93,198.97,120.22,81.64
1947,86.47,89.79,48.31,54.57,126.85,200.05,331.32,225.96,281.33,192.19,192.70,144.43
1948,114.66,95.16,21.86,41.95,259.25,293.93,326.40,209.45,266.53,186.52,198.68,124.56
1949,84.01,37.26,21.58,24.37,76.98,168.88,199.13,187.40,264.85,187.99,162.22,153.47
1950,113.09,64.48,51.96,37.07,131.87,337.14,207.23,157.87,216.77,320.12,123.78,80.82
1951,60.82,39.47,10.54,34.69,170.49,238.21,248.46,169.03,231.15,220.75,151.39,74.12
1952,76.62,38.78,45.74,107.51,168.25,358.43,261.60,194.29,286.40,248.17,137.19,95.34
1953,57.96,35.41,20.30,32.91,250.32,205.03,253.38,173.97,302.32,214.00,153.32,94.24
1954,116.42,44.05,30.52,81.89,242.55,366.60,227.94,189.70,395.16,345.06,110.65,66.96
1955,48.57,75.91,15.29,18.00,65.52,173.57,357.56,290.47,228.73,357.02,156.95,134.99
