Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,58.00,55.66,113.69,60.33,52.76,102.71,67.05,92.43,192.23,122.37,68.45,168.46
1902,46.04,129.78,113.38,85.35,137.98,121.57,81.20,35.95,85.01,184.81,62.63,52.43
1903,45.98,29.52,65.29,134.58,67.75,91.84,119.87,44.74,55.11,116.68,150.74,208.21
1904,76.91,120.56,95.29,64.74,68.52,73.60,27.13,145.29,103.52,152.71,70.25,79.30
1905,40.48,81.80,78.24,103.06,95.41,108.68,67.13,70.92,118.48,224.02,261.91,30.60
1906,90.71,84.70,74.00,62.80,99.83,109.08,112.87,72.30,123.40,71.99,129.37,201.30
1907,71.07,56.98,21.77,166.24,84.68,54.05,80.36,30.92,59.97,152.09,65.05,175.10
1908,55.74,82.84,85.72,150.06,18.99,46.06,89.42,132.31,37.62,49.83,112.61,112.95
1909,71.22,45.82,113.00,64.71,98.79,81.97,84.63,126.77,110.85,109.12,107.01,163.04
1910,134.14,94.12,42.49,109.73,104.49,119.84,115.13,70.82,157.22,131.24,224.39,121.01
1911,56.90,29.05,45.77,73.16,131.27,109.77,43.14,45.00,108.41,115.35,67.91,118.71
1912,86.23,90.03,126.77,117.13,93.63,97.12,61.11,86.07,152.15,125.23,111.29,72.38
1913,65.49,31.41,27.78,76.38,95.20,101.77,181.42,121.47,136.61,46.35,101.38,116.69
1914,62.99,31.01,134.93,56.92,130.26,98.00,140.59,44.32,118.18,85.75,78.04,144.69
1915,180.92,128.20,91.40,80.83,74.67,140.37,152.82,138.16,105.60,235.29,135.90,128.22
1916,24.96,74.07,130.57,101.00,62.67,42.87,66.18,91.91,186.36,150.78,138.57,216.52
1917,155.03,56.59,126.45,87.75,32.55,20.55,82.33,68.14,36.55,226.48,173.59,103.14
1918,49.42,14.66,55.98,85.82,86.95,111.76,64.69,110.73,73.24,189.75,53.91,116.49
1919,113.09,64.25,103.04,147.51,73.07,109.04,142.84,57.23,104.62,153.75,212.02,59.10
1920,98.06,22.87,49.44,96.67,63.97,152.74,88.72,84.81,60.39,65.12,33.16,141.81
