Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,54.46,45.07,64.27,117.16,219.69,201.15,145.76,159.65,202.54,210.29,101.27,57.88
1902,46.81,45.54,66.15,129.52,230.78,190.53,117.05,159.77,174.84,192.75,103.54,54.37
1903,44.84,44.74,59.71,122.78,275.20,157.05,114.90,180.20,175.62,189.53,104.45,56.21
1904,42.39,48.33,63.29,118.78,220.11,196.95,120.47,152.59,214.45,238.31,104.76,52.62
1905,45.06,47.12,79.43,130.03,240.28,191.54,119.57,166.90,203.37,223.70,104.09,64.31
1906,46.10,49.88,67.85,132.03,242.46,204.31,119.05,165.88,235.73,196.94,107.57,51.88
1907,40.72,47.01,59.39,117.12,237.09,162.75,132.54,155.38,180.03,202.52,101.96,52.33
1908,48.04,47.91,64.78,121.10,218.34,185.50,118.87,153.69,177.21,207.11,103.86,65.99
1909,47.91,45.16,64.57,121.49,231.27,176.80,125.34,169.55,215.25,229.14,109.01,50.22
1910,52.67,45.54,71.80,125.66,217.06,178.19,126.94,164.96,198.31,241.26,102.28,63.18
1911,46.01,45.88,68.63,124.40,231.11,156.14,116.47,154.82,175.66,197.99,107.82,58.31
1912,43.77,47.89,66.36,120.74,213.45,153.85,115.85,157.19,174.78,191.58,123.92,51.23
1913,43.64,45.98,62.51,135.87,228.16,159.00,126.77,157.41,185.04,193.35,108.52,51.24
1914,45.81,46.60,62.60,121.28,221.50,159.73,116.38,151.31,174.77,192.82,107.76,53.14
1915,50.37,50.75,62.40,154.13,246.69,212.39,123.81,175.47,223.96,235.62,115.02,52.88
1916,43.41,51.03,64.34,129.81,271.48,162.33,154.12,171.11,181.45,235.19,120.64,50.20
1917,46.01,48.42,61.99,134.47,235.39,167.91,128.99,160.76,216.93,193.91,105.22,52.14
1918,40.23,50.53,65.66,149.90,250.42,159.62,122.37,167.78,182.54,207.57,99.97,52.77
1919,47.36,49.97,77.10,136.27,283.11,166.43,125.33,153.49,190.12,212.05,103.46,60.49
1920,40.47,46.15,63.98,116.43,240.44,154.13,116.15,161.00,183.19,206.00,100.44,50.55
1921,44.44,52.70,64.93,126.87,248.24,159.78,121.62,158.81,204.33,211.85,100.89,54.54
1922,46.56,52.96,67.25,121.44,217.45,163.36,117.49,158.07,181.61,213.74,100.26,51.05
1923,45.27,54.39,60.83,136.09,246.38,155.93,116.85,158.77,176.40,228.88,100.56,53.42
1924,41.26,49.38,60.86,119.58,215.99,162.80,125.36,159.81,211.32,222.30,129.13,53.10
1925,42.02,46.06,61.64,138.08,229.86,156.55,121.94,151.39,191.74,190.69,113.56,53.44
1926,42.17,52.45,67.21,117.40,220.97,155.54,128.08,167.57,197.59,200.59,103.38,54.43
1927,46.79,49.43,58.89,123.32,222.10,155.45,142.16,160.77,180.20,241.64,107.55,50.36
1928,41.45,45.31,59.50,119.91,231.66,159.35,118.09,193.61,188.33,202.20,107.52,51.54
1929,42.38,46.74,61.73,117.92,216.17,154.72,120.67,162.89,191.72,199.52,103.00,54.51
1930,49.25,50.43,60.27,132.14,219.12,159.46,118.65,157.84,178.24,201.31,114.73,51.31
1931,52.93,46.96,63.97,127.94,234.49,168.66,151.66,161.77,194.22,219.09,111.18,56.11
1932,46.34,47.00,61.62,145.87,227.35,164.60,118.03,157.92,189.53,209.82,112.21,51.97
1933,42.46,45.80,68.83,118.57,223.45,209.54,123.99,179.31,202.83,241.34,119.25,52.52
1934,47.73,59.14,67.76,138.99,223.03,156.69,124.28,167.90,183.31,209.09,116.46,56.24
1935,46.31,50.00,65.26,118.17,221.25,157.99,119.93,177.38,191.19,237.10,100.79,54.82
1936,45.48,48.49,63.82,120.99,263.48,198.64,139.58,173.99,188.44,210.45,101.80,57.45
1937,50.35,47.24,64.84,124.84,273.43,159.06,124.26,170.09,179.37,208.76,125.88,53.27
1938,43.73,49.00,69.17,122.57,223.94,167.82,126.39,175.43,201.82,203.01,103.95,52.36
1939,43.95,47.27,67.53,128.79,220.45,167.78,119.74,161.95,178.47,228.29,107.29,53.08
1940,49.36,54.09,70.22,122.02,227.74,158.12,121.58,152.44,181.06,207.23,107.92,62.94
1941,56.38,60.85,63.12,130.33,220.41,154.63,135.88,151.67,183.79,194.97,101.77,54.12
1942,50.72,47.50,59.04,126.56,244.03,217.05,123.69,172.73,190.19,223.25,106.90,60.20
1943,40.58,54.43,69.02,133.81,239.16,156.61,120.04,160.57,181.24,227.75,103.27,53.08
1944,41.73,44.61,58.85,120.05,219.99,188.67,149.80,181.30,189.36,242.04,105.71,52.18
1945,49.48,45.10,62.43,121.49,234.97,159.47,123.74,172.54,210.96,210.80,122.26,57.20
1946,40.96,52.95,66.58,131.30,214.82,153.85,118.30,161.27,190.60,196.17,111.61,53.79
1947,42.87,59.91,61.78,121.40,224.22,153.77,132.65,156.68,200.78,200.11,103.74,57.35
1948,51.59,44.77,59.32,123.46,260.45,202.61,132.27,93.47,292.75,239.88,57.68,31.61
1949,23.27,22.18,38.52,52.65,214.45,143.64,180.18,102.07,174.64,297.99,105.29,57.42
1950,35.88,33.28,22.88,68.70,141.30,62.15,142.98,292.47,189.28,277.96,142.69,32.28
1951,21.95,21.95,12.01,184.58,409.42,118.32,174.40,206.36,256.99,123.09,182.78,63.69
1952,40.94,30.08,40.25,283.07,222.64,139.17,168.64,110.13,204.67,112.97,59.91,35.74
1953,80.17,34.63,50.81,43.39,353.66,202.38,154.03,117.57,224.44,190.11,91.55,39.83
1954,32.64,155.35,56.07,77.60,225.68,267.83,87.36,137.98,237.83,345.96,120.29,50.96
1955,40.34,77.35,21.06,159.53,212.50,275.12,174.31,235.16,306.24,263.30,93.18,98.23
1956,28.17,84.84,131.97,93.11,244.19,251.74,101.14,96.57,123.38,267.62,90.71,49.03
1957,34.80,41.45,69.27,94.01,197.20,177.60,79.76,76.99,152.70,180.20,73.19,56.81
1958,69.72,56.18,59.57,72.21,325.49,350.98,142.42,103.72,204.34,194.22,90.47,46.34
1959,29.45,19.87,34.62,114.71,151.76,49.30,114.48,112.49,192.08,187.77,153.92,51.05
1960,65.05,60.45,130.60,130.08,203.47,338.85,99.55,187.70,239.17,194.80,101.01,61.01
1961,22.64,42.41,74.16,103.29,230.04,169.09,192.07,173.32,116.94,340.79,113.90,82.61
1962,47.21,15.91,39.88,128.68,209.58,155.10,81.32,123.74,120.07,230.03,108.81,49.70
1963,39.12,34.36,86.02,136.37,269.04,123.95,112.92,125.12,186.75,355.15,143.80,78.61
1964,31.88,40.82,42.60,138.78,212.80,143.81,152.25,177.81,225.33,113.34,69.56,35.55
1965,34.61,12.10,40.93,42.07,461.47,108.57,96.69,142.63,160.00,155.59,159.44,65.67
1966,55.61,13.59,81.00,125.77,261.74,156.87,204.86,192.38,138.98,214.96,218.52,49.84
1967,37.41,44.79,73.11,67.60,63.11,221.69,59.54,90.46,137.07,142.98,79.76,14.21
1968,49.98,54.05,31.72,40.74,119.63,152.38,169.24,122.81,83.37,120.55,211.29,86.59
1969,56.22,36.87,24.50,186.24,314.77,376.75,112.03,161.07,149.83,237.36,127.05,40.67
1970,83.08,92.73,34.86,34.63,261.86,152.92,182.16,257.84,253.53,267.38,97.02,36.75
1971,29.70,75.61,50.37,209.17,168.29,132.16,131.04,238.21,265.93,196.39,73.75,36.70
1972,49.94,67.88,108.12,193.06,356.97,203.07,117.86,200.31,149.82,238.66,38.57,62.63
1973,47.05,45.33,57.34,101.11,95.12,138.69,118.61,124.95,176.88,287.96,49.07,59.72
1974,35.38,78.06,70.92,113.97,226.81,67.36,90.69,178.66,252.02,247.31,114.81,38.87
1975,15.94,17.86,39.43,32.96,127.30,48.96,96.07,74.78,268.18,140.71,138.46,108.47
1976,44.09,53.66,35.66,111.88,49.20,181.71,83.52,96.71,195.93,178.70,43.60,23.25
1977,24.59,36.56,17.12,184.25,395.83,45.95,56.48,172.94,120.89,118.35,168.17,64.84
1978,73.72,70.24,109.74,214.96,176.49,125.82,91.50,152.75,155.52,244.58,92.33,21.94
1979,28.30,71.70,132.58,177.32,263.74,296.02,277.57,277.49,374.12,233.74,114.49,30.61
1980,38.47,56.20,34.50,162.87,361.12,199.18,140.21,297.95,207.26,127.93,48.15,124.05
1981,56.85,63.41,83.07,117.64,336.03,197.94,142.79,247.76,188.65,226.09,119.64,109.10
1982,63.13,39.56,18.42,94.95,432.64,79.72,99.25,70.89,181.32,165.96,85.86,46.95
1983,40.52,41.92,124.46,121.49,264.88,200.50,110.98,141.33,169.69,193.74,91.79,45.61
1984,38.82,66.68,35.94,117.44,122.89,278.35,127.89,109.36,254.09,253.52,71.24,36.49
1985,26.65,49.97,73.74,124.49,219.08,81.46,119.75,212.26,253.72,309.17,101.30,23.56
1986,56.87,19.92,106.68,212.92,315.77,311.14,51.26,137.99,74.96,109.84,108.64,18.46
1987,62.48,64.44,41.79,254.22,300.74,223.04,76.08,84.31,247.30,251.68,157.77,89.59
1988,60.95,43.30,63.07,103.49,172.97,179.68,151.76,309.80,294.77,123.36,98.68,57.68
1989,59.30,89.89,161.01,56.79,134.07,68.71,135.01,143.95,153.30,107.29,71.03,71.84
1990,50.13,51.49,56.71,111.00,65.99,136.08,134.98,85.25,137.80,411.51,153.06,44.42
1991,18.66,30.11,72.35,75.86,130.03,67.66,137.57,73.45,147.29,104.62,192.85,35.62
1992,39.02,69.38,128.43,158.51,166.50,86.83,62.32,85.50,178.59,98.22,49.12,47.07
1993,60.19,34.60,79.86,272.43,358.69,90.62,81.10,153.03,139.78,103.61,208.52,39.67
1994,53.44,41.26,93.89,164.23,170.27,86.64,84.12,95.27,108.99,153.94,138.17,56.48
1995,36.76,87.92,97.45,78.28,223.41,152.99,138.86,247.14,213.14,256.51,70.41,56.49
1996,41.54,92.87,66.30,109.04,129.63,166.54,114.95,137.40,150.56,297.30,144.33,41.47
1997,27.17,46.00,33.67,100.68,84.15,158.24,110.91,149.20,195.09,261.83,114.83,42.33
1998,40.79,83.41,178.19,90.74,135.17,94.94,184.55,146.18,404.13,215.21,124.46,49.27
1999,28.46,45.82,45.36,52.49,114.86,84.59,76.52,84.13,163.85,174.90,59.16,21.54
2000,56.54,90.85,28.00,70.62,152.75,83.84,79.84,231.27,309.62,212.87,57.52,96.06
2001,42.58,23.40,62.21,120.00,468.79,53.37,223.67,90.22,122.10,376.78,102.26,86.17
2002,63.07,42.38,31.43,51.15,209.73,94.56,92.63,119.94,410.80,124.38,86.84,41.86
2003,83.36,55.95,104.29,388.14,121.74,123.15,111.56,96.76,86.18,319.82,131.79,117.55
2004,31.95,20.42,50.13,130.42,419.09,54.72,124.50,71.30,151.04,136.40,74.85,51.56
2005,38.99,19.23,68.19,169.44,238.90,460.18,112.23,171.23,237.08,353.78,129.91,54.57
2006,28.60,59.70,23.96,93.84,166.38,231.35,86.33,171.08,99.63,148.20,237.95,68.97
2007,72.86,98.30,69.77,223.75,373.65,88.19,278.03,193.45,147.06,457.78,146.62,55.38
2008,38.56,30.38,107.87,81.75,240.99,157.42,134.41,111.01,188.46,194.04,132.64,36.48
2009,27.70,42.19,51.51,131.83,191.87,137.31,79.55,119.10,140.55,171.33,105.92,143.42
2010,43.75,90.08,66.73,195.18,142.31,80.94,217.77,163.44,238.87,296.93,137.51,55.59
2011,40.91,76.84,69.00,47.39,155.47,210.86,205.67,491.33,116.41,221.74,75.00,49.61
2012,25.70,25.01,55.62,190.64,118.21,110.91,85.33,401.88,148.59,383.65,104.43,70.21
2013,14.36,44.88,35.73,79.99,110.13,65.69,192.74,113.24,132.09,102.30,60.95,28.62
2014,42.71,26.36,82.23,117.08,350.68,309.00,70.09,257.70,85.14,128.76,125.92,57.14
2015,22.07,58.87,177.13,55.28,113.45,54.30,182.54,170.72,136.77,195.97,129.86,39.40
2016,42.81,97.63,163.99,246.93,317.12,73.17,105.35,186.60,218.19,197.75,155.93,38.19
2017,25.92,49.72,150.69,166.53,301.77,79.55,101.44,218.82,310.08,125.75,117.57,41.53
2018,55.32,35.21,79.71,48.30,369.57,72.87,51.63,93.50,255.11,143.95,70.36,26.47
2019,41.42,49.00,31.96,86.47,404.72,36.11,192.96,73.82,308.18,151.61,113.65,57.50
2020,32.22,35.16,43.86,44.83,164.20,42.57,97.34,151.96,259.48,200.30,312.07,73.07
2021,17.99,28.48,95.61,90.91,158.59,127.77,117.15,461.09,111.64,147.20,94.67,35.55
