Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,25.29,18.78,34.15,25.56,23.41,3.70,4.04,4.21,20.23,19.59,21.89,21.80
1902,37.05,25.70,37.61,33.28,10.86,2.21,6.46,3.18,7.05,19.23,39.37,29.76
1903,31.54,33.38,47.93,27.43,19.61,3.50,3.29,8.35,4.39,5.23,11.37,25.93
1904,40.22,24.88,44.82,28.30,25.09,3.16,2.32,3.67,6.09,9.51,17.72,42.17
1905,35.89,24.68,45.31,22.37,20.66,3.15,7.45,6.67,3.14,8.58,14.06,29.41
1906,44.91,37.07,33.70,34.39,27.28,10.82,5.30,4.20,4.58,8.99,31.15,32.22
1907,26.86,50.82,39.61,33.11,21.83,2.71,2.49,7.01,4.24,18.35,16.97,23.42
1908,53.37,23.19,40.92,32.90,19.55,4.14,2.24,1.64,6.08,11.61,14.53,29.37
1909,45.80,31.15,36.35,38.59,13.21,5.87,3.24,4.04,2.91,15.88,10.11,31.33
1910,43.12,32.56,53.68,23.38,14.80,3.22,5.12,2.46,4.42,6.17,10.54,29.08
1911,40.90,22.36,53.38,33.09,20.89,3.33,2.95,4.71,2.91,9.37,23.91,36.62
1912,40.24,26.87,29.19,28.68,15.43,9.30,2.81,4.24,1.44,10.03,11.71,28.83
1913,38.18,34.72,29.20,24.94,15.51,1.82,2.27,1.48,3.89,20.81,21.66,36.29
1914,36.44,37.30,31.45,43.55,13.97,6.74,2.68,4.22,2.90,18.55,32.07,27.70
1915,24.64,24.60,62.13,52.35,16.50,8.17,6.37,2.97,3.71,6.86,8.66,20.80
1916,44.48,32.15,36.55,37.73,23.90,3.74,6.09,2.44,6.47,9.44,13.00,22.44
1917,33.17,30.44,23.26,15.12,13.90,2.09,2.26,4.59,1.57,9.55,9.28,28.84
1918,26.59,37.71,46.90,37.11,13.73,6.03,2.88,4.80,3.41,10.63,13.05,30.80
1919,39.17,33.29,26.50,33.77,17.95,3.35,3.09,2.70,10.91,7.39,10.87,32.78
1920,49.33,48.48,31.50,35.16,21.37,4.74,6.16,8.56,6.95,15.15,31.31,36.50
1921,27.75,32.38,36.57,34.86,25.84,3.65,4.75,6.45,6.85,6.14,27.89,27.91
1922,31.53,45.80,41.45,24.94,14.70,3.43,3.34,3.51,4.16,6.37,12.54,28.59
1923,39.96,38.61,44.90,42.66,15.77,6.58,5.05,10.19,2.59,14.74,15.93,27.38
1924,57.76,40.61,42.21,32.10,15.21,5.51,3.43,9.56,2.84,17.73,14.55,35.87
1925,28.41,23.22,23.48,27.01,12.33,1.84,4.77,2.64,4.01,23.06,20.72,17.59
1926,43.66,50.35,35.31,35.24,16.09,10.79,4.75,2.13,4.32,4.80,18.45,26.05
1927,24.78,32.08,27.94,32.72,12.13,2.71,4.73,2.15,6.21,8.29,22.80,35.27
1928,41.32,35.99,32.31,24.09,14.16,3.66,5.05,7.29,2.36,9.54,19.00,31.80
1929,40.48,50.80,28.64,16.03,14.61,4.66,4.00,1.64,2.92,8.56,17.23,39.49
1930,50.30,39.55,34.77,32.02,19.82,5.09,3.36,2.43,4.19,12.19,14.11,28.50
1931,46.72,46.57,29.84,31.86,21.55,5.13,5.45,5.13,1.56,8.76,26.93,32.00
1932,39.73,25.03,38.16,26.72,12.76,6.21,9.89,4.86,5.88,7.40,18.37,30.04
1933,34.97,28.32,42.19,26.50,10.75,4.93,3.24,2.53,2.30,8.57,16.74,28.27
1934,33.04,38.06,33.11,42.61,29.81,5.32,3.45,3.41,4.39,7.30,19.16,30.37
1935,29.68,31.93,33.54,26.97,21.85,10.60,4.01,2.17,8.35,9.63,35.39,31.56
1936,29.65,36.43,36.04,24.53,18.79,5.30,6.66,3.94,3.70,9.86,17.73,27.68
1937,34.92,35.69,27.25,21.88,24.04,3.83,2.73,2.53,3.02,13.74,19.32,18.10
1938,41.32,32.02,37.20,20.86,17.35,1.76,4.20,6.49,5.32,7.42,19.23,50.61
1939,35.00,38.56,42.71,47.44,12.32,4.12,4.74,2.51,2.61,12.28,28.13,25.61
1940,46.28,39.21,27.85,20.22,16.55,3.45,4.08,2.15,4.07,15.41,21.57,29.16
1941,33.80,32.44,37.69,63.21,12.91,2.28,2.43,3.99,5.38,5.44,19.84,33.31
1942,28.84,53.24,37.33,33.38,14.55,4.19,2.64,1.77,6.99,12.97,18.47,22.85
1943,39.37,50.24,58.76,24.09,20.76,3.90,4.33,3.61,5.92,12.43,19.05,32.72
1944,35.13,28.47,32.96,25.14,17.13,2.47,2.00,2.55,1.54,6.17,13.89,22.73
1945,52.53,26.27,34.92,19.60,21.49,6.54,3.08,3.32,2.77,6.26,29.60,39.91
1946,49.66,34.56,50.18,33.67,12.53,4.11,6.57,1.85,3.54,12.64,15.86,27.74
1947,37.74,34.59,44.33,23.38,19.84,2.98,3.06,3.84,6.91,5.75,15.69,23.40
1948,26.20,29.16,34.81,43.13,13.77,5.97,3.71,2.12,7.00,4.91,12.44,43.13
1949,37.36,32.16,46.69,33.29,15.64,2.98,1.31,3.98,2.71,10.35,9.74,37.72
1950,40.26,25.30,38.76,21.10,19.11,5.95,2.19,3.24,2.00,6.93,11.53,24.20
1951,39.04,51.32,33.54,17.51,26.82,5.07,1.48,4.00,9.33,22.23,16.10,33.95
1952,38.69,35.26,31.41,37.42,23.05,6.20,2.16,1.92,5.16,4.19,18.06,34.18
1953,22.31,42.36,39.92,36.01,16.48,5.15,3.67,0.81,6.30,13.82,31.52,44.87
1954,23.38,49.92,51.27,34.04,11.49,4.16,6.55,2.74,3.01,4.10,44.08,41.62
1955,31.53,15.36,53.78,26.73,23.89,4.10,4.53,1.77,5.20,3.44,19.74,40.64
1956,48.45,30.81,58.32,36.04,8.19,1.50,5.23,2.36,8.11,4.89,5.42,36.43
1957,68.56,33.11,46.16,49.95,33.46,10.91,3.98,5.43,2.41,25.00,43.71,30.34
1958,50.10,10.12,24.43,13.99,9.42,8.59,5.39,1.87,3.04,9.08,13.39,37.26
1959,48.04,29.33,33.69,20.34,27.58,5.62,1.37,3.14,3.19,9.47,25.36,18.49
1960,24.10,14.74,47.38,44.46,10.06,2.87,3.85,1.38,5.40,5.15,24.04,11.96
1961,44.06,26.66,32.58,57.66,13.52,4.39,2.84,2.47,4.09,5.13,20.21,17.89
1962,22.81,21.80,15.39,65.35,12.76,7.29,4.17,5.97,5.38,12.19,14.13,22.24
1963,16.29,29.58,33.31,34.03,52.86,4.02,1.85,6.61,3.62,12.05,27.53,34.74
1964,30.78,46.35,39.54,32.00,3.14,2.07,2.03,3.39,1.32,2.82,10.81,31.61
1965,79.66,14.08,21.11,24.51,10.82,4.67,4.09,3.30,10.57,24.37,11.00,9.49
1966,19.43,44.70,30.46,24.48,12.11,1.76,2.33,3.80,8.50,25.35,3.00,13.47
1967,22.02,44.48,21.89,33.61,20.86,2.70,2.89,1.26,6.04,14.28,32.29,15.39
1968,19.60,49.26,30.99,47.04,31.06,10.69,2.34,1.50,2.16,11.59,32.30,42.37
1969,76.28,26.03,42.64,52.34,21.24,6.12,3.86,4.19,11.84,22.49,20.73,17.18
1970,53.93,11.78,39.38,20.26,11.06,2.06,4.53,5.98,2.78,4.65,9.52,24.48
1971,18.10,31.15,24.51,45.82,10.46,2.31,2.67,1.87,0.70,6.75,27.46,33.29
1972,60.26,31.03,73.84,33.25,41.33,10.10,3.24,6.58,4.93,7.10,21.99,35.41
1973,30.26,23.15,23.43,16.96,9.36,3.54,5.53,2.08,3.49,2.10,8.30,19.35
1974,63.60,52.46,41.68,32.13,7.71,4.63,9.30,3.40,10.29,1.84,8.39,50.68
1975,44.31,25.20,22.63,33.91,29.24,4.99,2.50,4.26,7.21,7.89,22.10,39.51
1976,23.54,62.78,61.47,47.54,25.22,5.02,12.39,0.21,7.39,21.84,14.49,32.93
1977,66.47,8.64,22.58,45.44,23.82,6.07,4.92,9.17,2.86,26.77,25.00,39.99
1978,34.11,37.60,33.27,14.44,20.53,9.29,3.19,0.80,1.25,5.73,35.09,38.12
1979,60.70,28.59,45.07,16.15,23.01,8.96,1.44,1.55,2.44,11.05,8.49,55.52
1980,41.73,56.91,43.69,18.47,10.37,2.30,0.82,1.99,3.89,13.68,17.61,27.71
1981,39.57,35.92,40.07,31.25,27.91,7.67,6.13,4.09,4.52,12.12,14.78,14.42
1982,45.33,53.59,61.80,21.94,26.02,5.50,2.78,1.71,6.47,40.78,43.97,35.52
1983,36.48,21.22,38.72,39.31,21.34,4.31,2.81,10.60,5.60,3.19,12.08,26.84
1984,29.18,16.39,50.61,18.82,25.96,2.09,2.04,3.42,2.35,12.55,34.99,36.84
1985,36.87,23.51,23.55,14.93,8.78,1.63,2.12,3.13,2.21,9.13,17.79,39.54
1986,13.27,37.17,50.23,35.29,22.58,7.58,1.86,7.27,4.99,10.05,41.14,53.87
1987,6.34,23.58,61.68,16.69,13.02,1.99,8.48,6.25,3.67,43.27,7.35,32.16
1988,39.17,53.21,38.91,35.59,7.26,4.91,12.21,12.06,5.35,7.15,10.15,24.58
1989,22.17,25.95,41.75,10.71,8.29,2.14,1.58,3.39,6.33,12.48,20.99,47.87
1990,36.39,41.05,19.45,26.01,8.14,0.84,2.78,2.25,0.89,12.44,7.05,25.94
1991,47.94,31.93,69.40,14.47,14.54,2.97,2.18,0.75,2.13,13.56,12.28,57.34
1992,42.96,29.23,39.13,38.13,40.33,8.72,3.33,6.15,3.62,4.85,14.76,54.06
1993,43.43,60.54,35.99,34.29,25.67,7.85,4.83,3.96,3.07,9.45,33.95,10.64
1994,30.62,16.77,44.01,20.56,19.21,4.71,3.40,3.13,3.64,19.87,47.74,22.71
1995,12.10,35.53,30.35,43.71,21.08,7.47,4.83,0.80,10.48,7.47,5.08,39.44
1996,46.11,49.51,73.49,34.94,20.74,3.88,3.65,2.39,4.97,10.29,8.44,13.36
