Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,32.86,28.30,35.23,30.88,13.15,0.76,0.12,0.09,0.43,10.13,24.41,28.90
1902,33.18,29.80,36.03,32.40,12.27,0.55,0.09,0.08,0.35,8.82,27.06,28.57
1903,31.95,31.11,35.93,31.49,11.79,0.66,0.12,0.08,0.31,7.29,23.85,31.35
1904,32.81,29.26,39.29,33.33,13.53,0.82,0.13,0.13,0.36,8.17,24.69,32.88
1905,35.67,28.63,37.72,31.26,12.40,0.67,0.13,0.10,0.32,7.91,22.04,31.61
1906,33.32,30.11,36.09,31.99,13.00,0.72,0.15,0.09,0.36,8.05,24.16,30.19
1907,33.03,30.60,36.62,32.08,12.71,0.69,0.14,0.09,0.37,8.28,24.60,29.75
1908,33.80,29.69,36.50,32.24,12.87,0.75,0.12,0.08,0.37,8.14,24.16,30.23
1909,33.23,30.96,35.00,32.38,12.21,0.76,0.09,0.11,0.44,8.52,24.20,28.96
1910,33.71,29.88,35.92,32.23,12.83,0.69,0.13,0.09,0.42,8.04,23.62,28.78
1911,33.17,29.48,37.08,33.44,13.69,0.72,0.10,0.07,0.35,8.30,24.09,31.01
1912,33.19,30.16,36.82,32.34,12.91,0.69,0.14,0.10,0.33,8.74,23.28,30.12
1913,33.96,30.54,35.91,31.75,12.98,0.55,0.12,0.05,0.33,9.07,25.15,30.39
1914,35.45,28.73,35.65,33.26,13.05,0.92,0.15,0.09,0.38,8.36,24.93,30.40
1915,33.01,29.32,37.31,34.63,12.85,1.04,0.19,0.08,0.32,7.74,22.46,28.80
1916,33.09,30.06,35.18,31.55,13.23,0.72,0.14,0.07,0.47,7.54,23.79,30.13
1917,32.30,30.06,36.22,31.99,12.66,0.66,0.12,0.11,0.35,7.99,23.65,29.93
1918,32.76,30.19,36.14,32.29,12.99,0.81,0.12,0.11,0.35,8.07,23.61,30.45
1919,33.17,30.28,36.42,32.38,12.87,0.72,0.13,0.09,0.36,8.23,23.70,30.25
1920,33.61,30.44,36.50,32.14,12.95,0.81,0.16,0.12,0.45,8.46,24.30,29.94
1921,33.08,30.04,36.19,32.64,12.78,0.77,0.14,0.09,0.34,7.90,24.30,30.57
1922,33.80,30.24,35.95,32.15,12.57,0.80,0.17,0.15,0.42,8.00,24.00,30.05
1923,33.49,30.09,36.40,32.81,12.93,0.72,0.13,0.09,0.39,8.32,23.49,30.07
1924,33.49,30.34,36.70,32.02,12.71,0.72,0.13,0.08,0.35,8.25,23.77,29.76
1925,32.86,29.35,36.16,32.42,12.68,0.77,0.13,0.06,0.35,8.50,23.19,30.66
1926,32.61,31.13,37.48,31.74,12.97,0.69,0.24,0.05,0.34,7.54,22.57,29.49
1927,32.70,30.35,35.72,33.13,12.59,0.66,0.18,0.09,0.41,7.56,24.78,30.88
1928,32.17,32.64,36.41,31.57,12.55,0.71,0.13,0.10,0.28,5.98,27.64,30.62
1929,30.31,29.86,28.89,29.17,10.35,0.58,0.12,0.11,0.29,5.63,22.70,34.78
1930,33.47,32.69,28.27,25.55,9.18,0.63,0.09,0.10,0.50,8.25,23.06,30.33
1931,33.83,28.96,34.31,33.12,12.78,0.78,0.22,0.11,0.45,8.59,24.31,30.40
1932,47.28,29.95,28.83,29.45,11.48,0.44,0.10,0.08,0.53,5.63,28.10,23.54
1933,34.82,26.41,31.73,30.61,9.84,0.65,0.12,0.07,0.32,6.60,19.05,31.42
1934,34.14,31.26,30.05,26.84,11.60,0.62,0.12,0.09,0.30,7.75,21.94,36.53
1935,30.44,32.17,27.80,33.48,10.06,0.63,0.13,0.06,0.35,10.97,41.10,26.04
1936,28.61,32.66,32.14,28.31,13.38,0.81,0.23,0.06,0.26,6.37,27.18,34.11
1937,33.40,25.80,24.29,40.22,11.37,0.70,0.12,0.10,0.22,11.11,39.96,24.16
1938,39.41,34.95,30.61,27.78,13.15,0.32,0.13,0.10,0.50,4.94,28.03,27.32
1939,42.90,31.03,35.74,48.65,9.31,0.71,0.22,0.11,0.37,5.67,34.19,27.99
1940,34.05,28.81,33.14,36.45,9.98,0.80,0.08,0.03,0.30,10.66,21.06,33.37
1941,31.95,33.95,39.90,38.72,8.39,0.36,0.11,0.05,0.40,6.04,20.44,37.42
1942,38.44,25.60,47.15,32.21,7.96,0.40,0.04,0.05,0.22,8.42,24.80,25.04
1943,32.97,41.05,53.50,28.67,6.28,0.31,0.25,0.07,0.27,7.28,14.68,27.34
1944,38.62,22.94,45.76,32.42,14.20,0.39,0.10,0.04,0.22,5.35,24.58,27.39
1945,47.46,25.48,30.79,20.02,14.42,0.46,0.05,0.06,0.17,7.50,36.53,33.72
1946,39.56,31.74,46.96,39.82,18.53,0.71,0.22,0.10,0.42,9.90,27.49,30.18
1947,43.52,32.80,33.56,34.53,11.37,0.24,0.12,0.02,0.59,3.92,29.16,23.38
1948,28.52,29.70,32.82,36.68,15.44,0.58,0.04,0.03,0.14,7.21,26.22,35.05
1949,37.79,30.95,44.68,37.77,9.06,0.58,0.08,0.06,0.20,3.07,8.83,51.28
1950,39.84,26.26,47.10,21.30,17.00,0.64,0.07,0.01,0.09,6.00,14.89,27.32
1951,34.73,31.69,31.65,26.96,12.75,0.93,0.03,0.07,0.52,8.10,19.55,36.66
