Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,152.79,23.20,50.98,78.03,106.92,57.13,95.37,77.32,117.90,94.39,61.47,55.64
1902,86.43,52.65,62.28,44.18,56.82,45.06,28.07,54.84,66.30,106.46,135.57,125.85
1903,98.12,72.08,59.67,63.11,52.26,80.20,25.16,42.64,135.93,73.20,93.27,135.72
1904,93.04,63.73,106.74,57.67,99.04,54.20,62.19,56.48,129.16,131.05,90.17,74.11
1905,146.16,69.54,66.32,29.65,64.61,37.05,78.87,49.69,116.15,85.94,78.65,98.86
1906,90.97,46.66,31.83,90.06,31.53,65.56,114.13,31.57,152.85,117.33,96.91,83.52
1907,121.13,58.99,70.15,55.43,28.29,25.96,54.09,38.61,104.11,67.31,82.74,96.77
1908,84.19,62.02,67.28,48.56,50.87,90.43,29.87,51.96,92.89,190.98,84.88,103.65
1909,84.27,73.87,51.86,63.86,61.54,20.06,47.75,124.59,56.51,103.31,63.51,58.17
1910,67.67,54.40,89.92,36.76,60.15,62.25,43.64,43.49,117.54,107.58,49.79,79.38
1911,92.89,55.22,46.27,29.32,91.72,44.55,72.98,56.87,85.18,65.14,66.79,124.27
1912,69.29,51.63,37.92,53.48,47.79,41.41,52.25,40.44,88.84,115.39,102.17,51.43
1913,110.64,78.74,60.67,85.66,24.86,49.48,73.29,116.72,68.45,40.18,102.83,72.28
1914,74.38,39.24,29.33,58.51,41.44,71.18,37.89,66.54,146.33,113.50,61.55,102.76
1915,67.70,49.81,26.04,62.96,23.26,30.54,55.61,44.39,64.99,188.79,51.72,66.39
1916,128.98,61.20,12.50,41.47,38.33,7.11,54.79,97.85,83.50,75.68,57.57,42.84
1917,40.93,57.98,68.07,27.31,41.48,53.34,27.54,64.97,93.80,81.50,81.54,85.39
1918,37.39,143.97,155.61,75.95,55.69,78.69,33.86,51.09,58.29,93.72,135.56,95.59
1919,93.17,64.01,54.58,66.76,107.22,91.22,72.96,46.96,65.44,61.11,45.04,123.18
1920,52.32,93.79,62.22,31.17,61.36,32.86,82.59,74.47,130.07,139.78,138.62,88.82
1921,67.19,113.91,96.11,138.22,56.92,47.96,76.33,48.76,127.83,131.79,199.80,159.46
1922,174.01,137.19,63.13,47.43,42.47,99.21,70.36,101.36,72.29,75.20,117.62,101.66
1923,103.85,99.05,119.14,54.90,27.39,81.86,119.83,63.72,109.49,93.09,46.37,77.32
1924,137.01,64.56,54.08,34.27,39.19,58.67,75.94,96.42,63.91,135.37,108.60,133.84
1925,130.41,52.14,64.48,75.10,94.21,66.91,81.91,69.41,111.73,58.96,115.04,62.21
1926,134.53,81.59,57.86,86.57,68.10,61.45,104.37,130.75,110.16,51.26,104.63,115.52
1927,71.15,105.74,85.56,57.01,59.29,45.98,63.61,61.35,82.43,77.95,123.12,57.84
1928,83.08,80.46,76.98,59.78,20.16,35.24,74.23,60.60,101.54,66.57,107.60,82.92
1929,75.05,121.60,84.38,21.95,101.63,65.19,30.27,80.73,128.96,90.18,80.80,118.00
1930,139.20,120.66,63.37,88.20,46.39,107.49,70.95,122.02,91.02,106.46,84.30,112.79
1931,77.59,64.79,79.48,80.21,11.88,41.97,40.63,35.30,71.72,131.22,180.88,116.16
1932,119.38,45.92,53.79,68.40,16.07,40.55,98.15,99.36,94.92,83.05,145.93,112.17
1933,143.10,38.91,105.30,45.44,51.87,117.99,52.70,106.51,131.46,126.05,103.86,124.35
1934,122.65,93.46,51.15,44.90,77.08,53.69,77.14,125.35,161.89,109.33,120.03,103.48
1935,92.10,68.17,115.18,19.25,29.72,72.65,137.53,104.16,61.16,131.53,91.54,82.04
1936,27.01,52.50,91.43,29.52,68.21,74.24,34.52,150.39,137.65,152.11,104.54,75.89
1937,108.94,92.21,25.89,97.44,100.19,42.97,108.19,133.28,128.72,86.49,88.07,92.03
1938,88.02,70.13,119.67,52.10,49.87,90.04,59.50,62.91,85.71,138.82,102.33,127.80
1939,50.94,103.75,80.88,60.70,55.00,64.90,26.41,115.00,96.83,65.57,69.02,110.80
1940,103.32,62.55,85.25,71.31,103.29,103.28,48.77,88.38,90.76,122.59,100.70,89.79
1941,36.93,53.28,50.57,29.15,49.43,61.67,100.99,53.63,136.01,71.82,97.66,95.21
1942,135.27,52.84,72.34,75.78,82.46,48.27,86.41,102.38,110.64,91.34,80.12,101.77
1943,65.88,102.24,83.97,65.00,55.16,83.05,113.70,47.01,148.58,135.19,96.02,118.67
1944,103.51,55.74,65.10,81.70,59.71,33.65,38.10,118.67,104.40,126.65,64.53,95.52
1945,48.38,97.19,107.83,87.94,51.56,57.46,68.45,79.77,163.69,98.39,126.33,76.11
1946,113.47,72.98,62.23,98.72,21.70,60.64,65.20,102.99,102.84,118.06,89.44,125.69
1947,123.14,58.03,33.58,65.11,78.38,84.05,110.81,88.70,89.09,100.14,95.29,91.76
1948,69.81,80.10,119.03,51.61,59.65,39.65,80.29,29.99,71.93,156.80,103.10,96.18
1949,96.32,83.23,64.58,58.95,50.07,72.08,67.07,94.00,124.72,83.95,80.73,96.98
1950,148.47,70.72,66.47,49.97,57.66,46.61,108.34,126.64,98.50,143.19,70.60,96.27
1951,94.17,63.62,60.40,57.39,39.30,44.56,59.97,91.61,127.47,147.02,57.09,135.79
1952,119.59,111.71,43.19,91.12,68.17,36.68,71.94,73.16,63.11,132.27,53.80,90.05
1953,100.70,132.96,133.01,82.63,39.78,78.91,75.08,96.95,123.27,164.29,157.97,166.16
1954,99.01,86.16,82.74,84.76,57.22,42.86,87.32,76.66,82.33,91.04,152.63,91.07
1955,87.96,40.45,53.18,102.48,40.32,75.16,100.93,107.59,100.62,64.61,96.95,72.10
1956,107.02,97.19,80.31,74.96,106.08,64.57,56.40,36.45,91.56,132.17,147.66,115.72
1957,115.89,63.82,72.71,86.46,96.14,34.47,36.46,83.86,55.61,138.33,95.09,113.43
1958,107.58,55.62,46.87,80.29,15.12,32.82,42.58,79.72,76.17,157.11,177.55,78.29
1959,55.99,150.51,107.88,57.94,53.78,109.13,67.75,144.70,130.69,153.22,112.48,112.22
1960,65.66,75.57,80.96,91.43,79.50,75.15,100.84,18.26,78.59,44.88,94.43,124.09
1961,112.95,115.21,118.56,62.73,58.12,96.01,56.10,97.25,132.23,144.31,149.48,86.59
1962,128.15,93.21,25.48,79.24,38.75,105.22,59.31,67.20,93.55,133.61,65.49,132.90
1963,41.06,63.51,79.87,91.77,106.30,61.15,84.21,28.30,115.73,125.99,97.09,75.19
1964,125.93,60.48,97.18,63.81,78.88,62.16,94.97,68.37,61.62,137.16,112.12,87.89
1965,96.07,49.09,29.05,58.65,30.96,57.50,46.71,81.96,71.33,173.25,60.88,52.54
1966,76.88,33.47,100.02,52.20,79.55,86.90,82.21,84.36,66.75,52.89,128.22,98.40
1967,98.64,89.68,85.79,77.74,40.09,88.35,80.49,76.41,83.46,94.47,88.10,155.23
1968,105.58,104.74,84.15,62.09,28.65,90.02,44.89,110.45,81.94,62.50,141.98,80.67
1969,85.48,72.70,94.36,76.84,21.49,100.29,114.23,122.73,108.85,150.62,57.24,99.12
1970,111.87,66.86,103.77,49.04,100.84,53.59,82.73,109.71,108.84,129.56,71.92,120.48
1971,67.03,108.03,94.31,83.36,93.25,26.15,90.31,83.35,137.88,125.03,105.31,134.19
1972,118.07,103.17,130.17,78.51,75.90,121.41,103.03,100.54,101.65,141.50,113.35,145.32
1973,139.58,124.98,107.51,61.73,57.30,84.12,49.87,117.70,96.71,138.59,108.32,88.08
1974,131.80,134.48,110.24,100.98,64.29,124.44,64.48,108.18,120.03,120.98,107.71,86.90
1975,101.66,100.28,69.12,50.79,50.14,74.00,81.23,95.77,100.18,130.58,144.97,127.52
1976,89.89,133.37,124.31,65.32,90.72,86.78,78.20,148.54,37.10,123.28,121.84,51.13
1977,83.99,26.87,82.34,76.23,26.65,69.08,95.04,79.74,83.99,151.02,76.61,93.87
1978,124.62,52.91,102.06,34.65,110.41,55.32,79.62,69.21,72.30,106.24,153.55,67.60
1979,65.28,87.61,34.63,68.71,37.80,87.40,54.12,56.20,140.14,114.92,119.32,107.03
1980,78.92,107.08,65.34,101.98,61.00,68.23,47.89,66.65,93.79,76.45,70.50,84.56
1981,121.95,99.55,98.43,75.35,44.65,57.33,51.24,125.05,116.44,69.98,99.24,75.48
1982,108.89,126.02,110.41,73.28,63.25,34.41,93.24,82.52,85.99,143.05,85.65,112.34
1983,158.50,73.72,136.01,49.85,40.30,115.56,96.67,133.41,53.31,163.21,92.90,119.44
1984,95.50,143.35,73.44,110.28,76.19,66.50,74.71,101.05,90.70,92.42,98.41,134.52
1985,79.14,47.55,74.25,67.77,50.40,53.58,95.90,90.60,70.74,169.17,73.62,56.07
1986,115.06,41.17,136.50,84.16,71.92,78.08,77.28,54.87,63.30,122.59,126.07,129.95
1987,59.42,88.43,93.15,88.45,33.16,29.86,103.87,36.33,126.36,102.60,104.24,116.92
1988,70.96,69.35,61.62,51.49,89.43,80.73,83.94,113.74,117.24,109.07,99.11,133.49
1989,174.31,128.57,99.23,108.47,117.56,50.03,90.58,106.41,152.55,73.88,76.26,91.53
1990,153.45,97.99,101.93,69.06,71.53,50.35,87.59,106.82,125.97,119.53,71.43,114.22
1991,152.14,109.86,121.15,69.00,104.83,19.99,71.60,98.53,94.71,144.63,146.28,130.29
1992,152.39,145.84,115.13,55.47,74.10,111.11,69.56,116.08,127.54,74.07,145.69,152.12
1993,120.86,105.64,124.12,67.54,92.71,86.87,69.65,85.22,81.79,60.21,159.08,85.99
1994,110.62,100.83,91.93,51.38,57.25,86.32,90.50,60.81,70.51,136.54,159.10,141.54
1995,134.26,73.40,98.72,48.71,62.46,69.99,61.56,108.61,68.15,158.13,47.84,115.84
1996,79.46,118.62,67.00,89.16,55.65,82.80,74.19,79.93,131.27,142.47,68.51,62.77
1997,100.42,103.71,117.11,58.12,44.49,52.98,87.14,137.42,129.89,135.51,106.00,123.64
1998,102.40,98.50,82.18,45.87,55.56,49.30,62.83,123.92,86.33,104.46,141.94,146.84
1999,106.68,105.99,60.20,61.57,118.87,90.25,63.00,51.15,157.26,126.05,114.94,91.33
2000,78.84,116.54,147.70,36.46,92.60,46.61,63.39,77.07,110.63,109.53,86.86,69.13
2001,108.08,100.41,56.64,61.38,92.44,51.15,88.69,95.85,100.96,131.56,133.83,76.00
2002,171.17,93.12,79.39,129.26,93.23,61.07,77.94,109.21,122.42,113.11,117.17,117.75
2003,93.22,155.25,130.96,77.81,52.53,90.02,106.14,73.95,130.52,82.21,118.61,150.19
2004,129.49,100.43,118.81,97.77,102.46,57.49,63.76,67.07,149.63,114.75,154.13,118.77
2005,99.03,60.16,60.89,77.24,23.11,74.26,96.06,128.53,130.80,148.98,95.42,113.22
2006,159.58,100.04,61.34,86.89,67.95,94.55,89.22,89.50,103.49,123.22,136.39,155.26
2007,71.53,54.71,151.68,96.51,47.64,30.81,37.50,96.44,184.97,220.95,124.96,173.93
2008,95.97,109.02,81.03,35.08,67.52,49.90,70.19,70.24,159.52,111.78,108.30,128.04
2009,167.92,80.54,102.72,117.90,93.94,42.76,41.45,132.96,113.65,138.39,104.41,124.72
2010,85.61,60.92,89.82,70.15,54.25,27.07,89.91,98.58,119.91,92.27,97.35,88.02
2011,98.63,125.08,119.46,115.39,95.95,57.45,65.00,66.23,136.06,227.18,153.96,83.75
2012,187.16,137.83,125.50,54.34,47.20,25.20,49.57,45.85,158.41,74.11,125.41,104.14
2013,144.56,93.44,51.38,59.18,109.98,59.21,87.55,101.85,147.36,119.42,115.98,118.32
2014,125.74,75.07,157.38,63.76,57.92,73.73,156.20,70.83,126.18,108.74,115.49,163.52
2015,134.27,108.68,127.93,68.97,68.17,36.82,65.00,123.26,110.69,158.41,115.26,121.16
2016,69.36,116.43,83.24,62.00,48.12,56.16,81.74,85.62,184.43,166.90,163.12,179.79
2017,112.67,142.20,70.30,134.66,134.29,72.63,58.84,70.65,162.60,81.50,114.70,79.28
2018,117.04,162.81,77.19,75.53,159.33,88.33,124.83,91.13,109.91,141.76,161.26,110.25
2019,128.20,118.35,102.27,58.27,47.51,34.90,103.99,108.99,149.04,131.65,53.78,88.65
2020,153.23,115.54,101.00,80.70,52.07,82.35,68.05,116.74,143.75,104.02,96.37,100.75
2021,113.34,63.03,93.98,53.65,59.63,50.96,37.48,50.00,229.40,197.43,136.64,94.14
