Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,99.97,2.71,8.21,3.90,14.29,0.04,0.05,0.04,0.07,2.68,24.97,74.04
1902,108.32,26.18,24.11,24.63,0.54,0.04,0.05,0.04,0.01,7.47,72.22,67.41
1903,67.10,49.49,40.44,2.68,0.51,0.08,0.04,0.04,0.00,2.64,25.20,45.10
1904,103.39,49.33,30.89,27.61,4.41,0.11,0.04,0.04,0.05,12.46,65.19,160.46
1905,63.40,57.29,69.80,23.66,2.07,0.07,0.04,0.04,0.15,8.86,10.16,141.29
1906,71.45,55.54,29.59,34.71,14.90,0.16,0.04,0.04,0.00,13.01,25.88,29.07
1907,171.36,63.80,41.14,8.31,0.35,0.05,0.04,0.04,0.34,5.77,47.42,51.39
1908,105.74,65.07,66.60,25.41,1.52,0.24,0.04,0.04,0.03,0.43,41.89,63.54
1909,61.88,25.36,14.04,55.12,5.76,0.05,0.04,0.04,0.69,23.17,30.10,36.54
1910,64.84,20.43,68.96,18.12,4.10,0.09,0.04,0.04,0.27,8.70,26.78,36.70
1911,113.52,99.16,40.18,34.40,2.25,0.04,0.04,0.04,0.17,10.88,35.48,126.93
1912,110.95,51.15,28.71,10.48,7.65,0.04,0.04,0.04,0.03,23.13,33.91,98.46
1913,70.96,74.77,20.28,12.07,3.32,0.07,0.04,0.05,0.21,19.92,25.55,76.92
1914,42.89,20.61,26.78,41.01,3.35,0.12,0.04,0.04,0.02,3.30,99.62,65.66
1915,24.19,37.39,41.40,20.34,0.49,0.04,0.04,0.04,0.32,1.84,26.23,22.88
1916,124.09,71.31,58.11,26.14,0.10,0.04,0.04,0.04,0.46,0.88,19.47,91.89
1917,151.34,76.69,21.68,1.64,0.83,0.04,0.04,0.04,1.37,4.39,22.77,90.58
1918,70.94,72.36,68.63,16.25,11.07,0.05,0.04,0.04,1.91,40.68,42.86,89.31
1919,78.90,61.15,22.86,13.85,2.31,0.05,0.04,0.04,0.00,1.77,25.53,105.11
1920,80.91,127.87,55.17,18.41,3.49,0.05,0.04,0.09,0.07,3.61,40.50,76.34
1921,87.46,74.80,40.27,6.39,7.03,0.35,0.05,0.08,0.08,0.75,22.03,112.31
1922,82.70,79.27,26.16,3.26,2.20,0.00,0.05,0.04,0.00,0.42,22.95,73.61
1923,50.17,70.53,15.07,15.64,3.10,0.01,0.04,0.04,0.69,26.02,7.50,61.56
1924,57.89,99.31,35.11,0.62,2.07,0.05,0.04,0.04,0.05,16.85,60.86,58.54
1925,33.84,22.00,9.32,40.66,0.44,0.65,0.04,0.04,0.26,2.86,49.93,40.21
1926,74.88,66.12,55.92,12.39,1.56,0.00,0.04,0.04,0.00,0.69,14.31,62.84
1927,41.59,137.78,9.28,28.51,1.01,0.00,0.04,0.04,0.00,11.31,25.83,31.38
1928,46.92,109.90,7.18,0.55,0.18,0.00,0.05,0.04,0.02,1.56,30.86,70.93
1929,71.17,58.64,12.99,34.54,1.15,0.08,0.04,0.04,0.06,1.30,72.94,62.93
1930,87.43,51.37,6.44,22.23,0.71,0.00,0.04,0.04,1.34,0.81,28.58,57.22
1931,92.16,56.84,22.95,10.59,0.58,0.08,0.04,0.05,0.76,3.15,26.99,95.33
1932,62.15,64.36,6.79,7.58,0.36,0.00,0.04,0.04,0.00,8.87,17.09,8.90
1933,60.12,33.08,24.20,15.58,0.56,0.00,0.04,0.04,1.18,3.51,10.80,27.73
1934,115.23,68.00,6.61,13.07,2.32,0.01,0.04,0.04,0.00,2.99,4.15,87.87
1935,68.77,110.60,9.51,12.39,1.45,0.00,0.04,0.04,0.59,25.41,33.73,17.99
1936,34.07,59.75,14.99,7.10,2.07,0.00,0.04,0.04,0.19,1.89,95.34,89.56
1937,114.85,28.09,8.98,26.30,2.43,0.04,0.04,0.04,0.00,25.83,43.78,28.93
1938,132.67,84.78,38.37,6.23,8.46,0.00,0.04,0.00,0.20,0.48,101.87,48.23
1939,37.47,85.38,59.96,10.76,0.13,0.07,0.04,0.01,0.00,6.49,91.91,47.64
1940,111.74,18.90,26.71,27.52,0.54,0.01,0.04,0.00,0.09,13.10,45.11,67.52
1941,50.03,29.34,49.24,4.53,0.11,0.00,0.04,0.00,0.08,3.91,13.48,156.70
1942,67.31,55.79,67.78,1.61,0.34,0.02,0.04,0.01,0.48,34.10,43.23,25.87
1943,99.70,57.35,76.74,31.97,1.08,0.00,0.04,0.00,0.02,10.59,3.55,31.84
1944,159.73,25.43,29.81,11.10,8.28,0.00,0.04,0.00,0.02,0.30,138.05,121.45
1945,96.94,75.66,23.97,6.21,11.35,0.02,0.04,0.00,0.25,1.35,48.59,65.94
1946,34.24,88.41,22.64,0.76,9.46,0.00,0.04,0.00,0.06,1.51,3.06,35.67
1947,79.66,10.65,33.65,8.21,2.78,0.01,0.04,0.00,0.28,1.35,54.70,22.20
1948,77.34,64.45,61.82,15.77,2.17,0.00,0.04,0.00,0.02,1.39,27.44,68.75
1949,82.38,96.33,64.58,41.52,0.95,0.00,0.04,0.00,0.85,0.16,3.94,111.30
1950,83.92,64.88,26.50,8.41,12.16,0.03,0.04,0.00,0.11,9.57,18.30,20.03
1951,41.99,59.20,14.81,7.39,0.04,0.05,0.04,0.00,0.42,4.18,23.90,170.03
1952,57.11,71.20,32.59,3.78,0.12,0.00,0.04,0.00,0.00,6.56,11.63,21.52
1953,59.85,71.92,91.54,8.18,0.15,0.00,0.04,0.00,0.00,0.70,89.01,79.08
1954,39.49,86.28,17.60,24.73,0.04,0.00,0.04,0.00,0.17,1.36,51.84,111.67
1955,10.75,15.26,21.19,8.29,2.03,0.00,0.04,0.00,0.02,3.53,91.61,86.29
1956,79.16,22.18,49.35,10.72,2.17,0.00,0.04,0.00,0.02,0.26,14.06,64.38
1957,71.31,63.63,60.08,16.86,11.96,0.01,0.04,0.00,0.00,7.81,37.20,70.72
1958,99.40,8.45,3.57,5.09,1.46,0.07,0.04,0.00,0.11,3.50,3.53,14.15
1959,54.57,99.04,26.58,4.00,3.27,0.00,0.04,0.00,0.64,0.79,15.64,14.65
1960,48.46,8.87,37.74,7.37,0.41,0.00,0.04,0.00,0.01,0.52,44.53,20.20
1961,72.79,79.09,13.33,12.33,8.09,0.01,0.04,0.00,0.15,8.94,18.79,117.97
1962,55.22,39.12,2.77,12.92,2.32,0.00,0.04,0.00,0.00,7.18,1.28,44.88
1963,30.98,49.11,18.66,15.04,7.49,0.02,0.07,0.00,0.01,22.35,27.12,116.43
1964,63.41,87.08,31.56,9.59,1.30,0.00,0.04,0.00,0.00,0.22,83.47,76.68
1965,165.50,28.81,26.97,22.24,0.03,0.01,0.04,0.01,0.35,32.19,17.17,30.92
1966,45.88,42.57,49.03,0.48,0.35,0.00,0.04,0.00,0.11,21.87,21.04,119.42
1967,93.59,43.04,68.26,2.22,9.77,0.00,0.04,0.00,0.06,16.66,62.76,43.28
1968,96.97,27.71,14.87,31.57,5.16,0.01,0.04,0.01,0.04,13.36,36.46,86.29
1969,103.33,12.26,70.25,12.43,0.90,0.00,0.04,0.00,0.12,17.17,31.30,23.21
1970,76.38,19.12,54.16,13.23,1.33,0.00,0.04,0.08,0.34,6.53,22.94,57.36
1971,59.63,50.93,23.90,81.16,0.29,0.20,0.04,0.03,0.03,2.83,30.55,126.37
1972,40.75,69.04,53.81,17.20,1.54,0.19,0.06,0.00,0.16,4.67,39.35,29.11
1973,75.04,9.47,34.21,5.30,4.56,0.05,0.04,0.00,0.00,6.04,54.35,21.97
1974,209.26,67.62,38.46,24.18,0.00,0.00,0.04,0.00,0.00,0.22,28.69,78.36
1975,29.55,111.24,22.51,4.48,0.16,0.00,0.04,0.00,0.93,2.73,25.34,62.54
1976,28.83,56.95,47.10,14.44,5.27,0.27,0.04,0.00,0.10,14.34,41.21,24.50
1977,75.37,22.53,39.62,52.71,1.10,0.02,0.04,0.00,0.25,24.47,9.34,101.02
1978,42.82,31.08,33.91,6.10,0.10,0.51,0.04,0.00,0.00,16.77,8.98,60.27
1979,51.30,25.05,35.43,2.97,2.55,0.03,0.04,0.01,0.04,30.49,69.11,118.08
1980,63.16,85.89,43.66,11.97,0.37,0.00,0.04,0.02,0.00,11.54,4.46,124.47
1981,85.29,43.18,30.07,12.57,0.33,0.04,0.04,0.12,0.38,2.01,39.33,9.03
1982,57.37,78.16,43.44,7.14,5.66,0.00,0.04,0.00,1.16,4.05,67.15,50.27
1983,101.68,85.14,55.36,8.54,2.21,0.10,0.04,0.00,0.00,1.95,30.33,25.31
1984,63.52,18.55,50.95,20.23,0.00,0.01,0.07,0.00,0.00,16.75,20.94,46.48
1985,29.40,101.51,29.57,25.66,2.51,0.00,0.04,0.00,0.17,12.99,8.90,58.06
1986,41.60,58.93,9.43,24.23,13.35,0.18,0.04,0.01,0.67,18.85,143.71,53.52
1987,42.96,31.86,46.77,1.51,0.24,0.00,0.04,0.19,0.00,28.47,6.96,96.90
1988,91.09,100.34,40.17,7.58,0.09,0.01,0.04,0.00,0.01,6.36,24.48,100.09
1989,55.73,39.04,39.97,0.68,0.02,0.00,0.04,0.00,0.02,9.74,43.25,36.28
1990,76.81,38.06,46.70,27.35,0.62,0.00,0.04,0.00,0.01,8.48,11.30,10.14
1991,100.46,38.57,67.33,8.29,1.47,0.00,0.06,0.00,0.56,8.83,55.13,148.29
1992,111.07,114.40,18.02,3.20,4.57,0.61,0.04,0.00,0.05,0.16,42.29,126.83
1993,64.39,53.46,16.82,0.45,7.27,0.01,0.04,0.00,0.00,12.27,16.67,49.27
1994,91.88,54.20,40.29,6.34,2.20,0.00,0.04,0.00,0.14,13.29,139.31,80.70
1995,14.59,57.84,21.40,13.90,1.08,0.00,0.04,0.00,0.00,0.41,43.32,20.61
1996,93.12,22.43,57.20,10.18,0.13,0.00,0.04,0.00,0.32,16.08,11.75,30.76
1997,72.26,70.91,53.86,7.44,4.63,0.18,0.04,0.00,0.57,21.62,31.62,59.88
1998,65.71,40.22,61.23,4.37,5.29,0.00,0.04,0.00,0.24,1.04,3.25,23.25
1999,43.52,53.31,16.68,7.94,0.00,0.01,0.04,0.00,0.15,3.64,6.50,11.57
2000,115.75,22.11,26.82,1.82,0.03,0.01,0.04,0.02,0.30,29.30,18.42,75.13
2001,46.00,49.55,17.05,13.89,6.16,0.01,0.04,0.02,0.00,8.21,33.64,66.87
2002,102.97,41.96,26.92,21.00,2.39,0.01,0.04,0.02,0.16,10.30,32.64,83.33
2003,53.83,104.06,59.63,8.90,0.17,0.05,0.04,0.02,0.07,0.82,18.97,89.93
2004,89.51,47.99,19.02,2.04,1.13,0.01,0.04,0.02,0.04,1.40,37.55,46.92
2005,59.94,40.91,23.71,9.25,1.53,0.10,0.04,0.02,0.34,11.33,30.86,41.41
2006,56.64,45.27,6.31,42.94,0.03,0.01,0.04,0.02,0.01,25.48,9.80,40.71
2007,54.25,58.58,25.72,10.41,4.94,0.01,0.04,0.01,0.00,1.57,32.43,22.46
2008,93.79,34.70,2.05,0.79,1.50,0.01,0.04,0.01,0.85,16.22,8.12,31.32
2009,14.37,70.74,23.13,1.90,0.93,0.01,0.04,0.01,0.33,17.88,29.65,49.33
2010,85.36,77.38,9.90,1.47,0.95,0.05,0.04,0.01,0.15,2.65,2.29,58.79
2011,49.56,58.34,32.75,28.48,2.99,0.08,0.04,0.01,0.86,2.09,48.73,24.05
2012,80.48,49.71,41.15,0.59,1.16,0.01,0.04,0.01,0.23,6.31,65.86,45.78
2013,125.65,51.97,1.52,14.07,3.87,0.01,0.04,0.03,0.44,1.66,12.91,86.52
2014,41.11,22.84,47.44,0.31,12.03,0.01,0.04,0.01,0.65,13.24,69.51,46.74
2015,80.08,52.90,17.18,19.60,0.26,0.01,0.04,0.03,0.01,33.99,31.06,40.93
2016,42.79,30.61,27.05,12.94,2.07,0.01,0.04,0.01,0.01,22.87,4.13,103.49
2017,23.68,43.32,12.93,11.32,0.78,0.01,0.04,0.03,0.01,4.32,10.28,17.00
2018,85.07,61.08,3.80,29.63,5.90,0.03,0.04,0.01,0.01,16.46,31.40,86.40
2019,67.92,81.92,36.17,12.12,0.00,0.05,0.04,0.01,0.08,13.98,2.76,67.95
2020,116.51,64.81,38.58,10.78,5.84,0.01,0.04,0.01,0.01,0.04,87.67,49.96
2021,51.80,55.88,12.92,5.37,0.04,0.01,0.04,0.01,0.01,1.60,25.97,94.07
