Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,33.36,72.67,109.94,48.55,72.19,69.26,60.81,47.95,136.10,152.93,68.33,121.20
1902,50.78,131.28,61.15,69.51,78.91,54.35,27.00,35.05,52.97,130.93,91.86,54.05
1903,48.93,28.67,51.77,73.73,58.81,99.00,50.15,22.92,48.79,110.94,99.36,146.26
1904,67.23,87.19,104.74,55.81,37.89,63.02,29.87,59.94,92.79,90.52,67.09,71.98
1905,54.68,80.98,70.20,59.46,130.51,75.87,55.62,72.97,72.60,97.73,168.22,46.70
1906,58.34,88.43,62.12,62.77,69.23,46.26,56.87,23.82,53.35,81.72,122.11,88.51
1907,59.45,63.74,27.33,92.80,46.86,49.12,35.53,30.65,70.26,168.42,72.37,107.11
1908,38.69,34.50,76.19,82.14,36.70,44.84,81.10,52.64,39.13,59.13,91.26,91.14
1909,45.80,69.56,112.27,46.64,51.22,75.40,35.55,66.64,88.24,85.82,81.50,87.39
1910,76.17,77.62,53.08,84.42,72.91,87.21,43.14,48.18,99.97,101.21,121.80,122.01
1911,59.44,22.55,70.70,59.78,105.36,76.18,33.43,45.90,100.25,103.31,119.59,87.00
1912,85.97,62.81,70.00,69.75,65.31,61.08,42.83,44.34,71.60,98.71,83.58,48.02
1913,58.24,38.67,58.90,89.70,61.53,61.88,63.22,46.53,74.19,74.11,77.80,60.91
1914,64.22,73.17,81.79,39.68,101.80,57.09,53.22,59.47,40.74,118.73,93.16,116.03
1915,132.28,117.49,67.58,65.25,69.89,93.00,55.11,48.29,97.58,93.44,109.29,74.80
1916,25.99,72.59,116.10,71.98,49.97,35.29,37.48,54.62,130.45,85.49,161.42,142.93
1917,133.14,45.83,90.32,63.97,71.53,32.04,50.45,43.87,33.49,121.51,91.60,77.77
1918,35.51,17.94,62.84,114.71,69.17,73.57,34.61,41.01,58.57,169.51,63.12,64.85
1919,116.19,62.67,57.40,81.23,40.54,41.02,49.76,33.25,54.15,87.88,122.36,51.33
1920,92.88,39.44,74.84,77.04,35.85,79.93,38.98,58.76,76.56,101.66,96.42,87.17
1921,42.68,52.35,57.22,87.50,67.30,64.90,35.43,53.76,34.86,33.61,61.33,51.99
1922,75.97,42.06,78.93,79.16,23.62,56.56,38.50,27.51,98.54,110.58,51.41,74.33
1923,56.33,95.92,40.70,96.55,30.04,53.99,18.92,38.24,67.03,40.69,131.37,105.87
1924,71.88,76.50,78.68,74.77,50.51,72.81,56.22,57.30,48.90,91.81,38.51,81.97
1925,19.32,83.19,76.01,77.32,67.79,40.58,43.81,48.10,61.35,63.13,125.22,53.66
1926,65.63,60.09,59.11,58.87,87.47,76.82,60.21,33.64,60.70,77.22,156.46,80.05
1927,100.54,46.50,86.80,32.67,67.53,46.38,24.96,30.91,74.50,60.48,103.56,140.20
1928,65.07,31.56,130.37,94.36,70.86,24.68,15.94,33.39,117.24,122.38,122.52,75.45
1929,71.67,53.05,32.60,59.96,52.64,47.36,21.01,79.02,30.27,86.24,126.10,77.56
1930,85.09,75.73,63.12,85.15,93.56,48.15,56.18,47.90,75.53,82.13,49.01,95.80
1931,63.86,107.29,65.40,75.45,81.82,24.52,29.57,44.94,56.18,81.27,144.23,47.78
1932,32.20,38.25,81.88,77.05,76.96,63.59,91.05,23.70,51.66,96.10,94.91,77.24
1933,84.40,63.50,44.34,43.29,72.04,86.55,26.07,25.58,84.25,90.65,141.44,119.57
1934,48.11,41.25,106.71,70.46,64.32,84.05,41.04,80.90,63.86,73.51,147.66,98.99
1935,64.03,67.51,36.89,48.57,69.30,21.97,31.99,66.01,38.52,155.79,143.35,116.48
1936,81.29,90.87,75.80,99.02,86.92,72.37,40.18,26.21,83.74,84.46,64.63,59.42
1937,63.29,66.94,115.68,82.06,55.02,75.08,47.69,83.27,140.39,107.88,104.34,113.39
1938,49.10,53.04,13.42,45.74,88.32,44.45,36.10,82.92,85.75,77.30,69.95,90.19
1939,85.66,37.40,72.32,49.40,125.37,64.18,26.55,59.37,123.24,109.81,67.56,97.92
1940,81.52,50.65,34.84,61.57,100.94,98.24,52.42,43.72,47.24,165.92,95.26,46.60
1941,93.37,105.45,53.50,92.76,95.30,62.60,39.75,36.71,53.84,90.19,135.72,39.66
1942,70.90,86.08,51.45,65.62,44.92,51.53,44.57,33.69,76.07,59.65,77.81,99.56
1943,62.10,60.71,57.11,31.99,71.81,46.64,31.47,28.10,78.06,79.42,100.85,100.90
1944,28.32,56.46,43.19,41.27,38.45,70.03,47.12,38.17,78.45,149.57,83.11,70.34
1945,78.53,25.88,43.01,37.37,43.06,18.92,21.96,53.96,43.14,56.07,88.96,91.31
1946,63.38,25.38,85.25,43.56,69.84,56.77,51.25,48.99,23.27,90.03,125.68,91.45
1947,58.84,99.05,73.72,25.72,60.53,41.22,32.61,50.26,78.75,94.97,65.21,87.85
1948,98.35,41.35,9.94,74.25,85.40,62.94,55.37,52.71,70.62,116.39,49.75,51.20
1949,57.74,16.46,40.73,35.85,89.77,47.34,33.22,31.88,51.72,97.15,179.88,51.43
1950,74.04,61.96,37.96,96.11,29.95,37.67,21.54,42.05,65.02,72.64,95.28,123.40
1951,107.39,105.45,86.18,39.76,80.69,42.40,54.01,48.65,103.50,108.05,130.09,46.57
1952,60.55,46.19,29.57,45.64,52.91,28.37,61.70,47.17,79.99,83.69,89.45,97.48
1953,67.08,44.01,18.53,69.50,70.75,95.88,50.73,66.99,70.09,150.77,43.35,60.08
1954,78.22,72.76,76.70,71.93,99.16,65.70,43.39,61.60,37.35,61.39,84.04,69.02
1955,70.00,93.52,64.21,27.05,34.12,49.87,64.50,68.13,104.04,84.05,75.54,63.14
1956,65.21,72.00,79.56,93.73,48.82,74.91,39.69,26.91,60.06,70.66,118.20,41.65
1957,72.58,58.11,27.12,76.85,98.17,62.10,52.49,47.44,36.37,90.81,115.04,85.41
1958,51.34,44.24,69.89,112.30,40.58,66.61,39.96,31.01,41.76,89.18,158.20,109.37
1959,47.30,25.16,80.23,83.00,87.27,68.67,39.15,69.90,74.77,91.25,129.16,138.39
1960,70.35,82.32,104.45,63.07,43.66,59.52,64.39,40.95,115.81,140.87,103.93,131.95
1961,94.54,28.20,18.74,82.00,56.75,55.75,47.94,19.78,25.21,129.52,128.86,66.15
1962,55.35,52.25,85.90,61.78,62.57,44.90,28.69,12.96,46.14,83.61,157.83,72.26
1963,81.30,89.17,59.00,68.97,73.72,76.50,56.15,70.34,92.72,83.85,104.54,87.73
1964,25.13,50.67,106.87,59.66,53.89,64.92,45.21,61.80,39.97,170.07,66.76,128.25
1965,78.33,41.69,65.20,63.95,60.44,52.32,36.21,75.89,128.84,39.45,113.92,59.97
1966,71.97,64.24,40.33,70.14,64.10,36.75,66.32,73.76,61.88,152.06,150.19,69.94
1967,39.61,52.45,36.30,66.77,50.15,63.14,36.66,55.48,75.40,29.78,99.24,85.66
1968,58.54,89.77,26.01,43.04,71.71,93.07,40.55,86.54,52.66,37.04,125.47,108.44
1969,65.58,92.25,80.74,56.94,56.40,63.66,47.13,66.53,99.14,30.34,91.62,100.92
1970,86.82,51.48,74.07,40.67,55.89,47.06,30.50,60.84,41.65,58.41,68.14,89.83
1971,83.12,54.63,81.82,50.74,72.90,56.16,29.76,30.86,68.93,39.94,128.19,43.06
1972,114.66,113.73,60.98,95.81,63.94,51.38,68.86,57.62,100.49,78.52,46.16,86.90
1973,107.53,67.95,56.00,58.79,23.75,66.84,55.58,57.75,115.90,70.15,33.75,69.20
1974,48.41,99.90,61.09,108.91,53.38,46.35,24.66,52.55,79.63,95.56,78.71,23.42
1975,36.59,56.53,97.35,45.69,104.05,64.71,29.11,91.85,54.64,96.03,131.66,72.52
