Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,6.13,11.55,27.93,83.72,191.87,256.84,271.85,312.42,304.98,235.62,95.07,24.99
1902,8.44,10.39,32.28,85.02,180.73,245.36,257.64,309.32,311.28,232.15,93.86,27.02
1903,6.79,10.22,22.93,75.85,194.31,269.92,264.46,311.63,301.76,231.72,90.71,29.39
1904,5.50,14.49,37.01,93.53,199.68,249.42,259.68,294.71,308.46,237.42,105.76,24.39
1905,6.53,13.23,47.49,82.02,197.92,258.71,278.39,308.34,301.31,230.43,97.75,24.02
1906,16.87,9.73,22.49,76.09,184.66,254.85,278.97,309.46,307.36,225.56,93.09,24.02
1907,6.28,26.46,48.24,76.93,196.45,253.93,260.30,295.04,290.16,239.02,97.31,24.10
1908,17.22,36.61,39.86,82.31,193.67,262.58,281.79,321.80,311.19,240.02,102.37,25.26
1909,13.66,28.53,52.34,80.39,185.16,248.23,277.54,324.76,305.86,231.11,113.60,24.02
1910,12.07,22.14,96.44,84.07,186.45,273.78,266.20,330.12,307.20,235.88,93.48,27.85
1911,22.13,29.23,13.76,102.45,159.15,262.71,208.11,224.97,288.32,188.38,55.74,22.54
1912,13.58,8.13,39.71,70.63,158.96,196.72,410.11,322.45,235.54,192.03,169.17,23.49
1913,13.55,35.79,14.42,58.56,187.09,222.32,268.68,273.78,291.90,173.26,137.49,22.53
1914,15.44,12.89,48.95,60.20,148.02,277.55,294.04,255.75,239.51,225.13,110.91,28.91
1915,2.20,3.31,54.41,63.82,173.97,218.92,207.13,335.70,341.22,349.21,65.71,48.17
1916,3.23,16.58,102.33,44.29,171.25,283.94,273.32,263.25,326.41,248.59,86.02,16.16
1917,3.85,4.00,35.93,55.00,143.84,312.25,238.38,314.50,393.79,351.85,152.14,31.57
1918,4.07,14.06,35.05,91.16,168.10,229.20,180.46,281.53,333.79,256.14,80.43,18.57
1919,2.20,33.97,31.06,81.73,162.63,241.58,310.95,290.02,228.74,155.63,78.42,15.29
1920,7.21,6.18,31.84,75.57,159.31,244.01,294.15,223.33,284.66,233.71,73.43,40.60
1921,22.70,13.89,138.96,87.74,196.61,201.85,271.07,227.26,345.79,155.83,47.86,19.90
1922,7.77,10.81,52.07,54.48,129.04,192.47,272.52,249.33,321.59,155.47,106.17,23.82
1923,9.59,21.26,70.54,104.44,215.12,289.19,256.76,295.10,290.96,307.07,111.17,13.67
1924,18.09,5.47,60.59,90.58,187.18,271.27,289.35,308.39,252.05,261.65,50.67,13.67
1925,7.68,6.50,133.65,94.37,170.87,253.96,271.56,334.07,288.39,182.11,66.61,20.14
1926,4.29,9.83,43.92,46.48,144.94,254.67,287.64,369.76,374.74,247.26,72.76,33.45
1927,12.14,19.80,28.94,88.88,187.87,251.76,275.83,241.62,211.72,248.00,56.10,16.90
1928,3.51,36.84,38.53,124.66,162.32,263.26,204.45,236.32,309.20,189.24,58.27,14.30
1929,17.93,30.67,51.82,89.15,161.38,225.12,266.25,316.38,216.36,257.56,51.46,37.08
1930,4.34,23.98,33.49,73.98,197.93,227.00,228.10,249.09,330.87,137.35,118.68,19.86
1931,9.25,25.45,22.23,79.61,165.68,216.00,267.49,353.69,258.83,216.60,57.02,14.75
1932,3.05,14.51,25.80,55.23,137.12,192.25,303.47,198.14,281.26,330.40,72.36,10.14
