Variable:,pr
Country:,"St. Kitts and Nevis"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,97.10,35.30,41.50,55.40,84.00,92.50,113.00,113.60,157.50,122.00,154.20,102.90
1902,84.50,32.80,37.00,62.20,108.80,113.30,94.60,108.70,133.90,99.10,132.70,91.80
1903,67.00,37.60,33.80,73.30,79.50,80.80,103.40,137.00,132.50,112.70,114.50,99.60
1904,82.60,49.30,41.60,60.40,81.20,66.70,91.50,115.90,158.90,119.40,118.60,79.70
1905,87.90,40.00,40.50,56.40,84.50,72.50,87.90,120.00,149.30,132.60,128.20,79.10
1906,68.40,38.70,36.80,61.90,76.90,88.80,103.20,107.90,170.00,103.40,116.90,93.80
1907,74.80,42.20,34.90,54.10,83.70,74.70,91.10,106.90,130.60,114.10,113.50,104.10
1908,82.90,40.60,36.10,57.00,74.00,75.50,89.80,106.20,151.60,101.90,117.30,102.00
1909,81.70,53.70,37.40,57.00,73.60,98.10,86.80,158.50,128.00,114.20,162.90,77.50
1910,90.50,46.30,41.50,54.20,104.00,75.30,88.60,121.10,161.30,96.80,105.30,98.50
1911,88.70,53.30,30.90,65.60,99.80,67.00,100.10,107.80,136.70,106.30,112.30,136.70
1912,77.40,37.70,35.20,74.60,72.40,69.10,76.60,100.40,130.40,130.90,137.90,81.30
1913,91.60,46.60,47.60,64.80,81.90,73.60,79.50,106.30,143.60,130.00,112.90,78.60
1914,75.80,57.30,39.80,58.60,110.90,74.60,83.00,110.50,124.60,99.00,131.00,95.40
1915,85.30,53.70,34.50,80.20,76.50,92.30,94.50,100.80,137.10,101.50,140.90,94.50
1916,79.90,41.50,28.00,59.40,81.80,78.60,103.40,140.70,167.20,130.70,151.80,73.10
1917,69.80,39.70,30.00,60.80,91.70,78.90,98.40,112.40,137.80,97.80,133.30,81.90
1918,72.00,51.30,33.20,57.80,73.00,74.60,92.40,95.90,144.50,113.50,122.80,99.20
1919,80.30,37.20,32.70,79.90,75.20,92.60,118.80,92.90,163.50,105.70,118.00,97.30
1920,99.00,49.90,41.70,48.20,78.50,71.90,86.30,113.40,141.70,109.10,114.80,90.10
1921,100.20,45.70,41.70,57.70,80.90,71.40,116.30,109.60,148.40,111.40,110.20,79.40
