Variable:,pr
Country:,
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,174.12,6.28,28.04,15.76,77.05,0.44,0.63,0.00,1.59,10.51,50.68,105.31
1902,185.29,51.99,86.25,55.08,2.07,0.01,1.13,0.00,0.68,31.74,199.81,191.49
1903,123.37,137.80,75.00,9.55,7.56,3.41,0.00,0.01,0.01,17.91,105.45,140.24
1904,163.16,63.69,107.50,64.89,27.97,5.10,0.04,0.00,1.20,59.56,158.13,253.79
1905,141.02,164.90,110.95,75.37,21.79,2.08,0.00,0.00,1.89,33.64,61.43,229.97
1906,148.10,172.25,84.24,118.83,70.24,8.41,0.00,0.00,0.01,18.25,141.27,133.82
1907,211.19,138.02,142.80,36.84,4.71,0.31,0.00,0.00,5.56,27.84,172.23,120.83
1908,187.96,149.44,135.39,45.63,7.55,13.35,0.00,0.00,0.55,3.06,149.96,187.06
1909,148.65,112.06,58.88,87.93,18.12,0.79,0.00,0.03,9.10,119.36,91.04,117.21
1910,198.40,52.81,215.38,48.48,13.87,3.52,0.00,0.00,3.66,51.58,61.99,89.60
1911,229.57,187.35,134.65,121.45,26.66,0.01,0.00,0.00,2.21,47.81,80.83,354.14
1912,192.78,106.35,85.28,42.70,26.69,0.01,0.13,0.00,0.35,86.30,64.64,195.95
1913,211.26,171.95,63.31,38.71,11.88,1.72,0.09,0.63,2.40,79.19,77.53,217.31
1914,144.06,44.77,78.50,107.70,19.44,6.00,0.20,0.24,0.23,15.43,234.90,150.81
1915,64.54,88.63,83.25,65.97,2.71,0.20,0.00,0.00,3.68,12.78,96.63,45.46
1916,190.75,121.81,119.68,129.60,0.58,0.01,0.00,0.00,5.48,3.54,30.62,203.56
1917,247.83,126.52,69.43,6.56,12.10,0.01,0.00,0.00,10.10,20.90,46.50,164.75
1918,170.27,161.72,137.92,19.08,51.10,0.71,0.00,0.24,13.64,81.94,79.80,252.93
1919,127.31,207.01,58.77,41.83,14.21,1.09,0.00,0.00,0.01,6.25,77.98,261.99
1920,219.08,175.04,108.84,36.64,21.39,0.82,0.00,3.40,0.90,23.70,88.78,80.96
1921,153.00,172.54,62.27,48.50,28.15,22.47,1.15,2.74,1.10,3.56,86.59,220.46
1922,211.99,183.28,37.19,14.30,6.11,0.16,1.08,0.01,0.01,1.73,112.39,142.43
1923,131.83,164.14,61.40,60.60,27.38,0.91,0.00,0.11,9.47,46.98,28.84,142.47
1924,178.26,239.29,64.71,2.64,18.25,5.22,0.06,0.00,1.61,56.93,166.49,122.28
1925,74.90,41.72,23.12,103.76,3.17,19.80,0.00,0.00,3.30,18.92,100.55,107.70
1926,213.40,174.37,106.02,57.84,14.64,0.24,0.13,0.00,0.14,2.33,26.63,187.18
1927,108.32,270.29,28.11,108.74,7.34,0.20,0.36,0.20,0.01,49.21,43.53,61.31
1928,123.34,273.40,22.15,4.48,1.92,0.01,0.48,0.00,0.27,9.04,89.20,156.18
