Variable:,pr
Country:,"St. Lucia"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,108.42,81.28,68.18,90.29,120.10,171.15,220.24,207.92,215.18,256.68,247.89,140.90
1902,76.05,38.28,70.79,59.02,280.49,317.66,290.15,177.63,179.70,151.20,360.92,149.42
1903,46.79,66.45,26.27,238.30,72.08,320.06,207.52,330.99,222.69,164.31,139.66,168.66
1904,165.13,75.06,103.97,49.20,120.10,63.39,223.55,163.99,334.14,228.56,70.38,109.63
1905,85.07,49.91,95.05,73.75,69.97,166.04,136.81,159.88,272.10,336.13,279.33,62.03
1906,73.85,53.22,56.05,90.89,102.75,231.43,223.95,206.82,340.76,221.25,242.18,79.37
1907,71.24,49.71,66.28,75.56,122.50,112.46,195.20,143.83,156.35,278.09,150.07,154.23
1908,64.63,11.22,27.17,83.57,34.68,186.07,246.98,118.05,208.76,156.01,85.80,264.76
1909,108.42,81.28,68.18,90.29,120.10,171.15,220.24,207.92,215.18,256.68,247.89,140.90
1910,123.75,123.87,93.25,10.02,328.01,207.40,230.46,222.07,165.77,83.76,114.43,77.96
1911,108.42,81.28,68.18,90.29,120.10,171.15,220.24,207.92,215.18,256.68,247.89,140.90
1912,108.42,81.28,68.18,90.29,120.10,171.15,220.24,207.92,215.18,256.68,247.89,140.90
1913,108.42,81.28,68.18,90.29,120.10,171.15,220.24,207.92,215.18,256.68,247.89,140.90
1914,108.42,81.28,68.18,90.29,120.10,171.15,220.24,207.92,215.18,256.68,247.89,140.90
1915,108.42,81.28,68.18,90.29,120.10,171.15,220.24,207.92,215.18,256.68,247.89,140.90
1916,108.42,81.28,68.18,90.29,120.10,171.15,220.24,207.92,215.18,256.68,247.89,140.90
1917,108.42,81.28,68.18,90.29,120.10,171.15,220.24,207.92,215.18,256.68,247.89,140.90
1918,108.42,81.28,68.18,90.29,120.10,171.15,220.24,207.92,215.18,256.68,247.89,140.90
1919,108.42,81.28,68.18,90.29,120.10,171.15,220.24,207.92,215.18,256.68,247.89,140.90
1920,108.42,81.28,68.18,90.29,120.10,171.15,220.24,207.92,215.18,256.68,247.89,140.90
1921,108.42,81.28,68.18,90.29,120.10,171.15,220.24,207.92,215.18,256.68,247.89,140.90
1922,108.42,81.28,68.18,90.29,120.10,171.15,220.24,207.92,215.18,256.68,247.89,140.90
1923,108.42,81.28,68.18,90.29,120.10,171.15,220.24,207.92,215.18,256.68,247.89,140.90
1924,108.42,81.28,68.18,90.29,120.10,171.15,220.24,207.92,215.18,256.68,247.89,140.90
1925,108.42,81.28,68.18,90.29,120.10,171.15,220.24,207.92,215.18,256.68,247.89,140.90
1926,108.42,81.28,68.18,90.29,120.10,171.15,220.24,207.92,215.18,256.68,247.89,140.90
1927,108.42,81.28,68.18,90.29,120.10,171.15,220.24,207.92,215.18,256.68,247.89,140.90
1928,108.42,81.28,68.18,90.29,120.10,171.15,220.24,207.92,215.18,256.68,247.89,140.90
1929,108.42,81.28,68.18,90.29,120.10,171.15,220.24,207.92,215.18,256.68,247.89,140.90
1930,108.42,81.28,68.18,90.29,120.10,171.15,220.24,207.92,215.18,256.68,247.89,140.90
1931,108.42,81.28,68.18,90.29,120.10,171.15,220.24,207.92,215.18,256.68,247.89,140.90
1932,89.08,48.41,62.16,60.33,133.53,211.61,218.64,135.51,228.91,258.58,475.85,98.51
1933,156.81,50.81,48.83,37.58,165.41,204.00,257.30,202.21,441.68,245.67,299.95,101.51
1934,45.09,21.85,54.75,51.71,116.99,57.48,157.24,173.62,118.66,117.28,188.62,197.52
1935,80.76,44.10,98.66,80.37,146.66,71.20,298.97,296.09,185.01,200.64,124.04,79.97
1936,55.81,63.74,18.45,30.26,308.36,262.58,207.42,251.35,220.59,387.87,235.07,105.72
1937,153.31,45.40,17.55,93.80,25.96,86.83,145.12,97.89,218.28,176.62,263.51,63.63
1938,86.27,40.89,46.82,56.12,147.86,183.26,181.98,286.36,237.73,159.71,460.84,156.43
1939,90.28,66.75,100.57,41.99,46.31,188.67,101.26,113.14,136.10,232.16,317.27,31.67
1940,34.07,53.42,66.18,38.68,37.19,192.48,169.26,107.52,97.82,141.90,333.69,88.79
1941,90.28,8.92,44.92,121.25,105.36,206.10,210.33,110.13,292.75,114.68,399.16,88.09
1942,63.23,91.80,34.69,137.59,109.27,133.59,192.90,115.65,399.29,245.07,535.72,98.21
1943,80.96,53.52,77.20,93.70,96.84,120.47,153.24,228.59,172.08,217.05,202.74,97.10
1944,77.75,86.19,37.20,62.13,235.88,136.30,296.16,104.71,171.98,296.70,218.25,125.37
1945,56.21,97.11,45.52,192.80,130.92,106.85,182.18,198.19,195.13,252.27,187.52,105.12
1946,119.95,54.92,26.87,63.53,194.30,102.06,146.94,155.28,166.87,158.50,181.11,109.74
1947,148.80,26.16,39.00,47.69,128.32,90.64,216.23,108.13,142.31,149.90,122.05,85.89
1948,56.62,62.64,87.54,69.46,66.97,237.04,278.23,296.39,189.02,381.35,486.64,118.04
1949,57.71,106.63,65.67,60.43,57.55,172.36,206.52,132.43,343.14,283.69,140.57,98.12
1950,163.92,68.55,97.35,123.16,96.34,284.11,102.77,184.76,184.21,251.66,178.50,197.61
1951,109.74,91.00,81.09,210.06,179.84,209.40,167.19,331.89,378.58,109.79,332.29,239.87
1952,36.07,42.60,89.81,126.82,129.93,166.36,250.29,203.20,408.58,231.51,372.79,96.66
1953,123.16,73.35,83.62,54.55,163.73,162.39,329.02,234.92,256.80,128.60,286.06,162.72
1954,72.15,70.23,54.08,162.30,151.95,162.18,194.02,167.83,293.87,383.17,226.37,113.46
1955,103.48,86.20,28.28,33.19,115.43,205.05,231.89,185.14,398.46,330.43,492.82,136.63
1956,203.12,171.15,102.28,162.03,111.46,223.29,209.63,252.83,194.19,283.90,260.52,219.97
1957,172.81,56.63,27.96,120.51,71.67,151.39,238.17,230.60,153.94,321.37,325.29,147.09
1958,60.44,56.89,10.92,114.16,130.43,343.87,387.29,188.74,352.92,247.08,216.05,158.58
1959,85.18,121.32,97.88,115.76,175.89,118.91,154.67,54.60,215.10,304.06,176.47,63.45
1960,102.39,91.88,91.02,63.50,115.66,137.40,316.00,163.57,165.24,271.24,161.73,135.44
1961,112.07,77.90,53.07,27.07,79.91,163.35,314.98,205.15,127.81,304.89,165.24,160.61
1962,188.72,70.75,29.86,85.59,65.30,258.11,246.88,236.38,233.17,131.42,157.20,117.48
1963,123.34,75.66,57.06,73.39,140.30,160.89,395.37,111.13,377.25,168.33,165.88,62.61
1964,61.63,50.34,53.89,156.28,123.72,232.31,234.77,220.58,206.32,215.48,120.44,76.10
1965,143.29,64.50,52.30,144.11,76.39,131.03,271.78,128.90,213.32,167.46,155.34,146.07
1966,28.63,186.89,78.76,108.57,317.53,223.85,379.95,257.58,266.38,272.22,292.80,195.00
1967,185.68,106.33,132.18,101.06,146.10,84.83,172.26,167.49,422.50,214.19,246.33,79.20
1968,118.42,34.90,81.68,112.30,189.58,229.33,120.52,188.80,188.30,152.87,116.19,143.16
1969,155.28,29.24,15.73,109.80,124.95,272.23,322.89,206.54,288.35,249.36,261.12,162.65
1970,62.41,58.60,61.43,43.43,103.97,306.66,384.68,305.58,169.61,370.02,279.19,254.86
1971,123.20,110.59,71.77,55.54,117.73,41.55,119.33,237.96,154.56,173.54,228.35,236.46
1972,146.63,150.44,74.41,120.87,93.17,106.23,184.13,145.08,228.14,262.99,211.31,161.71
1973,55.71,53.92,60.17,65.47,64.55,201.85,76.01,175.92,157.31,196.51,179.26,84.24
1974,134.47,106.26,125.52,85.08,118.23,106.38,95.31,106.89,191.45,256.75,222.25,69.37
1975,131.01,100.26,58.84,61.38,56.38,42.40,62.03,197.89,166.87,433.84,327.72,256.45
1976,108.12,141.46,70.11,66.88,85.98,114.09,136.50,139.76,141.42,253.90,284.09,249.07
1977,37.40,43.47,28.71,141.72,76.29,95.36,123.08,225.31,197.61,434.46,261.58,68.88
1978,73.58,40.38,105.35,67.44,112.44,191.87,203.36,191.19,181.88,260.95,276.29,94.54
1979,47.90,30.38,103.46,56.18,97.16,286.62,328.05,321.86,184.33,222.07,301.36,132.16
1980,101.76,74.67,54.14,98.50,72.41,135.66,210.96,382.22,228.30,262.70,225.91,162.48
1981,86.41,119.48,61.53,305.44,215.15,210.37,275.64,226.68,121.31,238.84,200.89,159.00
1982,156.76,151.49,59.91,135.08,90.47,93.20,195.30,269.33,223.27,250.16,314.01,140.06
1983,126.21,37.39,43.54,44.06,183.84,131.82,288.14,200.80,277.17,177.54,120.41,110.93
1984,148.83,57.82,86.33,61.38,90.60,140.45,273.42,136.16,244.77,295.31,588.34,89.70
1985,75.56,81.47,81.13,130.19,70.47,143.93,176.90,218.19,201.07,458.97,248.23,141.70
1986,123.93,35.56,93.15,77.43,165.18,213.39,155.74,213.66,183.63,216.01,440.20,119.17
1987,43.60,21.75,41.87,77.52,338.12,196.19,171.62,185.02,187.54,189.56,481.82,110.62
1988,98.36,99.91,71.36,69.48,62.55,341.52,182.99,273.13,268.75,323.71,327.96,134.69
1989,108.82,176.87,128.43,109.82,34.59,168.64,194.09,230.98,214.99,244.56,66.55,167.83
1990,108.62,81.19,66.47,148.39,105.37,185.78,246.87,186.57,212.25,255.80,246.87,113.55
1991,101.86,59.24,76.60,208.23,92.47,113.88,164.24,125.32,250.17,156.79,575.81,107.50
1992,84.66,108.71,52.25,112.12,152.76,380.65,165.39,168.40,288.54,115.15,499.97,101.22
1993,160.41,85.69,96.14,80.60,250.67,153.99,225.10,140.76,280.72,204.80,236.26,77.31
1994,114.20,104.66,45.33,54.69,69.61,122.82,85.85,208.63,464.36,195.32,213.72,182.61
1995,106.19,65.61,98.67,151.49,39.30,159.55,217.55,398.42,279.38,322.91,155.01,140.02
1996,115.13,47.61,88.74,119.52,74.41,179.79,336.82,234.84,303.01,366.60,287.09,145.24
1997,124.24,61.38,56.14,38.30,81.24,124.06,265.59,181.71,250.05,154.97,234.41,96.60
1998,107.63,16.46,58.81,116.57,273.97,279.39,221.98,219.44,295.80,330.07,154.79,356.81
1999,110.09,45.32,97.90,153.35,32.27,136.32,233.32,158.30,203.29,263.85,285.64,164.19
2000,136.16,163.25,93.37,78.50,118.16,124.88,153.24,135.88,226.68,168.15,472.29,129.92
2001,49.88,70.85,23.47,57.85,65.52,111.92,301.21,162.98,153.31,418.26,119.66,303.90
2002,102.76,84.84,48.38,161.69,210.60,135.98,124.61,176.07,185.75,233.24,160.26,37.60
2003,61.79,88.06,34.38,173.18,152.82,185.47,225.11,234.79,158.90,321.25,325.61,164.62
2004,79.64,78.46,125.55,192.86,414.68,221.20,308.92,141.49,198.82,268.12,674.09,145.61
2005,251.32,87.72,31.31,46.90,213.71,357.65,218.09,216.29,88.50,305.87,599.78,166.13
2006,188.75,119.82,55.46,52.23,72.20,210.03,170.96,201.81,198.03,267.75,211.12,125.26
