Variable:,pr
Country:,Liechtenstein
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,40.50,19.67,67.77,142.20,49.42,148.16,122.38,150.24,114.65,78.65,34.82,58.05
1902,48.54,29.71,86.93,35.16,126.17,95.90,102.24,126.38,103.45,94.28,15.11,94.09
1903,37.94,29.69,31.93,77.58,48.93,103.24,173.09,148.22,55.13,114.35,110.71,16.02
1904,22.79,70.10,32.98,102.77,157.67,106.19,56.36,89.60,140.09,63.42,75.04,43.88
1905,53.87,33.34,77.14,118.96,88.68,72.93,108.50,200.68,119.73,106.74,80.46,29.64
1906,47.90,48.91,63.50,47.14,141.88,126.93,179.01,93.08,73.57,23.25,69.49,69.63
1907,75.53,30.79,93.36,86.34,70.89,107.20,130.71,95.36,53.30,53.61,28.90,86.35
1908,28.28,87.72,33.56,85.48,110.94,81.86,173.62,127.84,149.70,7.81,63.02,31.27
1909,30.76,31.41,40.00,55.06,55.41,167.54,176.44,137.68,83.44,81.30,57.84,80.88
1910,125.33,59.76,21.16,108.60,113.00,212.50,163.68,161.79,114.18,50.46,140.16,58.65
1911,13.05,45.18,32.03,51.98,61.54,149.62,41.75,78.91,109.36,70.27,50.06,74.14
1912,68.39,42.18,75.77,50.12,167.76,115.10,121.97,199.06,90.62,133.64,68.16,39.16
1913,68.63,19.41,51.30,66.03,85.41,136.14,179.60,144.94,97.17,49.95,160.41,64.39
1914,106.64,31.12,113.58,64.43,133.45,107.51,197.41,117.46,109.56,51.72,58.54,29.64
1915,81.27,44.49,86.55,67.12,77.28,102.13,181.75,117.91,99.07,25.64,70.09,79.23
1916,78.86,77.44,59.21,81.74,69.55,173.13,147.23,125.52,114.22,134.39,85.58,73.68
1917,48.43,15.79,42.16,108.21,51.91,91.01,122.79,176.58,57.00,173.23,67.50,24.02
1918,38.34,22.98,30.49,73.10,47.33,154.21,110.06,117.85,137.03,54.32,36.33,130.97
1919,27.21,45.41,72.21,113.56,59.64,125.04,143.85,66.56,65.71,66.20,139.41,132.32
1920,80.20,24.00,31.36,84.28,119.07,97.51,172.16,95.16,159.93,2.51,3.41,32.78
1921,68.67,6.43,18.58,69.55,71.41,130.28,54.80,105.43,85.65,47.70,84.92,35.56
1922,103.36,68.45,58.58,121.80,70.76,148.84,184.83,136.57,158.30,94.29,99.67,81.71
1923,62.03,66.90,27.33,69.14,78.33,111.17,72.38,85.04,98.20,133.57,91.40,112.49
1924,30.25,28.11,18.78,111.20,135.38,156.62,185.91,164.65,84.75,53.33,20.18,22.04
1925,28.93,35.52,46.40,78.35,47.75,65.74,136.95,151.30,110.77,60.39,62.30,82.73
1926,50.86,45.59,75.98,45.74,149.42,199.73,158.73,63.33,40.86,100.72,67.93,44.99
1927,79.53,38.15,72.59,119.60,70.53,118.07,134.35,168.29,197.63,21.54,74.42,20.86
1928,38.01,75.58,33.19,79.21,124.58,113.98,54.69,170.64,64.08,93.05,137.58,54.40
1929,26.30,9.95,15.23,77.38,71.37,124.53,119.28,133.09,43.35,92.83,45.29,80.07
