Variable:,pr
Country:,"Sri Lanka"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,227.23,119.86,104.90,187.38,74.25,44.58,45.45,11.79,158.61,124.63,373.80,144.74
1902,294.82,137.61,107.87,95.98,71.49,105.60,38.97,45.32,150.18,434.11,482.09,242.66
1903,133.64,119.53,11.26,102.03,280.87,105.86,99.93,112.30,154.97,197.89,131.89,217.68
1904,227.88,35.53,49.79,65.64,111.04,71.77,155.71,10.89,36.88,239.61,143.75,223.73
1905,57.17,83.22,24.63,246.79,131.44,50.54,14.40,79.94,76.50,253.45,276.33,115.22
1906,98.20,67.68,49.93,102.99,102.17,73.72,74.39,115.71,36.19,282.45,393.97,142.99
1907,127.33,69.92,99.97,268.36,91.31,62.85,85.95,40.00,55.41,370.30,388.37,91.95
1908,152.67,143.57,93.23,92.96,94.97,18.38,19.45,51.46,123.80,291.01,108.00,139.36
1909,137.73,92.82,96.97,129.83,152.90,69.01,60.42,222.34,66.47,262.79,180.04,183.50
1910,100.62,116.41,24.38,136.86,36.93,76.34,174.50,98.79,78.35,270.73,273.68,167.02
1911,110.11,13.37,36.26,26.94,50.28,95.64,34.52,22.16,96.34,260.08,335.85,406.61
1912,48.84,30.20,61.70,149.34,155.83,176.84,24.55,39.36,117.07,354.33,371.28,219.84
1913,348.80,81.27,86.82,131.46,69.37,38.86,99.54,41.50,43.98,330.40,316.62,307.30
1914,51.41,17.67,95.39,63.14,96.69,70.75,15.26,53.07,95.44,454.44,268.95,293.78
1915,129.56,67.64,53.25,150.02,69.45,102.93,115.10,50.79,155.62,102.21,321.75,183.55
1916,16.44,16.66,109.32,127.21,230.46,38.66,202.07,109.18,79.71,111.47,225.31,104.49
1917,200.99,185.35,193.06,52.40,60.81,86.95,131.81,145.33,137.34,90.96,274.93,205.03
1918,276.13,52.86,72.41,55.42,114.37,33.86,53.53,26.22,28.03,226.96,368.66,230.37
1919,94.78,26.37,84.20,69.06,171.41,183.60,46.14,22.01,181.84,262.65,291.16,372.90
1920,169.91,25.82,111.68,263.82,73.64,98.30,13.56,42.33,52.56,133.73,500.21,111.21
1921,325.92,2.65,54.93,162.55,16.50,75.89,86.72,71.77,73.14,300.70,181.92,293.87
1922,91.13,171.36,19.28,195.40,185.64,88.98,17.82,35.77,36.90,362.38,329.68,145.40
1923,363.07,18.71,120.62,65.12,33.92,79.08,131.58,48.87,182.58,311.68,287.46,402.03
1924,145.93,23.12,251.37,99.00,141.00,53.71,175.75,96.78,208.16,221.72,212.11,203.25
1925,261.88,125.59,222.93,114.62,54.99,105.87,30.56,99.86,63.15,307.45,439.68,293.54
1926,191.76,24.96,65.85,64.09,211.41,80.99,167.50,52.53,133.52,247.92,325.63,144.18
1927,211.59,181.44,196.38,229.04,212.05,82.20,32.75,48.32,177.55,116.60,247.54,108.83
1928,166.50,196.01,59.26,155.97,70.82,33.30,132.31,58.34,40.00,273.38,420.07,183.73
1929,65.77,72.56,101.68,319.94,131.09,113.27,24.39,52.76,227.77,136.20,306.85,268.79
1930,183.47,77.67,95.90,178.60,420.96,78.12,27.38,74.30,91.55,454.37,185.70,89.85
1931,288.99,52.25,41.05,227.34,85.56,70.91,89.17,96.12,71.63,157.52,385.04,534.61
1932,18.69,81.63,58.54,128.21,237.11,26.31,13.02,233.19,84.14,413.91,332.16,200.43
1933,184.46,65.06,59.99,139.62,226.48,65.96,61.06,171.55,75.46,257.34,247.73,119.66
1934,398.55,107.46,119.80,112.33,59.98,107.20,33.81,35.14,16.52,401.07,187.22,85.34
1935,144.27,60.71,85.47,161.62,119.82,113.13,20.59,108.42,68.90,246.35,385.40,397.67
1936,100.65,113.77,147.60,38.59,165.23,42.62,50.08,38.02,162.06,168.39,251.58,334.91
1937,210.18,135.60,107.72,217.94,74.90,21.00,40.14,66.20,121.90,186.18,388.33,61.82
1938,126.86,259.52,211.62,239.47,25.20,28.67,60.50,127.65,89.43,148.26,106.76,185.07
1939,152.35,63.68,65.78,313.97,168.17,36.46,59.42,78.10,51.42,209.61,427.69,145.63
1940,14.05,46.51,15.56,202.78,231.28,66.35,18.41,22.97,86.42,281.16,443.73,236.86
1941,126.26,89.03,77.58,169.93,130.35,91.28,58.25,64.72,160.71,302.99,445.83,166.25
1942,74.13,43.47,93.24,248.50,170.77,40.49,19.99,73.92,84.97,225.19,183.80,455.39
1943,219.72,107.33,83.89,195.59,199.02,37.19,26.73,31.81,27.08,263.06,245.24,232.76
1944,112.21,235.47,168.15,109.57,81.60,108.49,37.81,76.27,130.96,267.75,386.28,169.75
1945,12.46,42.64,119.28,145.34,35.21,78.14,94.39,60.83,25.87,304.59,374.68,148.99
1946,46.64,77.54,166.49,134.19,71.38,66.71,37.02,97.17,76.32,273.29,395.24,456.97
1947,259.04,123.71,184.24,200.82,135.91,139.84,98.68,128.65,94.29,231.49,126.46,216.40
1948,133.91,7.98,39.98,170.17,76.98,57.69,22.96,85.44,39.35,231.51,312.29,289.40
1949,187.17,41.71,43.75,210.58,200.09,62.61,109.46,152.54,44.54,189.29,246.00,290.81
1950,54.52,192.91,81.04,96.83,141.11,26.43,27.76,105.63,48.45,203.20,193.86,134.03
1951,282.67,143.11,89.42,252.06,181.54,95.04,63.19,19.43,159.25,143.67,393.36,146.38
1952,264.14,141.35,47.60,132.70,130.58,52.24,80.67,20.92,32.04,189.19,175.61,120.43
1953,169.78,187.85,86.34,196.96,6.47,74.55,206.46,52.26,79.94,320.69,277.25,107.06
1954,261.97,76.37,203.96,301.26,107.24,18.56,96.43,115.81,38.39,294.29,140.19,343.94
1955,290.01,151.55,88.47,247.74,166.63,39.55,29.46,99.09,122.50,167.18,204.60,233.25
1956,104.66,35.23,79.30,89.51,28.69,142.52,27.59,121.06,79.63,188.66,299.60,215.56
1957,100.25,109.68,11.58,48.68,199.01,83.60,60.71,30.09,38.13,268.03,493.90,633.34
1958,86.93,68.71,95.89,200.83,234.77,36.34,56.51,120.50,54.99,264.70,209.90,128.50
1959,101.83,60.31,7.08,267.77,213.48,164.75,43.95,84.00,112.41,234.98,297.35,155.67
1960,117.86,234.92,48.27,185.92,122.70,20.42,263.03,28.24,75.05,212.05,395.93,95.33
1961,253.19,110.58,112.93,161.40,165.36,161.18,149.73,108.98,183.38,267.06,371.20,258.22
1962,142.37,72.64,58.40,176.34,245.05,73.71,34.05,133.85,101.35,350.70,193.97,173.58
1963,338.50,182.09,151.26,206.12,106.43,86.98,135.55,141.12,139.11,293.65,429.55,312.07
1964,69.53,181.11,128.18,77.53,72.52,58.10,181.71,87.24,103.32,145.28,146.80,143.47
1965,33.78,171.62,60.91,202.76,137.28,72.75,12.54,182.36,123.02,331.54,314.80,352.94
1966,153.97,45.99,153.98,212.51,32.12,44.72,34.46,82.05,187.07,351.22,230.75,193.86
1967,69.29,124.88,64.70,105.68,117.80,95.99,130.05,74.16,69.69,446.40,384.44,371.90
1968,73.71,4.91,161.94,188.99,35.70,81.96,67.35,35.09,58.77,216.67,262.32,133.93
1969,89.57,115.61,15.58,166.12,143.87,31.52,12.72,185.48,29.86,403.15,235.67,566.70
1970,113.68,171.32,75.75,253.07,149.37,33.29,64.37,95.54,61.73,213.69,394.65,137.46
1971,174.22,83.03,78.36,138.65,101.87,48.49,88.11,87.50,156.69,177.80,116.12,392.67
1972,32.47,4.28,18.40,104.46,358.24,75.59,77.55,41.82,187.51,449.71,283.48,196.93
1973,28.07,33.87,53.73,129.21,148.49,234.27,45.43,64.76,73.98,332.77,229.49,417.42
1974,5.40,122.97,39.20,222.41,145.50,55.33,53.95,70.12,138.69,83.81,144.58,226.84
1975,82.25,85.75,188.11,178.04,183.44,105.18,141.56,114.35,91.06,137.74,304.39,191.93
1976,61.21,2.87,58.38,88.86,46.16,31.74,28.46,66.15,41.92,225.90,397.72,304.22
