Variable:,pr
Country:,Lithuania
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,24.61,38.45,40.57,65.58,29.33,120.06,44.40,73.48,33.53,29.71,78.49,70.59
1902,72.27,22.83,39.48,28.53,63.54,81.36,98.09,107.80,47.55,48.41,11.58,40.03
1903,45.01,48.05,23.09,77.70,75.93,76.52,100.63,132.34,21.32,70.14,65.16,27.06
1904,26.55,60.62,10.62,57.04,65.50,62.56,47.68,121.54,21.26,58.82,68.12,74.89
1905,54.07,29.36,34.29,52.76,51.13,43.68,86.14,75.60,73.82,86.00,67.90,31.36
1906,48.94,30.79,61.80,31.76,55.67,106.88,71.94,111.55,44.56,35.35,63.12,56.77
1907,40.09,31.88,31.87,32.63,34.18,78.84,117.64,94.63,48.39,18.73,26.39,73.05
1908,65.61,49.31,46.42,34.84,64.69,50.99,46.34,132.60,67.55,24.98,50.03,23.82
1909,24.86,27.66,32.10,44.50,24.96,50.47,116.29,47.48,26.30,24.75,82.00,68.73
1910,49.72,34.49,20.14,41.25,42.55,64.41,114.85,114.29,45.64,21.58,72.67,53.10
1911,51.90,52.96,26.95,27.29,31.83,68.37,70.77,48.61,32.48,61.46,45.36,32.22
1912,29.84,40.21,60.66,40.10,63.65,57.16,58.76,119.29,73.68,55.68,59.89,76.12
1913,25.03,30.43,40.90,60.11,37.62,59.37,112.27,90.59,56.74,40.59,62.12,98.45
1914,55.60,21.59,61.82,33.05,53.23,34.17,67.68,42.54,104.19,59.48,41.91,54.72
1915,57.93,49.59,54.21,34.60,35.58,20.71,93.01,50.77,67.97,31.82,67.01,80.05
1916,78.62,37.53,33.31,45.85,39.47,88.24,113.83,100.89,50.03,78.04,46.63,53.73
1917,37.17,29.83,35.43,70.59,29.63,46.45,75.82,74.69,60.47,55.97,88.87,60.14
1918,65.72,35.06,7.64,16.10,16.29,52.23,93.59,58.67,73.08,28.79,25.71,56.34
1919,23.14,17.39,36.31,55.42,32.45,77.04,119.55,91.42,55.25,36.99,30.84,54.01
1920,50.41,28.94,21.18,47.48,49.42,79.27,61.59,94.95,61.13,14.33,26.60,16.36
1921,93.08,13.69,31.38,49.10,39.34,68.49,56.93,55.40,65.11,38.88,46.29,78.24
1922,42.67,34.41,56.04,46.18,57.44,64.37,101.64,81.25,52.53,46.32,45.60,51.41
1923,40.00,26.82,9.51,30.27,61.95,72.04,63.49,131.17,51.79,102.36,106.17,56.15
1924,30.83,46.27,31.17,53.53,67.15,72.99,89.93,139.94,54.13,27.61,40.20,25.68
1925,48.33,36.41,38.93,39.04,44.14,88.38,60.50,125.65,79.71,68.70,46.67,72.84
1926,31.13,37.96,43.87,43.75,71.54,86.09,72.99,85.35,85.00,68.00,58.89,54.48
1927,20.53,18.52,43.51,54.36,65.67,92.59,62.65,80.34,87.01,96.16,72.80,23.12
1928,33.07,37.03,7.85,38.65,109.02,97.63,67.53,104.67,84.91,55.11,53.11,42.64
1929,21.48,16.25,19.74,37.89,44.38,68.58,82.84,61.56,53.58,69.11,88.54,49.50
1930,15.60,16.13,47.70,40.52,97.82,27.31,87.23,129.82,48.79,100.75,112.88,32.64
