Variable:,pr
Country:,Luxembourg
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,56.90,38.30,70.12,78.89,43.47,58.23,46.57,84.06,119.35,101.52,42.07,94.33
1902,62.90,49.51,55.23,46.51,91.03,70.21,52.37,93.30,79.68,60.73,42.11,113.32
1903,88.10,41.34,82.10,117.03,53.39,57.33,92.03,105.23,73.63,135.30,93.88,33.17
1904,70.61,110.39,68.54,31.00,65.64,56.52,49.21,50.18,52.69,59.36,78.03,96.37
1905,66.17,39.69,101.30,46.63,42.90,103.68,78.76,81.63,93.02,83.94,100.82,37.27
1906,129.90,73.45,90.68,40.89,89.89,57.48,64.46,71.98,30.02,62.18,105.13,78.98
1907,53.97,39.51,57.92,59.05,69.72,69.27,81.47,63.77,39.57,80.78,60.86,87.34
1908,48.76,85.58,57.34,58.16,95.08,64.84,75.69,115.92,61.09,2.32,71.14,41.79
1909,52.78,43.33,71.30,58.45,31.13,99.81,126.84,54.61,80.42,85.86,52.15,133.29
1910,112.82,133.93,18.29,41.37,67.26,113.57,147.63,58.55,102.56,32.87,183.06,95.19
1911,33.47,58.59,70.64,40.72,36.43,83.95,27.76,24.00,45.52,82.42,106.06,133.53
1912,82.56,60.27,101.11,23.09,46.67,63.95,45.35,126.70,84.05,98.31,76.74,82.97
1913,111.68,40.86,57.56,57.40,82.16,70.39,92.02,35.52,82.13,60.81,97.35,87.24
1914,93.83,65.11,154.21,47.75,75.63,86.97,76.00,93.74,105.63,36.42,62.02,120.20
1915,146.28,70.52,54.58,62.69,46.34,35.55,101.88,101.45,51.26,27.16,94.71,218.17
1916,90.80,116.62,59.59,79.35,75.80,107.80,63.93,99.67,81.71,99.98,67.44,146.44
1917,83.75,18.55,83.50,60.01,52.87,109.35,92.71,96.45,23.52,148.86,79.88,41.46
1918,108.10,50.71,47.12,89.32,54.05,40.17,96.00,79.12,134.95,64.13,55.80,150.35
1919,80.91,73.88,96.74,84.52,22.95,37.93,111.06,43.20,61.95,45.36,141.77,198.59
1920,177.76,35.84,45.26,94.17,45.93,34.59,106.33,59.27,78.52,39.19,23.73,68.79
1921,104.07,14.71,25.46,24.57,43.53,35.27,15.25,61.04,29.95,18.86,53.44,71.12
1922,122.38,78.89,70.06,116.38,43.14,52.48,104.49,98.09,95.86,60.63,108.39,146.19
1923,80.04,96.77,60.94,48.34,108.62,65.56,63.13,68.71,69.39,188.68,83.54,97.79
1924,50.83,51.51,64.33,97.10,93.89,49.75,102.36,142.66,82.03,106.59,72.46,41.79
1925,101.01,82.00,64.29,63.86,73.05,39.97,90.88,108.13,111.35,81.86,93.60,200.17
1926,74.72,111.70,51.84,36.38,132.85,76.16,78.69,73.15,31.06,142.94,92.05,57.23
1927,77.53,68.91,78.81,77.41,49.03,103.16,102.62,130.46,87.65,26.20,85.30,71.52
1928,92.72,91.34,28.71,103.60,50.68,67.95,44.38,73.15,36.84,118.02,128.58,94.37
1929,34.16,26.01,4.59,50.04,41.88,69.58,95.73,28.90,29.99,153.47,89.55,159.89
1930,65.23,31.15,61.84,57.02,109.34,53.79,188.55,85.50,126.75,125.37,159.74,63.60
1931,173.49,80.16,17.89,79.83,52.98,52.79,114.65,155.24,59.77,61.63,46.72,72.27
1932,75.01,17.03,55.05,104.70,66.43,49.66,111.83,43.40,136.39,186.64,57.45,19.22
1933,30.66,60.14,45.66,22.04,111.56,85.39,44.03,56.71,48.79,80.44,54.10,7.23
1934,91.27,21.38,66.67,56.30,24.33,78.46,38.13,56.96,52.10,94.97,45.33,145.39
1935,92.90,120.29,31.64,119.52,52.54,111.62,17.02,51.58,108.22,95.42,75.56,105.59
1936,142.00,53.39,26.78,101.54,13.93,104.22,137.17,67.12,100.66,78.28,73.78,56.12
1937,140.87,153.23,95.79,114.74,79.82,47.87,44.85,61.36,98.61,40.17,34.37,81.25
1938,169.15,56.05,24.99,27.18,68.30,30.75,81.96,108.87,37.71,79.20,93.25,73.06
1939,135.38,42.30,95.41,79.00,39.18,56.59,70.26,86.42,81.65,172.65,170.07,51.33
1940,50.23,57.67,99.71,96.44,26.43,86.48,123.89,57.91,122.62,36.81,148.77,106.68
1941,89.92,67.80,77.73,39.11,43.12,95.18,60.66,141.51,26.23,107.40,35.13,99.61
1942,72.29,37.90,54.27,26.10,93.27,65.29,143.24,47.02,68.98,100.91,57.18,70.46
1943,105.77,51.57,37.44,71.39,78.91,82.14,79.39,91.92,62.34,35.17,135.81,49.16
