Variable:,pr
Country:,Moldova
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,43.51,52.47,45.71,60.03,25.67,112.81,70.87,61.47,28.04,48.12,7.04,35.33
1902,13.07,22.14,31.01,28.86,65.73,45.54,47.96,39.55,29.31,43.09,2.13,51.23
1903,16.94,7.27,13.09,62.30,61.65,79.55,37.28,26.04,3.09,24.25,21.13,30.26
1904,9.12,18.62,30.51,14.78,45.10,43.69,22.18,43.07,92.77,27.80,49.53,13.12
1905,20.17,29.06,5.86,43.47,32.42,56.28,34.36,15.76,35.19,69.85,62.29,22.08
1906,39.46,23.84,24.49,39.10,72.06,68.22,95.98,41.57,21.32,18.71,26.66,50.67
1907,21.03,23.60,40.35,28.69,21.61,99.87,64.19,16.68,39.05,5.12,45.65,29.82
1908,23.20,38.95,17.21,25.39,19.52,56.20,74.12,49.66,62.65,34.63,35.98,27.87
1909,35.62,44.91,44.98,21.87,26.90,103.01,24.77,17.10,57.32,25.61,36.08,26.55
1910,47.86,40.96,7.91,47.14,39.22,69.00,98.79,55.50,10.58,52.20,52.24,16.39
1911,38.55,22.03,20.90,40.40,44.81,91.97,56.17,64.50,44.37,20.02,25.12,41.29
1912,41.68,27.79,28.08,46.98,79.51,61.38,88.16,76.17,117.13,58.91,50.39,23.64
1913,25.06,8.51,15.37,23.34,53.95,62.17,73.77,64.73,49.35,3.74,44.28,25.14
1914,41.26,4.78,47.87,29.39,72.60,85.11,94.74,68.03,82.13,52.84,34.92,19.01
1915,56.75,23.49,58.56,35.77,64.17,50.53,72.41,68.11,22.55,38.67,40.61,15.08
1916,31.98,47.45,30.37,31.61,78.89,45.89,64.75,19.65,12.36,63.07,30.16,31.30
1917,54.87,21.91,36.63,47.24,24.80,81.68,35.68,48.87,19.57,40.71,32.88,17.95
1918,10.14,14.53,10.01,12.13,25.88,62.45,81.43,65.94,30.12,55.25,62.53,47.77
1919,16.82,26.13,33.12,33.10,94.56,94.08,86.57,53.12,13.97,61.57,54.79,43.24
1920,46.21,24.75,33.00,22.86,44.15,86.20,30.63,38.81,25.38,13.40,22.77,16.46
1921,24.11,34.97,3.47,31.71,41.68,58.70,51.62,27.49,23.62,8.39,73.33,18.34
1922,48.66,22.60,28.93,58.50,72.08,80.46,21.46,42.62,73.69,66.41,59.32,25.24
1923,49.01,40.38,47.95,31.15,46.36,61.66,40.32,20.55,35.89,14.06,18.37,66.22
1924,15.22,30.80,22.00,69.36,17.84,44.78,43.65,53.34,23.28,16.53,42.15,7.28
1925,14.07,20.38,19.90,34.15,41.36,71.35,49.99,55.45,48.70,15.96,49.63,40.55
1926,22.08,22.36,20.38,23.61,83.31,98.18,91.82,50.48,20.67,25.85,1.73,39.50
1927,30.94,10.25,19.56,26.46,51.82,38.11,53.75,83.97,35.59,24.64,28.08,34.97
1928,10.96,27.35,7.75,30.11,45.21,64.16,19.10,64.33,31.54,31.20,54.26,66.69
1929,43.29,22.50,10.21,45.67,42.87,45.35,47.29,20.16,36.89,31.15,38.65,14.43
1930,7.74,16.46,22.50,56.52,85.98,58.05,40.25,60.19,23.62,29.09,31.96,57.68
1931,34.09,14.30,38.32,48.29,35.89,59.05,38.51,76.99,50.28,24.04,43.69,20.50
1932,26.25,46.43,35.49,28.25,79.05,119.75,54.03,44.34,18.24,55.25,17.55,19.65
1933,40.30,33.18,36.48,55.37,73.53,70.57,97.44,70.43,41.74,40.01,44.24,24.47
1934,27.20,15.06,7.20,10.02,32.68,45.66,65.39,71.97,46.07,22.89,32.01,7.67
