Variable:,pr
Country:,Mexico
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,17.24,28.40,9.81,14.36,31.74,83.09,144.50,134.64,139.76,60.76,27.04,17.11
1902,22.67,10.19,8.54,12.63,36.56,86.16,133.66,108.09,129.05,70.02,28.57,31.25
1903,24.08,18.31,19.63,14.38,28.64,127.97,108.83,141.34,138.28,60.44,17.89,15.89
1904,12.72,10.78,15.13,21.99,62.27,102.34,129.64,113.79,132.73,87.05,35.56,31.14
1905,23.96,32.09,25.06,18.71,31.04,114.17,120.48,126.63,145.95,57.04,48.82,53.20
1906,21.03,30.96,22.71,24.12,30.97,72.00,129.32,151.96,142.99,73.21,38.75,30.28
1907,20.84,16.76,7.24,17.01,49.19,80.41,128.06,135.50,104.11,85.10,51.39,24.14
1908,20.37,18.85,10.76,24.40,49.15,82.18,142.38,132.05,123.12,46.87,22.06,20.55
1909,12.64,10.31,15.94,16.97,26.63,94.52,132.82,144.91,98.01,51.17,15.19,32.49
1910,16.36,10.49,15.49,11.75,35.12,103.46,119.95,123.14,113.90,87.24,19.37,16.45
1911,21.74,23.03,19.78,21.81,47.03,73.13,137.46,100.62,93.37,96.96,41.89,25.45
1912,25.53,21.39,15.91,12.62,35.30,129.24,100.72,112.03,115.00,93.12,19.12,21.35
1913,24.64,17.78,20.81,27.60,49.15,145.20,119.99,96.90,175.79,49.47,35.80,31.04
1914,22.47,12.17,12.80,26.04,84.34,100.59,105.07,118.02,116.75,91.21,32.16,37.14
1915,32.83,15.27,23.18,17.56,34.53,81.82,129.23,114.52,142.14,59.47,21.80,26.15
1916,27.91,13.87,13.32,16.73,37.75,84.25,133.52,161.87,140.93,67.91,30.51,19.68
1917,21.86,18.27,10.83,12.26,28.01,65.23,134.30,107.59,103.27,50.42,25.59,13.85
1918,23.07,12.30,21.73,13.93,33.58,99.40,105.21,129.36,111.68,101.48,27.83,29.59
1919,24.94,14.57,17.10,21.91,31.68,108.03,155.17,116.30,166.50,126.94,47.70,20.98
1920,27.40,12.02,9.41,14.78,49.74,105.92,103.41,125.95,99.69,53.11,24.27,22.54
1921,9.34,12.74,9.58,21.44,38.05,80.08,135.62,109.13,128.23,104.70,29.41,21.21
1922,13.64,11.65,15.09,16.16,34.48,120.03,121.20,98.99,163.84,82.26,35.32,14.59
1923,13.99,26.32,28.09,12.20,28.36,107.38,109.80,118.49,124.50,82.23,42.62,46.71
1924,19.20,13.47,11.07,11.07,51.10,113.39,114.95,117.02,152.09,45.80,10.55,32.12
1925,28.13,9.99,17.20,16.70,46.03,127.41,120.02,105.31,158.19,92.63,48.31,66.98
1926,28.01,7.03,16.14,22.39,33.75,114.11,149.96,128.55,136.63,102.40,21.35,26.31
1927,8.93,25.80,9.07,20.17,40.55,136.45,120.83,99.11,161.95,72.82,22.39,40.03
1928,30.38,20.49,14.90,7.90,43.45,72.28,125.25,115.58,161.93,63.73,38.71,22.73
1929,16.32,4.17,7.65,5.62,50.66,86.93,138.82,115.08,138.65,52.94,43.04,23.71
1930,22.88,21.94,17.11,16.62,77.40,113.69,116.30,92.24,75.65,138.11,47.95,34.61
1931,45.72,32.86,6.75,14.97,47.36,106.12,193.33,127.00,122.46,59.44,17.17,47.41
1932,26.38,22.01,13.02,12.17,28.52,95.94,140.29,139.13,150.38,115.55,16.61,41.63
1933,23.15,18.44,5.37,13.53,48.19,79.39,140.96,181.44,202.52,58.13,19.04,13.50
1934,19.79,16.33,18.88,22.79,65.04,68.65,119.53,123.43,149.97,49.10,13.39,23.65
1935,27.76,26.15,16.75,13.68,44.91,131.33,133.16,133.62,155.35,60.95,16.25,29.84
1936,14.59,7.20,11.68,19.17,51.39,80.42,167.82,129.28,165.65,69.44,33.99,27.23
1937,38.02,20.45,14.53,20.31,65.60,102.93,143.38,111.82,140.69,66.48,9.02,45.05
1938,17.73,23.42,13.54,15.50,42.28,121.64,140.04,112.82,136.10,32.42,31.03,14.99
1939,21.96,5.62,6.81,20.08,38.28,102.04,99.70,108.01,136.85,88.51,16.37,35.15
1940,22.76,8.60,24.11,7.88,39.57,106.55,100.44,113.47,74.72,48.36,46.60,59.48
1941,18.92,19.91,20.76,27.19,57.53,120.13,116.80,108.27,174.65,93.43,44.96,47.49
1942,13.52,21.83,10.50,15.89,32.27,92.70,119.69,169.21,150.22,42.38,42.85,26.75
1943,25.05,14.37,13.07,13.93,42.45,113.84,109.19,121.99,159.40,89.61,27.75,34.14
1944,20.76,15.00,25.53,5.89,28.21,104.60,107.85,176.95,177.06,38.22,27.92,15.56
1945,18.57,15.27,8.57,9.77,27.67,64.68,125.42,133.55,100.37,91.06,11.58,12.35
1946,32.08,15.98,6.27,34.56,41.83,101.16,91.19,121.72,135.63,109.51,41.20,29.22
1947,29.56,14.06,11.93,18.29,61.77,92.79,88.48,165.93,119.43,72.85,54.08,34.05
1948,21.79,17.30,10.78,16.84,48.18,118.00,146.37,92.19,121.15,83.37,39.54,22.40
1949,38.41,19.35,9.45,19.00,33.83,96.91,106.35,91.77,145.87,88.64,6.23,25.71
1950,21.02,8.22,21.42,17.54,47.38,96.96,144.37,95.30,114.79,87.04,6.61,4.69
1951,11.25,5.00,23.27,8.58,51.21,90.53,129.96,116.11,145.10,73.17,23.82,19.34
1952,8.92,9.48,19.65,32.99,52.34,138.14,127.58,123.79,140.13,53.53,33.20,20.93
1953,3.26,16.25,11.20,11.86,29.21,82.13,118.30,122.82,87.63,105.54,23.99,23.52
1954,17.34,9.67,9.28,26.69,56.26,120.49,131.33,124.56,140.33,102.65,13.79,7.47
1955,29.49,11.63,4.16,5.17,20.42,76.01,186.36,159.40,173.99,106.22,27.35,22.57
1956,14.27,9.62,6.76,18.71,75.35,126.67,122.77,93.75,123.36,45.02,22.76,11.68
1957,25.16,24.93,27.52,21.71,36.73,81.94,98.83,103.39,129.15,67.73,19.15,13.83
1958,39.25,25.10,21.86,11.03,46.92,151.30,152.78,125.52,204.85,136.72,55.91,28.52
1959,15.59,18.61,9.00,35.14,37.07,123.32,122.66,138.32,89.21,133.78,31.26,22.68
1960,35.17,7.52,5.02,16.86,27.91,75.79,148.66,153.72,105.97,97.14,25.39,24.61
1961,45.60,10.01,15.47,14.42,27.64,143.27,148.38,108.00,116.30,61.87,47.68,20.04
1962,17.21,4.51,9.35,29.19,22.13,113.92,101.05,98.92,150.89,84.53,21.30,18.84
