Variable:,pr
Country:,Macedonia
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,52.39,68.55,61.19,35.89,76.44,121.16,48.42,47.15,34.75,99.76,74.71,82.43
1902,42.00,89.55,58.47,44.20,91.77,37.58,28.05,52.47,55.62,63.54,57.13,69.85
1903,34.21,25.28,49.44,87.66,67.42,64.71,40.85,22.52,25.18,75.80,59.25,72.77
1904,46.35,55.72,41.65,48.32,65.92,79.99,26.68,27.88,62.58,85.05,53.49,51.40
1905,51.50,37.32,50.10,44.36,76.66,63.21,50.52,50.16,35.68,118.99,58.82,32.41
1906,56.79,56.26,45.13,29.87,89.87,140.40,31.07,31.73,46.86,60.98,59.37,91.13
1907,62.85,58.25,40.31,56.98,39.48,75.58,21.76,35.76,19.22,47.22,68.19,59.47
1908,43.77,50.49,40.94,57.87,41.94,26.36,36.74,21.98,40.16,47.66,72.49,76.43
1909,54.47,48.65,62.77,30.73,121.33,35.53,68.83,50.18,70.82,42.39,117.57,71.09
1910,69.28,50.92,44.16,69.29,82.18,51.23,41.46,28.86,66.05,44.25,77.33,61.31
1911,42.85,29.04,46.72,61.08,88.12,50.83,57.19,47.92,89.10,40.88,49.50,53.47
1912,52.59,33.78,54.20,61.86,72.08,53.66,58.48,25.86,80.55,52.60,119.07,52.59
1913,57.63,35.89,29.64,42.41,93.56,74.65,72.87,65.12,43.70,30.84,51.07,63.26
1914,76.17,26.50,59.23,32.74,84.27,71.26,67.29,55.23,37.25,61.24,89.62,69.25
1915,91.45,51.69,58.56,55.92,105.46,123.05,104.41,41.87,52.77,122.45,64.18,50.36
1916,28.15,47.70,54.54,57.93,79.32,35.07,42.60,64.08,67.15,64.20,69.13,71.72
1917,69.64,40.47,67.37,50.84,62.49,41.44,25.57,22.48,18.89,60.53,87.52,63.48
1918,41.42,37.40,52.89,43.40,60.21,53.36,60.71,36.77,24.39,110.06,94.25,65.42
1919,72.91,63.49,72.17,73.32,119.47,42.44,58.40,27.44,41.71,102.25,76.29,58.98
1920,52.82,32.59,50.93,79.63,71.98,68.54,43.62,34.73,27.24,82.95,64.16,53.42
1921,38.31,38.09,32.13,54.56,60.69,78.87,24.90,23.43,26.66,34.81,91.05,80.93
1922,63.11,38.73,45.19,56.46,78.75,41.78,21.00,25.82,36.90,92.87,84.87,47.09
1923,59.68,69.06,60.13,60.36,65.61,70.73,46.28,37.96,34.78,42.85,88.40,87.57
1924,46.66,56.02,46.35,47.92,55.11,67.28,36.08,77.18,42.48,77.29,81.28,40.47
1925,25.72,43.03,63.44,51.21,106.69,66.70,47.60,24.45,50.83,47.64,88.62,71.73
1926,60.32,25.09,47.31,42.76,73.37,90.94,57.07,31.83,26.21,40.29,45.86,92.36
1927,78.96,40.15,56.56,61.49,58.46,39.95,33.70,39.87,48.95,85.62,59.14,94.99
1928,47.92,35.28,70.06,71.42,67.99,32.78,16.28,22.99,46.42,61.51,120.26,72.18
1929,81.20,45.52,46.19,76.72,54.72,68.44,16.62,68.56,48.00,66.28,74.97,90.09
1930,38.90,52.66,37.70,64.17,95.39,69.59,45.39,39.56,59.28,60.31,41.73,91.89
1931,73.61,71.50,53.45,88.24,78.94,46.85,31.10,10.53,58.50,74.65,65.75,70.64
1932,23.00,41.17,69.36,61.35,48.72,46.22,26.34,20.53,44.43,41.53,53.18,37.56
1933,52.21,57.76,27.03,49.54,89.04,66.22,27.46,40.56,26.13,71.16,79.46,90.27
1934,66.39,26.19,33.45,27.71,63.60,80.05,48.92,33.30,45.20,79.90,80.64,50.13
1935,100.35,46.17,48.18,33.20,38.13,52.00,20.13,18.05,22.49,57.24,74.48,125.27
1936,49.67,60.26,67.55,61.82,126.04,119.66,55.10,32.18,34.76,83.06,61.19,38.02
1937,59.51,52.87,48.45,96.49,82.34,68.01,49.91,58.31,56.11,88.23,157.48,94.96
1938,36.33,44.28,23.23,92.22,73.28,17.55,27.70,43.84,41.46,72.92,54.76,120.45
1939,68.82,31.54,88.42,55.11,68.36,83.93,22.10,49.95,67.18,82.06,77.33,92.06
1940,55.98,41.57,46.41,81.60,119.86,91.78,62.86,34.26,31.07,79.91,94.25,114.71
1941,65.46,73.86,18.44,67.06,57.21,42.23,55.20,21.26,50.12,84.12,81.45,49.44
1942,103.17,72.97,50.91,48.75,48.41,73.08,37.81,31.54,18.23,40.71,93.69,36.60
1943,73.05,31.15,18.17,41.80,76.00,65.12,20.24,14.10,52.01,46.40,100.05,70.19
1944,36.62,95.93,72.97,88.71,48.82,47.96,66.80,46.59,57.78,111.44,57.60,59.06
1945,73.50,11.39,23.62,39.38,21.73,40.80,18.12,39.45,86.62,52.03,63.78,103.48
1946,73.90,30.97,48.38,31.67,68.93,27.39,17.16,14.02,23.11,79.09,77.63,110.21
1947,59.44,47.57,23.53,18.68,37.45,68.67,23.83,55.16,32.88,50.09,55.05,107.44
1948,52.56,33.37,16.57,59.43,84.39,81.91,23.60,21.77,36.99,29.26,61.36,25.03
1949,64.01,11.40,86.22,32.65,64.21,42.70,47.88,79.81,54.71,39.80,123.48,42.87
1950,76.94,33.29,58.65,47.57,72.56,40.19,14.54,13.84,41.10,57.96,79.59,96.78
1951,60.76,54.46,69.69,61.49,74.88,42.54,49.61,41.35,43.89,125.34,51.52,50.07
1952,74.79,48.68,32.29,18.87,63.42,21.93,39.66,8.53,29.44,87.29,113.34,111.58
1953,57.72,37.76,12.63,55.38,101.58,66.66,37.53,41.12,28.00,80.65,42.54,35.98
1954,90.40,100.16,66.79,51.15,101.15,38.52,10.03,18.12,16.39,66.69,114.10,61.91
1955,80.03,48.64,70.21,76.69,28.37,52.88,60.98,72.88,97.80,109.90,105.35,29.83
1956,75.65,103.28,60.23,40.12,87.00,98.30,25.29,20.49,13.27,53.53,121.48,49.15
1957,46.77,39.00,19.63,34.90,111.94,74.99,46.71,41.98,60.09,95.40,60.29,67.23
1958,54.59,24.88,83.73,77.52,55.55,41.66,36.61,11.54,51.74,56.01,76.47,53.79
1959,67.54,16.43,44.25,59.24,90.48,93.95,57.77,58.15,69.07,63.61,82.04,68.10
1960,61.79,55.65,48.59,78.89,88.62,49.94,32.42,10.40,98.74,48.03,85.79,117.12
1961,43.19,16.23,41.50,49.82,86.61,70.58,51.46,13.72,9.28,34.54,100.27,76.98
1962,36.13,46.02,111.13,64.16,24.69,38.95,40.55,20.62,45.55,90.21,162.29,83.50
1963,108.77,97.47,54.58,51.22,107.68,60.70,35.89,48.45,22.66,80.45,49.37,82.73
1964,13.34,30.79,68.79,35.61,106.27,64.17,51.79,25.23,92.83,59.19,76.17,75.17
1965,59.85,58.34,38.59,76.66,59.42,50.75,26.22,25.33,11.34,2.92,82.06,79.95
1966,91.96,32.73,45.58,40.64,53.50,66.74,39.64,37.24,31.19,72.28,122.47,96.87
1967,55.52,14.53,32.99,67.55,92.60,70.61,99.17,26.34,68.29,28.23,34.55,76.55
1968,67.06,49.39,37.75,18.24,92.85,85.90,16.89,70.61,44.49,29.56,83.45,98.24
1969,71.80,88.85,95.29,43.45,39.83,72.69,27.88,43.92,51.14,3.77,33.87,156.76
1970,61.03,69.32,64.38,40.35,95.20,45.17,95.07,34.49,19.41,64.96,38.53,53.40
1971,74.88,66.52,96.26,38.51,81.20,53.14,64.64,27.37,74.68,24.42,44.42,42.45
1972,53.85,55.16,32.88,74.85,52.35,44.70,112.23,66.64,91.10,133.06,30.96,8.94
1973,55.96,67.98,69.68,62.04,32.94,36.71,67.80,49.95,100.53,66.01,58.43,63.39
1974,45.26,70.64,49.99,75.34,99.50,66.35,14.18,29.36,52.99,83.40,74.73,46.31
1975,20.01,21.90,48.16,36.62,73.92,78.27,41.88,56.75,19.65,78.85,60.35,24.79
1976,39.29,35.70,30.07,63.49,97.17,81.63,82.25,77.42,28.04,82.50,92.88,61.30
1977,43.18,47.58,27.84,28.94,46.47,41.87,49.52,39.16,52.28,19.36,73.91,46.37
1978,54.03,54.47,70.25,90.70,95.14,37.07,10.92,21.99,109.61,45.08,28.22,75.27
1979,75.27,62.70,32.49,91.30,96.07,46.52,46.44,74.63,22.75,77.46,135.99,49.75
1980,71.73,26.14,63.62,48.85,127.77,42.70,25.49,42.43,24.67,117.75,81.18,84.16
1981,63.54,41.88,45.22,47.50,51.76,35.74,41.58,47.73,46.73,86.02,93.95,82.66
1982,18.01,50.53,61.14,88.96,51.78,28.88,38.06,67.85,36.32,69.74,85.46,69.75
1983,16.86,36.53,27.17,30.27,55.94,145.05,79.69,35.37,46.92,33.38,63.25,91.36
1984,59.37,67.59,74.74,61.76,41.23,24.82,17.81,58.33,40.35,11.03,52.61,38.82
1985,76.32,29.10,64.08,31.18,40.00,27.76,9.32,29.47,15.89,19.10,181.36,25.47
1986,83.64,116.48,44.90,32.92,47.60,92.01,45.38,20.77,27.50,46.37,31.66,35.85
1987,78.89,47.85,84.34,70.61,80.44,37.11,24.54,32.59,25.66,69.63,105.24,58.98
1988,26.65,56.01,65.56,42.85,39.66,48.46,17.51,16.34,33.23,38.09,112.45,58.24
1989,1.96,11.57,44.77,46.66,57.01,92.46,62.38,44.51,35.59,52.23,60.01,47.91
1990,6.72,20.82,13.64,68.45,64.48,27.99,25.04,44.22,29.14,47.61,50.88,128.71
1991,21.64,64.83,39.25,89.90,86.57,32.47,76.92,55.81,37.43,57.31,74.83,21.00
1992,21.43,11.65,23.40,94.97,71.00,108.85,58.51,13.17,19.52,61.97,57.52,41.21
1993,23.10,23.86,47.96,32.71,97.37,32.32,7.62,12.90,27.64,30.44,107.37,52.58
1994,68.28,49.39,17.06,88.85,61.77,39.68,48.91,40.46,16.72,84.86,52.52,57.29
1995,72.65,34.23,64.77,42.07,77.10,45.99,75.16,84.80,61.88,9.96,53.11,114.69
1996,56.52,69.12,64.73,48.96,58.39,29.42,14.56,45.21,109.53,50.31,58.84,71.33
1997,35.91,28.92,31.87,59.69,44.17,35.22,23.06,60.55,9.75,82.96,54.95,85.89
1998,37.80,49.09,23.76,28.97,107.97,36.82,43.49,26.08,83.12,61.00,115.71,52.44
