Variable:,pr
Country:,Malta
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,118.92,92.77,15.76,11.26,19.73,1.70,0.08,2.94,12.22,129.76,107.72,19.18
1902,46.12,55.09,32.36,28.08,13.91,0.70,0.00,0.41,31.94,98.37,101.94,108.08
1903,63.26,36.51,22.43,11.72,1.08,3.09,0.00,0.00,24.92,19.81,60.68,114.04
1904,173.43,20.06,47.09,6.52,2.58,3.32,0.08,10.86,57.71,105.03,84.77,78.55
1905,73.81,49.77,15.59,10.36,18.15,1.24,0.23,1.37,20.66,70.11,15.32,224.18
1906,131.74,81.43,11.58,13.98,10.79,1.78,0.00,4.15,81.68,107.03,88.86,97.05
1907,106.63,54.81,46.32,21.85,2.52,0.77,0.00,11.72,50.59,45.46,70.24,14.49
1908,50.34,35.70,62.03,17.01,0.00,2.70,0.00,0.41,39.53,31.95,118.98,154.11
1909,121.05,46.68,18.81,38.06,18.86,0.46,0.00,1.77,14.42,97.44,71.40,54.91
1910,92.77,70.37,18.96,8.50,5.67,1.16,0.00,0.18,38.84,13.85,31.30,151.63
1911,171.75,25.72,47.27,34.27,8.35,0.93,0.08,1.31,20.37,64.39,157.25,103.91
1912,123.77,17.73,13.97,32.05,7.08,2.01,0.00,0.69,86.08,57.19,110.37,89.32
1913,96.87,89.29,19.68,17.04,19.40,1.08,0.00,0.00,6.10,75.15,35.88,51.65
1914,100.85,44.02,24.75,6.35,3.16,0.23,0.00,1.96,24.46,67.13,94.19,53.93
1915,71.75,62.84,40.26,34.06,4.60,9.43,0.00,7.67,36.27,38.81,95.60,43.83
1916,92.39,105.44,4.50,37.85,5.80,0.93,0.08,7.91,36.00,14.64,91.49,47.36
1917,79.97,81.88,34.60,8.01,4.15,5.95,0.00,1.27,5.75,39.61,139.09,56.10
1918,20.44,40.97,84.50,10.51,5.50,2.55,0.08,1.40,6.23,76.81,93.92,126.12
1919,77.08,49.27,23.95,15.70,22.41,0.93,0.08,0.69,25.01,38.58,59.85,124.05
1920,26.88,88.64,22.87,9.83,0.62,2.01,0.00,12.95,14.93,93.78,209.48,41.55
1921,83.00,52.12,73.74,58.17,7.79,1.78,0.08,4.66,41.00,31.23,80.01,134.20
1922,53.63,40.78,7.71,4.87,3.35,2.09,0.00,0.94,6.30,13.62,74.21,110.87
1923,122.13,50.50,16.28,28.63,1.15,3.71,0.00,1.90,13.60,4.89,65.01,88.60
1924,87.26,34.83,37.64,21.79,4.00,1.16,0.15,0.31,3.68,59.50,49.44,199.51
1925,56.66,36.49,79.57,20.69,16.97,0.15,0.00,0.95,18.42,148.51,101.55,24.88
1926,53.96,41.94,42.76,25.09,9.87,3.86,0.08,0.15,20.64,5.38,66.33,67.37
1927,71.43,58.72,28.06,11.20,3.68,0.54,0.00,0.65,21.66,19.51,70.15,122.43
1928,186.84,87.70,84.54,37.26,0.53,0.00,0.08,1.59,33.53,38.40,83.34,132.96
1929,71.67,83.23,81.54,12.93,6.46,3.55,0.00,8.10,74.74,26.89,63.09,49.77
1930,90.85,97.39,12.42,16.79,6.49,0.62,0.15,0.00,22.43,84.61,57.31,101.87
1931,156.15,96.39,5.50,8.17,24.99,0.08,0.00,0.25,37.92,100.33,81.43,152.36
1932,66.22,112.73,41.86,4.97,0.79,0.08,0.00,0.08,29.51,108.92,111.15,62.81
1933,138.82,71.89,25.55,2.97,12.78,11.28,0.08,4.99,4.26,8.05,64.09,134.91
1934,109.12,40.80,28.85,17.22,22.16,2.01,0.00,1.35,36.15,127.63,145.76,106.55
1935,138.00,32.84,37.20,1.83,1.21,0.08,0.08,4.76,26.08,25.33,63.28,77.67
1936,24.31,25.14,9.19,36.24,10.28,1.55,0.00,6.03,6.94,63.40,128.47,111.93
1937,48.93,53.51,17.07,10.39,4.52,0.70,0.00,1.32,36.06,41.93,42.49,91.71
1938,115.39,133.71,35.95,23.19,7.98,0.46,0.00,12.59,5.86,40.44,99.16,89.38
1939,40.81,71.38,41.31,20.45,4.82,0.00,0.00,3.08,111.23,55.18,79.88,37.44
1940,90.55,10.22,28.41,24.79,15.79,0.46,0.00,4.41,31.86,40.71,41.49,160.14
1941,28.71,19.07,36.17,23.86,15.10,2.70,0.00,0.59,15.49,35.05,161.53,81.64
1942,101.15,92.22,26.86,7.53,1.44,2.24,0.00,17.29,12.52,34.67,108.76,152.96
1943,43.35,84.85,57.91,3.91,14.56,6.10,0.00,1.10,2.34,91.27,95.47,73.77
1944,66.55,53.02,60.56,41.29,0.00,0.00,0.00,11.05,49.51,29.09,31.32,214.48
1945,60.01,30.51,36.49,15.75,5.16,0.15,0.00,0.20,13.67,24.40,119.76,65.54
1946,107.79,20.41,49.02,16.87,1.91,0.00,0.00,0.00,6.63,64.97,69.12,168.08
1947,66.13,7.94,0.90,3.18,0.64,0.00,0.00,11.69,5.18,40.28,14.67,66.15
1948,21.40,44.84,8.72,14.58,2.54,1.08,0.08,0.10,6.15,110.60,122.04,199.29
1949,42.24,70.65,34.46,6.60,17.65,1.08,0.15,1.29,1.10,171.69,103.43,24.04
1950,149.41,54.67,87.51,23.69,1.60,0.62,0.00,2.00,2.02,138.19,29.10,106.27
1951,76.81,30.04,34.05,2.40,7.34,0.00,0.00,45.23,119.83,98.55,58.97,45.00
1952,66.02,44.21,16.02,9.32,7.75,0.00,0.08,0.10,9.33,36.13,74.63,111.85
1953,149.14,24.23,75.17,38.60,27.09,11.67,0.00,61.53,7.45,102.14,118.11,43.16
1954,100.95,67.76,19.02,72.54,14.17,0.00,0.00,0.12,18.73,181.80,107.02,63.95
1955,64.70,23.12,39.33,67.10,1.42,0.15,0.15,56.74,104.05,53.84,32.42,45.07
1956,86.63,95.32,61.08,0.77,0.42,0.00,0.00,0.00,31.51,99.43,63.28,85.83
1957,72.49,0.40,12.97,9.52,13.41,0.15,0.00,2.82,17.38,239.59,176.03,64.23
1958,57.95,22.48,18.03,4.58,19.92,0.77,0.00,0.00,1.11,41.63,208.92,58.92
1959,21.83,41.30,16.08,56.92,23.99,1.08,0.08,0.55,95.93,100.65,77.63,55.48
1960,53.48,11.21,28.61,7.69,4.80,1.00,0.08,0.00,13.22,60.48,15.72,112.22
1961,58.32,10.64,35.85,0.32,19.67,0.77,0.08,0.00,22.36,16.28,46.90,46.86
1962,85.32,51.04,49.26,19.31,0.42,0.39,0.00,1.01,3.02,144.98,84.57,87.55
1963,74.49,86.41,29.10,12.50,3.44,2.24,0.15,1.45,26.86,45.51,5.22,60.97
1964,138.79,37.60,28.88,28.35,17.23,14.83,0.08,11.16,3.11,84.24,24.79,177.16
1965,95.79,149.90,27.91,9.34,0.85,0.00,0.08,4.68,6.77,177.07,43.58,42.19
1966,23.69,15.91,41.23,28.84,6.10,8.27,0.00,0.30,56.49,162.66,126.36,46.66
1967,26.99,94.85,9.01,4.73,6.01,0.00,0.00,2.50,12.40,66.74,46.56,114.33
1968,76.88,58.94,15.14,25.80,1.50,17.46,0.00,0.70,2.89,47.77,18.95,87.58
1969,40.84,24.03,52.49,14.07,2.87,3.40,0.08,0.18,186.17,141.77,15.60,142.86
1970,37.41,19.81,36.32,5.77,0.77,0.00,0.00,0.10,11.39,44.41,0.62,219.77
1971,78.71,77.65,53.42,6.16,7.35,2.86,0.00,0.60,130.15,108.80,28.26,36.90
1972,95.45,25.05,87.95,49.99,0.37,0.00,0.08,0.20,10.13,68.67,4.88,209.86
1973,180.04,106.16,92.56,19.06,0.25,0.00,0.31,2.46,45.31,54.92,31.89,31.56
1974,9.64,74.99,17.83,17.38,0.25,0.15,0.08,0.00,18.03,58.77,26.90,16.28
1975,51.74,95.86,38.85,14.93,21.64,1.55,0.00,30.37,40.21,78.09,81.22,60.73
1976,149.10,114.25,64.23,4.20,34.86,3.48,0.31,7.27,19.78,177.80,113.81,74.74
1977,89.57,19.78,0.67,34.52,4.27,0.39,0.00,0.00,8.01,51.62,17.87,67.83
1978,78.27,20.32,23.87,27.46,6.25,0.70,0.00,12.50,40.93,61.34,107.47,19.91
1979,51.99,80.47,34.37,64.80,13.89,0.23,0.00,1.49,54.83,187.66,61.51,32.84
1980,24.94,32.69,58.21,56.64,19.97,0.08,0.00,1.11,2.63,18.45,40.36,137.23
1981,85.34,61.33,4.00,1.36,0.27,0.08,0.00,0.30,5.69,8.02,13.45,73.59
1982,187.48,48.67,46.27,46.17,10.81,0.08,0.00,0.30,49.67,123.73,93.28,65.77
1983,10.58,17.76,39.61,0.57,1.14,0.08,0.00,0.50,34.59,62.84,196.46,163.42
1984,27.73,33.10,54.65,6.62,6.65,0.00,0.00,0.80,9.63,76.69,93.90,227.30
1985,172.21,15.11,19.76,39.07,6.28,0.00,0.00,0.00,75.10,57.04,26.65,65.72
1986,48.04,54.09,43.06,23.97,0.15,0.08,0.39,0.32,30.78,92.59,225.19,135.74
1987,50.03,44.46,37.44,16.45,9.18,1.16,0.15,0.09,11.31,28.24,74.11,47.85
1988,61.12,40.59,42.60,7.16,1.63,0.54,0.00,0.22,57.50,14.58,286.11,103.65
1989,70.66,56.73,9.09,14.91,3.45,0.15,0.08,0.38,17.79,106.76,66.31,98.15
1990,157.89,9.28,9.53,32.70,21.43,0.46,0.39,8.70,13.35,46.02,79.63,133.38
1991,118.07,64.64,27.32,27.87,13.91,1.78,0.00,1.54,30.35,89.41,59.37,104.69
1992,113.67,66.26,28.76,25.40,13.02,1.55,0.08,2.26,9.97,45.01,50.72,108.29
1993,41.34,59.39,42.85,5.20,9.55,0.15,0.08,0.18,37.12,95.48,75.58,66.24
1994,78.81,73.13,15.24,18.92,5.01,1.55,0.08,5.72,16.72,133.45,44.27,54.15
1995,99.93,12.71,37.85,26.06,1.46,1.47,0.00,4.71,99.47,103.98,83.83,105.82
1996,92.75,126.00,82.12,34.21,13.43,4.02,0.08,23.23,32.39,83.85,30.39,71.14
1997,59.40,28.68,33.64,17.94,7.94,1.62,0.00,9.17,56.62,99.96,102.70,119.74
1998,80.27,20.16,29.69,15.90,8.32,0.93,0.08,6.05,47.98,61.06,54.92,69.87
1999,81.46,52.03,33.09,18.48,2.97,0.77,0.00,3.90,29.81,17.74,91.98,97.92
2000,77.08,84.70,6.15,20.95,6.65,0.46,0.00,0.75,39.47,67.55,25.66,66.63
2001,78.76,54.12,22.40,14.46,9.70,2.78,0.08,20.65,19.27,6.85,57.80,68.50
2002,26.62,34.88,9.93,18.60,12.24,0.54,0.08,31.15,31.69,44.98,125.16,98.66
2003,122.37,86.85,35.18,20.67,16.53,4.40,0.00,7.71,45.97,56.78,81.73,123.50
2004,51.17,18.04,49.52,27.08,5.27,2.32,0.08,0.23,50.91,26.63,101.00,117.15
2005,65.61,75.73,18.48,21.06,3.55,2.16,0.15,7.32,31.90,58.71,66.22,134.05
2006,154.05,48.50,24.74,7.69,8.04,2.32,0.08,4.41,32.73,76.78,34.82,86.44
2007,23.24,59.23,67.70,19.19,3.26,3.32,0.00,0.69,28.10,104.15,72.73,128.10
2008,50.99,46.75,38.13,8.47,3.55,1.08,0.00,1.71,52.46,44.28,65.21,105.56
2009,167.19,77.99,31.46,31.99,6.64,0.70,0.00,0.80,71.32,120.65,29.51,60.93
2010,69.56,34.04,47.24,12.53,9.64,1.16,0.00,0.15,61.57,148.05,32.81,41.68
2011,84.78,68.06,47.42,29.97,11.46,2.86,0.00,0.15,13.94,77.22,79.76,75.44
2012,49.22,95.68,34.65,19.03,2.12,0.15,0.15,1.31,51.65,70.59,45.05,75.19
2013,77.33,54.21,18.04,15.98,2.29,0.70,0.00,7.31,32.19,35.00,120.78,92.15
2014,75.71,45.62,54.46,20.41,10.54,1.24,0.08,0.08,20.98,63.17,74.88,112.40
2015,85.90,95.63,47.56,4.21,14.46,1.00,0.08,9.02,50.24,114.92,92.73,34.15
2016,53.69,16.91,39.23,5.35,17.50,2.09,0.00,19.38,38.23,35.87,73.65,73.90
2017,85.24,41.82,28.69,16.39,4.36,1.55,0.08,2.85,44.42,68.90,71.76,93.58
2018,55.29,90.83,42.16,12.00,7.46,2.70,0.08,6.53,34.58,105.89,70.99,78.49
2019,87.34,54.50,32.69,19.96,10.66,1.47,0.08,3.65,21.75,94.58,92.05,51.56
2020,19.06,7.34,49.20,16.88,6.21,2.24,0.08,6.03,43.48,63.76,64.21,109.83
2021,56.68,19.55,40.41,15.63,1.27,1.31,0.08,0.95,16.96,166.88,105.55,64.54
