Variable:,pr
Country:,"Myanmar (Burma)"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,7.55,13.48,20.42,45.68,237.79,422.60,366.50,341.29,283.47,211.45,53.54,5.84
1902,4.96,7.51,13.82,61.98,167.54,452.02,451.20,412.70,334.80,138.66,37.75,10.17
1903,6.23,8.09,23.02,32.78,174.86,360.35,319.05,423.38,301.49,249.81,63.68,8.52
1904,5.98,8.84,18.35,105.47,194.15,370.96,557.98,393.81,347.17,115.17,101.33,12.51
1905,6.10,9.93,25.48,39.79,234.72,302.52,367.31,431.93,432.99,159.76,58.38,29.58
1906,5.81,13.43,16.92,44.57,182.72,366.16,420.21,389.46,322.34,197.49,44.41,5.02
1907,14.38,10.12,56.80,39.99,222.08,372.31,343.23,376.65,273.29,153.19,35.27,22.85
1908,5.51,9.24,11.79,96.01,196.23,523.82,433.10,380.58,229.85,137.14,58.97,5.87
1909,8.80,6.85,10.82,50.14,251.05,405.91,443.00,444.23,219.07,217.08,77.19,5.43
1910,6.74,13.59,26.61,82.78,303.06,391.00,452.52,478.41,336.66,181.74,59.47,9.82
1911,17.06,8.34,20.06,86.83,228.99,423.12,366.73,366.26,327.39,188.73,28.46,4.58
1912,8.91,12.82,20.42,37.78,226.01,434.03,414.01,413.88,258.31,190.13,70.51,6.77
1913,5.90,24.55,38.63,36.94,194.33,342.49,491.12,474.91,224.99,182.06,91.11,14.76
1914,5.64,9.74,23.42,49.50,237.31,448.01,426.87,457.16,197.16,168.49,50.85,27.09
1915,5.89,10.93,25.16,93.96,335.43,437.91,436.75,415.14,260.15,196.00,72.20,26.78
1916,7.58,8.54,25.07,62.81,178.17,388.79,406.19,426.06,318.38,184.72,70.90,22.17
1917,4.46,23.76,11.64,42.19,150.99,458.08,376.40,540.03,286.86,223.81,51.22,9.87
1918,5.02,9.34,27.56,61.57,301.23,405.33,341.19,475.26,254.16,146.44,55.19,8.54
1919,2.19,15.39,11.85,42.81,247.18,420.02,495.00,393.56,237.83,155.03,81.00,10.11
1920,8.27,18.68,32.57,28.05,203.93,227.81,436.72,459.53,260.25,143.66,35.29,8.58
1921,21.37,9.28,30.74,53.55,186.87,330.51,458.47,431.77,357.82,240.63,66.03,4.31
1922,4.74,3.92,29.76,97.82,223.52,371.75,406.36,383.75,336.95,190.51,82.18,21.41
1923,6.53,13.47,26.58,66.42,210.44,450.11,333.46,431.18,211.07,193.90,79.91,14.33
1924,9.32,10.67,9.66,68.36,210.29,373.19,412.28,451.01,230.39,224.16,92.42,3.44
1925,10.63,11.20,14.45,88.05,161.46,539.22,409.64,371.13,252.87,182.58,37.07,8.24
1926,7.02,11.35,28.30,42.91,129.60,358.28,375.35,358.76,293.37,304.59,94.14,15.75
1927,7.33,33.30,16.04,80.93,228.27,419.61,477.74,287.07,310.28,282.63,44.98,2.87
1928,3.52,17.29,12.86,76.39,184.81,504.33,431.47,431.42,255.16,253.29,49.66,3.38
1929,4.30,11.35,29.67,89.79,293.76,358.57,454.97,350.26,288.78,135.75,41.21,7.27
1930,5.50,14.31,31.28,43.06,277.00,419.27,383.40,335.73,341.00,112.56,67.88,5.87
1931,6.89,12.63,17.78,45.67,176.91,342.11,325.31,354.46,335.19,128.52,45.62,22.75
1932,4.08,13.55,16.70,56.64,152.19,451.25,524.81,405.88,261.42,224.56,72.10,6.75
1933,4.53,8.78,12.84,59.77,226.42,366.81,433.52,408.29,271.50,138.18,46.15,3.63
1934,3.59,14.48,11.34,61.44,99.10,334.66,525.74,374.10,321.20,199.77,84.42,5.48
1935,2.97,14.20,12.35,61.55,153.11,457.65,402.92,348.42,341.15,194.37,121.53,15.35
1936,4.57,26.05,12.07,61.88,261.08,360.36,425.58,290.67,274.02,173.72,34.91,5.53
1937,3.12,14.59,12.03,71.51,241.77,288.64,471.83,509.12,353.45,143.42,32.09,23.06
1938,8.12,11.41,20.99,58.77,264.76,545.04,483.73,419.49,320.91,229.17,84.08,4.33
1939,7.79,11.78,36.93,54.54,228.81,347.30,472.72,642.21,414.54,103.89,58.62,4.30
1940,2.26,10.18,24.67,28.91,266.87,393.62,347.91,493.03,297.43,154.99,29.09,19.68
1941,6.04,14.81,19.44,53.67,200.72,424.42,397.45,396.02,290.38,174.08,44.32,10.79
1942,6.07,10.87,25.93,88.54,213.10,430.73,392.74,494.74,312.45,123.03,65.98,9.72
