Variable:,pr
Country:,"Republic of Montenegro"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,75.37,117.85,150.92,65.01,81.52,117.93,95.37,64.68,179.56,193.43,89.95,190.82
1902,68.49,168.70,187.67,132.17,158.21,99.52,39.09,38.94,146.84,229.24,76.87,101.74
1903,63.27,61.95,78.78,153.43,96.11,84.38,77.25,28.78,53.14,159.06,185.43,164.62
1904,93.68,124.66,124.37,63.53,61.13,76.05,44.37,39.79,104.01,191.91,97.40,110.98
1905,95.44,126.37,103.12,122.97,93.73,112.17,50.31,33.09,69.34,269.71,194.84,37.77
1906,122.96,108.81,104.85,52.58,103.25,119.05,69.05,63.31,131.19,73.20,128.36,228.26
1907,127.02,107.08,51.75,169.77,68.48,78.56,56.44,29.02,53.27,114.80,123.97,212.89
1908,141.39,117.68,119.77,159.94,32.48,44.42,70.06,53.33,42.32,79.37,178.38,141.15
1909,84.78,68.45,147.22,67.29,152.30,75.86,52.14,125.99,195.12,109.85,224.86,144.91
1910,157.88,129.16,79.46,170.23,121.21,112.41,139.74,58.77,179.72,165.76,207.07,133.29
1911,103.31,56.66,29.39,112.78,164.84,69.32,50.04,59.71,145.25,124.88,102.93,132.83
1912,151.62,79.83,142.37,166.46,122.27,59.48,66.80,77.14,132.50,121.29,158.15,96.50
1913,108.65,59.19,32.84,92.86,132.86,116.20,165.86,114.75,134.25,56.70,88.67,168.97
1914,102.23,51.36,184.38,62.17,104.93,105.37,115.10,36.31,118.26,141.07,165.97,175.44
1915,240.20,171.34,136.71,109.30,101.16,161.79,188.43,96.96,127.13,283.02,156.72,148.95
1916,55.51,75.76,146.69,81.38,97.36,31.43,68.56,97.43,160.54,207.72,168.38,225.45
1917,179.25,63.71,126.17,87.37,43.67,27.68,60.41,48.68,46.56,165.69,203.51,158.32
1918,77.34,25.82,69.44,93.22,99.56,94.09,67.07,85.74,39.88,189.24,82.17,138.38
1919,134.79,103.90,114.32,162.34,141.56,64.03,108.77,41.18,88.72,171.53,234.18,114.06
1920,143.09,42.47,101.79,92.65,60.98,130.70,88.27,68.37,65.70,90.54,58.61,159.55
1921,77.31,79.27,38.56,135.94,113.85,166.96,35.89,80.28,30.11,43.92,167.57,93.47
1922,162.01,131.25,137.05,154.34,55.12,74.76,31.18,15.85,191.55,264.07,122.32,73.84
1923,130.00,142.29,78.99,98.44,70.91,125.81,47.78,66.25,67.50,124.34,282.76,194.04
