Variable:,pr
Country:,"Northern Mariana Islands"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,108.20,74.00,82.30,101.90,94.50,127.40,228.90,282.80,325.30,284.60,181.20,121.30
1902,108.20,74.00,82.30,101.90,94.50,127.40,228.90,282.80,325.30,284.60,181.20,121.30
1903,108.20,74.00,82.30,101.90,94.50,127.40,228.90,282.80,325.30,284.60,181.20,121.30
1904,108.20,74.00,82.30,101.90,94.50,127.40,228.90,282.80,325.30,284.60,181.20,121.30
1905,108.20,74.00,82.30,101.90,94.50,127.40,182.10,346.50,273.10,293.30,181.20,225.80
1906,49.90,20.70,34.80,69.60,30.40,93.80,247.70,169.90,229.80,298.10,188.70,91.00
1907,53.10,38.80,74.70,79.00,69.00,107.40,381.40,296.60,274.30,224.60,124.70,94.90
1908,80.50,36.80,82.30,101.90,94.50,104.20,291.10,256.00,209.50,303.50,121.00,92.00
1909,65.90,55.00,78.50,52.60,51.10,109.90,314.90,227.50,437.90,306.50,176.50,200.70
1910,71.30,54.60,82.30,84.40,130.80,103.40,222.00,166.30,312.10,290.30,160.40,113.70
1911,82.00,185.80,157.40,43.90,55.90,158.50,286.20,377.00,400.80,379.10,111.40,65.70
1912,62.80,38.50,34.70,49.00,32.10,68.80,159.20,387.00,388.60,330.90,150.20,193.80
1913,38.70,40.80,42.20,40.40,41.80,72.50,172.60,309.70,379.70,307.10,294.60,156.50
1914,57.40,78.70,52.90,51.10,58.60,100.00,228.90,300.00,445.50,333.10,122.70,122.10
1915,117.80,28.40,41.20,45.20,46.50,70.30,289.80,338.10,303.10,355.60,171.70,141.60
1916,67.90,116.60,44.20,86.80,232.90,184.90,184.00,266.60,502.10,272.70,354.90,69.20
1917,80.10,46.70,55.70,52.00,56.10,122.10,278.10,358.80,571.70,296.10,131.70,112.10
1918,121.20,133.60,83.70,93.20,69.00,134.10,228.90,205.50,325.30,284.60,124.30,71.30
1919,55.60,27.60,42.20,29.20,35.90,137.80,184.80,478.40,434.40,185.70,179.70,109.40
1920,56.80,48.20,136.60,91.70,70.40,112.60,228.90,453.70,287.10,370.20,108.00,126.00
1921,81.50,33.80,70.50,194.70,53.70,148.20,190.70,278.80,388.70,263.20,151.10,79.60
1922,48.60,61.00,117.00,41.40,83.60,126.70,289.50,314.60,461.80,134.10,174.90,78.30
1923,63.80,85.00,263.10,77.10,54.20,111.80,309.70,285.10,320.30,290.80,146.90,59.80
1924,70.30,39.30,33.70,76.00,48.60,94.00,253.90,322.60,224.70,598.70,195.20,72.60
1925,42.40,30.10,37.80,51.20,82.20,132.10,380.60,342.60,239.70,388.40,141.90,96.90
1926,74.40,34.50,51.60,39.10,29.80,104.60,154.10,197.40,298.40,230.80,188.00,132.20
1927,83.90,90.30,56.00,106.80,105.10,90.50,295.20,412.80,184.10,259.90,147.50,121.00
1928,92.40,54.40,120.80,37.20,107.00,145.50,327.80,251.60,476.10,365.20,155.00,176.80
1929,69.30,56.50,117.40,44.80,63.40,115.90,308.60,209.90,402.30,235.50,255.50,143.10
1930,117.00,28.90,43.70,44.30,62.90,105.00,271.30,317.60,321.90,203.30,223.50,107.90
1931,80.10,32.70,42.90,57.30,96.40,70.30,238.00,440.70,240.80,295.90,249.20,86.30
1932,81.60,56.10,70.80,38.40,71.40,109.00,200.80,217.90,267.40,256.50,134.80,70.50
1933,49.00,51.80,80.20,47.10,91.60,196.20,337.10,231.10,346.00,383.70,175.50,101.90
1934,130.60,34.10,62.50,77.30,142.60,117.20,378.60,301.70,322.80,257.90,188.70,138.00
1935,303.90,165.30,76.90,73.80,49.40,123.90,300.80,228.60,362.50,254.30,215.90,215.40
1936,35.40,41.90,67.30,68.30,39.80,71.30,205.00,211.00,243.50,290.20,162.60,86.90
1937,56.90,49.90,48.90,48.10,68.40,106.40,196.00,303.20,252.40,241.90,169.10,73.40
1938,83.40,35.90,75.20,110.20,56.30,225.90,179.70,438.00,438.80,268.70,159.50,133.90
1939,76.10,37.90,46.80,35.20,63.00,66.90,291.30,448.50,209.80,217.40,158.00,214.40
1940,95.90,50.60,59.70,43.00,34.60,73.90,211.40,264.90,537.50,131.10,140.50,77.00
1941,108.20,74.00,82.30,101.90,94.50,127.40,228.90,282.80,325.30,284.60,181.20,121.30
1942,108.20,74.00,82.30,101.90,94.50,127.40,228.90,282.80,325.30,284.60,181.20,121.30
1943,108.20,74.00,82.30,101.90,94.50,127.40,228.90,282.80,325.30,284.60,181.20,121.30
1944,108.20,74.00,82.30,101.90,94.50,127.40,228.90,282.80,325.30,284.60,181.20,121.30
1945,105.80,32.50,144.40,150.30,72.30,127.40,228.90,282.80,350.20,271.10,90.50,105.40
1946,96.70,32.90,82.30,101.90,94.50,127.40,228.90,282.80,325.30,284.60,181.20,121.30
1947,108.20,74.00,82.30,101.90,127.50,81.20,194.70,225.00,275.90,325.50,229.50,121.20
1948,170.20,41.80,25.90,130.40,73.30,151.20,138.90,268.30,250.80,302.90,256.40,123.60
1949,90.60,48.70,62.80,53.90,34.60,72.70,187.10,246.10,307.90,249.60,109.80,62.50
1950,47.80,34.50,60.00,37.60,116.80,160.50,226.70,244.90,426.20,345.20,168.30,127.40
1951,134.80,98.40,103.30,128.20,28.30,48.80,170.60,337.80,155.50,297.80,171.90,154.00
1952,55.00,28.00,39.20,44.60,72.20,68.00,183.40,222.50,325.20,290.90,253.80,145.60
1953,49.40,160.10,51.50,36.30,45.50,49.30,155.80,482.20,241.90,527.40,214.30,140.30
1954,105.70,46.30,49.30,63.10,42.90,86.00,110.00,239.80,477.20,278.10,198.20,74.20
1955,131.70,52.80,60.80,82.10,51.00,97.20,259.00,171.00,398.10,220.90,119.90,95.90
1956,63.80,59.10,52.50,53.50,68.70,68.70,198.90,162.10,343.50,194.50,228.40,160.00
1957,90.90,48.20,54.80,68.70,39.00,79.60,111.40,239.40,279.90,377.90,271.70,62.70
1958,129.40,36.20,33.40,59.10,59.10,178.80,240.50,213.50,328.70,242.60,128.70,93.30
1959,66.40,35.80,44.60,69.70,29.30,53.10,139.20,239.90,402.20,224.80,185.40,115.00
1960,66.70,20.90,42.60,39.40,87.10,124.10,167.30,286.50,235.10,278.50,214.10,128.70
1961,126.80,49.80,92.50,101.80,85.50,111.80,160.30,315.00,340.50,381.60,134.10,99.10
1962,51.30,108.70,41.50,173.70,94.80,152.20,292.70,289.00,394.90,331.20,245.70,210.80
1963,186.10,130.10,57.80,380.50,185.00,132.50,226.50,224.00,298.60,381.90,142.90,250.50
1964,54.30,59.50,68.00,162.30,270.60,127.40,173.90,217.10,343.90,274.30,122.00,120.50
1965,189.20,27.90,25.10,30.50,37.30,109.90,299.80,116.70,433.50,172.00,150.80,71.70
1966,54.10,31.80,40.40,37.00,46.20,112.80,152.40,243.80,455.90,188.00,155.30,89.50
1967,104.50,62.70,179.20,174.70,63.70,166.00,259.70,387.70,449.30,302.00,214.10,59.30
1968,107.50,116.80,73.20,59.30,52.50,119.80,245.00,284.60,291.80,311.10,223.30,68.60
1969,61.00,31.50,42.40,51.00,53.40,51.80,244.50,203.70,202.30,487.20,183.40,163.40
1970,213.30,56.70,54.40,41.20,46.90,108.50,175.60,204.70,288.40,238.40,172.10,103.30
1971,104.20,83.30,236.40,109.30,264.90,108.40,299.10,348.60,274.60,199.50,161.40,67.90
1972,90.90,82.90,171.90,73.20,54.80,139.50,318.90,325.70,329.90,157.90,102.90,108.60
1973,47.60,45.80,40.60,49.00,51.60,93.40,186.90,206.10,234.60,376.70,78.00,119.10
1974,86.90,48.00,202.00,273.60,165.10,166.20,210.90,442.00,207.50,247.30,156.20,112.60
1975,158.60,24.90,51.00,77.50,36.20,63.60,223.10,394.00,236.00,251.60,251.30,106.80
1976,322.60,160.90,152.00,101.80,197.40,121.50,255.00,407.90,266.60,175.50,175.10,155.70
1977,66.40,48.50,88.70,56.40,83.90,114.70,152.30,139.90,363.40,331.00,219.90,52.40
1978,52.00,66.60,27.10,70.80,59.30,174.60,194.30,355.80,254.70,236.00,297.50,97.30
1979,95.90,45.00,82.90,53.20,42.30,75.70,221.60,254.90,243.40,542.00,164.40,119.40
1980,46.40,210.70,66.40,79.40,156.50,170.10,227.20,218.20,554.80,255.70,156.20,130.90
1981,132.80,35.90,59.90,143.40,84.60,133.50,270.10,357.90,229.70,292.10,290.70,140.00
1982,64.90,120.90,47.30,35.10,96.90,173.10,257.20,186.10,544.60,286.90,172.30,117.70
1983,39.40,28.30,69.30,47.50,34.40,35.50,147.50,235.00,266.90,218.60,213.70,105.30
1984,79.10,64.70,77.50,50.40,64.60,146.60,169.10,392.30,331.30,213.60,237.00,122.80
1985,150.30,54.60,92.20,121.40,165.40,269.80,233.60,315.60,405.50,188.80,113.30,152.60
1986,45.90,108.30,90.40,164.10,126.20,155.20,290.10,449.20,219.60,384.30,121.10,198.00
1987,62.20,85.10,118.50,46.30,25.80,56.60,263.40,187.60,283.80,289.10,175.40,129.20
1988,151.60,28.40,40.20,74.40,49.10,127.40,260.30,201.40,250.60,319.20,132.40,79.30
1989,73.20,150.30,31.20,217.40,69.20,175.20,234.10,258.80,331.10,305.60,194.40,82.10
1990,226.90,51.30,49.10,70.60,71.10,128.50,222.00,320.60,431.30,198.80,295.10,198.90
1991,87.50,57.10,45.00,119.00,79.30,136.00,232.50,326.60,278.30,305.00,266.10,81.90
1992,160.10,29.10,55.30,67.80,53.50,84.20,183.50,622.50,201.10,286.10,228.10,49.40
1993,45.10,63.10,41.40,40.70,37.00,57.80,158.80,288.90,279.60,271.90,150.10,111.60
1994,87.00,44.30,76.70,85.90,104.30,88.30,285.70,196.50,414.50,242.10,79.50,96.90
1995,55.80,24.50,45.20,95.50,105.60,128.20,161.70,278.20,340.00,306.20,154.40,104.40
1996,149.90,116.80,64.00,115.00,54.20,93.10,345.50,257.10,316.20,212.90,293.70,139.00
1997,140.40,38.20,48.40,207.60,32.90,154.50,203.70,566.50,138.10,235.60,198.00,290.60
1998,57.90,27.90,36.00,50.30,30.20,77.20,125.30,136.60,358.30,215.40,136.00,85.70
1999,84.30,154.70,44.20,105.80,72.00,174.00,259.70,156.30,244.80,181.50,131.20,93.20
2000,73.00,84.40,89.70,40.10,87.80,97.90,215.20,254.60,263.70,251.60,112.90,154.70
2001,61.30,48.00,50.90,55.30,46.30,197.40,296.60,421.10,168.80,280.00,258.50,140.10
2002,179.90,92.70,74.20,54.00,101.80,111.10,228.90,360.90,281.40,144.00,138.00,121.30
