Variable:,pr
Country:,Montserrat
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,110.30,63.20,73.30,90.90,137.40,137.50,167.10,176.70,208.10,167.50,169.60,122.70
1902,92.50,43.60,73.30,75.50,236.30,208.20,193.70,162.90,184.50,125.80,201.80,124.00
1903,71.10,56.50,48.10,170.50,107.30,192.10,169.00,242.00,202.70,136.50,123.00,135.00
1904,133.00,64.30,94.30,70.70,134.50,86.50,167.40,158.70,268.00,161.60,104.10,103.60
1905,99.00,51.20,89.00,81.00,108.60,129.00,131.60,161.10,233.60,199.00,174.30,83.50
1906,84.80,52.30,66.40,90.50,123.80,161.10,174.30,174.50,278.10,149.80,157.30,96.10
1907,85.60,52.30,70.60,81.10,137.50,108.60,157.30,147.30,172.10,172.90,126.40,132.80
1908,86.20,36.80,50.40,85.40,84.10,138.50,174.10,136.70,205.90,128.70,106.50,177.00
1909,103.40,69.10,72.70,90.50,134.40,138.60,163.70,192.80,200.10,166.40,171.10,117.00
1910,117.10,82.70,88.70,48.00,263.20,143.70,169.20,186.10,190.10,104.10,112.70,94.80
1911,107.30,68.50,69.90,92.00,139.90,129.40,169.30,179.10,202.60,164.50,158.00,132.10
1912,103.50,63.80,71.40,94.40,134.20,130.70,161.20,175.60,199.70,170.10,165.50,118.40
1913,107.40,66.60,74.70,92.30,135.50,131.20,162.50,176.10,203.30,173.00,160.30,117.80
1914,104.10,68.90,73.10,90.40,144.80,131.60,162.20,179.10,199.70,162.70,162.20,123.30
1915,107.20,67.20,72.00,95.10,135.30,135.10,167.10,176.60,203.20,164.60,166.20,120.10
1916,106.00,65.20,69.40,91.30,136.30,133.70,167.20,188.20,213.70,169.20,166.40,117.30
1917,103.40,64.10,70.10,91.10,140.10,133.80,169.80,179.00,203.70,161.70,164.90,119.00
1918,105.10,65.30,70.60,90.40,134.00,132.20,165.50,174.50,204.00,164.60,162.20,121.90
1919,104.80,63.60,71.30,96.50,134.10,136.00,175.60,174.50,213.80,164.40,161.50,121.30
1920,110.10,66.90,74.20,88.20,134.10,130.20,165.10,180.00,202.80,165.50,159.60,119.60
1921,110.50,66.40,73.70,91.50,135.10,130.60,176.50,178.50,206.90,165.70,158.30,118.10
1922,109.30,67.00,74.90,90.10,133.80,129.60,166.20,180.20,201.20,165.20,157.40,123.50
1923,103.80,64.20,70.50,93.40,132.80,134.60,163.90,178.00,200.50,168.20,161.60,116.50
1924,104.90,65.30,71.00,91.30,135.70,132.80,164.50,181.20,198.80,162.70,168.60,119.90
1925,103.70,64.80,71.30,92.70,134.20,132.30,166.60,177.40,202.40,164.10,167.50,115.80
1926,107.10,64.50,72.60,89.80,135.10,128.90,169.30,180.50,198.20,169.20,157.20,117.30
1927,107.10,66.30,74.30,92.60,135.50,133.20,167.50,178.00,202.00,176.50,164.00,117.40
1928,104.90,63.80,70.80,89.20,142.00,128.90,166.50,183.30,219.30,165.10,165.20,122.00
1929,105.90,63.20,72.10,89.40,140.10,133.90,161.20,187.60,207.30,165.90,158.30,116.60
1930,114.70,63.70,71.80,89.70,136.40,133.10,160.70,176.10,203.90,164.40,163.30,119.70
1931,103.10,69.70,71.60,94.80,141.20,143.10,169.90,184.00,215.70,169.80,169.70,118.60
1932,98.20,48.50,67.70,81.60,149.70,155.80,176.10,151.10,215.90,168.00,238.10,100.10
1933,128.70,49.50,61.50,65.40,176.60,148.20,179.80,179.40,325.30,159.30,182.40,101.40
1934,74.20,37.60,65.40,69.30,131.00,85.20,146.80,168.50,154.90,115.50,138.80,147.80
1935,90.40,48.30,86.40,86.50,152.40,92.30,198.70,222.10,192.40,148.70,115.00,97.40
1936,77.20,55.80,42.00,57.50,259.50,173.00,173.60,207.70,213.80,212.20,152.00,109.80
1937,130.80,47.60,43.00,92.40,78.50,96.30,133.30,131.60,198.80,134.50,166.90,82.50
1938,91.40,46.30,59.90,71.20,150.00,152.90,147.20,214.10,211.00,134.20,240.90,129.10
1939,95.50,57.80,88.20,64.70,92.70,135.00,115.20,135.00,166.30,159.50,185.70,69.10
1940,66.60,58.20,70.80,67.30,94.70,145.20,143.40,131.00,143.30,131.10,190.00,97.40
1941,98.30,31.80,59.20,107.20,137.50,150.50,166.20,135.80,241.70,115.70,172.60,91.20
1942,83.60,69.80,54.90,126.30,131.30,128.30,157.60,138.40,294.30,161.30,264.70,93.60
1943,113.40,54.80,75.90,82.20,143.30,120.60,138.70,182.70,162.60,160.40,128.40,107.80
1944,86.10,61.40,47.90,64.30,173.40,155.10,197.40,164.60,227.60,179.10,135.80,106.30
1945,70.00,59.10,52.10,122.40,134.80,107.40,175.20,181.30,170.60,176.90,117.80,108.00
1946,91.60,56.80,47.40,78.00,179.90,102.20,134.10,152.30,176.60,138.50,135.40,102.20
1947,127.40,41.90,55.30,71.40,141.10,99.20,143.60,130.60,174.30,152.00,119.80,85.00
1948,79.50,61.10,70.80,82.40,132.80,143.10,178.80,224.90,177.60,191.00,192.30,100.50
1949,97.30,66.50,73.00,70.90,112.50,151.30,151.10,157.60,307.40,198.00,121.10,100.00
1950,144.20,60.60,74.60,112.30,148.00,154.60,129.80,184.50,184.60,191.00,137.00,122.60
1951,103.60,50.70,43.60,90.90,169.90,142.20,185.30,219.70,247.90,121.50,120.40,147.10
1952,129.30,52.00,74.00,144.90,133.60,113.30,278.10,296.00,323.00,140.10,179.90,76.40
1953,114.60,42.20,75.60,89.10,120.60,156.10,164.40,137.30,248.60,96.00,225.30,157.50
1954,142.70,89.90,79.00,134.30,95.20,103.10,146.30,241.40,331.60,289.30,103.10,125.20
1955,96.20,62.60,65.50,118.60,147.50,120.30,147.90,298.50,279.30,226.80,206.60,84.30
1956,101.70,110.50,75.30,154.80,72.80,162.90,140.40,229.50,131.70,183.90,173.30,212.30
1957,120.90,45.20,37.40,60.00,62.70,184.20,175.90,194.00,121.50,157.00,187.90,163.70
1958,56.60,38.60,24.00,138.90,320.30,208.00,275.20,170.50,257.10,242.50,177.60,111.60
1959,129.00,67.30,80.90,97.80,201.00,90.10,231.90,124.30,180.70,108.00,115.50,106.10
1960,69.40,77.80,100.70,115.30,141.40,120.10,242.80,166.90,257.00,149.70,173.60,191.00
1961,114.90,59.70,61.60,48.70,89.90,105.50,185.40,203.30,131.50,185.60,180.30,128.40
1962,152.60,69.40,59.60,136.50,97.00,194.70,155.70,199.10,201.20,162.60,94.90,86.70
1963,181.20,61.70,53.00,93.70,146.50,123.10,241.80,153.10,212.60,126.40,124.60,49.60
1964,85.40,61.70,74.20,122.30,109.40,124.90,233.70,183.10,161.10,128.50,73.00,78.70
1965,126.40,33.20,38.50,112.90,155.10,137.10,180.20,130.00,198.50,129.70,136.00,182.30
1966,67.20,95.10,113.90,102.40,204.90,136.20,242.80,141.30,205.10,124.70,168.40,121.50
1967,138.10,70.20,102.60,66.10,111.30,84.70,144.00,133.70,315.50,153.30,142.80,76.50
1968,67.90,27.70,57.20,106.60,135.20,170.50,125.60,182.30,159.80,113.20,103.50,172.00
1969,107.30,50.90,44.70,85.20,294.70,176.10,255.40,172.30,234.10,149.80,173.10,94.20
1970,43.40,41.60,44.50,65.80,154.60,225.10,251.60,258.50,170.30,193.30,166.00,231.80
1971,125.40,99.90,60.40,115.90,179.50,54.80,118.40,192.00,145.90,169.60,68.20,185.30
1972,149.60,96.40,91.40,83.40,87.30,130.40,137.50,136.00,184.90,206.80,119.10,122.70
1973,74.80,48.90,56.20,86.10,59.60,145.60,118.60,139.40,224.90,104.90,70.80,77.00
1974,153.60,76.00,125.90,71.30,95.20,81.70,93.50,134.40,247.90,158.50,194.60,59.20
1975,140.20,65.90,48.20,73.90,77.00,63.70,83.10,135.90,257.90,257.00,174.40,202.10
1976,95.00,100.90,75.70,56.40,75.00,109.00,86.70,158.40,143.50,183.80,165.10,143.20
1977,48.00,32.80,44.00,116.00,70.60,75.00,115.70,206.10,192.40,270.00,237.40,85.00
1978,87.50,36.30,93.40,77.20,152.10,120.90,165.60,197.40,152.70,152.50,159.10,84.30
1979,65.00,58.20,110.50,49.10,212.20,260.80,220.40,285.40,309.10,150.00,227.10,123.50
1980,69.20,53.60,46.30,136.90,84.70,87.30,175.60,211.70,207.00,163.70,125.20,156.20
1981,98.90,86.50,56.60,170.00,246.70,145.20,184.90,180.80,138.30,143.90,127.70,145.60
1982,114.50,88.70,67.60,95.30,139.10,100.10,153.70,174.90,213.80,162.20,189.10,130.50
1983,95.30,41.40,63.40,103.60,179.60,107.70,197.10,182.80,231.10,128.20,148.00,98.90
1984,104.40,56.10,83.60,87.60,121.10,128.10,194.70,147.50,196.40,172.90,306.80,90.90
1985,80.80,60.20,101.10,81.60,94.80,99.70,124.90,153.70,209.60,239.00,162.30,103.70
1986,135.20,21.00,83.90,108.70,242.60,109.40,112.10,171.70,112.10,147.30,331.20,113.50
1987,73.70,33.70,86.10,68.60,322.10,235.80,131.70,142.30,203.40,137.90,351.30,119.30
