Variable:,pr
Country:,Martinique
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,124.04,93.57,73.60,103.01,142.73,178.61,224.94,247.69,242.21,267.14,284.40,167.71
1902,86.96,44.03,76.41,67.32,333.49,331.71,296.35,211.53,202.19,157.23,414.15,177.87
1903,53.51,76.44,28.26,272.05,85.59,334.18,211.96,394.45,250.62,170.94,160.17,200.87
1904,189.05,86.38,112.29,56.10,142.83,66.06,228.35,195.25,376.20,237.93,80.54,130.40
1905,97.22,57.47,102.60,84.18,83.12,173.26,139.61,190.36,306.33,349.89,320.53,73.79
1906,84.44,61.27,60.46,103.70,122.10,241.54,228.70,246.31,383.78,230.20,277.92,94.42
1907,81.53,57.23,71.58,86.16,145.60,117.31,199.34,171.26,175.90,289.52,172.03,183.55
1908,73.89,12.85,29.25,95.35,41.07,194.15,252.32,140.59,234.93,162.26,98.28,315.22
1909,124.04,93.57,73.60,103.01,142.73,178.61,224.94,247.69,242.21,267.14,284.40,167.71
1910,141.65,142.62,100.68,11.32,390.04,216.49,235.44,264.51,186.50,86.99,131.07,92.74
1911,124.04,93.57,73.60,103.01,142.73,178.61,224.94,247.69,242.21,267.14,284.40,167.71
1912,124.04,93.57,73.60,103.01,142.73,178.61,224.94,247.69,242.21,267.14,284.40,167.71
1913,124.04,93.57,73.60,103.01,142.73,178.61,224.94,247.69,242.21,267.14,284.40,167.71
1914,124.04,93.57,73.60,103.01,142.73,178.61,224.94,247.69,242.21,267.14,284.40,167.71
1915,124.04,93.57,73.60,103.01,142.73,178.61,224.94,247.69,242.21,267.14,284.40,167.71
1916,124.04,93.57,73.60,103.01,142.73,178.61,224.94,247.69,242.21,267.14,284.40,167.71
1917,124.04,93.57,73.60,103.01,142.73,178.61,224.94,247.69,242.21,267.14,284.40,167.71
1918,124.04,93.57,73.60,103.01,142.73,178.61,224.94,247.69,242.21,267.14,284.40,167.71
1919,124.04,93.57,73.60,103.01,142.73,178.61,224.94,247.69,242.21,267.14,284.40,167.71
1920,124.04,93.57,73.60,103.01,142.73,178.61,224.94,247.69,242.21,267.14,284.40,167.71
1921,124.04,93.57,73.60,103.01,142.73,178.61,224.94,247.69,242.21,267.14,284.40,167.71
1922,124.04,93.57,73.60,103.01,142.73,178.61,224.94,247.69,242.21,267.14,284.40,167.71
1923,124.04,93.57,73.60,103.01,142.73,178.61,224.94,247.69,242.21,267.14,284.40,167.71
1924,124.04,93.57,73.60,103.01,142.73,178.61,224.94,247.69,242.21,267.14,284.40,167.71
1925,124.04,93.57,73.60,103.01,142.73,178.61,224.94,247.69,242.21,267.14,284.40,167.71
1926,124.04,93.57,73.60,103.01,142.73,178.61,224.94,247.69,242.21,267.14,284.40,167.71
1927,124.04,93.57,73.60,103.01,142.73,178.61,224.94,247.69,242.21,267.14,284.40,167.71
1928,124.04,93.57,73.60,103.01,142.73,178.61,224.94,247.69,242.21,267.14,284.40,167.71
1929,124.04,93.57,73.60,103.01,142.73,178.61,224.94,247.69,242.21,267.14,284.40,167.71
1930,124.04,93.57,73.60,103.01,142.73,178.61,224.94,247.69,242.21,267.14,284.40,167.71
1931,124.04,93.57,73.60,103.01,142.73,178.61,224.94,247.69,242.21,267.14,284.40,167.71
1932,101.90,55.75,67.10,68.81,158.71,220.89,223.30,161.37,257.66,269.13,546.21,117.17
1933,179.48,58.41,52.68,42.81,196.66,212.92,262.77,240.91,497.43,255.68,344.15,120.77
1934,51.59,25.07,59.13,58.92,139.07,59.92,160.46,206.73,133.41,121.89,216.37,235.12
1935,92.38,50.77,106.58,91.64,174.35,74.18,305.46,352.80,208.19,208.72,142.13,95.11
1936,63.83,73.28,19.84,34.45,366.74,274.12,211.86,299.48,248.35,403.82,269.65,125.76
1937,175.49,52.25,18.91,107.02,30.68,90.52,148.08,116.45,245.72,183.75,302.38,75.57
1938,98.65,46.98,50.56,64.01,175.73,191.23,185.86,341.13,267.71,166.10,528.87,186.17
1939,103.23,76.88,108.60,47.90,54.92,196.93,103.26,134.70,153.07,241.62,364.03,37.56
1940,38.87,61.41,71.43,44.04,44.13,200.89,172.79,127.93,109.99,147.56,383.01,105.62
1941,103.33,10.15,48.44,138.45,125.22,215.10,214.84,131.10,329.66,119.20,458.06,104.78
1942,72.31,105.69,37.42,157.04,129.82,139.29,196.96,137.67,449.69,255.08,614.88,116.82
1943,92.58,61.51,83.30,106.92,115.08,125.67,156.40,272.37,193.68,225.82,232.57,115.49
1944,88.88,99.23,40.12,70.88,280.51,142.21,302.54,124.62,193.58,308.77,250.41,149.20
1945,64.27,111.84,49.08,220.06,155.60,111.46,186.06,236.01,219.58,262.51,215.13,125.02
1946,133.56,63.81,28.71,73.62,223.27,100.16,146.60,180.33,187.88,166.60,207.17,126.88
1947,169.01,30.05,42.33,56.25,152.28,91.50,222.56,125.10,160.68,155.25,137.02,96.97
1948,61.78,72.01,91.94,71.63,78.45,248.39,286.77,354.31,212.12,401.41,570.13,143.88
1949,67.15,123.78,71.42,69.15,66.49,177.87,212.90,146.08,393.45,297.73,157.96,110.08
1950,189.44,78.90,106.06,138.74,113.03,297.42,99.41,218.54,207.97,266.37,208.50,237.15
1951,119.34,103.93,81.40,228.24,219.86,213.96,175.00,388.36,418.52,117.97,365.42,282.27
1952,46.60,50.72,95.56,137.98,146.44,173.30,265.80,263.45,466.41,236.55,430.28,119.42
1953,141.45,81.47,90.92,69.57,192.05,167.03,324.68,267.56,284.14,132.74,327.81,195.59
1954,88.03,82.10,60.31,189.60,176.45,163.63,198.88,215.86,340.87,397.68,255.27,133.87
1955,115.63,100.50,32.15,44.60,144.82,204.84,234.78,232.59,436.81,340.89,569.67,155.54
1956,220.60,190.79,109.07,190.05,125.90,231.21,207.29,299.92,202.34,300.69,311.34,271.43
1957,193.67,65.30,29.42,127.06,84.45,173.35,248.64,279.75,175.18,332.86,364.79,185.39
1958,66.63,59.47,11.00,135.49,147.06,355.79,385.26,221.91,409.29,279.32,252.76,196.14
1959,104.24,136.87,109.79,136.43,210.83,127.32,171.74,67.38,248.02,295.14,205.03,79.67
1960,114.46,107.03,100.10,72.65,137.71,139.36,330.75,193.57,200.73,290.07,193.64,173.28
1961,136.24,96.06,61.89,33.23,97.77,171.83,305.72,235.13,140.34,315.21,195.58,189.92
1962,210.60,79.52,30.27,104.69,82.84,259.19,249.49,295.87,271.31,142.99,182.00,128.86
1963,143.22,86.14,62.44,89.55,171.32,158.17,371.34,131.17,379.64,181.68,188.56,67.95
1964,71.22,63.51,66.66,170.23,152.43,238.35,239.94,281.70,225.38,213.00,133.78,94.95
1965,163.79,63.50,50.83,150.61,92.52,142.77,271.78,153.66,249.81,184.42,182.07,154.02
1966,26.52,211.20,96.29,127.21,355.62,220.26,401.89,276.32,279.08,273.16,344.72,194.11
1967,232.03,122.28,146.55,106.00,165.53,89.02,173.64,211.75,494.58,234.38,272.23,99.14
