Variable:,pr
Country:,"New Caledonia"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,94.01,145.29,506.50,64.85,89.26,63.41,92.17,39.92,60.59,101.20,50.59,44.45
1902,282.24,99.23,212.17,225.66,54.26,76.93,121.43,43.89,34.15,54.48,42.87,24.04
1903,79.96,117.56,100.39,52.03,98.21,147.16,55.43,46.36,54.55,61.11,95.68,200.96
1904,190.59,630.40,350.66,169.35,187.95,168.10,119.09,122.14,39.42,25.19,66.68,46.16
1905,141.42,160.68,145.33,64.85,30.93,88.16,32.18,48.48,28.85,97.04,118.20,32.56
1906,55.38,109.86,238.25,43.49,159.89,67.21,86.02,38.86,37.92,81.85,119.82,61.47
1907,208.15,208.43,86.88,166.14,42.15,110.99,110.53,69.84,30.35,22.40,36.09,81.89
1908,71.17,196.11,128.85,154.41,172.26,375.56,103.17,77.29,69.66,18.28,404.79,42.76
1909,290.97,349.91,370.05,110.50,230.47,78.44,90.94,102.79,271.76,52.19,49.67,117.84
1910,444.80,371.47,610.89,292.01,157.06,194.75,127.78,48.27,27.18,74.51,384.27,235.47
1911,125.18,223.13,222.93,126.00,117.49,66.37,178.42,176.66,31.47,56.32,8.17,160.75
1912,345.49,104.08,364.93,210.27,305.22,27.52,77.52,126.42,32.17,42.70,140.02,154.59
1913,392.40,57.89,181.37,146.64,32.42,135.35,191.12,99.24,159.24,62.78,17.36,26.57
1914,291.63,398.44,162.66,18.41,126.35,22.88,154.09,37.09,19.83,17.26,29.09,139.95
1915,100.61,134.52,94.84,57.14,39.98,359.25,115.62,46.37,105.33,200.91,169.04,316.63
1916,238.37,159.31,154.11,64.09,192.01,70.12,113.28,63.79,243.17,298.90,344.59,160.81
1917,155.07,410.83,549.37,230.78,278.33,181.95,231.91,237.23,107.45,275.55,42.70,209.80
1918,279.90,93.84,355.42,118.81,157.78,19.62,39.67,10.40,111.02,12.75,166.51,303.05
1919,218.09,67.19,183.14,115.60,150.73,40.40,249.02,43.40,100.37,101.23,42.15,58.17
1920,132.46,230.14,186.68,105.13,70.74,63.55,90.52,42.90,48.03,46.82,220.29,280.88
1921,232.36,68.85,98.92,44.25,100.27,41.95,62.11,69.03,51.93,85.29,11.95,99.93
1922,314.70,320.40,130.10,19.60,308.90,112.64,132.21,203.50,187.98,21.67,34.41,266.63
1923,501.85,203.16,28.76,249.53,143.16,91.79,176.92,130.98,73.72,3.60,17.53,73.38
1924,87.66,88.99,124.26,155.99,237.74,255.62,119.67,67.59,43.99,124.53,138.42,154.75
1925,248.01,167.15,234.65,203.37,276.67,134.98,183.40,41.53,154.91,46.44,38.64,128.60
1926,332.64,98.75,45.84,286.77,113.69,267.42,187.42,23.03,76.25,163.98,26.29,111.11
1927,121.16,75.57,251.26,183.82,187.94,62.74,83.11,151.46,77.76,27.14,9.85,193.95
1928,110.60,237.83,261.05,260.62,144.20,162.17,291.16,36.66,122.18,62.94,49.91,242.17
1929,228.71,309.68,240.86,198.36,16.68,387.96,119.79,40.19,45.55,4.85,14.02,66.47
1930,231.75,279.23,530.04,77.40,45.55,115.98,71.42,89.26,42.82,19.29,14.64,58.24
1931,87.30,211.70,100.79,69.64,63.69,122.35,174.50,169.25,4.24,57.71,65.88,278.37
1932,63.11,259.34,177.59,178.44,85.35,222.31,71.38,70.80,206.94,197.92,28.57,141.85
1933,195.78,179.38,373.86,95.29,255.73,112.70,110.39,115.60,120.52,171.40,146.51,346.56
1934,262.24,93.68,297.92,71.72,183.72,110.74,26.30,162.87,78.89,104.26,78.93,178.26
1935,164.52,224.48,494.16,363.38,96.98,33.34,284.55,40.66,22.63,40.09,14.09,136.53
1936,224.31,145.03,168.38,93.41,63.81,66.89,48.49,73.97,34.36,119.10,80.56,147.10
1937,210.03,236.46,401.72,92.88,83.68,161.48,92.12,170.12,39.04,41.00,207.55,273.22
1938,297.61,279.17,417.49,353.29,154.72,254.00,119.30,193.83,56.42,106.49,92.18,258.01
1939,33.03,306.65,239.71,84.89,159.61,83.14,73.14,151.26,53.15,28.63,28.50,9.73
1940,206.09,297.19,365.82,20.36,59.18,78.01,185.67,81.31,17.34,72.31,12.80,172.11
1941,145.15,280.89,96.79,92.03,124.17,103.97,57.57,41.23,32.72,25.45,77.05,55.19
1942,41.11,83.42,245.87,136.23,78.06,60.41,45.36,79.64,30.29,148.64,43.90,118.85
1943,231.97,157.07,449.55,202.66,57.33,122.63,111.12,59.02,169.98,107.06,98.16,300.90
1944,280.51,245.48,70.38,24.05,84.54,73.73,173.05,159.83,87.04,63.04,24.46,63.12
1945,267.33,69.97,245.12,257.50,132.33,75.37,115.20,25.81,212.91,30.98,296.33,103.93
1946,130.00,234.03,548.31,257.48,43.43,212.32,89.38,91.06,33.45,33.75,27.18,76.84
1947,268.35,106.57,95.51,456.25,138.52,48.95,51.23,28.77,92.01,234.53,190.08,106.40
1948,696.31,35.20,609.30,245.71,39.05,215.95,47.84,213.06,92.30,38.03,23.14,236.32
1949,279.76,119.13,590.24,259.11,247.38,149.39,82.13,73.70,39.65,22.91,45.52,115.13
1950,313.01,175.21,260.50,138.05,255.39,216.73,110.31,130.98,192.77,164.99,86.72,419.07
1951,275.54,454.95,372.47,24.47,51.92,246.45,174.50,96.53,98.78,85.28,49.25,288.93
1952,172.97,172.53,281.40,125.88,96.84,141.26,242.98,155.80,64.59,192.34,122.34,254.89
1953,104.88,205.17,84.62,89.33,125.02,37.25,77.90,100.79,109.42,39.19,60.27,105.42
1954,306.73,196.31,196.55,160.16,304.13,163.63,56.00,22.95,106.27,125.33,220.40,262.81
1955,69.00,186.60,462.90,131.88,177.71,40.43,62.37,89.44,184.48,71.90,90.28,446.29
1956,404.96,284.59,229.07,284.11,233.26,108.06,68.22,178.22,296.44,79.25,99.10,210.73
1957,489.64,204.61,96.67,69.78,44.27,42.90,37.96,151.11,13.53,2.24,61.50,124.06
1958,443.39,134.59,278.63,136.72,41.03,202.78,113.07,37.20,201.52,72.87,79.11,46.43
1959,492.37,109.80,265.50,47.03,135.00,86.33,129.49,28.17,38.62,41.48,160.23,236.35
1960,77.05,102.88,268.62,174.01,293.68,107.66,140.19,106.39,83.83,39.40,86.44,42.62
1961,188.67,261.79,289.36,173.07,124.28,152.41,131.43,312.28,53.98,114.67,87.26,258.53
1962,233.53,161.23,146.08,349.76,341.08,87.39,179.96,120.31,25.80,69.30,143.59,144.95
1963,305.79,256.90,168.44,182.70,231.74,156.82,111.50,115.25,43.18,59.68,26.21,61.33
1964,201.67,214.24,210.15,265.12,109.15,277.10,35.90,123.41,12.59,77.51,191.92,79.39
1965,241.99,345.87,196.03,66.78,22.80,162.40,63.49,51.90,98.91,21.48,34.58,227.65
1966,43.23,301.22,150.75,43.07,56.19,183.14,154.60,16.53,17.34,110.80,163.48,107.88
1967,547.77,243.39,580.77,321.05,212.44,196.64,305.08,125.67,304.96,115.64,231.10,243.29
1968,357.71,78.52,118.18,134.42,100.31,108.68,32.74,78.55,22.24,18.37,34.63,147.24
1969,47.88,390.13,237.30,22.71,129.99,114.72,36.04,78.09,45.25,26.89,132.02,66.37
1970,217.46,74.20,209.31,119.44,107.85,181.19,114.16,155.32,90.37,152.15,214.24,52.23
1971,338.50,271.82,358.09,146.22,163.17,198.43,107.09,15.12,113.56,64.53,176.65,60.43
1972,399.20,390.62,372.76,41.98,65.61,269.78,20.41,42.32,58.36,41.95,68.43,27.24
1973,101.57,77.34,157.23,21.33,82.15,41.00,266.01,69.08,62.67,56.25,101.41,122.76
1974,290.50,421.22,208.27,74.08,85.77,186.11,119.55,19.05,52.49,300.61,204.13,42.74
1975,234.28,275.49,417.53,366.18,211.03,216.26,34.66,103.10,49.49,72.13,114.92,205.36
1976,478.86,126.59,314.56,114.73,73.83,102.46,101.26,85.82,207.21,229.35,61.57,121.66
1977,152.96,96.39,64.52,23.08,61.70,82.68,83.51,109.57,112.98,9.96,143.82,159.33
1978,174.41,111.56,191.38,140.74,140.10,112.93,188.20,157.32,35.85,38.56,119.33,172.09
1979,163.50,176.56,158.82,104.29,126.47,136.43,89.45,10.19,22.28,91.75,89.72,85.77
1980,195.54,305.37,138.70,189.53,111.18,53.56,99.95,34.01,78.15,67.78,16.26,135.50
1981,152.12,248.04,300.47,44.49,79.79,55.24,22.41,55.96,27.07,36.49,158.24,529.40
1982,172.03,290.81,304.51,123.48,50.26,96.95,56.37,55.73,19.21,67.42,128.90,201.79
1983,164.77,137.50,186.33,139.50,25.74,93.92,58.86,79.55,42.05,139.96,104.06,126.98
1984,124.41,269.06,24.05,86.00,189.34,255.38,62.55,40.72,57.93,266.40,233.56,75.08
1985,110.96,221.22,275.71,155.80,207.14,119.58,153.91,62.97,209.78,98.47,91.32,122.03
1986,166.35,144.35,398.43,38.73,291.11,113.52,40.86,63.14,28.44,4.93,145.85,287.49
1987,39.68,96.49,97.78,53.57,55.38,73.89,116.59,108.72,35.28,141.50,142.43,92.56
1988,402.30,221.14,200.22,161.21,211.24,165.64,114.35,55.33,102.87,9.33,314.87,224.20
1989,690.36,262.81,235.25,207.04,131.07,193.34,93.86,145.56,120.77,34.81,49.97,295.69
1990,598.51,315.05,322.88,79.76,35.57,106.29,71.89,115.09,39.86,57.16,238.66,162.20
1991,159.55,203.53,409.49,143.49,116.10,193.78,36.00,17.17,39.01,27.60,15.42,108.55
1992,138.61,317.66,454.44,216.82,53.27,225.01,48.61,62.06,42.62,28.28,21.17,48.15
1993,56.09,100.26,285.01,59.54,25.64,37.22,46.63,25.07,17.89,18.63,68.68,114.68
1994,299.56,194.77,107.68,54.90,12.22,103.94,50.06,76.97,10.09,2.24,113.94,49.06
1995,105.56,83.52,389.27,306.10,51.42,71.48,26.41,124.96,27.56,42.49,15.72,233.78
1996,271.24,103.43,551.01,107.13,150.84,97.98,220.42,151.13,155.27,42.25,148.17,105.92
1997,195.70,116.71,92.90,51.74,179.47,193.78,283.11,37.48,12.30,29.41,29.74,144.45
1998,73.17,119.28,215.71,196.10,215.38,87.16,44.83,96.21,93.88,36.57,222.64,231.55
1999,427.86,354.33,183.92,217.94,227.09,65.37,155.95,143.16,145.05,35.28,101.31,251.43
2000,303.51,248.56,160.48,134.77,173.79,236.67,48.58,80.83,14.04,142.05,88.76,33.71
2001,237.56,293.88,271.52,140.53,60.61,68.21,65.77,124.38,70.62,112.25,81.40,27.86
2002,224.97,254.08,377.99,168.39,82.47,103.09,63.89,104.04,25.37,22.32,10.19,180.18
2003,119.71,120.51,299.72,206.02,158.53,96.77,185.02,42.62,46.22,100.00,55.47,282.63
2004,50.98,122.79,321.31,76.58,164.13,299.85,55.70,55.10,22.61,28.40,25.87,130.44
2005,330.96,90.99,216.73,222.07,245.09,42.98,109.46,199.20,23.03,22.08,47.79,24.85
2006,252.73,217.76,205.54,168.78,205.22,44.68,36.51,83.46,47.60,21.53,129.38,13.12
2007,97.34,82.24,253.46,97.87,96.43,158.92,64.80,82.23,182.88,44.86,22.51,164.14
2008,271.97,333.30,544.77,294.71,119.30,23.31,62.59,70.92,87.80,87.29,178.30,145.37
2009,136.20,474.57,546.94,140.04,220.05,150.45,222.17,41.41,83.94,40.64,28.74,42.31
2010,216.84,148.24,103.93,61.83,212.53,103.72,36.14,158.18,6.35,205.98,82.54,182.42
2011,587.43,165.64,237.00,307.72,203.74,45.41,132.35,167.17,48.07,70.07,46.69,363.85
2012,182.97,188.42,414.22,102.93,55.58,227.54,54.62,110.75,153.49,92.79,147.64,181.45
2013,270.46,69.85,212.49,256.95,61.59,154.98,152.75,51.20,72.10,62.67,93.88,97.16
2014,345.66,203.81,72.32,14.99,115.10,20.44,60.75,87.65,79.50,137.79,74.85,172.04
2015,190.31,348.02,92.86,226.07,124.01,59.94,124.92,40.40,37.85,37.83,83.07,99.32
2016,66.97,274.74,338.29,51.66,129.38,182.03,27.81,116.70,5.34,46.57,327.83,54.96
2017,197.38,213.49,94.85,181.10,53.00,53.89,27.01,39.98,3.57,8.17,15.85,104.41
2018,235.23,101.21,431.91,147.27,128.28,66.26,89.46,129.66,37.84,31.72,92.79,98.65
2019,121.19,406.85,89.33,196.01,54.59,75.66,43.39,50.00,44.01,8.44,8.21,69.95
2020,97.48,283.44,201.22,155.24,136.01,18.18,37.30,47.63,55.41,80.18,135.65,197.78
2021,663.02,287.60,100.48,349.01,185.48,28.83,25.39,29.64,48.39,261.86,67.74,407.30
