Variable:,pr
Country:,Nicaragua
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,74.63,52.25,49.25,32.36,168.63,346.50,457.65,327.48,304.02,338.85,210.51,118.88
1902,78.81,71.20,49.89,85.74,220.64,305.23,323.76,241.69,259.37,252.07,162.61,83.30
1903,77.84,34.17,25.70,41.60,235.58,369.18,354.20,346.60,257.30,285.74,146.74,287.75
1904,264.13,71.20,82.60,62.28,197.76,374.57,303.09,266.39,245.26,256.37,149.73,140.42
1905,70.13,33.51,54.48,39.68,207.88,336.70,534.09,274.82,263.07,294.67,152.72,162.12
1906,87.82,43.53,23.52,73.26,173.14,426.91,373.45,280.24,247.77,277.36,142.06,108.58
1907,62.07,36.78,24.62,32.06,160.83,345.91,347.18,246.99,243.72,269.76,165.98,119.04
1908,62.07,33.51,29.08,49.53,220.42,395.19,369.08,268.14,253.99,329.58,156.03,137.71
1909,118.70,44.63,22.65,69.14,187.39,324.15,450.94,359.48,282.78,279.40,174.14,201.91
1910,155.06,33.51,37.47,42.96,166.76,300.51,397.07,270.82,282.85,280.35,164.73,124.50
1911,62.07,33.51,22.65,68.44,249.02,364.97,301.62,269.27,229.38,267.84,162.56,129.18
1912,62.07,33.51,22.65,38.79,190.10,329.97,289.88,294.36,299.30,280.87,194.64,111.70
1913,105.52,33.95,33.76,55.39,184.84,326.39,367.42,342.51,262.60,284.12,196.32,143.07
1914,84.60,36.78,23.07,53.93,170.74,280.60,250.50,239.60,255.68,290.26,205.57,102.48
1915,63.69,43.53,82.49,41.49,203.79,350.82,357.21,306.22,289.14,306.04,230.69,173.98
1916,142.83,35.04,31.58,62.06,216.88,330.40,428.68,387.43,241.21,260.30,300.22,150.10
1917,112.27,33.73,23.42,52.96,228.97,359.19,419.52,311.82,274.61,327.06,158.43,157.90
1918,69.15,34.17,36.15,75.38,178.65,341.08,304.26,259.40,299.89,257.72,133.69,81.89
1919,62.07,33.51,22.65,73.34,192.83,313.95,336.18,249.84,359.65,290.80,171.47,86.11
1920,63.69,33.73,49.68,47.38,182.72,311.85,300.08,302.40,272.36,323.34,142.55,119.66
1921,62.07,74.25,22.76,56.16,165.10,313.87,289.20,287.37,278.16,308.61,148.97,121.07
1922,138.33,34.17,22.65,34.13,202.36,337.47,247.31,258.72,261.62,355.67,111.29,118.41
1923,62.07,33.51,22.65,46.53,187.83,369.73,323.82,237.89,219.73,293.47,118.84,111.39
1924,62.07,86.45,32.68,49.46,168.21,401.58,419.39,382.01,276.28,305.08,190.62,101.56
1925,75.27,33.51,22.76,79.46,160.76,328.10,322.77,262.53,323.99,264.60,165.38,114.20
1926,75.16,35.79,22.85,34.66,170.68,276.30,318.62,264.44,274.94,324.91,231.48,211.01
1927,109.78,43.01,26.02,49.63,204.67,340.06,339.38,246.50,305.54,323.18,154.75,94.70
1928,74.22,51.40,36.89,36.96,174.08,360.86,371.37,293.37,236.35,243.10,220.91,139.42
1929,84.93,48.69,30.51,36.76,171.70,354.36,313.19,254.73,240.76,249.47,152.62,103.74
1930,68.75,42.90,36.92,59.26,160.96,328.79,295.21,261.42,232.31,236.55,118.63,96.33
1931,76.82,45.08,31.65,36.70,205.33,341.27,382.43,249.64,283.93,249.26,169.69,128.94
1932,86.21,43.59,31.99,47.28,194.09,353.59,373.25,305.76,247.72,256.81,205.25,136.58
1933,97.99,44.46,27.74,37.29,194.09,333.91,416.19,373.98,332.30,270.43,163.88,143.62
1934,113.78,53.07,40.26,46.67,204.48,330.94,337.44,342.58,246.78,310.15,149.94,108.06
1935,91.55,61.89,30.49,51.68,192.15,334.32,374.30,368.52,261.28,305.17,172.84,168.85
1936,72.80,49.16,32.56,53.45,203.86,401.98,361.41,280.64,251.46,286.39,181.49,101.07
1937,144.36,33.05,37.43,43.06,215.86,348.72,336.86,275.82,387.81,376.03,207.24,243.63
1938,118.38,30.35,48.14,42.59,236.71,349.92,329.14,450.20,320.97,297.65,193.97,100.50
1939,54.27,31.59,33.19,32.62,156.83,353.47,287.27,223.65,252.53,279.31,223.13,200.15
1940,116.01,38.21,38.41,35.97,177.88,335.35,267.54,229.75,301.75,289.50,146.01,85.28
1941,89.38,32.90,22.97,50.12,193.39,322.35,454.65,264.20,295.74,208.67,211.83,186.32
1942,65.63,59.28,66.58,33.48,241.57,346.51,321.25,295.73,294.07,314.71,160.69,272.22
1943,130.34,43.79,46.63,61.61,225.08,389.44,317.33,323.55,280.28,299.59,238.38,187.07
1944,161.57,40.11,39.51,54.22,186.77,428.73,393.23,381.23,269.73,257.29,244.09,139.77
1945,64.00,31.59,19.26,38.34,231.13,329.86,339.97,345.74,248.07,241.90,204.77,128.80
