Variable:,pr
Country:,Norway
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,74.78,54.32,58.57,39.41,45.96,66.30,36.82,118.69,48.87,132.69,104.25,82.05
1902,150.62,52.52,67.05,19.96,44.84,27.36,86.35,116.64,83.69,95.37,57.79,77.15
1903,77.48,127.23,108.13,56.43,58.50,54.76,80.40,131.45,68.30,104.47,103.80,61.83
1904,73.96,39.25,47.56,58.50,50.77,56.15,59.22,82.53,50.54,93.29,82.11,103.11
1905,129.86,102.70,47.99,55.57,52.42,58.53,93.90,88.22,108.97,81.76,69.52,108.71
1906,93.82,65.84,110.78,53.05,81.02,44.85,78.37,121.38,78.60,90.79,101.47,79.77
1907,115.70,89.75,72.13,36.61,58.67,81.64,86.27,105.86,105.73,105.22,51.07,73.43
1908,114.81,106.07,40.27,38.90,48.75,55.98,90.56,89.07,75.09,78.07,97.31,81.03
1909,112.91,49.76,43.54,49.45,53.58,51.31,90.82,155.31,80.41,156.06,89.85,104.52
1910,105.44,70.76,60.91,85.91,55.07,66.86,63.43,73.56,89.74,90.01,77.17,77.31
1911,114.85,95.36,54.01,75.09,25.47,70.28,62.99,65.70,122.45,95.40,77.63,71.77
1912,58.61,48.75,62.70,42.36,63.67,65.78,45.88,129.43,88.82,85.11,110.16,123.17
1913,54.99,82.00,96.79,51.70,51.52,52.13,77.46,72.39,50.46,97.66,120.29,135.57
1914,121.64,87.74,68.09,87.87,62.39,53.25,56.70,72.87,122.54,53.17,81.87,108.44
1915,75.95,52.49,61.37,66.88,48.79,47.12,127.15,95.30,73.90,20.28,99.66,56.74
1916,143.61,52.76,47.06,50.05,52.94,73.47,87.54,68.03,94.87,131.38,129.81,72.61
1917,34.24,67.27,49.67,55.46,51.52,80.51,55.82,114.50,152.92,104.90,119.06,108.62
1918,108.73,69.46,51.62,21.12,41.06,95.90,75.85,95.07,140.95,91.76,79.17,66.86
1919,59.51,44.07,58.40,76.37,20.05,81.03,50.61,106.98,163.65,75.07,51.14,45.13
1920,118.23,120.11,112.29,62.78,70.13,62.40,131.82,106.10,84.91,35.27,88.97,57.90
1921,142.43,76.52,108.45,52.05,90.92,81.70,87.49,117.88,99.66,154.24,54.40,114.97
1922,51.21,53.59,58.07,52.19,84.24,67.56,94.03,110.95,84.80,65.82,120.33,100.97
1923,134.55,30.01,33.49,23.13,79.11,67.01,69.34,96.13,154.00,138.23,87.57,71.37
1924,74.71,79.64,57.83,41.44,61.10,85.64,85.72,116.49,137.48,90.02,80.89,122.92
1925,140.89,94.80,63.61,45.78,62.16,67.52,80.31,93.39,123.28,130.60,86.79,83.22
1926,53.58,52.05,89.73,57.55,66.26,72.27,90.03,104.18,107.75,85.25,113.22,126.34
