Variable:,pr
Country:,"New Zealand"
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,150.02,114.59,133.75,103.10,106.71,130.90,183.70,112.06,119.42,131.86,87.07,168.94
1902,112.22,70.50,146.57,138.10,155.39,127.71,84.24,95.57,161.47,122.00,94.07,134.31
1903,183.21,96.64,94.26,117.43,188.02,99.75,137.42,151.24,120.12,114.89,146.26,104.44
1904,85.97,103.14,239.57,104.86,130.19,183.13,110.94,136.77,188.02,208.96,118.02,183.32
1905,102.17,74.30,127.87,108.78,114.76,204.36,122.53,101.36,209.35,193.30,122.43,117.56
1906,134.56,144.59,123.54,123.04,169.43,130.24,169.58,107.20,133.53,82.85,153.05,78.96
1907,134.05,127.37,117.99,112.25,140.72,102.17,132.07,145.68,185.39,163.47,100.99,122.75
1908,57.08,45.01,207.23,113.00,134.16,147.49,184.33,108.42,121.68,160.01,85.05,161.83
1909,174.31,56.52,164.60,118.37,122.33,142.73,158.61,175.39,119.51,207.93,100.38,119.74
1910,190.99,121.65,176.51,94.90,144.86,179.27,150.66,173.73,98.07,130.28,111.84,142.33
1911,122.59,116.42,84.58,140.14,116.80,134.50,116.29,85.26,145.33,142.94,143.46,200.66
1912,101.72,115.00,150.07,178.11,100.90,172.65,165.90,104.28,200.94,148.16,132.07,61.71
1913,157.13,80.24,109.87,83.50,185.56,93.29,137.76,152.43,100.94,148.81,154.53,181.83
1914,115.68,77.07,89.09,133.60,180.75,123.87,104.09,74.64,88.70,89.24,127.59,128.27
1915,129.13,90.28,165.20,94.88,125.90,116.21,149.51,106.24,129.36,138.77,161.54,101.60
1916,92.30,90.72,123.10,149.07,165.11,126.73,182.91,188.65,119.49,162.51,169.50,117.77
1917,103.02,168.74,118.47,182.38,178.83,140.53,185.24,146.34,209.62,176.30,84.22,139.69
1918,132.36,146.66,148.77,125.27,121.77,186.08,177.78,132.04,122.15,209.22,134.29,112.13
1919,146.71,56.45,83.02,91.62,113.01,134.04,128.50,114.74,141.55,129.53,121.85,93.97
1920,166.61,144.81,109.19,203.15,157.78,157.05,114.42,163.41,171.48,138.68,141.29,117.56
1921,141.96,69.69,92.47,102.12,120.70,166.51,129.98,127.55,154.42,214.75,115.37,151.89
1922,122.41,98.68,191.54,114.34,98.27,116.25,79.13,112.13,126.71,142.30,163.94,148.01
1923,208.95,107.56,94.02,126.02,180.58,165.29,111.83,110.17,135.77,139.78,75.28,120.16
1924,148.00,109.58,128.91,138.51,157.80,147.34,112.21,116.51,130.91,208.64,146.80,217.09
1925,114.39,110.02,103.76,137.20,146.36,197.25,148.38,183.53,176.88,143.07,124.57,110.60
1926,140.61,113.89,131.78,88.46,165.16,122.07,93.02,131.93,106.49,212.18,182.14,171.77
1927,86.85,95.33,150.86,108.35,154.55,165.55,157.40,172.20,120.58,144.88,143.03,101.69
1928,57.69,90.56,108.68,157.88,143.60,163.27,137.47,163.50,175.99,188.69,111.71,228.53
1929,130.51,49.80,179.73,125.86,104.31,174.75,166.00,131.19,115.16,116.86,160.00,174.60
1930,214.26,102.14,58.24,93.17,111.42,110.37,115.73,140.37,159.91,149.12,125.63,91.20
1931,175.61,85.39,81.63,157.99,100.65,158.34,160.80,116.78,144.34,128.25,83.84,109.19
1932,121.64,178.47,87.37,124.08,130.96,117.92,94.84,119.72,96.41,195.59,81.52,128.95
1933,122.51,143.17,79.81,110.76,179.05,104.21,173.86,124.17,128.30,127.08,95.59,121.00
1934,122.01,133.51,99.65,127.35,139.16,145.94,143.10,144.78,120.78,142.62,93.75,70.40
1935,119.29,158.00,136.40,116.26,164.71,159.53,152.59,128.06,120.64,168.37,132.98,101.34
1936,137.53,139.46,167.01,118.31,88.81,104.91,165.88,200.73,143.43,130.85,183.18,148.95
1937,150.58,118.29,120.72,104.81,167.15,141.05,121.14,82.46,136.57,79.14,108.55,151.64
1938,164.12,187.82,102.10,209.55,102.88,154.12,142.48,153.98,148.04,130.75,137.41,202.36
1939,122.17,52.70,64.57,100.14,95.80,167.52,204.61,185.43,133.15,110.70,134.17,130.24
1940,228.77,132.37,72.24,125.23,161.08,102.49,93.59,99.86,169.95,135.73,115.67,97.34
1941,138.13,123.93,177.50,91.17,102.42,167.99,158.70,204.57,136.49,217.81,119.91,128.92
1942,101.67,77.33,138.21,100.46,183.39,70.30,198.71,132.66,156.40,144.04,124.68,130.16
1943,113.87,138.93,89.76,84.65,92.35,229.50,126.29,150.71,258.47,162.22,80.53,82.52
1944,84.98,150.99,156.25,173.66,132.49,145.01,144.07,126.01,138.85,186.67,130.71,224.46
1945,141.01,195.37,137.25,114.37,150.74,119.51,123.13,183.16,139.65,156.45,74.75,138.72
1946,97.35,81.89,159.33,131.78,185.35,146.30,149.04,206.86,222.74,193.46,163.66,158.14
1947,106.51,106.70,105.18,161.37,90.65,233.47,141.92,132.99,185.36,214.34,80.78,92.77
1948,133.67,88.10,134.87,114.02,206.44,119.93,161.94,98.97,120.46,178.01,151.59,90.56
1949,132.07,86.99,109.30,135.62,152.14,153.40,143.45,109.58,89.06,134.84,112.62,168.82
1950,108.01,92.39,94.97,130.89,113.81,157.00,129.93,153.43,104.89,184.77,99.91,177.64
1951,133.47,126.88,134.71,197.08,144.63,89.94,164.01,154.20,71.48,167.42,173.41,143.32
1952,125.99,117.87,96.71,91.26,146.30,164.52,74.16,152.42,129.55,174.29,222.57,117.40
1953,124.59,103.73,105.43,157.26,164.93,177.07,126.45,167.09,121.84,125.71,106.81,132.69
1954,56.76,104.62,218.16,107.47,146.49,134.19,167.78,161.06,100.27,77.78,103.03,176.47
1955,77.61,164.05,121.07,116.88,174.71,182.99,168.66,151.68,133.29,169.37,113.79,80.65
1956,136.66,105.27,103.28,164.55,173.83,188.85,169.28,139.30,123.50,185.11,168.74,158.17
1957,85.46,64.15,137.82,138.90,196.96,152.72,138.67,107.49,119.82,179.73,173.46,138.24
1958,119.75,181.78,110.84,121.63,206.05,90.79,123.06,115.33,89.67,140.63,80.93,179.46
1959,108.96,95.80,140.62,143.00,193.56,58.86,127.95,115.55,114.03,139.11,100.04,103.86
1960,86.83,174.64,134.20,92.40,135.82,216.91,151.02,107.04,170.37,107.35,105.72,117.88
1961,159.76,103.30,120.99,117.19,135.01,180.42,188.87,144.14,165.27,92.83,105.74,58.21
1962,151.01,80.71,149.14,157.53,196.31,160.21,167.05,154.53,129.65,212.38,139.81,124.64
1963,112.15,125.54,118.92,79.25,119.13,178.79,145.28,140.30,125.64,61.97,112.95,109.38
1964,138.65,71.52,146.21,70.29,155.76,106.02,178.13,156.33,146.35,106.29,132.97,129.38
1965,164.06,118.25,159.25,99.25,126.98,161.27,127.41,191.55,101.94,131.68,172.63,146.29
1966,161.82,128.16,121.38,129.66,130.77,138.92,131.78,107.15,118.62,94.12,167.96,163.28
1967,111.06,118.87,127.85,127.03,130.58,77.45,98.93,197.36,132.53,100.57,234.25,129.52
1968,88.24,75.61,129.21,220.84,177.43,175.28,128.34,145.18,122.58,168.70,121.95,129.58
1969,144.55,130.91,67.10,139.08,139.58,105.08,69.67,118.89,173.16,100.94,76.10,159.59
1970,112.23,78.68,164.08,111.69,159.04,138.76,164.65,190.24,216.22,140.39,81.04,98.38
1971,116.71,121.19,100.85,97.79,194.25,164.18,106.06,177.83,181.44,193.10,146.34,114.02
1972,106.15,53.54,206.37,123.62,178.41,148.50,130.48,140.20,145.41,166.28,100.54,94.94
1973,78.77,35.50,110.92,129.51,141.71,124.80,79.12,200.89,143.54,110.13,168.89,82.94
1974,63.16,117.78,68.95,217.93,127.31,129.26,210.70,124.35,150.93,219.31,61.87,119.51
1975,133.27,98.86,168.86,123.83,142.87,155.63,149.24,191.00,118.02,142.26,134.22,137.38
1976,185.48,92.76,68.00,126.05,124.49,163.56,159.76,140.16,146.71,146.27,125.67,214.46
1977,138.68,102.23,74.27,141.71,157.48,198.19,149.97,113.79,182.76,129.86,117.66,160.29
1978,77.54,70.82,71.57,201.05,106.98,141.60,216.17,145.57,164.41,157.27,101.06,152.23
1979,88.50,111.92,207.70,137.31,185.08,115.99,145.42,164.67,145.52,198.53,135.64,165.55
1980,174.76,100.68,184.19,125.20,98.14,163.86,121.84,148.60,130.56,99.31,158.73,133.79
1981,67.05,77.16,143.75,139.58,100.58,188.62,188.23,149.63,137.91,156.56,117.49,123.41
1982,106.47,93.18,98.63,130.93,132.40,123.55,102.82,79.15,131.77,166.66,107.29,140.52
1983,125.92,48.75,111.73,182.54,146.11,127.48,133.85,94.47,184.13,170.68,99.10,177.89
1984,157.07,110.22,217.79,82.15,118.96,94.92,160.56,122.18,153.34,88.04,133.33,168.78
1985,154.16,93.08,89.85,99.95,121.64,150.57,173.83,119.95,111.18,94.42,141.54,160.09
1986,166.03,158.32,118.18,93.56,128.34,150.49,149.96,135.10,122.59,151.44,123.29,90.81
1987,112.43,137.66,186.79,127.86,138.95,134.24,113.96,80.04,137.96,161.20,126.10,146.01
1988,83.97,153.54,159.85,59.39,142.60,110.09,190.58,127.66,142.28,139.54,130.46,153.17
1989,163.62,80.69,119.73,89.95,172.27,175.22,113.72,118.78,122.45,200.73,131.84,154.44
1990,92.82,54.08,149.41,146.11,149.24,138.05,142.55,193.30,104.39,141.05,155.55,109.23
1991,185.93,126.28,83.33,210.14,120.09,132.91,114.93,151.87,133.96,109.56,137.64,135.22
1992,123.00,143.80,87.86,71.06,111.99,111.36,185.91,254.10,127.24,147.09,99.76,151.17
1993,116.20,77.52,132.59,109.99,144.05,182.62,55.14,107.22,142.17,125.90,111.24,136.37
1994,133.28,119.46,131.66,102.47,146.42,179.75,176.34,149.35,163.64,118.47,136.58,104.87
1995,114.09,113.34,155.71,172.02,152.80,161.84,182.96,164.16,232.33,146.91,120.44,170.18
1996,95.67,93.81,145.49,192.63,130.72,138.79,145.49,156.18,151.55,164.60,139.97,97.33
1997,78.24,115.91,98.56,133.86,122.09,125.87,116.98,142.17,109.40,121.63,137.13,173.82
1998,81.41,123.80,167.87,93.91,136.44,165.74,195.75,139.07,159.61,223.93,77.87,138.60
1999,105.45,56.08,152.10,118.58,118.67,146.87,159.98,154.82,133.68,144.84,208.36,91.11
2000,143.10,73.77,101.10,167.63,172.54,127.02,97.27,125.06,165.24,139.40,115.74,117.86
2001,95.56,71.89,82.62,89.57,166.86,175.50,85.95,131.73,87.02,220.26,185.72,204.53
2002,159.50,141.75,110.16,86.60,136.50,201.17,108.58,127.80,184.75,144.13,111.87,138.77
2003,95.87,54.78,102.83,76.31,154.20,198.45,100.17,106.02,209.80,138.72,117.57,110.71
2004,118.29,199.23,105.50,113.72,134.64,154.46,104.18,157.05,158.42,123.38,108.53,199.15
