Variable:,pr
Country:,Panama
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,73.13,48.77,67.27,102.21,254.38,255.66,265.18,267.62,280.56,397.54,334.09,155.82
1902,74.77,59.41,67.98,194.68,303.55,237.72,221.12,227.27,253.22,330.21,296.19,137.71
1903,74.39,38.59,41.94,118.23,317.67,265.51,231.14,276.60,251.95,356.33,283.63,241.73
1904,147.46,59.41,103.17,154.05,281.92,267.86,214.31,238.89,244.58,333.55,285.99,166.77
1905,71.37,38.24,72.91,114.88,291.49,251.40,290.34,242.84,255.48,363.25,288.36,177.80
1906,78.31,43.86,39.60,173.06,258.64,290.60,237.47,245.40,246.12,349.83,279.93,150.58
1907,68.21,40.07,40.77,101.67,247.00,255.40,228.83,229.76,243.64,343.94,298.86,155.90
1908,68.21,38.24,45.58,131.96,303.34,276.83,236.04,239.70,249.92,390.34,290.98,165.39
1909,90.42,44.48,38.65,165.92,272.12,245.94,262.97,282.66,267.55,351.42,305.31,198.06
1910,104.69,38.24,54.60,120.56,252.61,235.66,245.24,240.97,267.61,352.16,297.86,158.68
1911,68.21,38.24,38.65,164.72,330.39,263.68,213.83,240.23,234.86,342.45,296.14,161.06
1912,68.21,38.24,38.65,113.36,274.68,248.47,209.96,252.04,277.67,352.55,321.52,152.17
1913,85.24,38.48,50.63,142.11,269.70,246.92,235.49,274.68,255.20,355.08,322.86,168.12
1914,77.05,40.07,39.13,139.56,256.37,227.02,197.01,226.29,250.96,359.85,330.17,147.48
1915,68.84,43.86,103.05,118.03,287.62,257.54,232.13,257.62,271.44,372.09,350.05,183.84
1916,99.88,39.08,48.27,153.65,300.00,248.66,255.64,295.81,242.10,336.60,405.06,171.69
1917,87.90,38.36,39.48,137.91,311.42,261.17,252.63,260.24,262.56,388.38,292.88,175.67
1918,70.99,38.59,53.21,176.73,263.86,253.30,214.71,235.60,278.04,334.61,273.30,137.00
1919,68.21,38.24,38.65,173.20,277.27,241.51,225.20,231.10,314.62,360.26,303.20,139.14
1920,68.84,38.36,67.75,128.24,267.69,240.60,213.32,255.82,261.17,385.50,280.32,156.22
1921,68.21,61.12,38.78,143.44,251.03,241.47,209.75,248.76,264.72,374.08,285.39,156.93
1922,98.12,38.59,38.65,105.27,286.26,251.72,195.96,235.28,254.59,410.59,255.58,155.58
1923,68.21,38.24,38.65,126.75,272.53,265.75,221.14,225.48,228.94,362.34,261.57,152.01
