Variable:,pr
Country:,Peru
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,171.24,176.74,205.16,143.75,112.54,92.28,80.06,78.36,99.08,136.40,141.88,153.30
1902,177.40,199.99,193.55,147.59,112.63,90.01,77.77,76.82,96.95,143.64,142.19,162.11
1903,177.77,173.57,207.15,149.07,117.01,92.93,78.00,77.66,100.46,130.17,156.04,156.20
1904,184.64,180.24,189.67,148.89,111.75,89.80,77.24,77.31,97.40,140.74,140.72,153.18
1905,173.18,171.23,190.38,144.94,114.44,89.07,77.69,80.08,98.64,134.42,140.10,155.44
1906,174.25,167.13,196.49,149.81,116.27,91.09,80.15,77.68,96.15,148.06,139.48,154.93
1907,193.62,196.12,210.72,149.78,114.42,90.82,78.50,76.87,98.77,131.17,149.24,184.85
1908,195.53,172.67,201.52,147.20,112.21,89.80,80.75,77.18,98.75,133.89,142.45,160.49
1909,180.80,173.96,188.16,146.31,114.25,90.99,78.58,77.81,97.25,129.50,152.39,152.87
1910,182.99,169.88,194.15,155.83,114.12,91.56,78.96,77.84,96.33,132.45,139.57,154.67
1911,184.15,173.97,189.35,171.98,111.29,91.53,78.21,79.00,97.33,146.22,142.66,157.03
1912,177.57,169.77,207.01,152.54,113.68,91.52,78.35,79.34,98.02,131.12,138.19,163.64
1913,186.56,178.22,194.36,151.65,112.04,90.43,78.14,77.30,97.42,132.06,143.10,156.07
1914,200.54,172.79,185.95,145.64,112.57,90.49,77.07,76.56,97.13,133.63,139.12,158.90
1915,175.04,186.23,185.51,146.21,114.50,91.32,79.78,76.69,98.83,134.09,139.98,170.54
1916,183.69,190.52,183.11,148.25,112.64,92.62,77.73,77.03,96.38,135.45,142.02,170.89
1917,198.89,181.62,203.61,146.27,112.00,90.88,83.05,77.02,97.47,130.69,147.71,181.01
1918,196.07,166.88,205.97,151.93,114.55,91.25,79.86,76.10,100.16,137.31,140.40,174.21
1919,191.05,171.43,195.09,146.82,113.04,91.30,78.80,77.21,98.92,134.17,145.73,195.90
1920,210.66,201.58,221.31,147.45,113.92,91.98,79.02,76.88,98.96,129.47,140.49,155.49
1921,218.35,181.44,211.93,148.45,114.15,90.12,78.86,77.86,95.52,135.57,141.58,158.47
1922,188.91,202.47,186.37,151.60,114.40,91.27,77.00,76.85,97.01,130.68,139.03,193.49
1923,191.99,167.41,207.86,147.86,116.15,92.65,77.35,76.69,96.91,132.16,157.32,177.58
1924,175.82,170.74,195.77,159.33,112.76,92.58,79.86,76.17,97.62,150.32,137.63,153.52
1925,232.90,198.87,225.01,148.03,111.36,91.38,79.52,76.66,97.19,129.59,144.12,162.06
1926,176.40,174.33,202.84,149.86,110.95,93.08,78.56,77.39,97.16,128.08,140.57,151.19
1927,181.15,179.49,197.18,147.68,114.44,92.23,78.34,78.44,99.72,134.61,145.58,162.73
1928,178.57,179.98,200.22,158.21,114.28,91.71,77.95,77.20,103.55,135.51,144.46,160.08
1929,185.09,182.03,199.26,153.68,115.49,91.34,79.95,77.75,99.09,131.16,149.11,157.14
1930,189.02,173.43,201.98,138.83,120.82,95.20,87.54,81.80,95.08,139.18,156.59,148.92
1931,204.30,154.23,204.85,151.56,96.43,80.09,73.90,63.75,92.70,116.71,139.36,163.06
1932,205.58,200.17,224.21,162.83,120.61,81.03,74.20,64.99,113.92,143.61,126.56,150.25
1933,171.62,159.91,231.84,149.49,107.15,103.45,63.46,67.19,102.00,169.94,121.04,149.86
1934,183.31,198.85,208.35,135.43,127.70,99.62,103.16,79.00,92.10,130.70,153.17,142.39
1935,179.20,149.09,214.99,131.63,94.42,100.04,74.43,68.32,111.92,127.76,145.03,164.74
1936,191.57,152.30,166.78,124.61,103.38,84.92,80.44,64.41,124.60,124.01,140.17,140.85
1937,169.24,162.53,157.50,156.11,93.79,97.51,64.27,68.69,99.57,125.33,118.95,135.52
1938,140.66,146.79,159.02,134.86,112.35,120.31,74.53,70.00,102.99,131.39,116.07,137.13
1939,165.92,180.21,230.28,145.42,113.05,92.22,82.61,83.06,129.05,108.40,143.28,157.00
1940,190.14,135.32,161.11,180.20,97.78,113.80,67.07,75.56,130.11,127.47,128.28,188.97
1941,210.41,205.02,184.63,147.28,135.28,89.47,69.54,72.88,109.97,122.02,147.95,174.24
1942,162.89,162.84,186.05,147.65,124.41,79.67,58.83,66.43,92.73,127.24,115.66,129.96
1943,151.34,178.08,187.24,143.95,117.28,137.49,71.79,91.40,95.48,121.30,151.50,153.81
1944,189.07,166.50,194.62,124.48,136.35,85.16,51.34,57.01,98.02,145.40,123.77,128.87
1945,152.72,155.15,207.67,173.74,92.31,86.83,86.56,49.59,113.63,137.66,190.89,189.05
1946,171.55,224.17,190.82,152.44,164.94,105.84,109.14,65.13,106.39,135.22,146.56,217.20
1947,166.81,165.80,173.22,139.95,138.73,145.04,71.73,57.83,88.72,128.02,145.99,153.14
1948,182.36,170.75,208.94,166.77,120.56,86.39,96.13,37.49,86.56,181.48,138.75,163.43
1949,166.40,186.02,190.94,189.33,134.70,119.64,86.23,63.49,100.01,140.20,117.72,144.35
1950,143.91,193.04,223.29,137.30,104.71,104.35,111.48,41.06,81.38,125.83,108.69,201.56
1951,205.87,203.84,216.65,133.96,121.40,93.47,43.55,81.00,70.44,116.54,160.21,146.75
1952,194.15,180.61,188.43,140.89,83.06,102.88,62.80,80.89,63.19,121.69,169.73,174.42
1953,213.64,202.29,228.86,169.02,113.09,81.40,88.24,77.09,102.48,153.34,168.35,172.99
1954,174.91,168.55,235.73,151.92,116.75,72.41,49.51,43.36,90.37,150.23,153.44,177.00
1955,170.49,200.56,231.09,141.28,140.77,76.75,85.24,51.51,102.55,97.20,130.72,146.21
1956,180.84,208.95,205.02,134.18,97.51,65.27,100.99,68.72,95.80,151.64,109.91,124.24
1957,148.34,177.55,172.62,168.73,119.49,91.44,69.38,71.30,78.20,122.60,183.55,154.72
1958,240.88,199.32,223.52,183.56,179.25,68.72,90.02,71.17,74.41,155.93,127.93,117.50
1959,137.58,240.60,214.67,168.63,131.00,101.04,68.78,61.46,111.07,142.30,123.84,238.80
1960,163.36,176.40,145.64,160.42,127.61,60.10,78.25,99.09,108.92,115.88,173.60,148.74
1961,198.81,159.47,205.23,145.76,139.85,82.68,36.32,64.38,116.74,137.42,144.07,199.47
1962,178.80,195.67,157.98,171.68,133.04,66.45,57.40,54.31,110.28,123.30,142.25,189.31
1963,204.91,223.36,208.16,158.17,94.06,53.38,62.65,48.14,79.55,106.79,128.46,160.99
1964,130.94,132.50,184.44,169.12,126.68,79.69,76.39,83.95,103.31,177.48,177.83,126.55
