Variable:,pr
Country:,Philippines
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,120.27,123.10,114.62,99.89,176.09,219.76,258.49,290.75,217.02,360.21,374.53,240.23
1902,227.54,89.35,107.63,130.07,188.45,238.98,378.97,329.09,283.30,174.13,173.90,179.48
1903,121.15,95.07,37.99,77.21,175.38,220.75,303.21,181.11,227.32,319.28,290.84,290.74
1904,248.50,178.12,96.91,201.98,196.63,308.96,305.02,318.64,233.01,273.65,270.78,127.58
1905,51.34,52.65,87.51,78.64,177.56,248.35,367.53,305.11,307.13,215.67,133.31,174.44
1906,138.63,60.69,106.90,95.22,291.15,256.18,226.55,306.31,363.92,297.26,367.39,183.12
1907,171.42,182.59,119.35,87.67,122.67,198.37,303.88,318.06,229.89,215.52,175.14,325.60
1908,147.61,217.93,143.61,95.42,263.05,292.51,293.39,264.19,315.98,296.32,372.58,372.69
1909,119.48,125.93,168.72,71.39,190.35,228.50,353.25,213.77,307.37,317.34,332.19,354.90
1910,170.78,209.73,168.29,224.85,246.94,260.31,155.13,323.11,345.52,261.68,359.74,332.23
1911,82.90,160.25,104.86,181.38,180.54,259.83,418.68,345.51,304.35,197.87,73.63,204.47
1912,100.66,104.66,31.42,72.43,74.67,165.46,327.14,323.44,300.54,340.00,288.31,151.46
1913,153.72,102.69,76.47,128.46,195.12,252.55,381.92,315.75,217.90,267.15,155.90,214.68
1914,82.68,31.22,103.53,91.09,191.73,405.82,218.88,355.82,269.40,160.18,113.26,130.08
1915,101.02,24.28,56.18,58.36,183.57,264.38,262.34,262.50,221.48,365.27,282.32,365.78
1916,349.75,188.51,162.76,127.02,247.84,286.81,246.85,268.25,360.19,333.91,220.48,302.24
1917,215.01,137.78,152.10,116.07,250.98,327.98,293.30,264.38,282.98,313.02,305.88,240.07
1918,261.34,170.16,184.49,125.56,179.61,435.24,202.68,307.60,191.26,289.95,123.98,189.45
1919,69.08,74.32,66.21,65.43,183.73,222.79,507.34,262.32,229.81,325.25,259.37,245.38
1920,159.55,126.38,77.37,89.96,142.49,339.82,252.82,183.91,314.09,242.63,215.05,235.59
1921,163.45,194.91,172.88,138.64,225.22,244.17,414.18,295.55,278.49,214.75,439.77,230.06
1922,179.19,125.14,128.74,88.43,286.51,249.56,318.88,217.68,327.27,236.80,316.75,283.14
1923,264.11,105.55,149.05,152.09,357.76,297.25,523.58,261.49,221.75,184.00,273.55,92.90
1924,112.79,104.64,113.52,78.72,211.88,317.65,330.71,331.42,208.28,395.19,386.26,412.40
1925,138.14,205.52,184.09,177.10,231.79,316.53,347.66,331.24,238.94,263.15,159.49,165.14
1926,172.44,93.17,67.61,37.98,172.01,326.02,343.42,363.16,315.94,325.74,270.45,233.03
1927,179.61,96.00,108.92,156.04,239.96,259.05,290.10,318.49,152.74,259.00,210.28,199.29
1928,169.21,188.53,130.74,196.85,189.98,241.82,333.85,220.40,224.87,233.75,289.24,228.94
